CONIDX,CONIPOS,CONJPOS,SGAS,WELL,SWAT,DRAWDOWN,DATE,CONBPRES,WELLMODEL,DEPTH,PRESSURE,CONKPOS
7,32,52,0.0,R_A4,0.09561093151569366,0,2018-01-01,300.37176513671875,STANDARD,1634.6927490234375,300.37176513671875,5
8,32,51,0.0,R_A4,0.15179148316383362,0,2018-01-01,300.48052978515625,STANDARD,1636.31494140625,300.48052978515625,5
9,32,51,0.0,R_A4,0.05474478751420975,0,2018-01-01,300.3573303222656,STANDARD,1634.4776611328125,300.3573303222656,4
10,33,51,0.0,R_A4,0.056486114859580994,0,2018-01-01,300.4521484375,STANDARD,1635.8919677734375,300.4521484375,4
11,33,51,0.0,R_A4,0.1473028063774109,0,2018-01-01,300.5779724121094,STANDARD,1637.7685546875,300.5779724121094,5
12,33,50,0.0,R_A4,0.057300079613924026,0,2018-01-01,300.8324279785156,STANDARD,1641.5633544921875,300.8324279785156,5
13,34,50,0.0,R_A4,0.05875517427921295,0,2018-01-01,300.7628479003906,STANDARD,1640.5255126953125,300.7628479003906,5
14,34,50,0.0,R_A4,0.09396836161613464,0,2018-01-01,300.6378173828125,STANDARD,1638.66064453125,300.6378173828125,4
15,35,50,0.0,R_A4,0.0943494364619255,0,2018-01-01,300.6752014160156,STANDARD,1639.218505859375,300.6752014160156,4
16,35,49,0.0,R_A4,0.1620330512523651,0,2018-01-01,300.97222900390625,STANDARD,1643.64794921875,300.97222900390625,4
17,35,49,0.0,R_A4,0.22557157278060913,0,2018-01-01,300.8536376953125,STANDARD,1641.879638671875,300.8536376953125,3
18,36,49,0.0,R_A4,0.6481541991233826,0,2018-01-01,300.8581848144531,STANDARD,1641.947265625,300.8581848144531,29
19,36,48,0.0,R_A4,0.2221626490354538,0,2018-01-01,300.86370849609375,STANDARD,1642.02978515625,300.86370849609375,29
20,37,48,0.0,R_A4,1.0,0,2018-01-01,301.2181396484375,STANDARD,1647.315185546875,301.2181396484375,29
21,38,48,0.0,R_A4,0.8397502899169922,0,2018-01-01,301.4612121582031,STANDARD,1650.939453125,301.4612121582031,29
22,38,47,0.0,R_A4,1.0,0,2018-01-01,302.0151672363281,STANDARD,1659.1990966796875,302.0151672363281,29
1,31,20,0.0,R_A5,1.0,0,2018-01-01,303.8924560546875,STANDARD,1685.536865234375,303.8924560546875,1
2,31,20,0.0,R_A5,1.0,0,2018-01-01,304.0901794433594,STANDARD,1687.6234130859375,304.0901794433594,2
3,31,20,0.0,R_A5,1.0,0,2018-01-01,304.28790283203125,STANDARD,1689.7099609375,304.28790283203125,3
4,31,20,0.0,R_A5,1.0,0,2018-01-01,304.4856262207031,STANDARD,1691.796630859375,304.4856262207031,4
5,31,20,0.0,R_A5,1.0,0,2018-01-01,304.6833801269531,STANDARD,1693.8831787109375,304.6833801269531,5
6,31,20,0.0,R_A5,1.0,0,2018-01-01,304.8811340332031,STANDARD,1695.9698486328125,304.8811340332031,6
7,31,20,0.0,R_A5,1.0,0,2018-01-01,305.3846435546875,STANDARD,1698.056396484375,305.3846435546875,7
8,31,20,0.0,R_A5,1.0,0,2018-01-01,305.5823974609375,STANDARD,1700.14306640625,305.5823974609375,8
9,31,21,0.0,R_A5,1.0,0,2018-01-01,305.18597412109375,STANDARD,1695.9600830078125,305.18597412109375,9
10,31,21,0.0,R_A5,1.0,0,2018-01-01,305.102783203125,STANDARD,1698.23779296875,305.102783203125,10
11,31,21,0.0,R_A5,1.0,0,2018-01-01,305.3017272949219,STANDARD,1700.40673828125,305.3017272949219,11
12,31,21,0.0,R_A5,1.0,0,2018-01-01,305.49700927734375,STANDARD,1702.46728515625,305.49700927734375,12
13,31,21,0.0,R_A5,1.0,0,2018-01-01,305.7042541503906,STANDARD,1704.52783203125,305.7042541503906,13
14,31,21,0.0,R_A5,1.0,0,2018-01-01,305.8995361328125,STANDARD,1706.5885009765625,305.8995361328125,14
15,31,21,0.0,R_A5,1.0,0,2018-01-01,306.09478759765625,STANDARD,1708.6490478515625,306.09478759765625,15
16,31,21,0.0,R_A5,1.0,0,2018-01-01,306.4350891113281,STANDARD,1710.7095947265625,306.4350891113281,16
17,31,21,0.0,R_A5,1.0,0,2018-01-01,306.62799072265625,STANDARD,1712.744873046875,306.62799072265625,17
18,31,21,0.0,R_A5,1.0,0,2018-01-01,306.75396728515625,STANDARD,1714.073974609375,306.75396728515625,18
19,31,21,0.0,R_A5,1.0,0,2018-01-01,306.7998046875,STANDARD,1714.5576171875,306.7998046875,19
20,31,21,0.0,R_A5,1.0,0,2018-01-01,307.0700988769531,STANDARD,1715.8408203125,307.0700988769531,26
21,31,21,0.0,R_A5,1.0,0,2018-01-01,306.9773254394531,STANDARD,1718.08837890625,306.9773254394531,27
22,31,21,0.0,R_A5,1.0,0,2018-01-01,307.4961242675781,STANDARD,1720.3359375,307.4961242675781,28
23,31,21,0.0,R_A5,1.0,0,2018-01-01,307.7091369628906,STANDARD,1722.58349609375,307.7091369628906,29
24,31,21,0.0,R_A5,1.0,0,2018-01-01,307.9221496582031,STANDARD,1724.8309326171875,307.9221496582031,30
1,17,42,0.0,R_A6,1.0,0,2018-01-01,305.01263427734375,STANDARD,1694.130859375,305.01263427734375,1
2,17,42,0.0,R_A6,1.0,0,2018-01-01,305.15802001953125,STANDARD,1695.6649169921875,305.15802001953125,2
3,17,42,0.0,R_A6,1.0,0,2018-01-01,305.3033752441406,STANDARD,1697.198974609375,305.3033752441406,3
4,17,42,0.0,R_A6,1.0,0,2018-01-01,305.4487609863281,STANDARD,1698.7330322265625,305.4487609863281,4
5,17,42,0.0,R_A6,1.0,0,2018-01-01,305.5941467285156,STANDARD,1700.26708984375,305.5941467285156,5
6,17,42,0.0,R_A6,1.0,0,2018-01-01,305.7395324707031,STANDARD,1701.801025390625,305.7395324707031,6
7,17,42,0.0,R_A6,1.0,0,2018-01-01,305.5858459472656,STANDARD,1703.3350830078125,305.5858459472656,7
8,17,42,0.0,R_A6,1.0,0,2018-01-01,305.7312316894531,STANDARD,1704.869140625,305.7312316894531,8
9,17,42,0.0,R_A6,1.0,0,2018-01-01,306.1756591796875,STANDARD,1706.4031982421875,306.1756591796875,9
