CONJPOS,PRESSURE,SWAT,WELLMODEL,CONIPOS,CONBPRES,DEPTH,SGAS,WELL,DATE,CONKPOS,DRAWDOWN,CONIDX
30,297.6407165527344,0.0595267191529274,STANDARD,22,297.6407165527344,1641.9422607421875,0.0,R_A2,2018-03-01,4,0,4
30,297.7506103515625,0.061642248183488846,STANDARD,22,297.7506103515625,1643.5821533203125,0.0,R_A2,2018-03-01,5,0,5
30,297.8605041503906,0.10874976217746735,STANDARD,22,297.8605041503906,1645.221923828125,0.0,R_A2,2018-03-01,6,0,6
30,297.9801940917969,0.6487703919410706,STANDARD,22,297.9801940917969,1646.86181640625,0.0,R_A2,2018-03-01,7,0,7
30,298.10357666015625,0.8579869866371155,STANDARD,22,298.10357666015625,1648.501708984375,0.0,R_A2,2018-03-01,8,0,8
30,298.40509033203125,0.8600736856460571,STANDARD,22,298.40509033203125,1650.1414794921875,0.0,R_A2,2018-03-01,9,0,9
30,298.75213623046875,0.865111768245697,STANDARD,22,298.75213623046875,1651.78125,0.0,R_A2,2018-03-01,10,0,10
30,299.5755310058594,0.06347852945327759,STANDARD,22,299.5755310058594,1653.6065673828125,0.0,R_A2,2018-03-01,11,0,11
30,299.7103271484375,0.06967680156230927,STANDARD,22,299.7103271484375,1655.6175537109375,0.0,R_A2,2018-03-01,12,0,12
30,299.84564208984375,0.4126134514808655,STANDARD,22,299.84564208984375,1657.62841796875,0.0,R_A2,2018-03-01,13,0,13
30,299.98126220703125,0.445465624332428,STANDARD,22,299.98126220703125,1659.639404296875,0.0,R_A2,2018-03-01,14,0,14
30,300.11846923828125,0.8728510141372681,STANDARD,22,300.11846923828125,1661.6502685546875,0.0,R_A2,2018-03-01,15,0,15
30,300.2538757324219,0.8773369193077087,STANDARD,22,300.2538757324219,1663.6611328125,0.0,R_A2,2018-03-01,16,0,16
29,300.87286376953125,0.9739223718643188,STANDARD,22,300.87286376953125,1674.495849609375,0.0,R_A2,2018-03-01,16,0,17
29,301.0091857910156,0.9672133922576904,STANDARD,22,301.0091857910156,1676.5263671875,0.0,R_A2,2018-03-01,17,0,18
29,301.1138000488281,1.0,STANDARD,22,301.1138000488281,1678.085205078125,-1.6720566042849327e-09,R_A2,2018-03-01,18,0,19
29,303.06231689453125,1.0,STANDARD,22,303.06231689453125,1679.4747314453125,-1.4390200389255946e-14,R_A2,2018-03-01,25,0,20
29,303.6308288574219,1.0,STANDARD,22,303.6308288574219,1681.1666259765625,-1.3545755974688455e-14,R_A2,2018-03-01,26,0,21
29,303.86279296875,1.0,STANDARD,22,303.86279296875,1682.858642578125,-4.1642247104994173e-14,R_A2,2018-03-01,27,0,22
29,304.0565490722656,1.0,STANDARD,22,304.0565490722656,1684.550537109375,2.128160539097536e-15,R_A2,2018-03-01,28,0,23
29,304.2281188964844,1.0,STANDARD,22,304.2281188964844,1686.242431640625,4.9975790920950974e-15,R_A2,2018-03-01,29,0,24
20,279.7343444824219,1.0,STANDARD,31,279.7343444824219,1684.347900390625,-8.923394662074813e-11,R_A5,2018-04-28,1,0,1
20,279.92608642578125,1.0,STANDARD,31,279.92608642578125,1686.3731689453125,-9.827078734092609e-11,R_A5,2018-04-28,2,0,2
20,280.1177978515625,1.0,STANDARD,31,280.1177978515625,1688.3984375,-1.0975498981879994e-10,R_A5,2018-04-28,3,0,3
20,280.30950927734375,1.0,STANDARD,31,280.30950927734375,1690.423828125,-6.531145763100099e-11,R_A5,2018-04-28,4,0,4
20,280.5012512207031,1.0,STANDARD,31,280.5012512207031,1692.448974609375,-1.0636214825554546e-10,R_A5,2018-04-28,5,0,5
