DEPTH,DATE,WELLMODEL,CONBPRES,PRESSURE,CONKPOS,SWAT,CONIPOS,SGAS,CONIDX,DRAWDOWN,WELL,CONJPOS
1681.4754638671875,2018-01-01,STANDARD,303.8133544921875,303.8133544921875,30,1.0,22,0.0,23,0,R_A2,29
1683.2447509765625,2018-01-01,STANDARD,303.98101806640625,303.98101806640625,31,1.0,22,0.0,24,0,R_A2,29
1609.243408203125,2018-01-01,STANDARD,298.53814697265625,298.53814697265625,1,0.6481541991233826,28,0.0,1,0,R_A3,41
1611.3077392578125,2018-01-01,STANDARD,298.676513671875,298.676513671875,2,0.19344687461853027,28,0.0,2,0,R_A3,41
1613.3720703125,2018-01-01,STANDARD,298.8148498535156,298.8148498535156,3,0.19432701170444489,28,0.0,3,0,R_A3,41
1615.4365234375,2018-01-01,STANDARD,298.9532165527344,298.9532165527344,4,0.24996744096279144,28,0.0,4,0,R_A3,41
1617.5008544921875,2018-01-01,STANDARD,299.0915832519531,299.0915832519531,5,0.6481541991233826,28,0.0,5,0,R_A3,41
1619.565185546875,2018-01-01,STANDARD,299.2299499511719,299.2299499511719,6,0.1498473584651947,28,0.0,6,0,R_A3,41
1609.3663330078125,2018-01-01,STANDARD,298.54638671875,298.54638671875,6,0.2754424512386322,29,0.0,7,0,R_A3,41
1611.4163818359375,2018-01-01,STANDARD,298.68377685546875,298.68377685546875,7,0.19882161915302277,29,0.0,8,0,R_A3,41
1613.46630859375,2018-01-01,STANDARD,298.8211669921875,298.8211669921875,8,0.1460786610841751,29,0.0,9,0,R_A3,41
1615.516357421875,2018-01-01,STANDARD,298.95855712890625,298.95855712890625,9,0.6481541991233826,29,0.0,10,0,R_A3,41
1617.5662841796875,2018-01-01,STANDARD,299.095947265625,299.095947265625,10,0.8030344843864441,29,0.0,11,0,R_A3,41
1619.750732421875,2018-01-01,STANDARD,299.24237060546875,299.24237060546875,11,0.04831019043922424,29,0.0,12,0,R_A3,41
1622.0697021484375,2018-01-01,STANDARD,299.3978271484375,299.3978271484375,12,0.053891588002443314,29,0.0,13,0,R_A3,41
1624.388671875,2018-01-01,STANDARD,299.5532531738281,299.5532531738281,13,0.37262097001075745,29,0.0,14,0,R_A3,41
1626.707763671875,2018-01-01,STANDARD,299.7087097167969,299.7087097167969,14,0.3456023037433624,29,0.0,15,0,R_A3,41
1629.026611328125,2018-01-01,STANDARD,299.8641662597656,299.8641662597656,15,0.49332767724990845,29,0.0,16,0,R_A3,41
1630.9468994140625,2018-01-01,STANDARD,299.992919921875,299.992919921875,16,0.8019264936447144,29,0.0,17,0,R_A3,41
1633.5262451171875,2018-01-01,STANDARD,300.16583251953125,300.16583251953125,27,0.6481541991233826,29,0.0,18,0,R_A3,41
1637.1630859375,2018-01-01,STANDARD,300.40966796875,300.40966796875,28,0.04582946002483368,29,0.0,19,0,R_A3,41
1640.8001708984375,2018-01-01,STANDARD,300.6535339355469,300.6535339355469,29,0.05228268727660179,29,0.0,20,0,R_A3,41
1644.4371337890625,2018-01-01,STANDARD,300.89739990234375,300.89739990234375,30,0.6481541991233826,29,0.0,21,0,R_A3,41
1648.0740966796875,2018-01-01,STANDARD,301.14129638671875,301.14129638671875,31,0.06127921864390373,29,0.0,22,0,R_A3,41
1631.1873779296875,2018-01-01,STANDARD,300.009033203125,300.009033203125,1,0.05178655683994293,30,0.0,1,0,R_A4,52
1627.4293212890625,2018-01-01,STANDARD,299.7571105957031,299.7571105957031,1,0.050683874636888504,31,0.0,2,0,R_A4,52
1629.4896240234375,2018-01-01,STANDARD,299.89520263671875,299.89520263671875,2,0.051592472940683365,31,0.0,3,0,R_A4,52
1631.5498046875,2018-01-01,STANDARD,300.0333251953125,300.0333251953125,3,0.053491584956645966,31,0.0,4,0,R_A4,52
1633.610107421875,2018-01-01,STANDARD,300.17144775390625,300.17144775390625,4,0.6481541991233826,31,0.0,5,0,R_A4,52
1632.3968505859375,2018-01-01,STANDARD,300.0901184082031,300.0901184082031,4,0.05713524669408798,32,0.0,6,0,R_A4,52
1635.880615234375,2018-01-01,STANDARD,300.3236999511719,300.3236999511719,4,0.6481541991233826,32,0.0,7,0,R_A4,51
1637.321044921875,2018-01-01,STANDARD,300.4202575683594,300.4202575683594,4,0.6481541991233826,33,0.0,8,0,R_A4,51
1635.474609375,2018-01-01,STANDARD,300.29644775390625,300.29644775390625,3,0.05947340279817581,33,0.0,9,0,R_A4,51
1642.1485595703125,2018-01-01,STANDARD,300.74395751953125,300.74395751953125,4,0.6481541991233826,33,0.0,10,0,R_A4,50
1641.132080078125,2018-01-01,STANDARD,300.67578125,300.67578125,4,0.09878486394882202,34,0.0,11,0,R_A4,50
1639.20703125,2018-01-01,STANDARD,300.5467224121094,300.5467224121094,3,0.15478037297725677,34,0.0,12,0,R_A4,50
1640.9061279296875,2018-01-01,STANDARD,300.66064453125,300.66064453125,3,0.2293243557214737,35,0.0,13,0,R_A4,50
1639.0426025390625,2018-01-01,STANDARD,300.53570556640625,300.53570556640625,2,0.2288455367088318,35,0.0,14,0,R_A4,50
1641.93212890625,2018-01-01,STANDARD,300.72943115234375,300.72943115234375,2,0.24109753966331482,35,0.0,15,0,R_A4,49
1642.357421875,2018-01-01,STANDARD,300.7579650878906,300.7579650878906,30,0.05171753093600273,36,0.0,16,0,R_A4,49
1639.6068115234375,2018-01-01,STANDARD,300.5735168457031,300.5735168457031,30,0.194771870970726,36,0.0,17,0,R_A4,48
1646.7513427734375,2018-01-01,STANDARD,301.0526123046875,301.0526123046875,30,0.09849477559328079,37,0.0,18,0,R_A4,48
1653.461669921875,2018-01-01,STANDARD,301.5025939941406,301.5025939941406,30,0.10194094479084015,38,0.0,19,0,R_A4,48
1657.8184814453125,2018-01-01,STANDARD,301.7947998046875,301.7947998046875,30,0.11428860574960709,38,0.0,20,0,R_A4,47
1685.026611328125,2018-01-01,STANDARD,303.8440856933594,303.8440856933594,1,1.0,31,0.0,1,0,R_A5,20
1687.3070068359375,2018-01-01,STANDARD,304.0601806640625,304.0601806640625,2,1.0,31,0.0,2,0,R_A5,20
1689.5875244140625,2018-01-01,STANDARD,304.58209228515625,304.58209228515625,3,1.0,31,0.0,3,0,R_A5,20
1691.8680419921875,2018-01-01,STANDARD,304.4924011230469,304.4924011230469,4,1.0,31,0.0,4,0,R_A5,20
1694.1485595703125,2018-01-01,STANDARD,304.7085266113281,304.7085266113281,5,1.0,31,0.0,5,0,R_A5,20
1696.4290771484375,2018-01-01,STANDARD,304.9246520996094,304.9246520996094,6,1.0,31,0.0,6,0,R_A5,20
1698.70947265625,2018-01-01,STANDARD,305.446533203125,305.446533203125,7,1.0,31,0.0,7,0,R_A5,20
1707.6488037109375,2018-01-01,STANDARD,305.988037109375,305.988037109375,11,1.0,31,0.0,8,0,R_A5,20
1709.5638427734375,2018-01-01,STANDARD,306.1695251464844,306.1695251464844,12,1.0,31,0.0,9,0,R_A5,20
1701.7845458984375,2018-01-01,STANDARD,305.4322814941406,305.4322814941406,12,1.0,31,0.0,10,0,R_A5,21
1703.735107421875,2018-01-01,STANDARD,305.6291198730469,305.6291198730469,13,1.0,31,0.0,11,0,R_A5,21
1705.6856689453125,2018-01-01,STANDARD,305.81396484375,305.81396484375,14,1.0,31,0.0,12,0,R_A5,21
1707.63623046875,2018-01-01,STANDARD,305.9988098144531,305.9988098144531,15,1.0,31,0.0,13,0,R_A5,21
1709.5867919921875,2018-01-01,STANDARD,306.1836853027344,306.1836853027344,16,1.0,31,0.0,14,0,R_A5,21
1711.537353515625,2018-01-01,STANDARD,306.5135498046875,306.5135498046875,17,1.0,31,0.0,15,0,R_A5,21
1713.35400390625,2018-01-01,STANDARD,306.6856994628906,306.6856994628906,18,1.0,31,0.0,16,0,R_A5,21
1714.3951416015625,2018-01-01,STANDARD,306.7843933105469,306.7843933105469,19,1.0,31,0.0,17,0,R_A5,21
1715.7628173828125,2018-01-01,STANDARD,306.75689697265625,306.75689697265625,27,1.0,31,0.0,18,0,R_A5,21
1718.098388671875,2018-01-01,STANDARD,306.978271484375,306.978271484375,28,1.0,31,0.0,19,0,R_A5,21
1720.43408203125,2018-01-01,STANDARD,307.5054016113281,307.5054016113281,29,1.0,31,0.0,20,0,R_A5,21
1722.7696533203125,2018-01-01,STANDARD,307.7267761230469,307.7267761230469,30,1.0,31,0.0,21,0,R_A5,21
1725.105224609375,2018-01-01,STANDARD,307.9481506347656,307.9481506347656,31,1.0,31,0.0,22,0,R_A5,21
1695.20263671875,2018-01-01,STANDARD,305.11419677734375,305.11419677734375,1,1.0,17,0.0,1,0,R_A6,42
1696.7510986328125,2018-01-01,STANDARD,305.2609558105469,305.2609558105469,2,1.0,17,0.0,2,0,R_A6,42
1698.299560546875,2018-01-01,STANDARD,305.4076843261719,305.4076843261719,3,1.0,17,0.0,3,0,R_A6,42
1699.84814453125,2018-01-01,STANDARD,305.554443359375,305.554443359375,4,1.0,17,0.0,4,0,R_A6,42
1701.3966064453125,2018-01-01,STANDARD,305.7012023925781,305.7012023925781,5,1.0,17,0.0,5,0,R_A6,42
1702.9451904296875,2018-01-01,STANDARD,305.84796142578125,305.84796142578125,6,1.0,17,0.0,6,0,R_A6,42
1704.49365234375,2018-01-01,STANDARD,305.6956481933594,305.6956481933594,7,1.0,17,0.0,7,0,R_A6,42
1706.042236328125,2018-01-01,STANDARD,305.8424072265625,305.8424072265625,8,1.0,17,0.0,8,0,R_A6,42
