SGAS,DRAWDOWN,DEPTH,WELL,CONIPOS,CONIDX,CONBPRES,CONJPOS,SWAT,DATE,CONKPOS,PRESSURE,WELLMODEL
0.0,0,1608.751953125,R_A3,29,7,298.5701599121094,41,0.6481541991233826,2018-01-01,6,298.5701599121094,STANDARD
0.0,0,1610.953369140625,R_A3,29,8,298.7176818847656,41,0.19706514477729797,2018-01-01,7,298.7176818847656,STANDARD
0.0,0,1613.15478515625,R_A3,29,9,298.865234375,41,0.1982671618461609,2018-01-01,8,298.865234375,STANDARD
0.0,0,1615.356201171875,R_A3,29,10,299.0127868652344,41,0.8003894090652466,2018-01-01,9,299.0127868652344,STANDARD
0.0,0,1617.5577392578125,R_A3,29,11,299.16033935546875,41,0.7920706868171692,2018-01-01,10,299.16033935546875,STANDARD
0.0,0,1619.8587646484375,R_A3,29,12,299.3145751953125,41,0.05003206431865692,2018-01-01,11,299.3145751953125,STANDARD
0.0,0,1622.259521484375,R_A3,29,13,299.4754943847656,41,0.05424995720386505,2018-01-01,12,299.4754943847656,STANDARD
0.0,0,1624.66015625,R_A3,29,14,299.63641357421875,41,0.37580519914627075,2018-01-01,13,299.63641357421875,STANDARD
0.0,0,1629.401611328125,R_A3,29,15,299.95428466796875,41,0.601466715335846,2018-01-01,15,299.95428466796875,STANDARD
0.0,0,1631.1795654296875,R_A3,29,16,300.073486328125,41,0.807600736618042,2018-01-01,16,300.073486328125,STANDARD
0.0,0,1633.604248046875,R_A3,29,17,300.23602294921875,41,0.6481541991233826,2018-01-01,27,300.23602294921875,STANDARD
0.0,0,1637.159423828125,R_A3,29,18,300.4743957519531,41,0.04531195014715195,2018-01-01,28,300.4743957519531,STANDARD
0.0,0,1640.714599609375,R_A3,29,19,300.7127685546875,41,0.04854404553771019,2018-01-01,29,300.7127685546875,STANDARD
0.0,0,1644.269775390625,R_A3,29,20,300.951171875,41,0.6679192781448364,2018-01-01,30,300.951171875,STANDARD
0.0,0,1647.824951171875,R_A3,29,21,301.1895751953125,41,0.060814470052719116,2018-01-01,31,301.1895751953125,STANDARD
0.0,0,1634.3814697265625,R_A4,30,1,300.28814697265625,52,0.053876057267189026,2018-01-01,1,300.28814697265625,STANDARD
0.0,0,1626.9739990234375,R_A4,31,2,299.7915344238281,52,0.04970088601112366,2018-01-01,1,299.7915344238281,STANDARD
0.0,0,1629.0430908203125,R_A4,31,3,299.93023681640625,52,0.08302611112594604,2018-01-01,2,299.93023681640625,STANDARD
0.0,0,1631.112060546875,R_A4,31,4,300.0689392089844,52,0.05222692713141441,2018-01-01,3,300.0689392089844,STANDARD
0.0,0,1633.18115234375,R_A4,31,5,300.2076721191406,52,0.07245469838380814,2018-01-01,4,300.2076721191406,STANDARD
0.0,0,1635.250244140625,R_A4,31,6,300.34637451171875,52,0.055351622402668,2018-01-01,5,300.34637451171875,STANDARD
0.0,0,1633.3902587890625,R_A4,32,7,300.2216796875,52,0.05511631816625595,2018-01-01,5,300.2216796875,STANDARD
0.0,0,1635.560791015625,R_A4,32,8,300.3672180175781,51,0.305020272731781,2018-01-01,5,300.3672180175781,STANDARD
0.0,0,1633.786865234375,R_A4,32,9,300.248291015625,51,0.10788539052009583,2018-01-01,4,300.248291015625,STANDARD
0.0,0,1637.5155029296875,R_A4,33,10,300.4982604980469,51,0.14161740243434906,2018-01-01,4,300.4982604980469,STANDARD
0.0,0,1635.7083740234375,R_A4,33,11,300.3771057128906,51,0.26286691427230835,2018-01-01,3,300.3771057128906,STANDARD
0.0,0,1643.557373046875,R_A4,33,12,300.90338134765625,50,0.07844237983226776,2018-01-01,4,300.90338134765625,STANDARD
0.0,0,1641.7451171875,R_A4,33,13,300.7818908691406,50,0.23777174949645996,2018-01-01,3,300.7818908691406,STANDARD
0.0,0,1639.7235107421875,R_A4,34,14,300.6463317871094,50,0.14111466705799103,2018-01-01,3,300.6463317871094,STANDARD
0.0,0,1640.6031494140625,R_A4,35,15,300.7052917480469,50,0.1461603045463562,2018-01-01,3,300.7052917480469,STANDARD
0.0,0,1643.648193359375,R_A4,35,16,300.90948486328125,49,0.21305975317955017,2018-01-01,3,300.90948486328125,STANDARD
0.0,0,1641.729248046875,R_A4,35,17,300.7807922363281,49,0.23505064845085144,2018-01-01,2,300.7807922363281,STANDARD
0.0,0,1641.8902587890625,R_A4,36,18,300.7915954589844,49,0.6481541991233826,2018-01-01,30,300.7915954589844,STANDARD
0.0,0,1640.77490234375,R_A4,36,19,300.7168273925781,48,0.6788685321807861,2018-01-01,30,300.7168273925781,STANDARD
0.0,0,1647.2320556640625,R_A4,37,20,301.1498107910156,48,0.8338471055030823,2018-01-01,30,301.1498107910156,STANDARD
0.0,0,1649.1929931640625,R_A4,38,21,301.28131103515625,48,0.3444528877735138,2018-01-01,30,301.28131103515625,STANDARD
0.0,0,1653.59814453125,R_A4,38,22,301.5767517089844,47,0.6481541991233826,2018-01-01,30,301.5767517089844,STANDARD
0.0,0,1659.08740234375,R_A4,38,23,301.9449157714844,47,0.1400728076696396,2018-01-01,31,301.9449157714844,STANDARD
0.0,0,1683.97314453125,R_A5,31,1,303.7442626953125,20,1.0,2018-01-01,1,303.7442626953125,STANDARD
0.0,0,1686.194091796875,R_A5,31,2,303.9547119140625,20,1.0,2018-01-01,2,303.9547119140625,STANDARD
0.0,0,1688.4150390625,R_A5,31,3,304.1651916503906,20,1.0,2018-01-01,3,304.1651916503906,STANDARD
0.0,0,1690.6361083984375,R_A5,31,4,304.37567138671875,20,1.0,2018-01-01,4,304.37567138671875,STANDARD
0.0,0,1692.8570556640625,R_A5,31,5,304.5861511230469,20,1.0,2018-01-01,5,304.5861511230469,STANDARD
0.0,0,1695.078125,R_A5,31,6,304.7966003417969,20,1.0,2018-01-01,6,304.7966003417969,STANDARD
0.0,0,1697.299072265625,R_A5,31,7,305.3128662109375,20,1.0,2018-01-01,7,305.3128662109375,STANDARD
0.0,0,1701.082275390625,R_A5,31,8,305.36572265625,21,1.0,2018-01-01,11,305.36572265625,STANDARD
0.0,0,1703.1090087890625,R_A5,31,9,305.55780029296875,21,1.0,2018-01-01,12,305.55780029296875,STANDARD
0.0,0,1705.1357421875,R_A5,31,10,305.7618408203125,21,1.0,2018-01-01,13,305.7618408203125,STANDARD
0.0,0,1707.1624755859375,R_A5,31,11,305.95391845703125,21,1.0,2018-01-01,14,305.95391845703125,STANDARD
0.0,0,1709.189208984375,R_A5,31,12,306.14599609375,21,1.0,2018-01-01,15,306.14599609375,STANDARD
0.0,0,1711.2159423828125,R_A5,31,13,306.48309326171875,21,1.0,2018-01-01,16,306.48309326171875,STANDARD
0.0,0,1713.24267578125,R_A5,31,14,306.6751708984375,21,1.0,2018-01-01,17,306.6751708984375,STANDARD
0.0,0,1714.812255859375,R_A5,31,15,306.82391357421875,21,1.0,2018-01-01,18,306.82391357421875,STANDARD
0.0,0,1715.62109375,R_A5,31,16,306.90057373046875,21,1.0,2018-01-01,19,306.90057373046875,STANDARD
0.0,0,1716.0419921875,R_A5,31,17,306.9404602050781,21,1.0,2018-01-01,20,306.9404602050781,STANDARD
0.0,0,1717.34423828125,R_A5,31,18,306.90679931640625,21,1.0,2018-01-01,27,306.90679931640625,STANDARD
0.0,0,1719.6123046875,R_A5,31,19,307.1217346191406,21,1.0,2018-01-01,28,307.1217346191406,STANDARD
0.0,0,1721.88037109375,R_A5,31,20,307.6424865722656,21,1.0,2018-01-01,29,307.6424865722656,STANDARD
0.0,0,1724.1483154296875,R_A5,31,21,307.8574523925781,21,1.0,2018-01-01,30,307.8574523925781,STANDARD
0.0,0,1726.4163818359375,R_A5,31,22,308.0724182128906,21,1.0,2018-01-01,31,308.0724182128906,STANDARD
0.0,0,1694.3516845703125,R_A6,17,1,305.0335693359375,42,1.0,2018-01-01,1,305.0335693359375,STANDARD
0.0,0,1695.8812255859375,R_A6,17,2,305.17852783203125,42,1.0,2018-01-01,2,305.17852783203125,STANDARD
