PRESSURE,DATE,SWAT,CONKPOS,CONIDX,DRAWDOWN,CONIPOS,WELLMODEL,WELL,CONBPRES,DEPTH,SGAS,CONJPOS
300.0257568359375,2018-01-01,0.04776696860790253,1,1,0,30,STANDARD,R_A4,300.0257568359375,1629.91552734375,0.0,52
299.70574951171875,2018-01-01,0.049400489777326584,1,2,0,31,STANDARD,R_A4,299.70574951171875,1625.141845703125,0.0,52
299.84661865234375,2018-01-01,0.04901442676782608,2,3,0,31,STANDARD,R_A4,299.84661865234375,1627.243408203125,0.0,52
299.9875183105469,2018-01-01,0.0507664829492569,3,4,0,31,STANDARD,R_A4,299.9875183105469,1629.3450927734375,0.0,52
300.12841796875,2018-01-01,0.05287806689739227,4,5,0,31,STANDARD,R_A4,300.12841796875,1631.44677734375,0.0,52
300.2693176269531,2018-01-01,0.05438179522752762,5,6,0,31,STANDARD,R_A4,300.2693176269531,1633.54833984375,0.0,52
300.2604675292969,2018-01-01,0.05424937233328819,5,7,0,32,STANDARD,R_A4,300.2604675292969,1633.4161376953125,0.0,52
300.4233093261719,2018-01-01,0.05610455200076103,5,8,0,32,STANDARD,R_A4,300.4233093261719,1635.844970703125,0.0,51
300.2981872558594,2018-01-01,0.05460819602012634,4,9,0,32,STANDARD,R_A4,300.2981872558594,1633.97900390625,0.0,51
300.5113220214844,2018-01-01,0.05714700371026993,4,10,0,33,STANDARD,R_A4,300.5113220214844,1637.15771484375,0.0,51
300.826171875,2018-01-01,0.06191897764801979,4,11,0,33,STANDARD,R_A4,300.826171875,1641.8533935546875,0.0,50
300.724853515625,2018-01-01,0.0952439233660698,4,12,0,34,STANDARD,R_A4,300.724853515625,1640.3424072265625,0.0,50
300.8441162109375,2018-01-01,0.13567814230918884,4,13,0,35,STANDARD,R_A4,300.8441162109375,1642.120849609375,0.0,50
300.7209167480469,2018-01-01,0.22445331513881683,3,14,0,35,STANDARD,R_A4,300.7209167480469,1640.28369140625,0.0,50
300.5977478027344,2018-01-01,0.26875966787338257,2,15,0,35,STANDARD,R_A4,300.5977478027344,1638.4464111328125,0.0,50
300.8907165527344,2018-01-01,0.23066994547843933,2,16,0,35,STANDARD,R_A4,300.8907165527344,1642.8157958984375,0.0,49
300.765380859375,2018-01-01,0.2033955305814743,1,17,0,35,STANDARD,R_A4,300.765380859375,1640.94677734375,0.0,49
301.046142578125,2018-01-01,0.05457838624715805,28,18,0,36,STANDARD,R_A4,301.046142578125,1645.1337890625,0.0,49
300.9389953613281,2018-01-01,0.05487706884741783,28,19,0,36,STANDARD,R_A4,300.9389953613281,1643.535888671875,0.0,48
301.3090515136719,2018-01-01,0.06107700988650322,28,20,0,37,STANDARD,R_A4,301.3090515136719,1649.053955078125,0.0,48
301.5011901855469,2018-01-01,0.05678853392601013,28,21,0,38,STANDARD,R_A4,301.5011901855469,1651.9190673828125,0.0,48
302.06109619140625,2018-01-01,0.11354777961969376,28,22,0,38,STANDARD,R_A4,302.06109619140625,1660.266845703125,0.0,47
303.8947448730469,2018-01-01,1.0,1,1,0,31,STANDARD,R_A5,303.8947448730469,1685.5611572265625,0.0,20
304.0950012207031,2018-01-01,1.0,2,2,0,31,STANDARD,R_A5,304.0950012207031,1687.67431640625,0.0,20
304.2952575683594,2018-01-01,1.0,3,3,0,31,STANDARD,R_A5,304.2952575683594,1689.78759765625,0.0,20
304.4955139160156,2018-01-01,1.0,4,4,0,31,STANDARD,R_A5,304.4955139160156,1691.9007568359375,0.0,20
304.6957702636719,2018-01-01,1.0,5,5,0,31,STANDARD,R_A5,304.6957702636719,1694.013916015625,0.0,20
304.8960266113281,2018-01-01,1.0,6,6,0,31,STANDARD,R_A5,304.8960266113281,1696.1270751953125,0.0,20
305.4020690917969,2018-01-01,1.0,7,7,0,31,STANDARD,R_A5,305.4020690917969,1698.240234375,0.0,20
304.5915222167969,2018-01-01,1.0,8,8,0,31,STANDARD,R_A5,304.5915222167969,1692.913818359375,0.0,21
