CONIDX,DRAWDOWN,CONKPOS,CONBPRES,SWAT,DEPTH,CONJPOS,DATE,CONIPOS,SGAS,PRESSURE,WELL,WELLMODEL
26,0,30,301.48077392578125,0.1964499056339264,1654.67041015625,47,2018-01-01,38,0.0,301.48077392578125,R_A4,STANDARD
1,0,1,303.7040710449219,1.0,1683.5489501953125,20,2018-01-01,31,0.0,303.7040710449219,R_A5,STANDARD
2,0,2,303.9143371582031,1.0,1685.767822265625,20,2018-01-01,31,0.0,303.9143371582031,R_A5,STANDARD
3,0,3,304.12457275390625,1.0,1687.986572265625,20,2018-01-01,31,0.0,304.12457275390625,R_A5,STANDARD
4,0,4,304.3348388671875,1.0,1690.205322265625,20,2018-01-01,31,0.0,304.3348388671875,R_A5,STANDARD
5,0,5,304.54510498046875,1.0,1692.424072265625,20,2018-01-01,31,0.0,304.54510498046875,R_A5,STANDARD
6,0,6,304.75537109375,1.0,1694.6429443359375,20,2018-01-01,31,0.0,304.75537109375,R_A5,STANDARD
7,0,7,305.27142333984375,1.0,1696.86181640625,20,2018-01-01,31,0.0,305.27142333984375,R_A5,STANDARD
8,0,11,305.79669189453125,1.0,1705.629638671875,20,2018-01-01,31,0.0,305.79669189453125,R_A5,STANDARD
9,0,12,305.98663330078125,1.0,1707.634033203125,20,2018-01-01,31,0.0,305.98663330078125,R_A5,STANDARD
10,0,13,306.1885681152344,1.0,1709.638427734375,20,2018-01-01,31,0.0,306.1885681152344,R_A5,STANDARD
11,0,13,305.781005859375,1.0,1705.337890625,21,2018-01-01,31,0.0,305.781005859375,R_A5,STANDARD
12,0,14,305.9626770019531,1.0,1707.2548828125,21,2018-01-01,31,0.0,305.9626770019531,R_A5,STANDARD
13,0,15,306.14434814453125,1.0,1709.171875,21,2018-01-01,31,0.0,306.14434814453125,R_A5,STANDARD
14,0,16,306.4710388183594,1.0,1711.0888671875,21,2018-01-01,31,0.0,306.4710388183594,R_A5,STANDARD
15,0,17,306.6527404785156,1.0,1713.005859375,21,2018-01-01,31,0.0,306.6527404785156,R_A5,STANDARD
16,0,18,306.809814453125,1.0,1714.6634521484375,21,2018-01-01,31,0.0,306.809814453125,R_A5,STANDARD
17,0,28,306.8309631347656,1.0,1716.544189453125,21,2018-01-01,31,0.0,306.8309631347656,R_A5,STANDARD
18,0,29,307.054931640625,1.0,1718.9072265625,21,2018-01-01,31,0.0,307.054931640625,R_A5,STANDARD
19,0,30,307.5846862792969,1.0,1721.2705078125,21,2018-01-01,31,0.0,307.5846862792969,R_A5,STANDARD
20,0,31,307.80865478515625,1.0,1723.633544921875,21,2018-01-01,31,0.0,307.80865478515625,R_A5,STANDARD
21,0,32,308.0326232910156,1.0,1725.9967041015625,21,2018-01-01,31,0.0,308.0326232910156,R_A5,STANDARD
1,0,1,304.8693542480469,1.0,1695.8455810546875,42,2018-01-01,17,0.0,304.8693542480469,R_A6,STANDARD
2,0,2,305.323974609375,1.0,1697.416259765625,42,2018-01-01,17,0.0,305.323974609375,R_A6,STANDARD
3,0,3,305.4728088378906,1.0,1698.9866943359375,42,2018-01-01,17,0.0,305.4728088378906,R_A6,STANDARD
4,0,4,305.62164306640625,1.0,1700.5572509765625,42,2018-01-01,17,0.0,305.62164306640625,R_A6,STANDARD
5,0,5,305.7704772949219,1.0,1702.1278076171875,42,2018-01-01,17,0.0,305.7704772949219,R_A6,STANDARD
6,0,6,305.9193420410156,1.0,1703.698486328125,42,2018-01-01,17,0.0,305.9193420410156,R_A6,STANDARD
7,0,7,305.7691345214844,1.0,1705.26904296875,42,2018-01-01,17,0.0,305.7691345214844,R_A6,STANDARD
8,0,8,305.91796875,1.0,1706.839599609375,42,2018-01-01,17,0.0,305.91796875,R_A6,STANDARD
9,0,9,306.3658752441406,1.0,1708.41015625,42,2018-01-01,17,0.0,306.3658752441406,R_A6,STANDARD
10,0,10,306.20892333984375,1.0,1709.980712890625,42,2018-01-01,17,0.0,306.20892333984375,R_A6,STANDARD
11,0,11,306.3963317871094,1.0,1711.9569091796875,42,2018-01-01,17,0.0,306.3963317871094,R_A6,STANDARD
12,0,12,306.6220397949219,1.0,1714.3385009765625,42,2018-01-01,17,0.0,306.6220397949219,R_A6,STANDARD
13,0,13,306.8597412109375,1.0,1716.72021484375,42,2018-01-01,17,0.0,306.8597412109375,R_A6,STANDARD
14,0,14,307.08544921875,1.0,1719.101806640625,42,2018-01-01,17,0.0,307.08544921875,R_A6,STANDARD
15,0,15,307.3111572265625,1.0,1721.4833984375,42,2018-01-01,17,0.0,307.3111572265625,R_A6,STANDARD
16,0,16,307.6819152832031,1.0,1723.8651123046875,42,2018-01-01,17,0.0,307.6819152832031,R_A6,STANDARD
17,0,17,307.90765380859375,1.0,1726.246826171875,42,2018-01-01,17,0.0,307.90765380859375,R_A6,STANDARD
18,0,18,308.04656982421875,1.0,1727.712646484375,42,2018-01-01,17,0.0,308.04656982421875,R_A6,STANDARD
19,0,28,307.9985046386719,1.0,1728.8631591796875,42,2018-01-01,17,0.0,307.9985046386719,R_A6,STANDARD
20,0,29,308.16448974609375,1.0,1730.6142578125,42,2018-01-01,17,0.0,308.16448974609375,R_A6,STANDARD
21,0,30,308.63623046875,1.0,1732.3653564453125,42,2018-01-01,17,0.0,308.63623046875,R_A6,STANDARD
22,0,31,308.4964294433594,1.0,1734.116455078125,42,2018-01-01,17,0.0,308.4964294433594,R_A6,STANDARD
23,0,32,308.6623840332031,1.0,1735.867431640625,42,2018-01-01,17,0.0,308.6623840332031,R_A6,STANDARD
1,0,1,299.0571594238281,0.06217241287231445,1643.8045654296875,30,2018-03-01,22,0.0,299.0571594238281,R_A2,STANDARD
2,0,2,299.17529296875,0.06509626656770706,1645.5672607421875,30,2018-03-01,22,0.0,299.17529296875,R_A2,STANDARD
3,0,3,299.29345703125,0.06932229548692703,1647.3299560546875,30,2018-03-01,22,0.0,299.29345703125,R_A2,STANDARD
4,0,4,299.4117126464844,0.07535919547080994,1649.0926513671875,30,2018-03-01,22,0.0,299.4117126464844,R_A2,STANDARD
5,0,5,299.5299377441406,0.0807330384850502,1650.8553466796875,30,2018-03-01,22,0.0,299.5299377441406,R_A2,STANDARD
6,0,6,299.64813232421875,0.2498369663953781,1652.617919921875,30,2018-03-01,22,0.0,299.64813232421875,R_A2,STANDARD
7,0,7,299.7707824707031,0.9276779294013977,1654.380615234375,30,2018-03-01,22,0.0,299.7707824707031,R_A2,STANDARD
8,0,8,299.8924255371094,0.9241011142730713,1656.143310546875,30,2018-03-01,22,0.0,299.8924255371094,R_A2,STANDARD
9,0,9,300.1697082519531,0.948333740234375,1657.906005859375,30,2018-03-01,22,0.0,300.1697082519531,R_A2,STANDARD
10,0,10,300.4530334472656,0.9486544132232666,1659.668701171875,30,2018-03-01,22,0.0,300.4530334472656,R_A2,STANDARD
11,0,11,300.86541748046875,0.09318065643310547,1661.6319580078125,30,2018-03-01,22,0.0,300.86541748046875,R_A2,STANDARD
12,0,12,301.01055908203125,0.0997980460524559,1663.796142578125,30,2018-03-01,22,0.0,301.01055908203125,R_A2,STANDARD
13,0,13,301.1564025878906,0.5325273275375366,1665.960205078125,30,2018-03-01,22,0.0,301.1564025878906,R_A2,STANDARD
14,0,14,301.3035888671875,0.6423953771591187,1668.124267578125,30,2018-03-01,22,0.0,301.3035888671875,R_A2,STANDARD
15,0,15,301.4496154785156,1.0,1670.288330078125,30,2018-03-01,22,-1.8496123521671848e-09,301.4496154785156,R_A2,STANDARD
16,0,16,301.5956115722656,1.0,1672.452392578125,30,2018-03-01,22,-1.7322258072383079e-09,301.5956115722656,R_A2,STANDARD
17,0,17,301.93701171875,0.9999999403953552,1674.616455078125,30,2018-03-01,22,-4.375634521380789e-09,301.93701171875,R_A2,STANDARD
18,0,18,302.0885009765625,1.0,1676.215087890625,30,2018-03-01,22,-2.1233004243725873e-09,302.0885009765625,R_A2,STANDARD
19,0,28,302.011474609375,1.0,1677.610107421875,30,2018-03-01,22,-3.8293663379151965e-11,302.011474609375,R_A2,STANDARD
20,0,28,302.3919677734375,1.0,1678.389404296875,29,2018-03-01,22,-1.8587521811026493e-15,302.3919677734375,R_A2,STANDARD
21,0,29,303.2086181640625,1.0,1680.2042236328125,29,2018-03-01,22,-4.061890912020834e-17,303.2086181640625,R_A2,STANDARD
22,0,30,302.97442626953125,1.0,1682.01904296875,29,2018-03-01,22,-9.920476983296678e-15,302.97442626953125,R_A2,STANDARD
23,0,31,303.6138000488281,1.0,1683.8338623046875,29,2018-03-01,22,-1.2736152624243017e-18,303.6138000488281,R_A2,STANDARD
24,0,32,303.9813232421875,1.0,1685.648681640625,29,2018-03-01,22,-3.335905414598193e-19,303.9813232421875,R_A2,STANDARD
1,0,1,264.9835510253906,1.0,1683.5489501953125,20,2018-04-28,31,-1.22467005500135e-18,264.9835510253906,R_A5,STANDARD
2,0,2,265.1934509277344,1.0,1685.767822265625,20,2018-04-28,31,-1.2570379425632796e-18,265.1934509277344,R_A5,STANDARD
3,0,3,265.4033508300781,1.0,1687.986572265625,20,2018-04-28,31,-1.3042554798793378e-18,265.4033508300781,R_A5,STANDARD
4,0,4,265.6132507324219,1.0,1690.205322265625,20,2018-04-28,31,-3.1758932704604627e-19,265.6132507324219,R_A5,STANDARD
5,0,5,265.8232116699219,1.0,1692.424072265625,20,2018-04-28,31,-8.231151749386944e-19,265.8232116699219,R_A5,STANDARD
6,0,6,266.0332336425781,1.0,1694.6429443359375,20,2018-04-28,31,-9.61944877950167e-19,266.0332336425781,R_A5,STANDARD
7,0,7,266.5625,1.0,1696.86181640625,20,2018-04-28,31,-3.391933669440034e-21,266.5625,R_A5,STANDARD
8,0,11,261.6277770996094,1.0,1705.629638671875,20,2018-04-28,31,-7.312164383103253e-14,261.6277770996094,R_A5,STANDARD
9,0,12,261.8943176269531,1.0,1707.634033203125,20,2018-04-28,31,-1.0031548508537824e-11,261.8943176269531,R_A5,STANDARD
10,0,13,262.0978088378906,1.0,1709.638427734375,20,2018-04-28,31,-5.858491317935199e-13,262.0978088378906,R_A5,STANDARD
11,0,13,261.37255859375,1.0,1705.337890625,21,2018-04-28,31,-2.3526593000144924e-12,261.37255859375,R_A5,STANDARD
12,0,14,261.5545959472656,1.0,1707.2548828125,21,2018-04-28,31,-2.100377814381882e-12,261.5545959472656,R_A5,STANDARD
13,0,15,261.7370910644531,1.0,1709.171875,21,2018-04-28,31,-1.1319634465878359e-12,261.7370910644531,R_A5,STANDARD
14,0,16,262.0734558105469,1.0,1711.0888671875,21,2018-04-28,31,-2.302413088742933e-13,262.0734558105469,R_A5,STANDARD
15,0,17,262.2734375,1.0,1713.005859375,21,2018-04-28,31,-2.892897781135023e-13,262.2734375,R_A5,STANDARD
16,0,18,262.4431457519531,1.0,1714.6634521484375,21,2018-04-28,31,-4.96218463454795e-13,262.4431457519531,R_A5,STANDARD
17,0,28,269.2983703613281,1.0,1716.544189453125,21,2018-04-28,31,-4.574484454428207e-12,269.2983703613281,R_A5,STANDARD
18,0,29,269.5655212402344,1.0,1718.9072265625,21,2018-04-28,31,-4.930889464099808e-12,269.5655212402344,R_A5,STANDARD
19,0,30,270.2481384277344,1.0,1721.2705078125,21,2018-04-28,31,-1.7279036274714388e-12,270.2481384277344,R_A5,STANDARD
20,0,31,283.518310546875,1.0,1723.633544921875,21,2018-04-28,31,-1.920923001826752e-14,283.518310546875,R_A5,STANDARD
21,0,32,298.2606201171875,1.0,1725.9967041015625,21,2018-04-28,31,-1.847762173457486e-17,298.2606201171875,R_A5,STANDARD
1,0,1,288.49896240234375,0.155146062374115,1608.5509033203125,41,2018-07-03,28,0.0,288.49896240234375,R_A3,STANDARD
2,0,2,288.63189697265625,0.200326070189476,1610.538818359375,41,2018-07-03,28,0.0,288.63189697265625,R_A3,STANDARD
3,0,3,288.7648620605469,0.1991930902004242,1612.52685546875,41,2018-07-03,28,0.0,288.7648620605469,R_A3,STANDARD
4,0,4,288.89794921875,0.3250943720340729,1614.514892578125,41,2018-07-03,28,0.0,288.89794921875,R_A3,STANDARD
5,0,5,289.0439147949219,0.7098214030265808,1616.5029296875,41,2018-07-03,28,0.0,289.0439147949219,R_A3,STANDARD
6,0,5,288.6053466796875,0.8175405263900757,1608.8409423828125,41,2018-07-03,29,0.0,288.6053466796875,R_A3,STANDARD
7,0,6,288.66510009765625,0.6489406824111938,1610.79931640625,41,2018-07-03,29,0.0,288.66510009765625,R_A3,STANDARD
8,0,7,288.7920227050781,0.20173555612564087,1612.757568359375,41,2018-07-03,29,0.0,288.7920227050781,R_A3,STANDARD
9,0,8,288.9229431152344,0.20290575921535492,1614.7159423828125,41,2018-07-03,29,0.0,288.9229431152344,R_A3,STANDARD
10,0,9,289.10308837890625,0.8085988163948059,1616.6741943359375,41,2018-07-03,29,0.0,289.10308837890625,R_A3,STANDARD
11,0,10,289.9850769042969,0.8131969571113586,1618.632568359375,41,2018-07-03,29,0.0,289.9850769042969,R_A3,STANDARD
12,0,11,291.2815246582031,0.04950527474284172,1620.7803955078125,41,2018-07-03,29,0.0,291.2815246582031,R_A3,STANDARD
13,0,12,291.4378662109375,0.05728454142808914,1623.1177978515625,41,2018-07-03,29,0.0,291.4378662109375,R_A3,STANDARD
14,0,13,291.5946350097656,0.3798872232437134,1625.455078125,41,2018-07-03,29,0.0,291.5946350097656,R_A3,STANDARD
15,0,15,291.7941589355469,0.5096678137779236,1630.129638671875,41,2018-07-03,29,0.0,291.7941589355469,R_A3,STANDARD
16,0,16,291.8988342285156,0.8136011362075806,1631.830078125,41,2018-07-03,29,0.0,291.8988342285156,R_A3,STANDARD
17,0,28,286.6546630859375,0.12389466166496277,1634.1224365234375,41,2018-07-03,29,0.0,286.6546630859375,R_A3,STANDARD
18,0,29,286.87677001953125,0.046748705208301544,1637.6434326171875,41,2018-07-03,29,0.0,286.87677001953125,R_A3,STANDARD
19,0,30,287.11175537109375,0.054706405848264694,1641.16455078125,41,2018-07-03,29,0.0,287.11175537109375,R_A3,STANDARD
20,0,31,289.3122863769531,0.9999999403953552,1644.685546875,41,2018-07-03,29,-4.513635243341696e-09,289.3122863769531,R_A3,STANDARD
21,0,32,287.5906066894531,0.07026901841163635,1648.2066650390625,41,2018-07-03,29,0.0,287.5906066894531,R_A3,STANDARD
1,0,1,278.41082763671875,0.05239215865731239,1628.166259765625,52,2018-09-12,30,0.0,278.41082763671875,R_A4,STANDARD
2,0,1,278.55499267578125,0.05204718932509422,1627.7958984375,52,2018-09-12,31,0.0,278.55499267578125,R_A4,STANDARD
3,0,2,278.6913757324219,0.05435418710112572,1629.8421630859375,52,2018-09-12,31,0.0,278.6913757324219,R_A4,STANDARD
4,0,3,278.82763671875,0.056338466703891754,1631.8885498046875,52,2018-09-12,31,0.0,278.82763671875,R_A4,STANDARD
5,0,3,278.97930908203125,0.05506221204996109,1631.869140625,52,2018-09-12,32,0.0,278.97930908203125,R_A4,STANDARD
6,0,4,279.108154296875,0.05847063288092613,1633.8062744140625,52,2018-09-12,32,0.0,279.108154296875,R_A4,STANDARD
7,0,5,279.237060546875,0.059922974556684494,1635.7435302734375,52,2018-09-12,32,0.0,279.237060546875,R_A4,STANDARD
8,0,5,278.9203796386719,0.13303454220294952,1634.8753662109375,51,2018-09-12,32,0.0,278.9203796386719,R_A4,STANDARD
9,0,5,278.96533203125,0.1442316472530365,1635.56787109375,51,2018-09-12,33,0.0,278.96533203125,R_A4,STANDARD
10,0,6,279.1268310546875,0.6495289206504822,1637.4613037109375,51,2018-09-12,33,0.0,279.1268310546875,R_A4,STANDARD
11,0,6,278.6097412109375,0.6495501399040222,1638.677978515625,50,2018-09-12,33,0.0,278.6097412109375,R_A4,STANDARD
12,0,6,278.9217224121094,0.6984028220176697,1640.9466552734375,50,2018-09-12,34,0.0,278.9217224121094,R_A4,STANDARD
13,0,5,278.6312255859375,0.06631144881248474,1639.091552734375,50,2018-09-12,34,0.0,278.6312255859375,R_A4,STANDARD
14,0,4,278.50787353515625,0.14332230389118195,1637.236572265625,50,2018-09-12,34,0.0,278.50787353515625,R_A4,STANDARD
15,0,4,279.1524353027344,0.15281376242637634,1643.20458984375,50,2018-09-12,35,0.0,279.1524353027344,R_A4,STANDARD
16,0,3,279.0329895019531,0.24547454714775085,1641.40087890625,50,2018-09-12,35,0.0,279.0329895019531,R_A4,STANDARD
17,0,3,278.6746520996094,0.11820915341377258,1641.3134765625,49,2018-09-12,35,0.0,278.6746520996094,R_A4,STANDARD
18,0,2,278.5519714355469,0.24166446924209595,1639.459228515625,49,2018-09-12,35,0.0,278.5519714355469,R_A4,STANDARD
19,0,1,278.42913818359375,0.22894248366355896,1637.6048583984375,49,2018-09-12,35,0.0,278.42913818359375,R_A4,STANDARD
20,0,32,285.5003967285156,0.06919889152050018,1647.6490478515625,49,2018-09-12,36,0.0,285.5003967285156,R_A4,STANDARD
21,0,31,285.0955505371094,0.18685562908649445,1641.442138671875,49,2018-09-12,36,0.0,285.0955505371094,R_A4,STANDARD
22,0,31,284.9470520019531,0.15228517353534698,1636.9893798828125,48,2018-09-12,36,0.0,284.9470520019531,R_A4,STANDARD
23,0,31,285.4049987792969,0.6505496501922607,1646.180908203125,48,2018-09-12,37,0.0,285.4049987792969,R_A4,STANDARD
24,0,31,285.8133239746094,0.6514583826065063,1654.35205078125,48,2018-09-12,38,0.0,285.8133239746094,R_A4,STANDARD
25,0,31,286.3793029785156,0.275023490190506,1660.4296875,47,2018-09-12,38,0.0,286.3793029785156,R_A4,STANDARD
26,0,30,285.9938659667969,0.22428086400032043,1654.67041015625,47,2018-09-12,38,0.0,285.9938659667969,R_A4,STANDARD
1,0,1,273.3009033203125,1.0,1695.8455810546875,42,2018-11-07,17,-1.194979393215334e-10,273.3009033203125,R_A6,STANDARD
2,0,2,273.7479553222656,1.0,1697.416259765625,42,2018-11-07,17,-3.212206434004272e-13,273.7479553222656,R_A6,STANDARD
3,0,3,273.87713623046875,1.0,1698.9866943359375,42,2018-11-07,17,-2.3250851114223203e-13,273.87713623046875,R_A6,STANDARD
4,0,4,273.99359130859375,1.0,1700.5572509765625,42,2018-11-07,17,-1.788320739323085e-13,273.99359130859375,R_A6,STANDARD
5,0,5,274.1087646484375,1.0,1702.1278076171875,42,2018-11-07,17,-2.931193157119927e-13,274.1087646484375,R_A6,STANDARD
6,0,6,274.23858642578125,1.0,1703.698486328125,42,2018-11-07,17,-3.4639797540786388e-12,274.23858642578125,R_A6,STANDARD
7,0,7,274.0709533691406,1.0,1705.26904296875,42,2018-11-07,17,-2.7199738988903377e-11,274.0709533691406,R_A6,STANDARD
8,0,8,274.20892333984375,1.0,1706.839599609375,42,2018-11-07,17,-1.8201013612939576e-11,274.20892333984375,R_A6,STANDARD
