CONIDX,SGAS,SWAT,PRESSURE,CONKPOS,DRAWDOWN,WELLMODEL,DEPTH,WELL,CONJPOS,CONIPOS,CONBPRES,DATE
2,0.0,0.19968974590301514,298.676513671875,2,0,STANDARD,1611.3077392578125,R_A3,41,28,298.676513671875,2018-01-01
3,0.0,0.19958947598934174,298.8148498535156,3,0,STANDARD,1613.3720703125,R_A3,41,28,298.8148498535156,2018-01-01
4,0.0,0.37015843391418457,298.9532165527344,4,0,STANDARD,1615.4365234375,R_A3,41,28,298.9532165527344,2018-01-01
5,0.0,0.8261942863464355,299.0915832519531,5,0,STANDARD,1617.5008544921875,R_A3,41,28,299.0915832519531,2018-01-01
6,0.0,0.2662692070007324,299.2299499511719,6,0,STANDARD,1619.565185546875,R_A3,41,28,299.2299499511719,2018-01-01
7,0.0,0.6481541991233826,298.54638671875,6,0,STANDARD,1609.3663330078125,R_A3,41,29,298.54638671875,2018-01-01
8,0.0,0.19361057877540588,298.68377685546875,7,0,STANDARD,1611.4163818359375,R_A3,41,29,298.68377685546875,2018-01-01
9,0.0,0.19695129990577698,298.8211669921875,8,0,STANDARD,1613.46630859375,R_A3,41,29,298.8211669921875,2018-01-01
10,0.0,0.7978300452232361,298.95855712890625,9,0,STANDARD,1615.516357421875,R_A3,41,29,298.95855712890625,2018-01-01
11,0.0,0.8037355542182922,299.095947265625,10,0,STANDARD,1617.5662841796875,R_A3,41,29,299.095947265625,2018-01-01
12,0.0,0.0496298223733902,299.24237060546875,11,0,STANDARD,1619.750732421875,R_A3,41,29,299.24237060546875,2018-01-01
13,0.0,0.053643446415662766,299.3978271484375,12,0,STANDARD,1622.0697021484375,R_A3,41,29,299.3978271484375,2018-01-01
14,0.0,0.37673479318618774,299.5532531738281,13,0,STANDARD,1624.388671875,R_A3,41,29,299.5532531738281,2018-01-01
15,0.0,0.5016454458236694,299.8641662597656,15,0,STANDARD,1629.026611328125,R_A3,41,29,299.8641662597656,2018-01-01
16,0.0,0.8152031302452087,299.992919921875,16,0,STANDARD,1630.9468994140625,R_A3,41,29,299.992919921875,2018-01-01
17,0.0,0.7525281310081482,300.16583251953125,27,0,STANDARD,1633.5262451171875,R_A3,41,29,300.16583251953125,2018-01-01
18,0.0,0.04628218337893486,300.40966796875,28,0,STANDARD,1637.1630859375,R_A3,41,29,300.40966796875,2018-01-01
19,0.0,0.05226979777216911,300.6535339355469,29,0,STANDARD,1640.8001708984375,R_A3,41,29,300.6535339355469,2018-01-01
20,0.0,0.8057911992073059,300.89739990234375,30,0,STANDARD,1644.4371337890625,R_A3,41,29,300.89739990234375,2018-01-01
21,0.0,0.13994601368904114,301.14129638671875,31,0,STANDARD,1648.0740966796875,R_A3,41,29,301.14129638671875,2018-01-01
1,0.0,0.05151934176683426,300.009033203125,1,0,STANDARD,1631.1873779296875,R_A4,52,30,300.009033203125,2018-01-01
2,0.0,0.04863721504807472,299.7571105957031,1,0,STANDARD,1627.4293212890625,R_A4,52,31,299.7571105957031,2018-01-01
3,0.0,0.0520753338932991,299.89520263671875,2,0,STANDARD,1629.4896240234375,R_A4,52,31,299.89520263671875,2018-01-01
4,0.0,0.05323897302150726,300.0333251953125,3,0,STANDARD,1631.5498046875,R_A4,52,31,300.0333251953125,2018-01-01
5,0.0,0.0529385581612587,300.17144775390625,4,0,STANDARD,1633.610107421875,R_A4,52,31,300.17144775390625,2018-01-01
6,0.0,0.056289657950401306,300.0901184082031,4,0,STANDARD,1632.3968505859375,R_A4,52,32,300.0901184082031,2018-01-01
7,0.0,0.057290755212306976,300.3236999511719,4,0,STANDARD,1635.880615234375,R_A4,51,32,300.3236999511719,2018-01-01
8,0.0,0.05848418176174164,300.4202575683594,4,0,STANDARD,1637.321044921875,R_A4,51,33,300.4202575683594,2018-01-01
9,0.0,0.056494034826755524,300.29644775390625,3,0,STANDARD,1635.474609375,R_A4,51,33,300.29644775390625,2018-01-01
10,0.0,0.06261570006608963,300.74395751953125,4,0,STANDARD,1642.1485595703125,R_A4,50,33,300.74395751953125,2018-01-01
11,0.0,0.06255142390727997,300.67578125,4,0,STANDARD,1641.132080078125,R_A4,50,34,300.67578125,2018-01-01
12,0.0,0.09832502156496048,300.5467224121094,3,0,STANDARD,1639.20703125,R_A4,50,34,300.5467224121094,2018-01-01
13,0.0,0.0954970121383667,300.66064453125,3,0,STANDARD,1640.9061279296875,R_A4,50,35,300.66064453125,2018-01-01
14,0.0,0.16065853834152222,300.53570556640625,2,0,STANDARD,1639.0426025390625,R_A4,50,35,300.53570556640625,2018-01-01
15,0.0,0.2374390959739685,300.72943115234375,2,0,STANDARD,1641.93212890625,R_A4,49,35,300.72943115234375,2018-01-01
16,0.0,0.24230048060417175,300.7579650878906,30,0,STANDARD,1642.357421875,R_A4,49,36,300.7579650878906,2018-01-01
17,0.0,0.19549621641635895,300.5735168457031,30,0,STANDARD,1639.6068115234375,R_A4,48,36,300.5735168457031,2018-01-01
18,0.0,0.2985859513282776,301.0526123046875,30,0,STANDARD,1646.7513427734375,R_A4,48,37,301.0526123046875,2018-01-01
19,0.0,0.6481541991233826,301.5025939941406,30,0,STANDARD,1653.461669921875,R_A4,48,38,301.5025939941406,2018-01-01
20,0.0,0.6481541991233826,301.7947998046875,30,0,STANDARD,1657.8184814453125,R_A4,47,38,301.7947998046875,2018-01-01
1,0.0,1.0,303.8440856933594,1,0,STANDARD,1685.026611328125,R_A5,20,31,303.8440856933594,2018-01-01
2,0.0,1.0,304.0601806640625,2,0,STANDARD,1687.3070068359375,R_A5,20,31,304.0601806640625,2018-01-01
3,0.0,1.0,304.27630615234375,3,0,STANDARD,1689.5875244140625,R_A5,20,31,304.27630615234375,2018-01-01
4,0.0,1.0,304.4924011230469,4,0,STANDARD,1691.8680419921875,R_A5,20,31,304.4924011230469,2018-01-01
5,0.0,1.0,304.7085266113281,5,0,STANDARD,1694.1485595703125,R_A5,20,31,304.7085266113281,2018-01-01
6,0.0,1.0,304.9246520996094,6,0,STANDARD,1696.4290771484375,R_A5,20,31,304.9246520996094,2018-01-01
7,0.0,1.0,305.446533203125,7,0,STANDARD,1698.70947265625,R_A5,20,31,305.446533203125,2018-01-01
8,0.0,1.0,305.988037109375,11,0,STANDARD,1707.6488037109375,R_A5,20,31,305.988037109375,2018-01-01
9,0.0,1.0,306.1695251464844,12,0,STANDARD,1709.5638427734375,R_A5,20,31,306.1695251464844,2018-01-01
