CONIDX,SGAS,SWAT,PRESSURE,CONKPOS,DRAWDOWN,WELLMODEL,DEPTH,WELL,CONJPOS,CONIPOS,CONBPRES,DATE
13,-2.1727324186336823e-16,1.0,278.0340576171875,13,0,STANDARD,1715.623046875,R_A6,42,17,278.0340576171875,2018-11-07
14,-1.6872107509873532e-16,1.0,278.25042724609375,14,0,STANDARD,1717.9068603515625,R_A6,42,17,278.25042724609375,2018-11-07
15,-1.0752510856409456e-16,1.0,278.46783447265625,15,0,STANDARD,1720.190673828125,R_A6,42,17,278.46783447265625,2018-11-07
16,-4.865806242665195e-17,1.0,278.83209228515625,16,0,STANDARD,1722.474365234375,R_A6,42,17,278.83209228515625,2018-11-07
17,-6.874274554454586e-17,1.0,279.05126953125,17,0,STANDARD,1724.7581787109375,R_A6,42,17,279.05126953125,2018-11-07
18,-5.4393438317796574e-17,1.0,279.2074279785156,18,0,STANDARD,1726.394287109375,R_A6,42,17,279.2074279785156,2018-11-07
19,-7.834615152002653e-15,1.0,279.1820373535156,27,0,STANDARD,1727.7508544921875,R_A6,42,17,279.1820373535156,2018-11-07
20,-6.090103363287375e-15,1.0,279.6958312988281,28,0,STANDARD,1729.4755859375,R_A6,42,17,279.6958312988281,2018-11-07
21,-2.974727275261085e-20,1.0,280.596435546875,29,0,STANDARD,1731.2001953125,R_A6,42,17,280.596435546875,2018-11-07
22,-2.9363562730375682e-21,1.0,280.87835693359375,30,0,STANDARD,1732.9249267578125,R_A6,42,17,280.87835693359375,2018-11-07
23,-2.9362460644041365e-16,1.0,279.83221435546875,31,0,STANDARD,1734.649658203125,R_A6,42,17,279.83221435546875,2018-11-07
