CONIDX,SGAS,SWAT,WELLMODEL,CONIPOS,DEPTH,DRAWDOWN,CONKPOS,CONBPRES,CONJPOS,DATE,PRESSURE,WELL
13,0.0,0.0566188283264637,STANDARD,29,1622.0697021484375,0,12,299.2681579589844,41,2018-01-01,299.2681579589844,R_A3
14,0.0,0.37562498450279236,STANDARD,29,1624.388671875,0,13,299.4236145019531,41,2018-01-01,299.4236145019531,R_A3
15,0.0,0.5107476115226746,STANDARD,29,1629.026611328125,0,15,299.7344970703125,41,2018-01-01,299.7344970703125,R_A3
16,0.0,0.8197980523109436,STANDARD,29,1630.9468994140625,0,16,299.8632507324219,41,2018-01-01,299.8632507324219,R_A3
17,0.0,0.6481541991233826,STANDARD,29,1633.5262451171875,0,27,300.0361633300781,41,2018-01-01,300.0361633300781,R_A3
18,0.0,0.04949374869465828,STANDARD,29,1637.1630859375,0,28,300.2799987792969,41,2018-01-01,300.2799987792969,R_A3
19,0.0,0.05547858029603958,STANDARD,29,1640.8001708984375,0,29,300.5238342285156,41,2018-01-01,300.5238342285156,R_A3
20,0.0,0.6740128397941589,STANDARD,29,1644.4371337890625,0,30,300.7677001953125,41,2018-01-01,300.7677001953125,R_A3
21,0.0,0.07128722220659256,STANDARD,29,1648.0740966796875,0,31,301.0115661621094,41,2018-01-01,301.0115661621094,R_A3
1,0.0,0.054192155599594116,STANDARD,30,1631.1873779296875,0,1,299.8793640136719,52,2018-01-01,299.8793640136719,R_A4
2,0.0,0.05157474800944328,STANDARD,31,1627.4293212890625,0,1,299.62744140625,52,2018-01-01,299.62744140625,R_A4
3,0.0,0.0546790175139904,STANDARD,31,1629.4896240234375,0,2,299.7655334472656,52,2018-01-01,299.7655334472656,R_A4
4,0.0,0.056866973638534546,STANDARD,31,1631.5498046875,0,3,299.9036560058594,52,2018-01-01,299.9036560058594,R_A4
5,0.0,0.058724503964185715,STANDARD,31,1633.610107421875,0,4,300.0417785644531,52,2018-01-01,300.0417785644531,R_A4
6,0.0,0.0605570487678051,STANDARD,32,1632.3968505859375,0,4,299.96044921875,52,2018-01-01,299.96044921875,R_A4
7,0.0,0.061395470052957535,STANDARD,32,1635.880615234375,0,4,300.1940002441406,51,2018-01-01,300.1940002441406,R_A4
8,0.0,0.06422402709722519,STANDARD,33,1637.321044921875,0,4,300.29058837890625,51,2018-01-01,300.29058837890625,R_A4
9,0.0,0.061472244560718536,STANDARD,33,1635.474609375,0,3,300.1667785644531,51,2018-01-01,300.1667785644531,R_A4
10,0.0,0.2873513400554657,STANDARD,33,1642.1485595703125,0,4,300.6142578125,50,2018-01-01,300.6142578125,R_A4
11,0.0,0.6481541991233826,STANDARD,34,1641.132080078125,0,4,300.54608154296875,50,2018-01-01,300.54608154296875,R_A4
12,0.0,0.10166702419519424,STANDARD,34,1639.20703125,0,3,300.4170227050781,50,2018-01-01,300.4170227050781,R_A4
13,0.0,0.16966842114925385,STANDARD,35,1640.9061279296875,0,3,300.53094482421875,50,2018-01-01,300.53094482421875,R_A4
14,0.0,0.19566760957241058,STANDARD,35,1639.0426025390625,0,2,300.406005859375,50,2018-01-01,300.406005859375,R_A4
15,0.0,0.24933688342571259,STANDARD,35,1641.93212890625,0,2,300.5997314453125,49,2018-01-01,300.5997314453125,R_A4
16,0.0,0.1007455438375473,STANDARD,36,1642.357421875,0,30,300.6282653808594,49,2018-01-01,300.6282653808594,R_A4
17,0.0,0.0608440563082695,STANDARD,36,1639.6068115234375,0,30,300.4438171386719,48,2018-01-01,300.4438171386719,R_A4
18,0.0,0.06758522987365723,STANDARD,37,1646.7513427734375,0,30,300.9228820800781,48,2018-01-01,300.9228820800781,R_A4
19,0.0,0.6481541991233826,STANDARD,38,1653.461669921875,0,30,301.3728942871094,48,2018-01-01,301.3728942871094,R_A4
20,0.0,0.18166986107826233,STANDARD,38,1657.8184814453125,0,30,301.6650695800781,47,2018-01-01,301.6650695800781,R_A4
1,0.0,1.0,STANDARD,31,1685.026611328125,0,1,303.8440856933594,20,2018-01-01,303.8440856933594,R_A5
2,0.0,1.0,STANDARD,31,1687.3070068359375,0,2,304.0601806640625,20,2018-01-01,304.0601806640625,R_A5
3,0.0,1.0,STANDARD,31,1689.5875244140625,0,3,304.27630615234375,20,2018-01-01,304.27630615234375,R_A5
4,0.0,1.0,STANDARD,31,1691.8680419921875,0,4,304.4924011230469,20,2018-01-01,304.4924011230469,R_A5
5,0.0,1.0,STANDARD,31,1694.1485595703125,0,5,304.7085266113281,20,2018-01-01,304.7085266113281,R_A5
6,0.0,1.0,STANDARD,31,1696.4290771484375,0,6,304.9246520996094,20,2018-01-01,304.9246520996094,R_A5
7,0.0,1.0,STANDARD,31,1698.70947265625,0,7,305.446533203125,20,2018-01-01,305.446533203125,R_A5
8,0.0,1.0,STANDARD,31,1707.6488037109375,0,11,305.988037109375,20,2018-01-01,305.988037109375,R_A5
9,0.0,1.0,STANDARD,31,1709.5638427734375,0,12,306.1695251464844,20,2018-01-01,306.1695251464844,R_A5
10,0.0,1.0,STANDARD,31,1701.7845458984375,0,12,305.4322814941406,21,2018-01-01,305.4322814941406,R_A5
11,0.0,1.0,STANDARD,31,1703.735107421875,0,13,305.6291198730469,21,2018-01-01,305.6291198730469,R_A5
12,0.0,1.0,STANDARD,31,1705.6856689453125,0,14,305.81396484375,21,2018-01-01,305.81396484375,R_A5
13,0.0,1.0,STANDARD,31,1707.63623046875,0,15,305.9988098144531,21,2018-01-01,305.9988098144531,R_A5
14,0.0,1.0,STANDARD,31,1709.5867919921875,0,16,306.3287048339844,21,2018-01-01,306.3287048339844,R_A5
15,0.0,1.0,STANDARD,31,1711.537353515625,0,17,306.5135498046875,21,2018-01-01,306.5135498046875,R_A5
16,0.0,1.0,STANDARD,31,1713.35400390625,0,18,306.6856994628906,21,2018-01-01,306.6856994628906,R_A5
