CONJPOS,CONIPOS,DEPTH,WELL,SWAT,CONKPOS,DRAWDOWN,DATE,CONBPRES,PRESSURE,WELLMODEL,SGAS,CONIDX
21,31,1725.105224609375,R_A5,1.0,31,0,2018-01-01,307.9481506347656,307.9481506347656,STANDARD,0.0,22
42,17,1695.20263671875,R_A6,1.0,1,0,2018-01-01,305.11419677734375,305.11419677734375,STANDARD,0.0,1
42,17,1696.7510986328125,R_A6,1.0,2,0,2018-01-01,305.2609558105469,305.2609558105469,STANDARD,0.0,2
42,17,1698.299560546875,R_A6,1.0,3,0,2018-01-01,305.4076843261719,305.4076843261719,STANDARD,0.0,3
42,17,1699.84814453125,R_A6,1.0,4,0,2018-01-01,305.554443359375,305.554443359375,STANDARD,0.0,4
42,17,1701.3966064453125,R_A6,1.0,5,0,2018-01-01,305.7012023925781,305.7012023925781,STANDARD,0.0,5
42,17,1702.9451904296875,R_A6,1.0,6,0,2018-01-01,305.84796142578125,305.84796142578125,STANDARD,0.0,6
42,17,1704.49365234375,R_A6,1.0,7,0,2018-01-01,305.6956481933594,305.6956481933594,STANDARD,0.0,7
42,17,1706.042236328125,R_A6,1.0,8,0,2018-01-01,305.8424072265625,305.8424072265625,STANDARD,0.0,8
42,17,1707.5906982421875,R_A6,1.0,9,0,2018-01-01,306.2882080078125,306.2882080078125,STANDARD,0.0,9
42,17,1709.1392822265625,R_A6,1.0,10,0,2018-01-01,306.1291809082031,306.1291809082031,STANDARD,0.0,10
42,17,1711.055419921875,R_A6,1.0,11,0,2018-01-01,306.3109130859375,306.3109130859375,STANDARD,0.0,11
42,17,1713.3392333984375,R_A6,1.0,12,0,2018-01-01,306.52734375,306.52734375,STANDARD,0.0,12
42,17,1715.623046875,R_A6,1.0,13,0,2018-01-01,306.7557678222656,306.7557678222656,STANDARD,0.0,13
42,17,1717.9068603515625,R_A6,1.0,14,0,2018-01-01,306.9721984863281,306.9721984863281,STANDARD,0.0,14
42,17,1720.190673828125,R_A6,1.0,15,0,2018-01-01,307.18865966796875,307.18865966796875,STANDARD,0.0,15
42,17,1722.474365234375,R_A6,1.0,16,0,2018-01-01,307.55010986328125,307.55010986328125,STANDARD,0.0,16
42,17,1724.7581787109375,R_A6,1.0,17,0,2018-01-01,307.7665710449219,307.7665710449219,STANDARD,0.0,17
42,17,1726.394287109375,R_A6,1.0,18,0,2018-01-01,307.921630859375,307.921630859375,STANDARD,0.0,18
42,17,1727.7508544921875,R_A6,1.0,27,0,2018-01-01,307.8930969238281,307.8930969238281,STANDARD,0.0,19
42,17,1729.4755859375,R_A6,1.0,28,0,2018-01-01,308.3623352050781,308.3623352050781,STANDARD,0.0,20
42,17,1731.2001953125,R_A6,1.0,29,0,2018-01-01,308.52581787109375,308.52581787109375,STANDARD,0.0,21
42,17,1732.9249267578125,R_A6,1.0,30,0,2018-01-01,308.68927001953125,308.68927001953125,STANDARD,0.0,22
42,17,1734.649658203125,R_A6,1.0,31,0,2018-01-01,308.5469665527344,308.5469665527344,STANDARD,0.0,23
30,22,1641.094970703125,R_A2,0.05590774491429329,1,0,2018-03-01,298.0055847167969,298.0055847167969,STANDARD,0.0,1
