CONIDX,CONIPOS,DATE,CONKPOS,WELL,PRESSURE,DEPTH,DRAWDOWN,CONBPRES,CONJPOS,SGAS,WELLMODEL,SWAT
2,28,2018-01-01,2,R_A3,298.8979187011719,1612.7724609375,0,298.8979187011719,41,0.0,STANDARD,0.11823459714651108
3,28,2018-01-01,3,R_A3,299.03167724609375,1614.768310546875,0,299.03167724609375,41,0.0,STANDARD,0.11823459714651108
4,28,2018-01-01,4,R_A3,299.1654357910156,1616.7640380859375,0,299.1654357910156,41,0.0,STANDARD,0.11823459714651108
5,29,2018-01-01,4,R_A3,298.4120788574219,1605.5234375,0,298.4120788574219,41,0.0,STANDARD,0.16918301582336426
6,29,2018-01-01,5,R_A3,298.5503234863281,1607.5860595703125,0,298.5503234863281,41,0.0,STANDARD,0.8026714324951172
7,29,2018-01-01,6,R_A3,298.6885681152344,1609.648681640625,0,298.6885681152344,41,0.0,STANDARD,0.6481541991233826
8,29,2018-01-01,7,R_A3,298.8267822265625,1611.71142578125,0,298.8267822265625,41,0.0,STANDARD,0.19294294714927673
9,29,2018-01-01,8,R_A3,298.96502685546875,1613.7740478515625,0,298.96502685546875,41,0.0,STANDARD,0.19520124793052673
10,29,2018-01-01,9,R_A3,299.1033020019531,1615.8367919921875,0,299.1033020019531,41,0.0,STANDARD,0.7929273247718811
11,29,2018-01-01,10,R_A3,299.2415466308594,1617.8994140625,0,299.2415466308594,41,0.0,STANDARD,0.7980049848556519
12,29,2018-01-01,11,R_A3,299.3877258300781,1620.080078125,0,299.3877258300781,41,0.0,STANDARD,0.04729938879609108
13,29,2018-01-01,12,R_A3,299.54180908203125,1622.3787841796875,0,299.54180908203125,41,0.0,STANDARD,0.053392443805933
14,29,2018-01-01,13,R_A3,299.6958923339844,1624.677490234375,0,299.6958923339844,41,0.0,STANDARD,0.36116406321525574
15,29,2018-01-01,14,R_A3,299.8500061035156,1626.9761962890625,0,299.8500061035156,41,0.0,STANDARD,0.04919338971376419
16,29,2018-01-01,15,R_A3,300.0038146972656,1629.2706298828125,0,300.0038146972656,41,0.0,STANDARD,0.601466715335846
17,29,2018-01-01,16,R_A3,300.12591552734375,1631.091796875,0,300.12591552734375,41,0.0,STANDARD,0.7985363006591797
18,29,2018-01-01,26,R_A3,300.28936767578125,1633.530029296875,0,300.28936767578125,41,0.0,STANDARD,0.206807479262352
19,29,2018-01-01,27,R_A3,300.5256652832031,1637.053955078125,0,300.5256652832031,41,0.0,STANDARD,0.04644275829195976
20,29,2018-01-01,28,R_A3,300.7619323730469,1640.577880859375,0,300.7619323730469,41,0.0,STANDARD,0.049297481775283813
21,29,2018-01-01,29,R_A3,300.99822998046875,1644.1019287109375,0,300.99822998046875,41,0.0,STANDARD,0.6481541991233826
22,29,2018-01-01,30,R_A3,301.23455810546875,1647.6259765625,0,301.23455810546875,41,0.0,STANDARD,0.12772154808044434
1,30,2018-01-01,1,R_A4,300.3633117675781,1634.6326904296875,0,300.3633117675781,52,0.0,STANDARD,0.05065566301345825
2,31,2018-01-01,1,R_A4,299.949951171875,1628.4674072265625,0,299.949951171875,52,0.0,STANDARD,0.04675346985459328
3,31,2018-01-01,2,R_A4,300.08441162109375,1630.4727783203125,0,300.08441162109375,52,0.0,STANDARD,0.051517557352781296
4,31,2018-01-01,3,R_A4,300.2188415527344,1632.4781494140625,0,300.2188415527344,52,0.0,STANDARD,0.05218270421028137
5,31,2018-01-01,4,R_A4,300.3533020019531,1634.4833984375,0,300.3533020019531,52,0.0,STANDARD,0.05215464532375336
6,32,2018-01-01,4,R_A4,300.1472473144531,1631.41015625,0,300.1472473144531,52,0.0,STANDARD,0.052362944930791855
7,32,2018-01-01,4,R_A4,300.6216735839844,1638.486083984375,0,300.6216735839844,51,0.0,STANDARD,0.05667613446712494
8,33,2018-01-01,4,R_A4,300.53912353515625,1637.2547607421875,0,300.53912353515625,51,0.0,STANDARD,0.056900713592767715
9,33,2018-01-01,3,R_A4,300.4190368652344,1635.464111328125,0,300.4190368652344,51,0.0,STANDARD,0.05603127181529999
10,33,2018-01-01,4,R_A4,301.0906982421875,1645.480712890625,0,301.0906982421875,50,0.0,STANDARD,0.1160636767745018
11,34,2018-01-01,4,R_A4,300.8721618652344,1642.2215576171875,0,300.8721618652344,50,0.0,STANDARD,0.13402320444583893
12,34,2018-01-01,3,R_A4,300.74945068359375,1640.391845703125,0,300.74945068359375,50,0.0,STANDARD,0.06138002127408981
13,35,2018-01-01,3,R_A4,300.7640380859375,1640.609130859375,0,300.7640380859375,50,0.0,STANDARD,0.06099679321050644
14,35,2018-01-01,2,R_A4,300.64459228515625,1638.8277587890625,0,300.64459228515625,50,0.0,STANDARD,0.13179610669612885
15,35,2018-01-01,2,R_A4,301.0214538574219,1644.447998046875,0,301.0214538574219,49,0.0,STANDARD,0.23420485854148865
16,35,2018-01-01,1,R_A4,300.9012145996094,1642.6549072265625,0,300.9012145996094,49,0.0,STANDARD,0.22639206051826477
17,36,2018-01-01,29,R_A4,301.0223388671875,1644.4610595703125,0,301.0223388671875,49,0.0,STANDARD,0.20716434717178345
18,36,2018-01-01,29,R_A4,300.884521484375,1642.4058837890625,0,300.884521484375,48,0.0,STANDARD,0.08575136959552765
19,37,2018-01-01,29,R_A4,301.21917724609375,1647.3966064453125,0,301.21917724609375,48,0.0,STANDARD,0.27606746554374695
20,38,2018-01-01,29,R_A4,301.4972839355469,1651.5435791015625,0,301.4972839355469,48,0.0,STANDARD,0.30059629678726196
21,38,2018-01-01,29,R_A4,301.97271728515625,1658.6319580078125,0,301.97271728515625,47,0.0,STANDARD,0.20234325528144836
1,31,2018-01-01,1,R_A5,303.9396667480469,1686.035400390625,0,303.9396667480469,20,0.0,STANDARD,1.0
2,31,2018-01-01,2,R_A5,304.1511535644531,1688.2669677734375,0,304.1511535644531,20,0.0,STANDARD,1.0
3,31,2018-01-01,3,R_A5,304.3626403808594,1690.49853515625,0,304.3626403808594,20,0.0,STANDARD,1.0
4,31,2018-01-01,4,R_A5,304.5740966796875,1692.7301025390625,0,304.5740966796875,20,0.0,STANDARD,1.0
5,31,2018-01-01,5,R_A5,304.78558349609375,1694.961669921875,0,304.78558349609375,20,0.0,STANDARD,1.0
6,31,2018-01-01,6,R_A5,304.9970703125,1697.193359375,0,304.9970703125,20,0.0,STANDARD,1.0
7,31,2018-01-01,7,R_A5,305.51434326171875,1699.4249267578125,0,305.51434326171875,20,0.0,STANDARD,1.0
8,31,2018-01-01,11,R_A5,305.2367248535156,1699.720947265625,0,305.2367248535156,21,0.0,STANDARD,1.0
9,31,2018-01-01,12,R_A5,305.4212951660156,1701.66845703125,0,305.4212951660156,21,0.0,STANDARD,1.0
10,31,2018-01-01,13,R_A5,305.6178283691406,1703.6160888671875,0,305.6178283691406,21,0.0,STANDARD,1.0
11,31,2018-01-01,14,R_A5,305.8023986816406,1705.5635986328125,0,305.8023986816406,21,0.0,STANDARD,1.0
12,31,2018-01-01,15,R_A5,305.9869689941406,1707.51123046875,0,305.9869689941406,21,0.0,STANDARD,1.0
13,31,2018-01-01,16,R_A5,306.3165588378906,1709.458740234375,0,306.3165588378906,21,0.0,STANDARD,1.0
14,31,2018-01-01,17,R_A5,306.5011291503906,1711.40625,0,306.5011291503906,21,0.0,STANDARD,1.0
15,31,2018-01-01,18,R_A5,306.652099609375,1712.999267578125,0,306.652099609375,21,0.0,STANDARD,1.0
16,31,2018-01-01,26,R_A5,306.6664733886719,1714.80859375,0,306.6664733886719,21,0.0,STANDARD,1.0
17,31,2018-01-01,27,R_A5,306.8853759765625,1717.118408203125,0,306.8853759765625,21,0.0,STANDARD,1.0
18,31,2018-01-01,28,R_A5,307.41009521484375,1719.42822265625,0,307.41009521484375,21,0.0,STANDARD,1.0
19,31,2018-01-01,29,R_A5,307.6289978027344,1721.7379150390625,0,307.6289978027344,21,0.0,STANDARD,1.0
20,31,2018-01-01,30,R_A5,307.847900390625,1724.0477294921875,0,307.847900390625,21,0.0,STANDARD,1.0
1,17,2018-01-01,1,R_A6,305.08087158203125,1694.850830078125,0,305.08087158203125,42,0.0,STANDARD,1.0
2,17,2018-01-01,2,R_A6,305.2269287109375,1696.39208984375,0,305.2269287109375,42,0.0,STANDARD,1.0
3,17,2018-01-01,3,R_A6,305.37298583984375,1697.933349609375,0,305.37298583984375,42,0.0,STANDARD,1.0
4,17,2018-01-01,4,R_A6,305.51904296875,1699.4744873046875,0,305.51904296875,42,0.0,STANDARD,1.0
5,17,2018-01-01,5,R_A6,305.66510009765625,1701.0157470703125,0,305.66510009765625,42,0.0,STANDARD,1.0
6,17,2018-01-01,6,R_A6,305.8111572265625,1702.556884765625,0,305.8111572265625,42,0.0,STANDARD,1.0
7,17,2018-01-01,7,R_A6,305.6581726074219,1704.09814453125,0,305.6581726074219,42,0.0,STANDARD,1.0
8,17,2018-01-01,8,R_A6,305.8042297363281,1705.639404296875,0,305.8042297363281,42,0.0,STANDARD,1.0
9,17,2018-01-01,9,R_A6,306.24932861328125,1707.1805419921875,0,306.24932861328125,42,0.0,STANDARD,1.0
10,17,2018-01-01,10,R_A6,306.089599609375,1708.7216796875,0,306.089599609375,42,0.0,STANDARD,1.0
11,17,2018-01-01,11,R_A6,306.27081298828125,1710.6324462890625,0,306.27081298828125,42,0.0,STANDARD,1.0
12,17,2018-01-01,12,R_A6,306.4869079589844,1712.9127197265625,0,306.4869079589844,42,0.0,STANDARD,1.0
13,17,2018-01-01,13,R_A6,306.7149963378906,1715.19287109375,0,306.7149963378906,42,0.0,STANDARD,1.0
14,17,2018-01-01,14,R_A6,306.93109130859375,1717.47314453125,0,306.93109130859375,42,0.0,STANDARD,1.0
15,17,2018-01-01,15,R_A6,307.147216796875,1719.75341796875,0,307.147216796875,42,0.0,STANDARD,1.0
16,17,2018-01-01,16,R_A6,307.5083312988281,1722.03369140625,0,307.5083312988281,42,0.0,STANDARD,1.0
17,17,2018-01-01,17,R_A6,307.7244567871094,1724.3138427734375,0,307.7244567871094,42,0.0,STANDARD,1.0
18,17,2018-01-01,18,R_A6,307.8762512207031,1725.9156494140625,0,307.8762512207031,42,0.0,STANDARD,1.0
19,17,2018-01-01,26,R_A6,307.8442687988281,1727.2354736328125,0,307.8442687988281,42,0.0,STANDARD,1.0
20,17,2018-01-01,27,R_A6,308.3127136230469,1728.9517822265625,0,308.3127136230469,42,0.0,STANDARD,1.0
21,17,2018-01-01,28,R_A6,308.4753723144531,1730.66796875,0,308.4753723144531,42,0.0,STANDARD,1.0
22,17,2018-01-01,29,R_A6,308.6380310058594,1732.38427734375,0,308.6380310058594,42,0.0,STANDARD,1.0
23,17,2018-01-01,30,R_A6,308.4949035644531,1734.1004638671875,0,308.4949035644531,42,0.0,STANDARD,1.0
1,22,2018-03-01,1,R_A2,299.2683410644531,1642.8736572265625,0,299.2683410644531,30,0.0,STANDARD,0.05475504696369171
2,22,2018-03-01,2,R_A2,299.3908996582031,1644.701904296875,0,299.3908996582031,30,0.0,STANDARD,0.056889958679676056
3,22,2018-03-01,3,R_A2,299.5134582519531,1646.5302734375,0,299.5134582519531,30,0.0,STANDARD,0.060306649655103683
4,22,2018-03-01,4,R_A2,299.6360168457031,1648.3585205078125,0,299.6360168457031,30,0.0,STANDARD,0.06654776632785797
5,22,2018-03-01,5,R_A2,299.7586364746094,1650.186767578125,0,299.7586364746094,30,0.0,STANDARD,0.06895549595355988
6,22,2018-03-01,6,R_A2,299.8812561035156,1652.01513671875,0,299.8812561035156,30,0.0,STANDARD,0.23170483112335205
7,22,2018-03-01,7,R_A2,300.0037841796875,1653.8433837890625,0,300.0037841796875,30,0.0,STANDARD,0.3096999228000641
8,22,2018-03-01,8,R_A2,300.1200866699219,1655.671630859375,0,300.1200866699219,30,0.0,STANDARD,0.6485174298286438
9,22,2018-03-01,9,R_A2,300.2523193359375,1657.5,0,300.2523193359375,30,0.0,STANDARD,0.8777804374694824
10,22,2018-03-01,10,R_A2,300.50933837890625,1659.3282470703125,0,300.50933837890625,30,0.0,STANDARD,0.8881540894508362
11,22,2018-03-01,11,R_A2,300.3529052734375,1661.22216796875,0,300.3529052734375,30,0.0,STANDARD,0.07274247705936432
12,22,2018-03-01,12,R_A2,300.48431396484375,1663.181640625,0,300.48431396484375,30,0.0,STANDARD,0.07566820830106735
13,22,2018-03-01,13,R_A2,300.65875244140625,1665.14111328125,0,300.65875244140625,30,0.0,STANDARD,0.4294409453868866
14,22,2018-03-01,14,R_A2,300.7854919433594,1667.1007080078125,0,300.7854919433594,30,0.0,STANDARD,0.4796005189418793
15,22,2018-03-01,15,R_A2,300.9157409667969,1669.0601806640625,0,300.9157409667969,30,0.0,STANDARD,0.6501268148422241
16,22,2018-03-01,16,R_A2,301.0413818359375,1671.0196533203125,0,301.0413818359375,30,0.0,STANDARD,0.9455882906913757
17,22,2018-03-01,16,R_A2,300.9295654296875,1670.7518310546875,0,300.9295654296875,29,0.0,STANDARD,0.9472357034683228
18,22,2018-03-01,17,R_A2,301.072998046875,1672.882080078125,0,301.072998046875,29,0.0,STANDARD,0.9109414219856262
19,22,2018-03-01,18,R_A2,301.20703125,1674.878662109375,0,301.20703125,29,0.0,STANDARD,0.9584869146347046
20,22,2018-03-01,19,R_A2,301.2809753417969,1675.98095703125,0,301.2809753417969,29,0.0,STANDARD,0.96692955493927
21,22,2018-03-01,26,R_A2,301.28009033203125,1677.029541015625,0,301.28009033203125,29,0.0,STANDARD,0.6486083269119263
22,22,2018-03-01,27,R_A2,303.2837219238281,1678.785400390625,0,303.2837219238281,29,-7.125565671801091e-16,STANDARD,1.0
23,22,2018-03-01,28,R_A2,303.400634765625,1680.5413818359375,0,303.400634765625,29,-1.3930486492023475e-16,STANDARD,1.0
24,22,2018-03-01,29,R_A2,303.8422546386719,1682.2972412109375,0,303.8422546386719,29,-2.8349133953417364e-16,STANDARD,1.0
25,22,2018-03-01,30,R_A2,304.0103454589844,1684.0531005859375,0,304.0103454589844,29,-1.7077060895747103e-15,STANDARD,1.0
1,31,2018-04-28,1,R_A5,283.4399719238281,1686.035400390625,0,283.4399719238281,20,-1.2738403979914176e-14,STANDARD,1.0
2,31,2018-04-28,2,R_A5,283.6521301269531,1688.2669677734375,0,283.6521301269531,20,-7.252575615263913e-15,STANDARD,1.0
3,31,2018-04-28,3,R_A5,283.8645935058594,1690.49853515625,0,283.8645935058594,20,-3.536070159013312e-14,STANDARD,1.0
4,31,2018-04-28,4,R_A5,284.0772705078125,1692.7301025390625,0,284.0772705078125,20,-6.315806981137956e-14,STANDARD,1.0
5,31,2018-04-28,5,R_A5,284.2891845703125,1694.961669921875,0,284.2891845703125,20,-4.639069347851105e-14,STANDARD,1.0
6,31,2018-04-28,6,R_A5,284.5007019042969,1697.193359375,0,284.5007019042969,20,-3.1907178857587884e-14,STANDARD,1.0
7,31,2018-04-28,7,R_A5,285.0181884765625,1699.4249267578125,0,285.0181884765625,20,-2.1995960685558525e-16,STANDARD,1.0
8,31,2018-04-28,11,R_A5,282.31640625,1699.720947265625,0,282.31640625,21,-9.85862017022221e-11,STANDARD,1.0
9,31,2018-04-28,12,R_A5,282.5344543457031,1701.66845703125,0,282.5344543457031,21,-1.4819176441527304e-10,STANDARD,1.0
10,31,2018-04-28,13,R_A5,282.7321472167969,1703.6160888671875,0,282.7321472167969,21,-1.21503467009898e-11,STANDARD,1.0
11,31,2018-04-28,14,R_A5,282.9181213378906,1705.5635986328125,0,282.9181213378906,21,-2.7593762344513273e-11,STANDARD,1.0
12,31,2018-04-28,15,R_A5,283.3186950683594,1707.51123046875,0,283.3186950683594,21,-8.750616550812218e-12,STANDARD,1.0
13,31,2018-04-28,16,R_A5,283.9468078613281,1709.458740234375,0,283.9468078613281,21,-2.7675396696569265e-12,STANDARD,1.0
14,31,2018-04-28,17,R_A5,284.1393127441406,1711.40625,0,284.1393127441406,21,-5.279603577240666e-12,STANDARD,1.0
15,31,2018-04-28,18,R_A5,284.2925720214844,1712.999267578125,0,284.2925720214844,21,-1.0546262647903593e-11,STANDARD,1.0
16,31,2018-04-28,26,R_A5,285.9521484375,1714.80859375,0,285.9521484375,21,-4.735970296487757e-11,STANDARD,1.0
17,31,2018-04-28,27,R_A5,286.3046569824219,1717.118408203125,0,286.3046569824219,21,-1.0515097820240626e-10,STANDARD,1.0
18,31,2018-04-28,28,R_A5,296.8064880371094,1719.42822265625,0,296.8064880371094,21,7.771887941805279e-17,STANDARD,1.0
19,31,2018-04-28,29,R_A5,304.2767028808594,1721.7379150390625,0,304.2767028808594,21,5.655602903062741e-19,STANDARD,1.0
20,31,2018-04-28,30,R_A5,306.6485290527344,1724.0477294921875,0,306.6485290527344,21,5.933442870334944e-21,STANDARD,1.0
1,28,2018-07-03,1,R_A3,274.0973205566406,1610.77685546875,0,274.0973205566406,41,0.0,STANDARD,0.650515079498291
2,28,2018-07-03,2,R_A3,274.2341003417969,1612.7724609375,0,274.2341003417969,41,0.0,STANDARD,0.11860249936580658
3,28,2018-07-03,3,R_A3,274.3670654296875,1614.768310546875,0,274.3670654296875,41,0.0,STANDARD,0.11860863119363785
4,28,2018-07-03,4,R_A3,274.5,1616.7640380859375,0,274.5,41,0.0,STANDARD,0.1187206357717514
5,29,2018-07-03,4,R_A3,273.73388671875,1605.5234375,0,273.73388671875,41,0.0,STANDARD,0.17131230235099792
6,29,2018-07-03,5,R_A3,274.02349853515625,1607.5860595703125,0,274.02349853515625,41,0.0,STANDARD,0.7954503297805786
7,29,2018-07-03,6,R_A3,274.16302490234375,1609.648681640625,0,274.16302490234375,41,0.0,STANDARD,0.64980149269104
8,29,2018-07-03,7,R_A3,274.3209228515625,1611.71142578125,0,274.3209228515625,41,0.0,STANDARD,0.19585077464580536
9,29,2018-07-03,8,R_A3,274.4584045410156,1613.7740478515625,0,274.4584045410156,41,0.0,STANDARD,0.19837118685245514
10,29,2018-07-03,9,R_A3,274.7873840332031,1615.8367919921875,0,274.7873840332031,41,0.0,STANDARD,0.7909641861915588
11,29,2018-07-03,10,R_A3,277.2478942871094,1617.8994140625,0,277.2478942871094,41,0.0,STANDARD,0.7597175240516663
12,29,2018-07-03,11,R_A3,281.0799560546875,1620.080078125,0,281.0799560546875,41,0.0,STANDARD,0.047458942979574203
13,29,2018-07-03,12,R_A3,281.23333740234375,1622.3787841796875,0,281.23333740234375,41,0.0,STANDARD,0.053537700325250626
14,29,2018-07-03,13,R_A3,281.3869323730469,1624.677490234375,0,281.3869323730469,41,0.0,STANDARD,0.36167097091674805
15,29,2018-07-03,14,R_A3,282.16168212890625,1626.9761962890625,0,282.16168212890625,41,0.0,STANDARD,0.04927729070186615
16,29,2018-07-03,15,R_A3,281.5823669433594,1629.2706298828125,0,281.5823669433594,41,0.0,STANDARD,0.6076756715774536
17,29,2018-07-03,16,R_A3,281.6982421875,1631.091796875,0,281.6982421875,41,0.0,STANDARD,0.778308093547821
18,29,2018-07-03,26,R_A3,281.0078430175781,1633.530029296875,0,281.0078430175781,41,0.0,STANDARD,0.20813442766666412
19,29,2018-07-03,27,R_A3,281.2557678222656,1637.053955078125,0,281.2557678222656,41,0.0,STANDARD,0.04787744954228401
20,29,2018-07-03,28,R_A3,281.49151611328125,1640.577880859375,0,281.49151611328125,41,0.0,STANDARD,0.050185248255729675
21,29,2018-07-03,29,R_A3,281.7023010253906,1644.1019287109375,0,281.7023010253906,41,0.0,STANDARD,0.6498035192489624
22,29,2018-07-03,30,R_A3,281.819091796875,1647.6259765625,0,281.819091796875,41,0.0,STANDARD,0.12803824245929718
1,30,2018-09-12,1,R_A4,281.0391845703125,1634.6326904296875,0,281.0391845703125,52,0.0,STANDARD,0.050771985203027725
2,31,2018-09-12,1,R_A4,280.6694641113281,1628.4674072265625,0,280.6694641113281,52,0.0,STANDARD,0.04684652388095856
3,31,2018-09-12,2,R_A4,280.8032531738281,1630.4727783203125,0,280.8032531738281,52,0.0,STANDARD,0.051605693995952606
4,31,2018-09-12,3,R_A4,280.93701171875,1632.4781494140625,0,280.93701171875,52,0.0,STANDARD,0.05227893218398094
5,31,2018-09-12,4,R_A4,281.07080078125,1634.4833984375,0,281.07080078125,52,0.0,STANDARD,0.05226229503750801
6,32,2018-09-12,4,R_A4,280.89776611328125,1631.41015625,0,280.89776611328125,52,0.0,STANDARD,0.05247127637267113
7,32,2018-09-12,4,R_A4,281.3524169921875,1638.486083984375,0,281.3524169921875,51,0.0,STANDARD,0.0568416491150856
8,33,2018-09-12,4,R_A4,281.2940673828125,1637.2547607421875,0,281.2940673828125,51,0.0,STANDARD,0.057097990065813065
9,33,2018-09-12,3,R_A4,281.174560546875,1635.464111328125,0,281.174560546875,51,0.0,STANDARD,0.05620256066322327
10,33,2018-09-12,4,R_A4,281.82568359375,1645.480712890625,0,281.82568359375,50,0.0,STANDARD,0.1172078475356102
11,34,2018-09-12,4,R_A4,281.6111145019531,1642.2215576171875,0,281.6111145019531,50,0.0,STANDARD,0.13501952588558197
12,34,2018-09-12,3,R_A4,281.489013671875,1640.391845703125,0,281.489013671875,50,0.0,STANDARD,0.06203236058354378
13,35,2018-09-12,3,R_A4,281.4808349609375,1640.609130859375,0,281.4808349609375,50,0.0,STANDARD,0.061877261847257614
14,35,2018-09-12,2,R_A4,281.3621826171875,1638.8277587890625,0,281.3621826171875,50,0.0,STANDARD,0.13243471086025238
15,35,2018-09-12,2,R_A4,281.67010498046875,1644.447998046875,0,281.67010498046875,49,0.0,STANDARD,0.2339528352022171
16,35,2018-09-12,1,R_A4,281.5497131347656,1642.6549072265625,0,281.5497131347656,49,0.0,STANDARD,0.22617508471012115
17,36,2018-09-12,29,R_A4,277.5758056640625,1644.4610595703125,0,277.5758056640625,49,0.0,STANDARD,0.2101786583662033
18,36,2018-09-12,29,R_A4,276.7744445800781,1642.4058837890625,0,276.7744445800781,48,0.0,STANDARD,0.09731695801019669
19,37,2018-09-12,29,R_A4,277.7767639160156,1647.3966064453125,0,277.7767639160156,48,0.0,STANDARD,0.28696462512016296
20,38,2018-09-12,29,R_A4,278.7895812988281,1651.5435791015625,0,278.7895812988281,48,0.0,STANDARD,0.2764664590358734
21,38,2018-09-12,29,R_A4,278.7831726074219,1658.6319580078125,0,278.7831726074219,47,0.0,STANDARD,0.2034807652235031
1,17,2018-11-07,1,R_A6,278.7430114746094,1694.850830078125,0,278.7430114746094,42,-5.407599823654963e-13,STANDARD,1.0
2,17,2018-11-07,2,R_A6,278.8899841308594,1696.39208984375,0,278.8899841308594,42,-2.925427641017192e-13,STANDARD,1.0
3,17,2018-11-07,3,R_A6,279.03692626953125,1697.933349609375,0,279.03692626953125,42,-2.330023923368535e-13,STANDARD,1.0
4,17,2018-11-07,4,R_A6,279.1822814941406,1699.4744873046875,0,279.1822814941406,42,-1.5895482629799118e-13,STANDARD,1.0
5,17,2018-11-07,5,R_A6,279.3257141113281,1701.0157470703125,0,279.3257141113281,42,-2.1364447754315674e-13,STANDARD,1.0
6,17,2018-11-07,6,R_A6,279.4691162109375,1702.556884765625,0,279.4691162109375,42,-5.726954284065999e-13,STANDARD,1.0
7,17,2018-11-07,7,R_A6,279.31768798828125,1704.09814453125,0,279.31768798828125,42,-1.5854925011771215e-11,STANDARD,1.0
8,17,2018-11-07,8,R_A6,279.4689636230469,1705.639404296875,0,279.4689636230469,42,-1.3458147790634811e-11,STANDARD,1.0
9,17,2018-11-07,9,R_A6,279.9325866699219,1707.1805419921875,0,279.9325866699219,42,-6.584923578634161e-13,STANDARD,1.0
10,17,2018-11-07,10,R_A6,279.8280029296875,1708.7216796875,0,279.8280029296875,42,-8.598382422730921e-11,STANDARD,1.0
11,17,2018-11-07,11,R_A6,280.896728515625,1710.6324462890625,0,280.896728515625,42,2.899329387684446e-10,STANDARD,1.0
12,17,2018-11-07,12,R_A6,281.2377014160156,1712.9127197265625,0,281.2377014160156,42,1.1701683459014456e-12,STANDARD,1.0
13,17,2018-11-07,13,R_A6,281.3876037597656,1715.19287109375,0,281.3876037597656,42,8.36416526317496e-12,STANDARD,1.0
14,17,2018-11-07,14,R_A6,281.603515625,1717.47314453125,0,281.603515625,42,8.344378139846231e-12,STANDARD,1.0
15,17,2018-11-07,15,R_A6,281.8197326660156,1719.75341796875,0,281.8197326660156,42,4.625554279880095e-12,STANDARD,1.0
