CONKPOS,DATE,CONJPOS,DEPTH,CONIDX,CONBPRES,WELL,SWAT,CONIPOS,DRAWDOWN,WELLMODEL,PRESSURE,SGAS
28,2018-01-01,49,1642.2099609375,17,300.88519287109375,R_A4,0.2713924050331116,36,0,STANDARD,300.88519287109375,0.0
28,2018-01-01,48,1638.972412109375,18,300.6681213378906,R_A4,0.05137518048286438,36,0,STANDARD,300.6681213378906,0.0
28,2018-01-01,48,1648.626708984375,19,301.31549072265625,R_A4,0.6481541991233826,37,0,STANDARD,301.31549072265625,0.0
27,2018-01-01,48,1642.908203125,20,300.9320068359375,R_A4,0.6481541991233826,37,0,STANDARD,300.9320068359375,0.0
27,2018-01-01,48,1649.17724609375,21,301.3524169921875,R_A4,0.10793957859277725,38,0,STANDARD,301.3524169921875,0.0
27,2018-01-01,47,1656.453125,22,301.84039306640625,R_A4,0.19009844958782196,38,0,STANDARD,301.84039306640625,0.0
1,2018-01-01,20,1684.141845703125,1,303.76025390625,R_A5,1.0,31,0,STANDARD,303.76025390625,0.0
2,2018-01-01,20,1686.1339111328125,2,303.94903564453125,R_A5,1.0,31,0,STANDARD,303.94903564453125,0.0
3,2018-01-01,20,1688.1259765625,3,304.1377868652344,R_A5,1.0,31,0,STANDARD,304.1377868652344,0.0
4,2018-01-01,20,1690.1181640625,4,304.3265686035156,R_A5,1.0,31,0,STANDARD,304.3265686035156,0.0
5,2018-01-01,20,1692.1102294921875,5,304.515380859375,R_A5,1.0,31,0,STANDARD,304.515380859375,0.0
6,2018-01-01,20,1694.1024169921875,6,304.70416259765625,R_A5,1.0,31,0,STANDARD,304.70416259765625,0.0
7,2018-01-01,20,1696.0946044921875,7,305.19873046875,R_A5,1.0,31,0,STANDARD,305.19873046875,0.0
7,2018-01-01,21,1693.1243896484375,8,304.9172668457031,R_A5,1.0,31,0,STANDARD,304.9172668457031,0.0
8,2018-01-01,21,1695.5072021484375,9,305.14306640625,R_A5,1.0,31,0,STANDARD,305.14306640625,0.0
9,2018-01-01,21,1697.8900146484375,10,305.368896484375,R_A5,1.0,31,0,STANDARD,305.368896484375,0.0
11,2018-01-01,21,1702.47607421875,11,305.4978332519531,R_A5,1.0,31,0,STANDARD,305.4978332519531,0.0
12,2018-01-01,21,1704.4998779296875,12,305.68963623046875,R_A5,1.0,31,0,STANDARD,305.68963623046875,0.0
13,2018-01-01,21,1706.523681640625,13,305.89337158203125,R_A5,1.0,31,0,STANDARD,305.89337158203125,0.0
