SWAT,CONJPOS,DEPTH,WELLMODEL,WELL,PRESSURE,CONIPOS,SGAS,DATE,CONBPRES,DRAWDOWN,CONIDX,CONKPOS
0.056389473378658295,52,1632.3968505859375,STANDARD,R_A4,300.0901184082031,32,0.0,2018-01-01,300.0901184082031,0,6,4
0.05910776928067207,51,1635.880615234375,STANDARD,R_A4,300.3236999511719,32,0.0,2018-01-01,300.3236999511719,0,7,4
0.05742491036653519,51,1637.321044921875,STANDARD,R_A4,300.4202575683594,33,0.0,2018-01-01,300.4202575683594,0,8,4
0.05627985671162605,51,1635.474609375,STANDARD,R_A4,300.29644775390625,33,0.0,2018-01-01,300.29644775390625,0,9,3
0.06314294040203094,50,1642.1485595703125,STANDARD,R_A4,300.74395751953125,33,0.0,2018-01-01,300.74395751953125,0,10,4
0.06145904213190079,50,1641.132080078125,STANDARD,R_A4,300.67578125,34,0.0,2018-01-01,300.67578125,0,11,4
0.1401393711566925,50,1639.20703125,STANDARD,R_A4,300.5467224121094,34,0.0,2018-01-01,300.5467224121094,0,12,3
0.14248615503311157,50,1640.9061279296875,STANDARD,R_A4,300.66064453125,35,0.0,2018-01-01,300.66064453125,0,13,3
0.23273660242557526,50,1639.0426025390625,STANDARD,R_A4,300.53570556640625,35,0.0,2018-01-01,300.53570556640625,0,14,2
0.23657433688640594,49,1641.93212890625,STANDARD,R_A4,300.72943115234375,35,0.0,2018-01-01,300.72943115234375,0,15,2
1.0,49,1642.357421875,STANDARD,R_A4,300.7579650878906,36,0.0,2018-01-01,300.7579650878906,0,16,30
0.6481541991233826,48,1639.6068115234375,STANDARD,R_A4,300.5735168457031,36,0.0,2018-01-01,300.5735168457031,0,17,30
0.6481541991233826,48,1646.7513427734375,STANDARD,R_A4,301.0526123046875,37,0.0,2018-01-01,301.0526123046875,0,18,30
0.6481541991233826,48,1653.461669921875,STANDARD,R_A4,301.5025939941406,38,0.0,2018-01-01,301.5025939941406,0,19,30
0.6481541991233826,47,1657.8184814453125,STANDARD,R_A4,301.7947998046875,38,0.0,2018-01-01,301.7947998046875,0,20,30
1.0,20,1685.026611328125,STANDARD,R_A5,303.8440856933594,31,0.0,2018-01-01,303.8440856933594,0,1,1
1.0,20,1687.3070068359375,STANDARD,R_A5,304.0601806640625,31,0.0,2018-01-01,304.0601806640625,0,2,2
1.0,20,1689.5875244140625,STANDARD,R_A5,304.27630615234375,31,0.0,2018-01-01,304.27630615234375,0,3,3
1.0,20,1691.8680419921875,STANDARD,R_A5,304.4924011230469,31,0.0,2018-01-01,304.4924011230469,0,4,4
1.0,20,1694.1485595703125,STANDARD,R_A5,304.7085266113281,31,0.0,2018-01-01,304.7085266113281,0,5,5
1.0,20,1696.4290771484375,STANDARD,R_A5,304.9246520996094,31,0.0,2018-01-01,304.9246520996094,0,6,6
1.0,20,1698.70947265625,STANDARD,R_A5,305.446533203125,31,0.0,2018-01-01,305.446533203125,0,7,7
1.0,20,1707.6488037109375,STANDARD,R_A5,305.988037109375,31,0.0,2018-01-01,305.988037109375,0,8,11
