SWAT,CONIDX,DATE,CONJPOS,PRESSURE,CONBPRES,DEPTH,SGAS,WELL,CONKPOS,CONIPOS,DRAWDOWN,WELLMODEL
0.0960829108953476,16,2018-01-01,50,300.5489501953125,300.5489501953125,1637.3765869140625,0.0,R_A4,2,35,0,STANDARD
0.23093220591545105,17,2018-01-01,49,300.9412536621094,300.9412536621094,1643.2274169921875,0.0,R_A4,2,35,0,STANDARD
0.6481541991233826,18,2018-01-01,49,300.83935546875,300.83935546875,1641.7078857421875,0.0,R_A4,28,36,0,STANDARD
0.05327941104769707,19,2018-01-01,48,300.8229064941406,300.8229064941406,1641.462646484375,0.0,R_A4,28,36,0,STANDARD
0.6481541991233826,20,2018-01-01,48,301.194091796875,301.194091796875,1646.99755859375,0.0,R_A4,28,37,0,STANDARD
0.6481541991233826,21,2018-01-01,48,301.34967041015625,301.34967041015625,1649.3177490234375,0.0,R_A4,28,38,0,STANDARD
0.7205122709274292,22,2018-01-01,47,301.91204833984375,301.91204833984375,1657.702880859375,0.0,R_A4,28,38,0,STANDARD
1.0,1,2018-01-01,20,303.9232177734375,303.9232177734375,1685.861572265625,0.0,R_A5,1,31,0,STANDARD
1.0,2,2018-01-01,20,304.13238525390625,304.13238525390625,1688.0687255859375,0.0,R_A5,2,31,0,STANDARD
1.0,3,2018-01-01,20,304.3415222167969,304.3415222167969,1690.27587890625,0.0,R_A5,3,31,0,STANDARD
1.0,4,2018-01-01,20,304.5506896972656,304.5506896972656,1692.483154296875,0.0,R_A5,4,31,0,STANDARD
1.0,5,2018-01-01,20,304.7598571777344,304.7598571777344,1694.6903076171875,0.0,R_A5,5,31,0,STANDARD
1.0,6,2018-01-01,20,304.9690246582031,304.9690246582031,1696.8974609375,0.0,R_A5,6,31,0,STANDARD
1.0,7,2018-01-01,20,305.4839782714844,305.4839782714844,1699.104736328125,0.0,R_A5,7,31,0,STANDARD
1.0,8,2018-01-01,20,305.69317626953125,305.69317626953125,1701.3118896484375,0.0,R_A5,8,31,0,STANDARD
1.0,9,2018-01-01,21,305.2665100097656,305.2665100097656,1700.03515625,0.0,R_A5,11,31,0,STANDARD
1.0,10,2018-01-01,21,305.4527587890625,305.4527587890625,1702.00048828125,0.0,R_A5,12,31,0,STANDARD
1.0,11,2018-01-01,21,305.6509704589844,305.6509704589844,1703.9656982421875,0.0,R_A5,13,31,0,STANDARD
1.0,12,2018-01-01,21,305.83721923828125,305.83721923828125,1705.9310302734375,0.0,R_A5,14,31,0,STANDARD
1.0,13,2018-01-01,21,306.0234680175781,306.0234680175781,1707.8963623046875,0.0,R_A5,15,31,0,STANDARD
1.0,14,2018-01-01,21,306.354736328125,306.354736328125,1709.861572265625,0.0,R_A5,16,31,0,STANDARD
