REAL,FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WATER_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATER_PORV,HCPV_GAS,HCPV_TOTAL,SENSNAME,SENSCASE,RMS_SEED,FWL,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,INTERPOLATE_WO,INTERPOLATE_GO,COHIBA_MODEL_MODE
29,2,0.0,0,0.0,64173132.0,0.0,0.0,0.0,66144827.0,0.0,66144827.0,0.0,0.0,relp_wo,opt,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
29,3,13677743.0,0,13677743.0,48598515.0,0.0,2516704801.0,2516704801.0,71901983.0,21815929.0,50086054.0,0.0,21815929.0,relp_wo,opt,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
29,4,0.0,0,0.0,75651057.0,0.0,0.0,0.0,77970947.0,0.0,77970947.0,0.0,0.0,relp_wo,opt,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
29,5,8901580.0,0,8901580.0,32763017.0,0.0,1637890796.0,1637890796.0,47959300.0,14195747.0,33763552.0,0.0,14195747.0,relp_wo,opt,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
29,6,0.0,0,0.0,47794372.0,0.0,0.0,0.0,49257738.0,0.0,49257738.0,0.0,0.0,relp_wo,opt,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
38,1,21888966.0,0,21888966.0,41185332.0,0.0,4027569772.0,4027569772.0,77366115.0,34920158.0,42445957.0,0.0,34920158.0,cohiba,simulation,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
38,2,0.0,0,0.0,80272498.0,0.0,0.0,0.0,82739833.0,0.0,82739833.0,0.0,0.0,cohiba,simulation,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
38,3,17294102.0,0,17294102.0,52161005.0,0.0,3182114732.0,3182114732.0,81339186.0,27584530.0,53754657.0,0.0,27584530.0,cohiba,simulation,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
38,4,0.0,0,0.0,84158645.0,0.0,0.0,0.0,86738348.0,0.0,86738348.0,0.0,0.0,cohiba,simulation,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
38,5,11853280.0,0,11853280.0,39990887.0,0.0,2181003528.0,2181003528.0,60113935.0,18903437.0,41210499.0,0.0,18903437.0,cohiba,simulation,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
38,6,0.0,0,0.0,59098523.0,0.0,0.0,0.0,60907711.0,0.0,60907711.0,0.0,0.0,cohiba,simulation,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
10,1,17852718.0,0,17852718.0,52356093.0,0.0,3284900115.0,3284900115.0,82446855.0,28486684.0,53960171.0,0.0,28486684.0,fwl,shallow,1000,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
10,2,0.0,0,0.0,77087628.0,0.0,0.0,0.0,79456776.0,0.0,79456776.0,0.0,0.0,fwl,shallow,1000,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
10,3,15878234.0,0,15878234.0,51083473.0,0.0,2921595098.0,2921595098.0,77979223.0,25331369.0,52647854.0,0.0,25331369.0,fwl,shallow,1000,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
10,4,0.0,0,0.0,69935227.0,0.0,0.0,0.0,72079885.0,0.0,72079885.0,0.0,0.0,fwl,shallow,1000,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
10,5,10360220.0,0,10360220.0,39472167.0,0.0,1906280559.0,1906280559.0,57206045.0,16526415.0,40679629.0,0.0,16526415.0,fwl,shallow,1000,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
10,6,0.0,0,0.0,50582995.0,0.0,0.0,0.0,52131651.0,0.0,52131651.0,0.0,0.0,fwl,shallow,1000,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
4,1,15725059.0,0,15725059.0,42787773.0,0.0,2893410919.0,2893410919.0,69186513.0,25087392.0,44099121.0,0.0,25087392.0,rms_seed,p10_p90,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
4,2,0.0,0,0.0,64173132.0,0.0,0.0,0.0,66144827.0,0.0,66144827.0,0.0,0.0,rms_seed,p10_p90,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
4,3,13677743.0,0,13677743.0,48598515.0,0.0,2516704801.0,2516704801.0,71901983.0,21815929.0,50086054.0,0.0,21815929.0,rms_seed,p10_p90,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
4,4,0.0,0,0.0,75651057.0,0.0,0.0,0.0,77970947.0,0.0,77970947.0,0.0,0.0,rms_seed,p10_p90,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
4,5,8901580.0,0,8901580.0,32763017.0,0.0,1637890796.0,1637890796.0,47959300.0,14195747.0,33763552.0,0.0,14195747.0,rms_seed,p10_p90,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
4,6,0.0,0,0.0,47794372.0,0.0,0.0,0.0,49257738.0,0.0,49257738.0,0.0,0.0,rms_seed,p10_p90,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
0,1,20984833.0,0,20984833.0,47516856.0,0.0,3861209330.0,3861209330.0,82447798.0,33476533.0,48971265.0,0.0,33476533.0,rms_seed,p10_p90,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
0,2,0.0,0,0.0,77087628.0,0.0,0.0,0.0,79456776.0,0.0,79456776.0,0.0,0.0,rms_seed,p10_p90,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
0,3,20214158.0,0,20214158.0,44382734.0,0.0,3719405033.0,3719405033.0,77980089.0,32240015.0,45740074.0,0.0,32240015.0,rms_seed,p10_p90,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
0,4,0.0,0,0.0,69935227.0,0.0,0.0,0.0,72079885.0,0.0,72079885.0,0.0,0.0,rms_seed,p10_p90,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
0,5,13539606.0,0,13539606.0,34558586.0,0.0,2491287482.0,2491287482.0,57206585.0,21592293.0,35614292.0,0.0,21592293.0,rms_seed,p10_p90,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
0,6,0.0,0,0.0,50582995.0,0.0,0.0,0.0,52131651.0,0.0,52131651.0,0.0,0.0,rms_seed,p10_p90,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
28,1,21793845.0,0,21793845.0,41919131.0,0.0,4010067527.0,4010067527.0,77969323.0,34766893.0,43202430.0,0.0,34766893.0,relp_wo,opt,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
28,2,0.0,0,0.0,81318354.0,0.0,0.0,0.0,83817801.0,0.0,83817801.0,0.0,0.0,relp_wo,opt,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
28,3,15926900.0,0,15926900.0,49670278.0,0.0,2930549543.0,2930549543.0,76593716.0,25404784.0,51188932.0,0.0,25404784.0,relp_wo,opt,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
28,4,0.0,0,0.0,78269389.0,0.0,0.0,0.0,80668678.0,0.0,80668678.0,0.0,0.0,relp_wo,opt,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
28,5,10742477.0,0,10742477.0,34136809.0,0.0,1976615744.0,1976615744.0,52312550.0,17132544.0,35180006.0,0.0,17132544.0,relp_wo,opt,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
28,6,0.0,0,0.0,53849651.0,0.0,0.0,0.0,55498287.0,0.0,55498287.0,0.0,0.0,relp_wo,opt,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
14,1,13160033.0,0,13160033.0,46751431.0,0.0,2421446160.0,2421446160.0,69185719.0,21000240.0,48185480.0,0.0,21000240.0,fwl,shallow,1004,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
14,2,0.0,0,0.0,64173132.0,0.0,0.0,0.0,66144827.0,0.0,66144827.0,0.0,0.0,fwl,shallow,1004,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
14,3,10722833.0,0,10722833.0,53165273.0,0.0,1973001283.0,1973001283.0,71901304.0,17107286.0,54794019.0,0.0,17107286.0,fwl,shallow,1004,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
14,4,0.0,0,0.0,75651057.0,0.0,0.0,0.0,77970947.0,0.0,77970947.0,0.0,0.0,fwl,shallow,1004,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
14,5,6501024.0,0,6501024.0,36473339.0,0.0,1196188364.0,1196188364.0,47958896.0,10370389.0,37588507.0,0.0,10370389.0,fwl,shallow,1004,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
14,6,0.0,0,0.0,47794372.0,0.0,0.0,0.0,49257738.0,0.0,49257738.0,0.0,0.0,fwl,shallow,1004,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
