WELLMODEL,CONJPOS,PRESSURE,SWAT,WELL,CONIDX,CONKPOS,DATE,CONBPRES,DEPTH,DRAWDOWN,CONIPOS,SGAS
STANDARD,30,302.6177978515625,0.9468157291412354,R_A2,16,16,2018-01-01,302.6177978515625,1668.9207763671875,0,22,0.0
STANDARD,30,302.7598876953125,0.9130762815475464,R_A2,17,17,2018-01-01,302.7598876953125,1671.0386962890625,0,22,0.0
STANDARD,30,302.8929443359375,0.9496216773986816,R_A2,18,18,2018-01-01,302.8929443359375,1673.0218505859375,0,22,0.0
STANDARD,30,303.0179443359375,0.6481541991233826,R_A2,19,27,2018-01-01,303.0179443359375,1674.8851318359375,0,22,0.0
STANDARD,29,302.9870300292969,0.6481541991233826,R_A2,20,27,2018-01-01,302.9870300292969,1674.42431640625,0,22,0.0
STANDARD,29,303.11114501953125,1.0,R_A2,21,28,2018-01-01,303.11114501953125,1676.274169921875,0,22,0.0
STANDARD,29,303.2352600097656,1.0,R_A2,22,29,2018-01-01,303.2352600097656,1678.1240234375,0,22,0.0
STANDARD,29,303.67108154296875,1.0,R_A2,23,30,2018-01-01,303.67108154296875,1679.973876953125,0,22,0.0
STANDARD,29,303.84637451171875,1.0,R_A2,24,31,2018-01-01,303.84637451171875,1681.82373046875,0,22,0.0
STANDARD,41,298.65887451171875,0.6481541991233826,R_A3,1,1,2018-01-01,298.65887451171875,1609.877685546875,0,28,0.0
STANDARD,41,298.79412841796875,0.11944804340600967,R_A3,2,2,2018-01-01,298.79412841796875,1611.8958740234375,0,28,0.0
STANDARD,41,298.92938232421875,0.17671731114387512,R_A3,3,3,2018-01-01,298.92938232421875,1613.9139404296875,0,28,0.0
STANDARD,41,298.2471618652344,0.1829000860452652,R_A3,4,3,2018-01-01,298.2471618652344,1603.7342529296875,0,29,0.0
STANDARD,41,298.3839111328125,0.36603355407714844,R_A3,5,4,2018-01-01,298.3839111328125,1605.7747802734375,0,29,0.0
STANDARD,41,298.5206604003906,0.8089011311531067,R_A3,6,5,2018-01-01,298.5206604003906,1607.8153076171875,0,29,0.0
STANDARD,41,298.65740966796875,0.3287033140659332,R_A3,7,6,2018-01-01,298.65740966796875,1609.85595703125,0,29,0.0
