CONIDX,SWAT,WELLMODEL,CONKPOS,SGAS,PRESSURE,CONJPOS,CONBPRES,DATE,CONIPOS,DRAWDOWN,WELL,DEPTH
24,1.0,STANDARD,30,0.0,303.994140625,29,303.994140625,2018-01-01,22,0,R_A2,1683.3831787109375
1,0.6481541991233826,STANDARD,1,0.0,298.30029296875,41,298.30029296875,2018-01-01,28,0,R_A3,1607.113037109375
2,0.19971522688865662,STANDARD,2,0.0,298.4395751953125,41,298.4395751953125,2018-01-01,28,0,R_A3,1609.1912841796875
3,0.20025359094142914,STANDARD,3,0.0,298.578857421875,41,298.578857421875,2018-01-01,28,0,R_A3,1611.2696533203125
4,0.31801652908325195,STANDARD,4,0.0,298.7181396484375,41,298.7181396484375,2018-01-01,28,0,R_A3,1613.3480224609375
5,0.6481541991233826,STANDARD,5,0.0,298.8574523925781,41,298.8574523925781,2018-01-01,28,0,R_A3,1615.42626953125
6,0.24503038823604584,STANDARD,6,0.0,298.9967346191406,41,298.9967346191406,2018-01-01,28,0,R_A3,1617.504638671875
7,0.19898861646652222,STANDARD,6,0.0,298.5519104003906,41,298.5519104003906,2018-01-01,29,0,R_A3,1610.867431640625
8,0.20386186242103577,STANDARD,7,0.0,298.6846008300781,41,298.6846008300781,2018-01-01,29,0,R_A3,1612.847412109375
9,0.20346632599830627,STANDARD,8,0.0,298.8172912597656,41,298.8172912597656,2018-01-01,29,0,R_A3,1614.827392578125
10,0.8091797828674316,STANDARD,9,0.0,298.95001220703125,41,298.95001220703125,2018-01-01,29,0,R_A3,1616.807373046875
11,0.8127567172050476,STANDARD,10,0.0,299.08270263671875,41,299.08270263671875,2018-01-01,29,0,R_A3,1618.787353515625
12,0.050087932497262955,STANDARD,11,0.0,299.2289733886719,41,299.2289733886719,2018-01-01,29,0,R_A3,1620.9696044921875
13,0.058480434119701385,STANDARD,12,0.0,299.3888244628906,41,299.3888244628906,2018-01-01,29,0,R_A3,1623.3543701171875
14,0.38662976026535034,STANDARD,13,0.0,299.5486755371094,41,299.5486755371094,2018-01-01,29,0,R_A3,1625.7391357421875
