CONIPOS,DATE,CONJPOS,SWAT,WELLMODEL,WELL,DEPTH,PRESSURE,CONIDX,CONKPOS,CONBPRES,DRAWDOWN,SGAS
22,2018-01-01,29,1.0,STANDARD,R_A2,1676.1676025390625,303.02569580078125,20,27,303.02569580078125,0,0.0
22,2018-01-01,29,1.0,STANDARD,R_A2,1677.9368896484375,303.47802734375,21,28,303.47802734375,0,0.0
22,2018-01-01,29,1.0,STANDARD,R_A2,1679.7061767578125,303.64569091796875,22,29,303.64569091796875,0,0.0
22,2018-01-01,29,1.0,STANDARD,R_A2,1681.4754638671875,303.8133544921875,23,30,303.8133544921875,0,0.0
22,2018-01-01,29,1.0,STANDARD,R_A2,1683.2447509765625,303.98101806640625,24,31,303.98101806640625,0,0.0
28,2018-01-01,41,0.6481541991233826,STANDARD,R_A3,1609.243408203125,298.53814697265625,1,1,298.53814697265625,0,0.0
28,2018-01-01,41,0.1989089697599411,STANDARD,R_A3,1611.3077392578125,298.676513671875,2,2,298.676513671875,0,0.0
28,2018-01-01,41,0.19339895248413086,STANDARD,R_A3,1613.3720703125,298.8148498535156,3,3,298.8148498535156,0,0.0
28,2018-01-01,41,0.3768196403980255,STANDARD,R_A3,1615.4365234375,298.9532165527344,4,4,298.9532165527344,0,0.0
28,2018-01-01,41,0.6481541991233826,STANDARD,R_A3,1617.5008544921875,299.0915832519531,5,5,299.0915832519531,0,0.0
28,2018-01-01,41,0.11064504086971283,STANDARD,R_A3,1619.565185546875,299.2299499511719,6,6,299.2299499511719,0,0.0
29,2018-01-01,41,0.2853010296821594,STANDARD,R_A3,1609.3663330078125,298.54638671875,7,6,298.54638671875,0,0.0
29,2018-01-01,41,0.1971457451581955,STANDARD,R_A3,1611.4163818359375,298.68377685546875,8,7,298.68377685546875,0,0.0
29,2018-01-01,41,0.19843679666519165,STANDARD,R_A3,1613.46630859375,298.8211669921875,9,8,298.8211669921875,0,0.0
29,2018-01-01,41,0.6858067512512207,STANDARD,R_A3,1615.516357421875,298.95855712890625,10,9,298.95855712890625,0,0.0
29,2018-01-01,41,0.6481541991233826,STANDARD,R_A3,1617.5662841796875,299.095947265625,11,10,299.095947265625,0,0.0
29,2018-01-01,41,0.0510573647916317,STANDARD,R_A3,1619.750732421875,299.24237060546875,12,11,299.24237060546875,0,0.0
29,2018-01-01,41,0.054299186915159225,STANDARD,R_A3,1622.0697021484375,299.3978271484375,13,12,299.3978271484375,0,0.0
29,2018-01-01,41,0.37318161129951477,STANDARD,R_A3,1624.388671875,299.5532531738281,14,13,299.5532531738281,0,0.0
29,2018-01-01,41,0.35039278864860535,STANDARD,R_A3,1626.707763671875,299.7087097167969,15,14,299.7087097167969,0,0.0
29,2018-01-01,41,0.4955688714981079,STANDARD,R_A3,1629.026611328125,299.8641662597656,16,15,299.8641662597656,0,0.0
29,2018-01-01,41,0.8111844658851624,STANDARD,R_A3,1630.9468994140625,299.992919921875,17,16,299.992919921875,0,0.0
29,2018-01-01,41,0.7162989377975464,STANDARD,R_A3,1633.5262451171875,300.16583251953125,18,27,300.16583251953125,0,0.0
29,2018-01-01,41,0.043079812079668045,STANDARD,R_A3,1637.1630859375,300.40966796875,19,28,300.40966796875,0,0.0
29,2018-01-01,41,0.11963227391242981,STANDARD,R_A3,1640.8001708984375,300.6535339355469,20,29,300.6535339355469,0,0.0
29,2018-01-01,41,0.6481541991233826,STANDARD,R_A3,1644.4371337890625,300.89739990234375,21,30,300.89739990234375,0,0.0
29,2018-01-01,41,0.06493213027715683,STANDARD,R_A3,1648.0740966796875,301.14129638671875,22,31,301.14129638671875,0,0.0
30,2018-01-01,52,0.05092088505625725,STANDARD,R_A4,1631.1873779296875,300.009033203125,1,1,300.009033203125,0,0.0
31,2018-01-01,52,0.04962099716067314,STANDARD,R_A4,1627.4293212890625,299.7571105957031,2,1,299.7571105957031,0,0.0
31,2018-01-01,52,0.051607757806777954,STANDARD,R_A4,1629.4896240234375,299.89520263671875,3,2,299.89520263671875,0,0.0
31,2018-01-01,52,0.054534994065761566,STANDARD,R_A4,1631.5498046875,300.0333251953125,4,3,300.0333251953125,0,0.0
31,2018-01-01,52,0.056367576122283936,STANDARD,R_A4,1633.610107421875,300.17144775390625,5,4,300.17144775390625,0,0.0
32,2018-01-01,52,0.05706184357404709,STANDARD,R_A4,1632.3968505859375,300.0901184082031,6,4,300.0901184082031,0,0.0
32,2018-01-01,51,0.11242767423391342,STANDARD,R_A4,1635.880615234375,300.3236999511719,7,4,300.3236999511719,0,0.0
33,2018-01-01,51,0.1584090143442154,STANDARD,R_A4,1637.321044921875,300.4202575683594,8,4,300.4202575683594,0,0.0
33,2018-01-01,51,0.19343797862529755,STANDARD,R_A4,1635.474609375,300.29644775390625,9,3,300.29644775390625,0,0.0
33,2018-01-01,50,0.06403730064630508,STANDARD,R_A4,1642.1485595703125,300.74395751953125,10,4,300.74395751953125,0,0.0
34,2018-01-01,50,0.062113311141729355,STANDARD,R_A4,1641.132080078125,300.67578125,11,4,300.67578125,0,0.0
34,2018-01-01,50,0.6481541991233826,STANDARD,R_A4,1639.20703125,300.5467224121094,12,3,300.5467224121094,0,0.0
35,2018-01-01,50,0.2713562548160553,STANDARD,R_A4,1640.9061279296875,300.66064453125,13,3,300.66064453125,0,0.0
35,2018-01-01,50,0.23927634954452515,STANDARD,R_A4,1639.0426025390625,300.53570556640625,14,2,300.53570556640625,0,0.0
35,2018-01-01,49,0.24014364182949066,STANDARD,R_A4,1641.93212890625,300.72943115234375,15,2,300.72943115234375,0,0.0
36,2018-01-01,49,0.24251782894134521,STANDARD,R_A4,1642.357421875,300.7579650878906,16,30,300.7579650878906,0,0.0
36,2018-01-01,48,0.21051277220249176,STANDARD,R_A4,1639.6068115234375,300.5735168457031,17,30,300.5735168457031,0,0.0
37,2018-01-01,48,0.6481541991233826,STANDARD,R_A4,1646.7513427734375,301.0526123046875,18,30,301.0526123046875,0,0.0
38,2018-01-01,48,0.6481541991233826,STANDARD,R_A4,1653.461669921875,301.5025939941406,19,30,301.5025939941406,0,0.0
38,2018-01-01,47,0.6481541991233826,STANDARD,R_A4,1657.8184814453125,301.7947998046875,20,30,301.7947998046875,0,0.0
31,2018-01-01,20,1.0,STANDARD,R_A5,1685.026611328125,303.8440856933594,1,1,303.8440856933594,0,0.0
31,2018-01-01,20,1.0,STANDARD,R_A5,1687.3070068359375,304.0601806640625,2,2,304.0601806640625,0,0.0
31,2018-01-01,20,1.0,STANDARD,R_A5,1689.5875244140625,304.27630615234375,3,3,304.27630615234375,0,0.0
31,2018-01-01,20,1.0,STANDARD,R_A5,1691.8680419921875,304.4924011230469,4,4,304.4924011230469,0,0.0
31,2018-01-01,20,1.0,STANDARD,R_A5,1694.1485595703125,304.7085266113281,5,5,304.7085266113281,0,0.0
31,2018-01-01,20,1.0,STANDARD,R_A5,1696.4290771484375,304.9246520996094,6,6,304.9246520996094,0,0.0
31,2018-01-01,20,1.0,STANDARD,R_A5,1698.70947265625,305.446533203125,7,7,305.446533203125,0,0.0
31,2018-01-01,20,1.0,STANDARD,R_A5,1707.6488037109375,305.988037109375,8,11,305.988037109375,0,0.0
31,2018-01-01,20,1.0,STANDARD,R_A5,1709.5638427734375,306.1695251464844,9,12,306.1695251464844,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1701.7845458984375,305.4322814941406,10,12,305.4322814941406,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1703.735107421875,305.6291198730469,11,13,305.6291198730469,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1705.6856689453125,305.81396484375,12,14,305.81396484375,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1707.63623046875,305.9988098144531,13,15,305.9988098144531,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1709.5867919921875,306.3287048339844,14,16,306.3287048339844,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1711.537353515625,306.5135498046875,15,17,306.5135498046875,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1713.35400390625,306.6856994628906,16,18,306.6856994628906,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1714.3951416015625,306.7843933105469,17,19,306.7843933105469,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1715.7628173828125,306.75689697265625,18,27,306.75689697265625,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1718.098388671875,306.978271484375,19,28,306.978271484375,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1720.43408203125,307.5054016113281,20,29,307.5054016113281,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1722.7696533203125,307.7267761230469,21,30,307.7267761230469,0,0.0
31,2018-01-01,21,1.0,STANDARD,R_A5,1725.105224609375,307.9481506347656,22,31,307.9481506347656,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1695.20263671875,305.11419677734375,1,1,305.11419677734375,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1696.7510986328125,305.2609558105469,2,2,305.2609558105469,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1698.299560546875,305.4076843261719,3,3,305.4076843261719,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1699.84814453125,305.554443359375,4,4,305.554443359375,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1701.3966064453125,305.7012023925781,5,5,305.7012023925781,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1702.9451904296875,305.84796142578125,6,6,305.84796142578125,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1704.49365234375,305.6956481933594,7,7,305.6956481933594,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1706.042236328125,305.8424072265625,8,8,305.8424072265625,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1707.5906982421875,306.2882080078125,9,9,306.2882080078125,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1709.1392822265625,306.1291809082031,10,10,306.1291809082031,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1711.055419921875,306.3109130859375,11,11,306.3109130859375,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1713.3392333984375,306.52734375,12,12,306.52734375,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1715.623046875,306.7557678222656,13,13,306.7557678222656,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1717.9068603515625,306.9721984863281,14,14,306.9721984863281,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1720.190673828125,307.18865966796875,15,15,307.18865966796875,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1722.474365234375,307.55010986328125,16,16,307.55010986328125,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1724.7581787109375,307.7665710449219,17,17,307.7665710449219,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1726.394287109375,307.921630859375,18,18,307.921630859375,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1727.7508544921875,307.8930969238281,19,27,307.8930969238281,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1729.4755859375,308.3623352050781,20,28,308.3623352050781,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1731.2001953125,308.52581787109375,21,29,308.52581787109375,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1732.9249267578125,308.68927001953125,22,30,308.68927001953125,0,0.0
17,2018-01-01,42,1.0,STANDARD,R_A6,1734.649658203125,308.5469665527344,23,31,308.5469665527344,0,0.0
22,2018-03-01,30,0.0566096156835556,STANDARD,R_A2,1641.094970703125,298.6277160644531,1,1,298.6277160644531,0,0.0
22,2018-03-01,30,0.057908136397600174,STANDARD,R_A2,1642.8890380859375,298.7479553222656,2,2,298.7479553222656,0,0.0
22,2018-03-01,30,0.06063871085643768,STANDARD,R_A2,1644.68310546875,298.8681945800781,3,3,298.8681945800781,0,0.0
22,2018-03-01,30,0.06535578519105911,STANDARD,R_A2,1646.4771728515625,298.9884338378906,4,4,298.9884338378906,0,0.0
22,2018-03-01,30,0.06926474720239639,STANDARD,R_A2,1648.2713623046875,299.10870361328125,5,5,299.10870361328125,0,0.0
22,2018-03-01,30,0.3084563910961151,STANDARD,R_A2,1650.0654296875,299.2444152832031,6,6,299.2444152832031,0,0.0
22,2018-03-01,30,0.8966168165206909,STANDARD,R_A2,1651.859619140625,299.377197265625,7,7,299.377197265625,0,0.0
22,2018-03-01,30,0.8800381422042847,STANDARD,R_A2,1653.6536865234375,299.50909423828125,8,8,299.50909423828125,0,0.0
22,2018-03-01,30,0.9073923826217651,STANDARD,R_A2,1655.44775390625,299.63824462890625,9,9,299.63824462890625,0,0.0
22,2018-03-01,30,0.907592236995697,STANDARD,R_A2,1657.2418212890625,299.97509765625,10,10,299.97509765625,0,0.0
22,2018-03-01,30,0.07633029669523239,STANDARD,R_A2,1659.1368408203125,300.1680603027344,11,11,300.1680603027344,0,0.0
22,2018-03-01,30,0.08213029056787491,STANDARD,R_A2,1661.132568359375,300.3019714355469,12,12,300.3019714355469,0,0.0
22,2018-03-01,30,0.4750232398509979,STANDARD,R_A2,1663.12841796875,300.7181091308594,13,13,300.7181091308594,0,0.0
22,2018-03-01,30,0.5129441618919373,STANDARD,R_A2,1665.1241455078125,300.91168212890625,14,14,300.91168212890625,0,0.0
22,2018-03-01,30,0.6795510649681091,STANDARD,R_A2,1667.1199951171875,301.0446472167969,15,15,301.0446472167969,0,0.0
22,2018-03-01,30,0.970500111579895,STANDARD,R_A2,1669.11572265625,301.1759338378906,16,16,301.1759338378906,0,0.0
22,2018-03-01,30,0.9568939208984375,STANDARD,R_A2,1671.111572265625,301.3092346191406,17,17,301.3092346191406,0,0.0
22,2018-03-01,30,0.9819085001945496,STANDARD,R_A2,1672.9881591796875,301.4348449707031,18,18,301.4348449707031,0,0.0
22,2018-03-01,29,0.9946463704109192,STANDARD,R_A2,1674.229736328125,301.4918212890625,19,18,301.4918212890625,0,0.0
22,2018-03-01,29,1.0,STANDARD,R_A2,1676.1676025390625,302.9939880371094,20,27,302.9939880371094,0,-4.0884867539478837e-17
22,2018-03-01,29,1.0,STANDARD,R_A2,1677.9368896484375,303.4444580078125,21,28,303.4444580078125,0,-1.5552910956102863e-19
22,2018-03-01,29,1.0,STANDARD,R_A2,1679.7061767578125,303.6114196777344,22,29,303.6114196777344,0,-2.2370094771299352e-20
22,2018-03-01,29,1.0,STANDARD,R_A2,1681.4754638671875,303.7782897949219,23,30,303.7782897949219,0,-5.447543197563043e-19
22,2018-03-01,29,1.0,STANDARD,R_A2,1683.2447509765625,303.1360778808594,24,31,303.1360778808594,0,-2.722343987201061e-15
31,2018-04-28,20,1.0,STANDARD,R_A5,1685.026611328125,273.7782897949219,1,1,273.7782897949219,0,-6.402026210729087e-15
31,2018-04-28,20,1.0,STANDARD,R_A5,1687.3070068359375,273.9941101074219,2,2,273.9941101074219,0,-3.802080429935073e-17
31,2018-04-28,20,1.0,STANDARD,R_A5,1689.5875244140625,274.2099914550781,3,3,274.2099914550781,0,-1.5579703326051852e-13
31,2018-04-28,20,1.0,STANDARD,R_A5,1691.8680419921875,274.4258728027344,4,4,274.4258728027344,0,-1.9621512802135005e-13
31,2018-04-28,20,1.0,STANDARD,R_A5,1694.1485595703125,274.6417541503906,5,5,274.6417541503906,0,-1.9042166660761944e-13
31,2018-04-28,20,1.0,STANDARD,R_A5,1696.4290771484375,274.8576354980469,6,6,274.8576354980469,0,-1.454205543960016e-13
31,2018-04-28,20,1.0,STANDARD,R_A5,1698.70947265625,275.396240234375,7,7,275.396240234375,0,-3.2235539649920486e-14
31,2018-04-28,20,1.0,STANDARD,R_A5,1707.6488037109375,276.0700378417969,8,11,276.0700378417969,0,-7.04721003774722e-12
31,2018-04-28,20,1.0,STANDARD,R_A5,1709.5638427734375,276.3039855957031,9,12,276.3039855957031,0,-6.0747075772416e-12
31,2018-04-28,21,1.0,STANDARD,R_A5,1701.7845458984375,274.8052673339844,10,12,274.8052673339844,0,-2.0467230341103537e-11
31,2018-04-28,21,1.0,STANDARD,R_A5,1703.735107421875,275.0064697265625,11,13,275.0064697265625,0,-2.1524706930037274e-12
31,2018-04-28,21,1.0,STANDARD,R_A5,1705.6856689453125,275.1957092285156,12,14,275.1957092285156,0,-3.3394027560557094e-12
31,2018-04-28,21,1.0,STANDARD,R_A5,1707.63623046875,275.40081787109375,13,15,275.40081787109375,0,-7.40204165322611e-12
31,2018-04-28,21,1.0,STANDARD,R_A5,1709.5867919921875,275.7662048339844,14,16,275.7662048339844,0,-6.04571948059629e-12
31,2018-04-28,21,1.0,STANDARD,R_A5,1711.537353515625,275.9948425292969,15,17,275.9948425292969,0,-1.4795648430390718e-12
31,2018-04-28,21,1.0,STANDARD,R_A5,1713.35400390625,276.20806884765625,16,18,276.20806884765625,0,-3.0454486588810115e-12
31,2018-04-28,21,1.0,STANDARD,R_A5,1714.3951416015625,276.3204650878906,17,19,276.3204650878906,0,0.0
31,2018-04-28,21,1.0,STANDARD,R_A5,1715.7628173828125,276.30157470703125,18,27,276.30157470703125,0,-2.4557680108200364e-12
31,2018-04-28,21,1.0,STANDARD,R_A5,1718.098388671875,276.55206298828125,19,28,276.55206298828125,0,-2.132538286583885e-12
31,2018-04-28,21,1.0,STANDARD,R_A5,1720.43408203125,291.3354187011719,20,29,291.3354187011719,0,-2.651046654807684e-19
31,2018-04-28,21,1.0,STANDARD,R_A5,1722.7696533203125,302.0503234863281,21,30,302.0503234863281,0,5.529120137313935e-20
31,2018-04-28,21,1.0,STANDARD,R_A5,1725.105224609375,305.7576904296875,22,31,305.7576904296875,0,1.5544563863616894e-20
28,2018-07-03,41,0.6493527293205261,STANDARD,R_A3,1609.243408203125,280.7762145996094,1,1,280.7762145996094,0,0.0
28,2018-07-03,41,0.19959257543087006,STANDARD,R_A3,1611.3077392578125,280.9250793457031,2,2,280.9250793457031,0,0.0
28,2018-07-03,41,0.1940731257200241,STANDARD,R_A3,1613.3720703125,281.0628967285156,3,3,281.0628967285156,0,0.0
28,2018-07-03,41,0.3763870596885681,STANDARD,R_A3,1615.4365234375,281.21649169921875,4,4,281.21649169921875,0,0.0
28,2018-07-03,41,0.6494330763816833,STANDARD,R_A3,1617.5008544921875,281.3593444824219,5,5,281.3593444824219,0,0.0
28,2018-07-03,41,0.11098235100507736,STANDARD,R_A3,1619.565185546875,281.50830078125,6,6,281.50830078125,0,0.0
29,2018-07-03,41,0.285491943359375,STANDARD,R_A3,1609.3663330078125,280.7935791015625,7,6,280.7935791015625,0,0.0
29,2018-07-03,41,0.19739650189876556,STANDARD,R_A3,1611.4163818359375,280.9303283691406,8,7,280.9303283691406,0,0.0
29,2018-07-03,41,0.19884340465068817,STANDARD,R_A3,1613.46630859375,281.067138671875,9,8,281.067138671875,0,0.0
29,2018-07-03,41,0.6871662139892578,STANDARD,R_A3,1615.516357421875,281.212890625,10,9,281.212890625,0,0.0
29,2018-07-03,41,0.6496075391769409,STANDARD,R_A3,1617.5662841796875,281.5110778808594,11,10,281.5110778808594,0,0.0
29,2018-07-03,41,0.051169272512197495,STANDARD,R_A3,1619.750732421875,281.7893371582031,12,11,281.7893371582031,0,0.0
29,2018-07-03,41,0.054432086646556854,STANDARD,R_A3,1622.0697021484375,281.944091796875,13,12,281.944091796875,0,0.0
29,2018-07-03,41,0.37375912070274353,STANDARD,R_A3,1624.388671875,282.0992126464844,14,13,282.0992126464844,0,0.0
29,2018-07-03,41,0.3509323298931122,STANDARD,R_A3,1626.707763671875,283.0542297363281,15,14,283.0542297363281,0,0.0
29,2018-07-03,41,0.4958399832248688,STANDARD,R_A3,1629.026611328125,282.7232360839844,16,15,282.7232360839844,0,0.0
29,2018-07-03,41,0.8098831176757812,STANDARD,R_A3,1630.9468994140625,282.8720397949219,17,16,282.8720397949219,0,0.0
29,2018-07-03,41,0.717096209526062,STANDARD,R_A3,1633.5262451171875,286.74212646484375,18,27,286.74212646484375,0,0.0
29,2018-07-03,41,0.043367352336645126,STANDARD,R_A3,1637.1630859375,282.8969421386719,19,28,282.8969421386719,0,0.0
29,2018-07-03,41,0.12010208517313004,STANDARD,R_A3,1640.8001708984375,283.1398010253906,20,29,283.1398010253906,0,0.0
29,2018-07-03,41,0.6494929790496826,STANDARD,R_A3,1644.4371337890625,283.3923034667969,21,30,283.3923034667969,0,0.0
29,2018-07-03,41,0.06505182385444641,STANDARD,R_A3,1648.0740966796875,283.6418762207031,22,31,283.6418762207031,0,0.0
30,2018-09-12,52,0.05104614049196243,STANDARD,R_A4,1631.1873779296875,275.9226379394531,1,1,275.9226379394531,0,0.0
31,2018-09-12,52,0.049741409718990326,STANDARD,R_A4,1627.4293212890625,275.9626770019531,2,1,275.9626770019531,0,0.0
31,2018-09-12,52,0.0517345555126667,STANDARD,R_A4,1629.4896240234375,276.1000061035156,3,2,276.1000061035156,0,0.0
31,2018-09-12,52,0.05466178059577942,STANDARD,R_A4,1631.5498046875,276.23736572265625,4,3,276.23736572265625,0,0.0
31,2018-09-12,52,0.05649875849485397,STANDARD,R_A4,1633.610107421875,276.374755859375,5,4,276.374755859375,0,0.0
32,2018-09-12,52,0.0571967288851738,STANDARD,R_A4,1632.3968505859375,276.5499572753906,6,4,276.5499572753906,0,0.0
32,2018-09-12,51,0.11261550337076187,STANDARD,R_A4,1635.880615234375,276.3447570800781,7,4,276.3447570800781,0,0.0
33,2018-09-12,51,0.1583612710237503,STANDARD,R_A4,1637.321044921875,276.5335998535156,8,4,276.5335998535156,0,0.0
33,2018-09-12,51,0.19317372143268585,STANDARD,R_A4,1635.474609375,276.4189453125,9,3,276.4189453125,0,0.0
33,2018-09-12,50,0.0654091089963913,STANDARD,R_A4,1642.1485595703125,275.84820556640625,10,4,275.84820556640625,0,0.0
34,2018-09-12,50,0.06258930265903473,STANDARD,R_A4,1641.132080078125,275.9613037109375,11,4,275.9613037109375,0,0.0
34,2018-09-12,50,0.6514685750007629,STANDARD,R_A4,1639.20703125,275.8684387207031,12,3,275.8684387207031,0,0.0
35,2018-09-12,50,0.27165549993515015,STANDARD,R_A4,1640.9061279296875,276.2576904296875,13,3,276.2576904296875,0,0.0
35,2018-09-12,50,0.24022814631462097,STANDARD,R_A4,1639.0426025390625,276.2595520019531,14,2,276.2595520019531,0,0.0
35,2018-09-12,49,0.24023288488388062,STANDARD,R_A4,1641.93212890625,275.8974304199219,15,2,275.8974304199219,0,0.0
36,2018-09-12,49,0.23923850059509277,STANDARD,R_A4,1642.357421875,280.11871337890625,16,30,280.11871337890625,0,0.0
36,2018-09-12,48,0.21041320264339447,STANDARD,R_A4,1639.6068115234375,279.94927978515625,17,30,279.94927978515625,0,0.0
37,2018-09-12,48,0.6621849536895752,STANDARD,R_A4,1646.7513427734375,280.4775695800781,18,30,280.4775695800781,0,0.0
38,2018-09-12,48,0.6532030701637268,STANDARD,R_A4,1653.461669921875,280.9975280761719,19,30,280.9975280761719,0,0.0
38,2018-09-12,47,0.6523160934448242,STANDARD,R_A4,1657.8184814453125,281.2612609863281,20,30,281.2612609863281,0,0.0
17,2018-11-07,42,1.0,STANDARD,R_A6,1695.20263671875,272.5591125488281,1,1,272.5591125488281,0,-9.183521287963774e-18
17,2018-11-07,42,1.0,STANDARD,R_A6,1696.7510986328125,272.7041931152344,2,2,272.7041931152344,0,-6.723481183147394e-19
17,2018-11-07,42,1.0,STANDARD,R_A6,1698.299560546875,272.8463134765625,3,3,272.8463134765625,0,-9.115910026235527e-18
17,2018-11-07,42,1.0,STANDARD,R_A6,1699.84814453125,272.9844665527344,4,4,272.9844665527344,0,-9.48900653280512e-18
17,2018-11-07,42,1.0,STANDARD,R_A6,1701.3966064453125,273.12030029296875,5,5,273.12030029296875,0,-8.809026846158966e-18
17,2018-11-07,42,1.0,STANDARD,R_A6,1702.9451904296875,273.2594909667969,6,6,273.2594909667969,0,-4.4075441466694283e-16
17,2018-11-07,42,1.0,STANDARD,R_A6,1704.49365234375,273.1054382324219,7,7,273.1054382324219,0,-9.276143679001541e-16
17,2018-11-07,42,1.0,STANDARD,R_A6,1706.042236328125,273.25091552734375,8,8,273.25091552734375,0,-5.087044829566465e-16
17,2018-11-07,42,1.0,STANDARD,R_A6,1707.5906982421875,273.697509765625,9,9,273.697509765625,0,-2.998993603392245e-17
17,2018-11-07,42,1.0,STANDARD,R_A6,1709.1392822265625,274.09222412109375,10,10,274.09222412109375,0,0.0
17,2018-11-07,42,1.0,STANDARD,R_A6,1711.055419921875,274.6415100097656,11,11,274.6415100097656,0,-2.3498793010356706e-16
17,2018-11-07,42,1.0,STANDARD,R_A6,1713.3392333984375,274.8586730957031,12,12,274.8586730957031,0,-9.95343982630445e-17
17,2018-11-07,42,1.0,STANDARD,R_A6,1715.623046875,275.0725402832031,13,13,275.0725402832031,0,-3.547483998122479e-18
17,2018-11-07,42,1.0,STANDARD,R_A6,1717.9068603515625,275.28851318359375,14,14,275.28851318359375,0,-1.51411575077741e-18
17,2018-11-07,42,1.0,STANDARD,R_A6,1720.190673828125,275.50311279296875,15,15,275.50311279296875,0,-2.7838631166574138e-18
