CONJPOS,DATE,CONIPOS,CONKPOS,CONBPRES,DRAWDOWN,SWAT,PRESSURE,SGAS,WELLMODEL,CONIDX,DEPTH,WELL
51,2018-01-01,33,4,300.4202575683594,0,0.0618814118206501,300.4202575683594,0.0,STANDARD,8,1637.321044921875,R_A4
51,2018-01-01,33,3,300.29644775390625,0,0.05655122175812721,300.29644775390625,0.0,STANDARD,9,1635.474609375,R_A4
50,2018-01-01,33,4,300.74395751953125,0,0.14695020020008087,300.74395751953125,0.0,STANDARD,10,1642.1485595703125,R_A4
50,2018-01-01,34,4,300.67578125,0,0.08094248175621033,300.67578125,0.0,STANDARD,11,1641.132080078125,R_A4
50,2018-01-01,34,3,300.5467224121094,0,0.12245088070631027,300.5467224121094,0.0,STANDARD,12,1639.20703125,R_A4
50,2018-01-01,35,3,300.66064453125,0,0.12450994551181793,300.66064453125,0.0,STANDARD,13,1640.9061279296875,R_A4
50,2018-01-01,35,2,300.53570556640625,0,0.22938384115695953,300.53570556640625,0.0,STANDARD,14,1639.0426025390625,R_A4
49,2018-01-01,35,2,300.72943115234375,0,0.23677265644073486,300.72943115234375,0.0,STANDARD,15,1641.93212890625,R_A4
49,2018-01-01,36,30,300.7579650878906,0,0.12670636177062988,300.7579650878906,0.0,STANDARD,16,1642.357421875,R_A4
48,2018-01-01,36,30,300.5735168457031,0,0.04889002442359924,300.5735168457031,0.0,STANDARD,17,1639.6068115234375,R_A4
48,2018-01-01,37,30,301.0526123046875,0,0.2428145408630371,301.0526123046875,0.0,STANDARD,18,1646.7513427734375,R_A4
48,2018-01-01,38,30,301.5025939941406,0,0.3171052634716034,301.5025939941406,0.0,STANDARD,19,1653.461669921875,R_A4
47,2018-01-01,38,30,301.7947998046875,0,0.6481541991233826,301.7947998046875,0.0,STANDARD,20,1657.8184814453125,R_A4
20,2018-01-01,31,1,304.1498718261719,0,1.0,304.1498718261719,0.0,STANDARD,1,1685.026611328125,R_A5
20,2018-01-01,31,2,304.0601806640625,0,1.0,304.0601806640625,0.0,STANDARD,2,1687.3070068359375,R_A5
20,2018-01-01,31,3,304.27630615234375,0,1.0,304.27630615234375,0.0,STANDARD,3,1689.5875244140625,R_A5
20,2018-01-01,31,4,304.4924011230469,0,1.0,304.4924011230469,0.0,STANDARD,4,1691.8680419921875,R_A5
20,2018-01-01,31,5,304.7085266113281,0,1.0,304.7085266113281,0.0,STANDARD,5,1694.1485595703125,R_A5
20,2018-01-01,31,6,304.9246520996094,0,1.0,304.9246520996094,0.0,STANDARD,6,1696.4290771484375,R_A5
20,2018-01-01,31,7,305.446533203125,0,1.0,305.446533203125,0.0,STANDARD,7,1698.70947265625,R_A5
20,2018-01-01,31,8,305.66265869140625,0,1.0,305.66265869140625,0.0,STANDARD,8,1700.989990234375,R_A5
20,2018-01-01,31,9,305.8787841796875,0,1.0,305.8787841796875,0.0,STANDARD,9,1703.2706298828125,R_A5
20,2018-01-01,31,11,305.988037109375,0,1.0,305.988037109375,0.0,STANDARD,10,1707.6488037109375,R_A5
20,2018-01-01,31,12,306.1695251464844,0,1.0,306.1695251464844,0.0,STANDARD,11,1709.5638427734375,R_A5
21,2018-01-01,31,12,305.4322814941406,0,1.0,305.4322814941406,0.0,STANDARD,12,1701.7845458984375,R_A5
21,2018-01-01,31,13,305.6291198730469,0,1.0,305.6291198730469,0.0,STANDARD,13,1703.735107421875,R_A5
21,2018-01-01,31,14,305.81396484375,0,1.0,305.81396484375,0.0,STANDARD,14,1705.6856689453125,R_A5
21,2018-01-01,31,15,305.9988098144531,0,1.0,305.9988098144531,0.0,STANDARD,15,1707.63623046875,R_A5
21,2018-01-01,31,16,306.3287048339844,0,1.0,306.3287048339844,0.0,STANDARD,16,1709.5867919921875,R_A5
21,2018-01-01,31,17,306.5135498046875,0,1.0,306.5135498046875,0.0,STANDARD,17,1711.537353515625,R_A5
21,2018-01-01,31,18,306.6856994628906,0,1.0,306.6856994628906,0.0,STANDARD,18,1713.35400390625,R_A5
21,2018-01-01,31,19,306.7843933105469,0,1.0,306.7843933105469,0.0,STANDARD,19,1714.3951416015625,R_A5
21,2018-01-01,31,27,306.75689697265625,0,1.0,306.75689697265625,0.0,STANDARD,20,1715.7628173828125,R_A5
21,2018-01-01,31,28,306.978271484375,0,1.0,306.978271484375,0.0,STANDARD,21,1718.098388671875,R_A5
21,2018-01-01,31,29,307.5054016113281,0,1.0,307.5054016113281,0.0,STANDARD,22,1720.43408203125,R_A5
21,2018-01-01,31,30,307.7267761230469,0,1.0,307.7267761230469,0.0,STANDARD,23,1722.7696533203125,R_A5
21,2018-01-01,31,31,307.9481506347656,0,1.0,307.9481506347656,0.0,STANDARD,24,1725.105224609375,R_A5
42,2018-01-01,17,1,305.11419677734375,0,1.0,305.11419677734375,0.0,STANDARD,1,1695.20263671875,R_A6
42,2018-01-01,17,2,305.2609558105469,0,1.0,305.2609558105469,0.0,STANDARD,2,1696.7510986328125,R_A6
42,2018-01-01,17,3,305.4076843261719,0,1.0,305.4076843261719,0.0,STANDARD,3,1698.299560546875,R_A6
42,2018-01-01,17,4,305.554443359375,0,1.0,305.554443359375,0.0,STANDARD,4,1699.84814453125,R_A6
42,2018-01-01,17,5,305.7012023925781,0,1.0,305.7012023925781,0.0,STANDARD,5,1701.3966064453125,R_A6
42,2018-01-01,17,6,305.84796142578125,0,1.0,305.84796142578125,0.0,STANDARD,6,1702.9451904296875,R_A6
42,2018-01-01,17,7,305.6956481933594,0,1.0,305.6956481933594,0.0,STANDARD,7,1704.49365234375,R_A6
42,2018-01-01,17,8,305.8424072265625,0,1.0,305.8424072265625,0.0,STANDARD,8,1706.042236328125,R_A6
42,2018-01-01,17,9,306.2882080078125,0,1.0,306.2882080078125,0.0,STANDARD,9,1707.5906982421875,R_A6
42,2018-01-01,17,10,306.4349670410156,0,1.0,306.4349670410156,0.0,STANDARD,10,1709.1392822265625,R_A6
42,2018-01-01,17,11,306.3109130859375,0,1.0,306.3109130859375,0.0,STANDARD,11,1711.055419921875,R_A6
42,2018-01-01,17,12,306.52734375,0,1.0,306.52734375,0.0,STANDARD,12,1713.3392333984375,R_A6
42,2018-01-01,17,13,306.7557678222656,0,1.0,306.7557678222656,0.0,STANDARD,13,1715.623046875,R_A6
42,2018-01-01,17,14,306.9721984863281,0,1.0,306.9721984863281,0.0,STANDARD,14,1717.9068603515625,R_A6
42,2018-01-01,17,15,307.18865966796875,0,1.0,307.18865966796875,0.0,STANDARD,15,1720.190673828125,R_A6
42,2018-01-01,17,16,307.55010986328125,0,1.0,307.55010986328125,0.0,STANDARD,16,1722.474365234375,R_A6
42,2018-01-01,17,17,307.7665710449219,0,1.0,307.7665710449219,0.0,STANDARD,17,1724.7581787109375,R_A6
42,2018-01-01,17,18,307.921630859375,0,1.0,307.921630859375,0.0,STANDARD,18,1726.394287109375,R_A6
42,2018-01-01,17,27,307.8930969238281,0,1.0,307.8930969238281,0.0,STANDARD,19,1727.7508544921875,R_A6
42,2018-01-01,17,28,308.3623352050781,0,1.0,308.3623352050781,0.0,STANDARD,20,1729.4755859375,R_A6
42,2018-01-01,17,29,308.52581787109375,0,1.0,308.52581787109375,0.0,STANDARD,21,1731.2001953125,R_A6
42,2018-01-01,17,30,308.68927001953125,0,1.0,308.68927001953125,0.0,STANDARD,22,1732.9249267578125,R_A6
42,2018-01-01,17,31,308.5469665527344,0,1.0,308.5469665527344,0.0,STANDARD,23,1734.649658203125,R_A6
