WELL,CONIDX,DATE,DRAWDOWN,CONBPRES,WELLMODEL,CONJPOS,DEPTH,CONKPOS,SWAT,SGAS,PRESSURE,CONIPOS
R_A3,18,2018-01-01,0,299.8224792480469,STANDARD,41,1629.7574462890625,17,0.7672736644744873,0.0,299.8224792480469,29
R_A3,19,2018-01-01,0,299.96240234375,STANDARD,41,1631.844482421875,29,1.0,0.0,299.96240234375,29
R_A3,20,2018-01-01,0,300.22186279296875,STANDARD,41,1635.7147216796875,30,0.046573229134082794,0.0,300.22186279296875,29
R_A3,21,2018-01-01,0,300.4813537597656,STANDARD,41,1639.5849609375,31,0.10302304476499557,0.0,300.4813537597656,29
R_A3,22,2018-01-01,0,300.7408447265625,STANDARD,41,1643.4552001953125,32,0.7996127009391785,0.0,300.7408447265625,29
R_A3,23,2018-01-01,0,301.0003662109375,STANDARD,41,1647.325439453125,33,0.06854307651519775,0.0,301.0003662109375,29
R_A4,1,2018-01-01,0,299.9514465332031,STANDARD,52,1631.68115234375,1,0.052571527659893036,0.0,299.9514465332031,30
R_A4,2,2018-01-01,0,299.6770935058594,STANDARD,52,1627.588623046875,1,0.05252514407038689,0.0,299.6770935058594,31
R_A4,3,2018-01-01,0,299.8126220703125,STANDARD,52,1629.6103515625,2,0.053676195442676544,0.0,299.8126220703125,31
R_A4,4,2018-01-01,0,299.9481506347656,STANDARD,52,1631.632080078125,3,0.05452153459191322,0.0,299.9481506347656,31
R_A4,5,2018-01-01,0,300.08367919921875,STANDARD,52,1633.65380859375,4,0.057931434363126755,0.0,300.08367919921875,31
R_A4,6,2018-01-01,0,299.97149658203125,STANDARD,52,1631.9803466796875,4,0.05923342704772949,0.0,299.97149658203125,32
R_A4,7,2018-01-01,0,300.1557922363281,STANDARD,51,1634.7291259765625,4,0.05785023048520088,0.0,300.1557922363281,32
R_A4,8,2018-01-01,0,300.36175537109375,STANDARD,51,1637.801025390625,4,0.06378426402807236,0.0,300.36175537109375,33
R_A4,9,2018-01-01,0,300.2415466308594,STANDARD,51,1636.00830078125,3,0.06270205974578857,0.0,300.2415466308594,33
R_A4,10,2018-01-01,0,300.3910827636719,STANDARD,50,1638.2384033203125,4,0.06218184903264046,0.0,300.3910827636719,33
R_A4,11,2018-01-01,0,300.5966491699219,STANDARD,50,1641.3043212890625,4,0.0661354809999466,0.0,300.5966491699219,34
R_A4,12,2018-01-01,0,300.4663391113281,STANDARD,50,1639.3609619140625,3,0.06596758216619492,0.0,300.4663391113281,34
