SGAS,DEPTH,DRAWDOWN,PRESSURE,CONIPOS,SWAT,CONIDX,CONBPRES,WELLMODEL,CONKPOS,DATE,CONJPOS,WELL
0.0,1635.5146484375,0,300.4152526855469,29,1.0,17,300.4152526855469,STANDARD,26,2018-01-01,41,R_A3
0.0,1638.830078125,0,300.6375427246094,29,0.04439500346779823,18,300.6375427246094,STANDARD,27,2018-01-01,41,R_A3
0.0,1642.145751953125,0,300.85986328125,29,0.049860015511512756,19,300.85986328125,STANDARD,28,2018-01-01,41,R_A3
0.0,1645.4613037109375,0,301.08221435546875,29,1.0,20,301.08221435546875,STANDARD,29,2018-01-01,41,R_A3
0.0,1648.77685546875,0,301.3045654296875,29,0.15607470273971558,21,301.3045654296875,STANDARD,30,2018-01-01,41,R_A3
0.0,1627.1380615234375,0,299.8536682128906,30,0.04697345197200775,1,299.8536682128906,STANDARD,1,2018-01-01,52,R_A4
0.0,1626.1246337890625,0,299.7857360839844,31,0.04688538983464241,2,299.7857360839844,STANDARD,1,2018-01-01,52,R_A4
0.0,1628.2099609375,0,299.9255065917969,31,0.04906812310218811,3,299.9255065917969,STANDARD,2,2018-01-01,52,R_A4
0.0,1630.295166015625,0,300.0653076171875,31,0.05000170320272446,4,300.0653076171875,STANDARD,3,2018-01-01,52,R_A4
0.0,1632.3804931640625,0,300.2051086425781,31,0.052375197410583496,5,300.2051086425781,STANDARD,4,2018-01-01,52,R_A4
0.0,1632.56298828125,0,300.21734619140625,32,0.05235116556286812,6,300.21734619140625,STANDARD,4,2018-01-01,52,R_A4
0.0,1634.48583984375,0,300.3462829589844,32,0.055348023772239685,7,300.3462829589844,STANDARD,5,2018-01-01,52,R_A4
0.0,1636.4088134765625,0,300.4751892089844,32,0.0586499460041523,8,300.4751892089844,STANDARD,6,2018-01-01,52,R_A4
0.0,1636.884765625,0,300.5071105957031,32,0.05768424645066261,9,300.5071105957031,STANDARD,6,2018-01-01,51,R_A4
0.0,1635.0595703125,0,300.3847351074219,32,0.05674782022833824,10,300.3847351074219,STANDARD,5,2018-01-01,51,R_A4
0.0,1636.42626953125,0,300.47637939453125,33,0.05599285289645195,11,300.47637939453125,STANDARD,5,2018-01-01,51,R_A4
0.0,1638.3067626953125,0,300.60247802734375,33,0.05599232390522957,12,300.60247802734375,STANDARD,6,2018-01-01,51,R_A4
0.0,1642.5283203125,0,300.8855285644531,33,0.20079027116298676,13,300.8855285644531,STANDARD,6,2018-01-01,50,R_A4
0.0,1641.469482421875,0,300.8145446777344,34,0.6481541991233826,14,300.8145446777344,STANDARD,6,2018-01-01,50,R_A4
0.0,1639.4910888671875,0,300.681884765625,34,0.059335287660360336,15,300.681884765625,STANDARD,5,2018-01-01,50,R_A4
0.0,1637.512939453125,0,300.5492248535156,34,0.05849983170628548,16,300.5492248535156,STANDARD,4,2018-01-01,50,R_A4
0.0,1638.445556640625,0,300.6117858886719,35,0.0583302266895771,17,300.6117858886719,STANDARD,4,2018-01-01,50,R_A4
0.0,1641.0953369140625,0,300.7894592285156,35,0.07799121737480164,18,300.7894592285156,STANDARD,4,2018-01-01,49,R_A4
0.0,1641.4559326171875,0,300.8136291503906,36,0.2327500730752945,19,300.8136291503906,STANDARD,29,2018-01-01,49,R_A4
0.0,1644.6787109375,0,301.02972412109375,36,0.28509706258773804,20,301.02972412109375,STANDARD,29,2018-01-01,48,R_A4
0.0,1650.341552734375,0,301.40948486328125,37,0.23448796570301056,21,301.40948486328125,STANDARD,29,2018-01-01,48,R_A4
0.0,1644.9493408203125,0,301.0478820800781,37,0.6481541991233826,22,301.0478820800781,STANDARD,28,2018-01-01,48,R_A4
0.0,1650.0003662109375,0,301.3865966796875,38,0.19976279139518738,23,301.3865966796875,STANDARD,28,2018-01-01,48,R_A4
0.0,1658.97607421875,0,301.9886169433594,38,0.7643318176269531,24,301.9886169433594,STANDARD,28,2018-01-01,47,R_A4
0.0,1684.8951416015625,0,303.8316345214844,31,1.0,1,303.8316345214844,STANDARD,1,2018-01-01,20,R_A5
0.0,1686.973876953125,0,304.02862548828125,31,1.0,2,304.02862548828125,STANDARD,2,2018-01-01,20,R_A5
0.0,1689.0526123046875,0,304.2256164550781,31,1.0,3,304.2256164550781,STANDARD,3,2018-01-01,20,R_A5
0.0,1691.13134765625,0,304.422607421875,31,1.0,4,304.422607421875,STANDARD,4,2018-01-01,20,R_A5
0.0,1693.2100830078125,0,304.6195983886719,31,1.0,5,304.6195983886719,STANDARD,5,2018-01-01,20,R_A5
0.0,1695.2889404296875,0,304.81658935546875,31,1.0,6,304.81658935546875,STANDARD,6,2018-01-01,20,R_A5
0.0,1697.36767578125,0,305.3193664550781,31,1.0,7,305.3193664550781,STANDARD,7,2018-01-01,20,R_A5
0.0,1702.020751953125,0,305.4546813964844,31,1.0,8,305.4546813964844,STANDARD,11,2018-01-01,21,R_A5
0.0,1704.0289306640625,0,305.6449890136719,31,1.0,9,305.6449890136719,STANDARD,12,2018-01-01,21,R_A5
0.0,1706.037109375,0,305.8472595214844,31,1.0,10,305.8472595214844,STANDARD,13,2018-01-01,21,R_A5
0.0,1708.0452880859375,0,306.03759765625,31,1.0,11,306.03759765625,STANDARD,14,2018-01-01,21,R_A5
0.0,1710.053466796875,0,306.2279052734375,31,1.0,12,306.2279052734375,STANDARD,15,2018-01-01,21,R_A5
0.0,1712.061767578125,0,306.563232421875,31,1.0,13,306.563232421875,STANDARD,16,2018-01-01,21,R_A5
0.0,1714.0147705078125,0,306.74835205078125,31,1.0,14,306.74835205078125,STANDARD,17,2018-01-01,21,R_A5
0.0,1715.3502197265625,0,306.8749084472656,31,1.0,15,306.8749084472656,STANDARD,18,2018-01-01,21,R_A5
0.0,1717.014404296875,0,306.87554931640625,31,1.0,16,306.87554931640625,STANDARD,26,2018-01-01,21,R_A5
0.0,1719.1474609375,0,307.07769775390625,31,1.0,17,307.07769775390625,STANDARD,27,2018-01-01,21,R_A5
0.0,1721.2803955078125,0,307.58563232421875,31,1.0,18,307.58563232421875,STANDARD,28,2018-01-01,21,R_A5
0.0,1723.413330078125,0,307.78778076171875,31,1.0,19,307.78778076171875,STANDARD,29,2018-01-01,21,R_A5
0.0,1725.5462646484375,0,307.98992919921875,31,1.0,20,307.98992919921875,STANDARD,30,2018-01-01,21,R_A5
0.0,1693.812744140625,0,304.98248291015625,17,1.0,1,304.98248291015625,STANDARD,1,2018-01-01,42,R_A6
0.0,1695.3389892578125,0,305.12713623046875,17,1.0,2,305.12713623046875,STANDARD,2,2018-01-01,42,R_A6
0.0,1696.8651123046875,0,305.2717590332031,17,1.0,3,305.2717590332031,STANDARD,3,2018-01-01,42,R_A6
0.0,1698.39111328125,0,305.4163818359375,17,1.0,4,305.4163818359375,STANDARD,4,2018-01-01,42,R_A6
0.0,1699.917236328125,0,305.5610046386719,17,1.0,5,305.5610046386719,STANDARD,5,2018-01-01,42,R_A6
0.0,1701.4434814453125,0,305.70562744140625,17,1.0,6,305.70562744140625,STANDARD,6,2018-01-01,42,R_A6
0.0,1702.969482421875,0,305.55120849609375,17,1.0,7,305.55120849609375,STANDARD,7,2018-01-01,42,R_A6
0.0,1704.49560546875,0,305.6958312988281,17,1.0,8,305.6958312988281,STANDARD,8,2018-01-01,42,R_A6
0.0,1706.021728515625,0,306.1395263671875,17,1.0,9,306.1395263671875,STANDARD,9,2018-01-01,42,R_A6
0.0,1707.5478515625,0,306.2841491699219,17,1.0,10,306.2841491699219,STANDARD,10,2018-01-01,42,R_A6
0.0,1709.45068359375,0,306.1588134765625,17,1.0,11,306.1588134765625,STANDARD,11,2018-01-01,42,R_A6
0.0,1711.7303466796875,0,306.3748474121094,17,1.0,12,306.3748474121094,STANDARD,12,2018-01-01,42,R_A6
0.0,1714.0098876953125,0,306.6028747558594,17,1.0,13,306.6028747558594,STANDARD,13,2018-01-01,42,R_A6
0.0,1716.28955078125,0,306.81890869140625,17,1.0,14,306.81890869140625,STANDARD,14,2018-01-01,42,R_A6
0.0,1718.569091796875,0,307.03497314453125,17,1.0,15,307.03497314453125,STANDARD,15,2018-01-01,42,R_A6
0.0,1720.8486328125,0,307.3960266113281,17,1.0,16,307.3960266113281,STANDARD,16,2018-01-01,42,R_A6
0.0,1723.128173828125,0,307.612060546875,17,1.0,17,307.612060546875,STANDARD,17,2018-01-01,42,R_A6
0.0,1724.6585693359375,0,307.7571105957031,17,1.0,18,307.7571105957031,STANDARD,18,2018-01-01,42,R_A6
0.0,1725.9000244140625,0,307.7176818847656,17,1.0,19,307.7176818847656,STANDARD,26,2018-01-01,42,R_A6
0.0,1727.601806640625,0,308.18475341796875,17,1.0,20,308.18475341796875,STANDARD,27,2018-01-01,42,R_A6
0.0,1729.303466796875,0,308.3460388183594,17,1.0,21,308.3460388183594,STANDARD,28,2018-01-01,42,R_A6
0.0,1731.0052490234375,0,308.2015380859375,17,1.0,22,308.2015380859375,STANDARD,29,2018-01-01,42,R_A6
