CONIDX,CONBPRES,CONIPOS,DEPTH,PRESSURE,SGAS,DRAWDOWN,WELLMODEL,DATE,CONKPOS,WELL,SWAT,CONJPOS
4,304.4015197753906,31,1690.9088134765625,304.4015197753906,0.0,0,STANDARD,2018-01-01,4,R_A5,1.0,20
5,304.6068115234375,31,1693.0751953125,304.6068115234375,0.0,0,STANDARD,2018-01-01,5,R_A5,1.0,20
6,304.8121032714844,31,1695.241455078125,304.8121032714844,0.0,0,STANDARD,2018-01-01,6,R_A5,1.0,20
7,305.32318115234375,31,1697.40771484375,305.32318115234375,0.0,0,STANDARD,2018-01-01,7,R_A5,1.0,20
8,305.5843200683594,31,1700.163330078125,305.5843200683594,0.0,0,STANDARD,2018-01-01,10,R_A5,1.0,21
9,305.4803161621094,31,1702.2913818359375,305.4803161621094,0.0,0,STANDARD,2018-01-01,11,R_A5,1.0,21
10,305.6618347167969,31,1704.20654296875,305.6618347167969,0.0,0,STANDARD,2018-01-01,12,R_A5,1.0,21
11,305.85528564453125,31,1706.1217041015625,305.85528564453125,0.0,0,STANDARD,2018-01-01,13,R_A5,1.0,21
12,306.0367736816406,31,1708.036865234375,306.0367736816406,0.0,0,STANDARD,2018-01-01,14,R_A5,1.0,21
13,306.2182922363281,31,1709.951904296875,306.2182922363281,0.0,0,STANDARD,2018-01-01,15,R_A5,1.0,21
14,306.5447998046875,31,1711.8671875,306.5447998046875,0.0,0,STANDARD,2018-01-01,16,R_A5,1.0,21
15,306.726318359375,31,1713.7822265625,306.726318359375,0.0,0,STANDARD,2018-01-01,17,R_A5,1.0,21
16,306.87652587890625,31,1715.367431640625,306.87652587890625,0.0,0,STANDARD,2018-01-01,18,R_A5,1.0,21
17,306.94586181640625,31,1716.0987548828125,306.94586181640625,0.0,0,STANDARD,2018-01-01,19,R_A5,1.0,21
18,306.9023132324219,31,1717.296875,306.9023132324219,0.0,0,STANDARD,2018-01-01,27,R_A5,1.0,21
19,307.10968017578125,31,1719.485107421875,307.10968017578125,0.0,0,STANDARD,2018-01-01,28,R_A5,1.0,21
20,307.62286376953125,31,1721.67333984375,307.62286376953125,0.0,0,STANDARD,2018-01-01,29,R_A5,1.0,21
21,307.52447509765625,31,1723.861572265625,307.52447509765625,0.0,0,STANDARD,2018-01-01,30,R_A5,1.0,21
22,308.03765869140625,31,1726.0498046875,308.03765869140625,0.0,0,STANDARD,2018-01-01,31,R_A5,1.0,21
1,305.14617919921875,17,1695.5399169921875,305.14617919921875,0.0,0,STANDARD,2018-01-01,1,R_A6,1.0,42
2,305.2936706542969,17,1697.096435546875,305.2936706542969,0.0,0,STANDARD,2018-01-01,2,R_A6,1.0,42
3,305.4411926269531,17,1698.653076171875,305.4411926269531,0.0,0,STANDARD,2018-01-01,3,R_A6,1.0,42
4,305.5887145996094,17,1700.209716796875,305.5887145996094,0.0,0,STANDARD,2018-01-01,4,R_A6,1.0,42
5,305.7362365722656,17,1701.7662353515625,305.7362365722656,0.0,0,STANDARD,2018-01-01,5,R_A6,1.0,42
6,305.5846862792969,17,1703.3228759765625,305.5846862792969,0.0,0,STANDARD,2018-01-01,6,R_A6,1.0,42
7,305.7322082519531,17,1704.87939453125,305.7322082519531,0.0,0,STANDARD,2018-01-01,7,R_A6,1.0,42
8,305.8797302246094,17,1706.43603515625,305.8797302246094,0.0,0,STANDARD,2018-01-01,8,R_A6,1.0,42
9,306.3262939453125,17,1707.99267578125,306.3262939453125,0.0,0,STANDARD,2018-01-01,9,R_A6,1.0,42
10,306.47381591796875,17,1709.5491943359375,306.47381591796875,0.0,0,STANDARD,2018-01-01,10,R_A6,1.0,42
11,306.3468933105469,17,1711.4351806640625,306.3468933105469,0.0,0,STANDARD,2018-01-01,11,R_A6,1.0,42
12,306.5568542480469,17,1713.650634765625,306.5568542480469,0.0,0,STANDARD,2018-01-01,12,R_A6,1.0,42
13,306.7787780761719,17,1715.8660888671875,306.7787780761719,0.0,0,STANDARD,2018-01-01,13,R_A6,1.0,42
14,306.9887390136719,17,1718.0814208984375,306.9887390136719,0.0,0,STANDARD,2018-01-01,14,R_A6,1.0,42
15,307.1986999511719,17,1720.296875,307.1986999511719,0.0,0,STANDARD,2018-01-01,15,R_A6,1.0,42
16,307.5537109375,17,1722.5123291015625,307.5537109375,0.0,0,STANDARD,2018-01-01,16,R_A6,1.0,42
17,307.763671875,17,1724.727783203125,307.763671875,0.0,0,STANDARD,2018-01-01,17,R_A6,1.0,42
18,307.9429626464844,17,1726.619384765625,307.9429626464844,0.0,0,STANDARD,2018-01-01,18,R_A6,1.0,42
19,307.94244384765625,17,1728.2713623046875,307.94244384765625,0.0,0,STANDARD,2018-01-01,27,R_A6,1.0,42
20,308.1069641113281,17,1730.0074462890625,308.1069641113281,0.0,0,STANDARD,2018-01-01,28,R_A6,1.0,42
21,308.5773010253906,17,1731.743408203125,308.5773010253906,0.0,0,STANDARD,2018-01-01,29,R_A6,1.0,42
22,308.7418518066406,17,1733.4794921875,308.7418518066406,0.0,0,STANDARD,2018-01-01,30,R_A6,1.0,42
23,308.6006164550781,17,1735.215576171875,308.6006164550781,0.0,0,STANDARD,2018-01-01,31,R_A6,1.0,42
1,298.3087158203125,22,1639.7410888671875,298.3087158203125,0.0,0,STANDARD,2018-03-01,1,R_A2,0.05478915944695473,30
2,298.4301452636719,22,1641.552734375,298.4301452636719,0.0,0,STANDARD,2018-03-01,2,R_A2,0.05726165324449539,30
3,298.55157470703125,22,1643.3643798828125,298.55157470703125,0.0,0,STANDARD,2018-03-01,3,R_A2,0.05949648469686508,30
4,298.6729736328125,22,1645.176025390625,298.6729736328125,0.0,0,STANDARD,2018-03-01,4,R_A2,0.06417693942785263,30
5,298.7944030761719,22,1646.98779296875,298.7944030761719,0.0,0,STANDARD,2018-03-01,5,R_A2,0.06754467636346817,30
6,298.9187927246094,22,1648.7994384765625,298.9187927246094,0.0,0,STANDARD,2018-03-01,6,R_A2,0.30917492508888245,30
7,299.0505065917969,22,1650.611083984375,299.0505065917969,0.0,0,STANDARD,2018-03-01,7,R_A2,0.8882554769515991,30
8,299.17864990234375,22,1652.4227294921875,299.17864990234375,0.0,0,STANDARD,2018-03-01,8,R_A2,0.8729793429374695,30
9,299.47283935546875,22,1654.2344970703125,299.47283935546875,0.0,0,STANDARD,2018-03-01,9,R_A2,0.8893074989318848,30
10,299.687744140625,22,1656.046142578125,299.687744140625,0.0,0,STANDARD,2018-03-01,10,R_A2,0.8988442420959473,30
11,299.4913024902344,22,1657.97021484375,299.4913024902344,0.0,0,STANDARD,2018-03-01,11,R_A2,0.07349978387355804,30
12,300.1704406738281,22,1662.043212890625,300.1704406738281,0.0,0,STANDARD,2018-03-01,13,R_A2,0.43337780237197876,30
13,300.3777770996094,22,1664.0797119140625,300.3777770996094,0.0,0,STANDARD,2018-03-01,14,R_A2,0.48516905307769775,30
14,300.5142517089844,22,1666.1160888671875,300.5142517089844,0.0,0,STANDARD,2018-03-01,15,R_A2,0.6489644050598145,30
15,300.5639953613281,22,1669.5489501953125,300.5639953613281,0.0,0,STANDARD,2018-03-01,15,R_A2,0.7029886841773987,29
16,300.6978759765625,22,1671.59228515625,300.6978759765625,0.0,0,STANDARD,2018-03-01,16,R_A2,0.9735772013664246,29
17,300.83428955078125,22,1673.6357421875,300.83428955078125,0.0,0,STANDARD,2018-03-01,17,R_A2,0.9577963352203369,29
18,300.96319580078125,22,1675.5606689453125,300.96319580078125,0.0,0,STANDARD,2018-03-01,18,R_A2,0.9935227036476135,29
19,302.6116027832031,22,1677.3642578125,302.6116027832031,0.0,0,STANDARD,2018-03-01,27,R_A2,0.7240731716156006,29
20,301.7584228515625,22,1679.0830078125,301.7584228515625,0.0,0,STANDARD,2018-03-01,28,R_A2,0.999981701374054,29
21,301.2469787597656,22,1680.8017578125,301.2469787597656,-2.0522451293913946e-08,0,STANDARD,2018-03-01,29,R_A2,0.9999997615814209,29
22,301.4368591308594,22,1682.5206298828125,301.4368591308594,0.0,0,STANDARD,2018-03-01,30,R_A2,0.9999976754188538,29
23,301.6871643066406,22,1684.2393798828125,301.6871643066406,-6.805652444930575e-16,0,STANDARD,2018-03-01,31,R_A2,1.0,29
1,283.3737487792969,31,1684.4100341796875,283.3737487792969,2.3673478108388046e-11,0,STANDARD,2018-04-28,1,R_A5,1.0,20
2,283.57879638671875,31,1686.5762939453125,283.57879638671875,2.282703366607297e-11,0,STANDARD,2018-04-28,2,R_A5,1.0,20
3,283.78375244140625,31,1688.7425537109375,283.78375244140625,2.5934615566214347e-11,0,STANDARD,2018-04-28,3,R_A5,1.0,20
4,283.9886779785156,31,1690.9088134765625,283.9886779785156,2.2046505246398063e-11,0,STANDARD,2018-04-28,4,R_A5,1.0,20
5,284.1935119628906,31,1693.0751953125,284.1935119628906,4.793094306870804e-12,0,STANDARD,2018-04-28,5,R_A5,1.0,20
6,284.3984069824219,31,1695.241455078125,284.3984069824219,1.1955204881619608e-10,0,STANDARD,2018-04-28,6,R_A5,1.0,20
7,284.9601745605469,31,1697.40771484375,284.9601745605469,1.575601801806492e-11,0,STANDARD,2018-04-28,7,R_A5,1.0,20
8,285.1935119628906,31,1700.163330078125,285.1935119628906,-1.4081320311165602e-11,0,STANDARD,2018-04-28,10,R_A5,1.0,21
9,284.7949523925781,31,1702.2913818359375,284.7949523925781,-8.704892362487726e-11,0,STANDARD,2018-04-28,11,R_A5,1.0,21
10,284.9764404296875,31,1704.20654296875,284.9764404296875,-8.855571137500462e-11,0,STANDARD,2018-04-28,12,R_A5,1.0,21
11,285.1711120605469,31,1706.1217041015625,285.1711120605469,-5.020473186484464e-12,0,STANDARD,2018-04-28,13,R_A5,1.0,21
12,285.3544616699219,31,1708.036865234375,285.3544616699219,-7.2010461829585815e-12,0,STANDARD,2018-04-28,14,R_A5,1.0,21
13,285.54595947265625,31,1709.951904296875,285.54595947265625,-1.414384668413371e-12,0,STANDARD,2018-04-28,15,R_A5,1.0,21
14,285.91632080078125,31,1711.8671875,285.91632080078125,-4.509907258840734e-13,0,STANDARD,2018-04-28,16,R_A5,1.0,21
15,286.1680908203125,31,1713.7822265625,286.1680908203125,-5.006173969292205e-13,0,STANDARD,2018-04-28,17,R_A5,1.0,21
16,286.36602783203125,31,1715.367431640625,286.36602783203125,-8.01178622143045e-13,0,STANDARD,2018-04-28,18,R_A5,1.0,21
17,286.44952392578125,31,1716.0987548828125,286.44952392578125,0.0,0,STANDARD,2018-04-28,19,R_A5,1.0,21
18,286.4754333496094,31,1717.296875,286.4754333496094,-4.8004860449171044e-14,0,STANDARD,2018-04-28,27,R_A5,1.0,21
19,286.6923828125,31,1719.485107421875,286.6923828125,-4.312621494726582e-14,0,STANDARD,2018-04-28,28,R_A5,1.0,21
20,287.1922607421875,31,1721.67333984375,287.1922607421875,-3.80547576415112e-14,0,STANDARD,2018-04-28,29,R_A5,1.0,21
21,287.06658935546875,31,1723.861572265625,287.06658935546875,-2.2862271361538504e-14,0,STANDARD,2018-04-28,30,R_A5,1.0,21
22,295.1805419921875,31,1726.0498046875,295.1805419921875,-3.3033160494272524e-19,0,STANDARD,2018-04-28,31,R_A5,1.0,21
1,276.3115539550781,28,1608.948486328125,276.3115539550781,0.0,0,STANDARD,2018-07-03,1,R_A3,0.649578332901001,41
2,276.449951171875,28,1611.02734375,276.449951171875,0.0,0,STANDARD,2018-07-03,2,R_A3,0.19947384297847748,41
3,276.5885009765625,28,1613.106201171875,276.5885009765625,0.0,0,STANDARD,2018-07-03,3,R_A3,0.118597611784935,41
4,275.99859619140625,29,1604.6434326171875,275.99859619140625,0.0,0,STANDARD,2018-07-03,3,R_A3,0.17208214104175568,41
5,276.1351013183594,29,1606.69482421875,276.1351013183594,0.0,0,STANDARD,2018-07-03,4,R_A3,0.18401500582695007,41
6,276.5561218261719,29,1608.7462158203125,276.5561218261719,0.0,0,STANDARD,2018-07-03,5,R_A3,0.7997144460678101,41
7,276.6982116699219,29,1610.797607421875,276.6982116699219,0.0,0,STANDARD,2018-07-03,6,R_A3,0.6496010422706604,41
8,276.9264831542969,29,1612.848876953125,276.9264831542969,0.0,0,STANDARD,2018-07-03,7,R_A3,0.19902722537517548,41
9,277.063720703125,29,1614.9002685546875,277.063720703125,0.0,0,STANDARD,2018-07-03,8,R_A3,0.20051829516887665,41
10,277.3041076660156,29,1616.95166015625,277.3041076660156,0.0,0,STANDARD,2018-07-03,9,R_A3,0.7977402210235596,41
11,279.8824462890625,29,1619.0030517578125,279.8824462890625,0.0,0,STANDARD,2018-07-03,10,R_A3,0.794437050819397,41
12,283.3651428222656,29,1621.1414794921875,283.3651428222656,0.0,0,STANDARD,2018-07-03,11,R_A3,0.04839027300477028,41
13,283.5137634277344,29,1623.366943359375,283.5137634277344,0.0,0,STANDARD,2018-07-03,12,R_A3,0.053936220705509186,41
14,283.6624450683594,29,1625.592529296875,283.6624450683594,0.0,0,STANDARD,2018-07-03,13,R_A3,0.2464464157819748,41
15,283.8831481933594,29,1627.8179931640625,283.8831481933594,0.0,0,STANDARD,2018-07-03,14,R_A3,0.2236289530992508,41
16,284.3040466308594,29,1630.04345703125,284.3040466308594,0.0,0,STANDARD,2018-07-03,15,R_A3,0.4973725378513336,41
17,284.4602355957031,29,1632.0345458984375,284.4602355957031,0.0,0,STANDARD,2018-07-03,16,R_A3,0.8072742223739624,41
18,284.154296875,29,1634.8094482421875,284.154296875,0.0,0,STANDARD,2018-07-03,27,R_A3,0.17672082781791687,41
19,284.379638671875,29,1638.40185546875,284.379638671875,0.0,0,STANDARD,2018-07-03,28,R_A3,0.04605104401707649,41
20,284.6184997558594,29,1641.9942626953125,284.6184997558594,0.0,0,STANDARD,2018-07-03,29,R_A3,0.05323750525712967,41
21,284.8585205078125,29,1645.586669921875,284.8585205078125,0.0,0,STANDARD,2018-07-03,30,R_A3,0.1371554583311081,41
22,285.0985107421875,29,1649.1790771484375,285.0985107421875,0.0,0,STANDARD,2018-07-03,31,R_A3,0.10000422596931458,41
1,276.6490783691406,30,1634.095703125,276.6490783691406,0.0,0,STANDARD,2018-09-12,1,R_A4,0.05125536024570465,52
2,276.2290954589844,31,1626.615478515625,276.2290954589844,0.0,0,STANDARD,2018-09-12,1,R_A4,0.04761118441820145,52
3,276.3661193847656,31,1628.6719970703125,276.3661193847656,0.0,0,STANDARD,2018-09-12,2,R_A4,0.05056943744421005,52
4,276.50311279296875,31,1630.728515625,276.50311279296875,0.0,0,STANDARD,2018-09-12,3,R_A4,0.052338678389787674,52
5,276.6401062011719,31,1632.78515625,276.6401062011719,0.0,0,STANDARD,2018-09-12,4,R_A4,0.054757919162511826,52
6,276.77703857421875,31,1634.8416748046875,276.77703857421875,0.0,0,STANDARD,2018-09-12,5,R_A4,0.058029089123010635,52
7,276.66455078125,32,1631.7362060546875,276.66455078125,0.0,0,STANDARD,2018-09-12,5,R_A4,0.0548478439450264,52
8,276.9407043457031,32,1637.285400390625,276.9407043457031,0.0,0,STANDARD,2018-09-12,5,R_A4,0.05866297334432602,51
9,276.8215026855469,32,1635.4942626953125,276.8215026855469,0.0,0,STANDARD,2018-09-12,4,R_A4,0.055294785648584366,51
10,277.0339660644531,33,1636.8221435546875,277.0339660644531,0.0,0,STANDARD,2018-09-12,4,R_A4,0.05929340422153473,51
11,276.9119873046875,33,1634.9910888671875,276.9119873046875,0.0,0,STANDARD,2018-09-12,3,R_A4,0.05649000033736229,51
12,277.42486572265625,33,1644.1357421875,277.42486572265625,0.0,0,STANDARD,2018-09-12,4,R_A4,0.06538360565900803,50
13,277.389892578125,34,1641.555419921875,277.389892578125,0.0,0,STANDARD,2018-09-12,4,R_A4,0.06524018943309784,50
14,277.26263427734375,34,1639.645263671875,277.26263427734375,0.0,0,STANDARD,2018-09-12,3,R_A4,0.12453145533800125,50
15,277.569091796875,35,1642.4544677734375,277.569091796875,0.0,0,STANDARD,2018-09-12,3,R_A4,0.13480456173419952,50
16,277.4501037597656,35,1640.6702880859375,277.4501037597656,0.0,0,STANDARD,2018-09-12,2,R_A4,0.23065127432346344,50
17,277.33099365234375,35,1638.8861083984375,277.33099365234375,0.0,0,STANDARD,2018-09-12,1,R_A4,0.1371375322341919,50
18,277.468994140625,35,1642.529052734375,277.468994140625,0.0,0,STANDARD,2018-09-12,1,R_A4,0.23733453452587128,49
19,277.0797119140625,36,1641.6754150390625,277.0797119140625,0.0,0,STANDARD,2018-09-12,29,R_A4,0.05545952171087265,49
20,276.9183044433594,36,1641.478515625,276.9183044433594,0.0,0,STANDARD,2018-09-12,29,R_A4,0.05599766597151756,48
21,277.6167907714844,37,1649.3538818359375,277.6167907714844,0.0,0,STANDARD,2018-09-12,29,R_A4,0.24252022802829742,48
22,278.33404541015625,38,1656.570068359375,278.33404541015625,0.0,0,STANDARD,2018-09-12,29,R_A4,0.23378506302833557,48
23,277.9730529785156,38,1650.876708984375,277.9730529785156,0.0,0,STANDARD,2018-09-12,28,R_A4,0.273865669965744,48
24,278.22198486328125,38,1656.945556640625,278.22198486328125,0.0,0,STANDARD,2018-09-12,28,R_A4,0.11775457113981247,47
1,274.580322265625,17,1695.5399169921875,274.580322265625,4.694470469502514e-15,0,STANDARD,2018-11-07,1,R_A6,1.0,42
2,274.7262268066406,17,1697.096435546875,274.7262268066406,2.2916726262684536e-15,0,STANDARD,2018-11-07,2,R_A6,1.0,42
3,274.8681640625,17,1698.653076171875,274.8681640625,1.709650559584251e-15,0,STANDARD,2018-11-07,3,R_A6,1.0,42
4,275.0045471191406,17,1700.209716796875,275.0045471191406,1.3929646341218917e-15,0,STANDARD,2018-11-07,4,R_A6,1.0,42
5,275.1390380859375,17,1701.7662353515625,275.1390380859375,1.8712277058662843e-15,0,STANDARD,2018-11-07,5,R_A6,1.0,42
6,274.98095703125,17,1703.3228759765625,274.98095703125,2.4828145724249684e-13,0,STANDARD,2018-11-07,6,R_A6,1.0,42
7,275.1282653808594,17,1704.87939453125,275.1282653808594,2.926850656368579e-13,0,STANDARD,2018-11-07,7,R_A6,1.0,42
8,275.2745361328125,17,1706.43603515625,275.2745361328125,2.5944762831187074e-13,0,STANDARD,2018-11-07,8,R_A6,1.0,42
9,275.72320556640625,17,1707.99267578125,275.72320556640625,1.1031586004384662e-14,0,STANDARD,2018-11-07,9,R_A6,1.0,42
