PRESSURE,WELL,DRAWDOWN,CONIDX,SGAS,CONBPRES,DEPTH,CONKPOS,CONJPOS,WELLMODEL,SWAT,DATE,CONIPOS
299.09796142578125,R_A3,0,4,0.0,299.09796142578125,1616.165283203125,4,41,STANDARD,0.3793877363204956,2018-01-01,28
299.2403869628906,R_A3,0,5,0.0,299.2403869628906,1618.290283203125,5,41,STANDARD,0.8236865997314453,2018-01-01,28
299.3828430175781,R_A3,0,6,0.0,299.3828430175781,1620.4154052734375,6,41,STANDARD,0.6481541991233826,2018-01-01,28
298.664306640625,R_A3,0,7,0.0,298.664306640625,1609.695068359375,6,41,STANDARD,0.33400294184684753,2018-01-01,29
298.8042907714844,R_A3,0,8,0.0,298.8042907714844,1611.7838134765625,7,41,STANDARD,0.19518917798995972,2018-01-01,29
298.9443054199219,R_A3,0,9,0.0,298.9443054199219,1613.8726806640625,8,41,STANDARD,0.19477806985378265,2018-01-01,29
299.08428955078125,R_A3,0,10,0.0,299.08428955078125,1615.9615478515625,9,41,STANDARD,0.796177327632904,2018-01-01,29
299.22430419921875,R_A3,0,11,0.0,299.22430419921875,1618.0504150390625,10,41,STANDARD,0.7959803342819214,2018-01-01,29
299.3697814941406,R_A3,0,12,0.0,299.3697814941406,1620.220703125,11,41,STANDARD,0.0473916158080101,2018-01-01,29
299.5207214355469,R_A3,0,13,0.0,299.5207214355469,1622.4722900390625,12,41,STANDARD,0.05344804748892784,2018-01-01,29
299.671630859375,R_A3,0,14,0.0,299.671630859375,1624.723876953125,13,41,STANDARD,0.3651413917541504,2018-01-01,29
299.82257080078125,R_A3,0,15,0.0,299.82257080078125,1626.9754638671875,14,41,STANDARD,0.3653831481933594,2018-01-01,29
299.9735412597656,R_A3,0,16,0.0,299.9735412597656,1629.22705078125,15,41,STANDARD,0.4859426021575928,2018-01-01,29
300.1059265136719,R_A3,0,17,0.0,300.1059265136719,1631.2020263671875,16,41,STANDARD,0.808017909526825,2018-01-01,29
300.28546142578125,R_A3,0,18,0.0,300.28546142578125,1633.8795166015625,26,41,STANDARD,0.7261192202568054,2018-01-01,29
300.5257873535156,R_A3,0,19,0.0,300.5257873535156,1637.4642333984375,27,41,STANDARD,0.04564487934112549,2018-01-01,29
300.7661437988281,R_A3,0,20,0.0,300.7661437988281,1641.0487060546875,28,41,STANDARD,0.047783199697732925,2018-01-01,29
