CONJPOS,DEPTH,DRAWDOWN,CONKPOS,CONIDX,CONIPOS,CONBPRES,PRESSURE,SGAS,SWAT,WELLMODEL,WELL,DATE
47,1660.019287109375,0,29,20,38,302.0743408203125,302.0743408203125,0.0,0.7415895462036133,STANDARD,R_A4,2018-01-01
20,1685.6832275390625,0,1,1,31,303.90631103515625,303.90631103515625,0.0,1.0,STANDARD,R_A5,2018-01-01
20,1687.8448486328125,0,2,2,31,304.11114501953125,304.11114501953125,0.0,1.0,STANDARD,R_A5,2018-01-01
20,1690.00634765625,0,3,3,31,304.31597900390625,304.31597900390625,0.0,1.0,STANDARD,R_A5,2018-01-01
20,1692.1678466796875,0,4,4,31,304.52081298828125,304.52081298828125,0.0,1.0,STANDARD,R_A5,2018-01-01
20,1694.3294677734375,0,5,5,31,304.7256774902344,304.7256774902344,0.0,1.0,STANDARD,R_A5,2018-01-01
20,1696.490966796875,0,6,6,31,304.9305114746094,304.9305114746094,0.0,1.0,STANDARD,R_A5,2018-01-01
20,1698.6524658203125,0,7,7,31,305.4411315917969,305.4411315917969,0.0,1.0,STANDARD,R_A5,2018-01-01
20,1700.8140869140625,0,8,8,31,305.64599609375,305.64599609375,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1702.0316162109375,0,11,9,31,305.4557189941406,305.4557189941406,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1703.9464111328125,0,12,10,31,305.6371765136719,305.6371765136719,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1705.8612060546875,0,13,11,31,305.8305969238281,305.8305969238281,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1707.77587890625,0,14,12,31,306.0120544433594,306.0120544433594,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1709.690673828125,0,15,13,31,306.1935119628906,306.1935119628906,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1711.60546875,0,16,14,31,306.5199890136719,306.5199890136719,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1713.5018310546875,0,17,15,31,306.6997375488281,306.6997375488281,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1714.799072265625,0,18,16,31,306.8226623535156,306.8226623535156,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1716.30029296875,0,26,17,31,306.807861328125,306.807861328125,0.0,1.0,STANDARD,R_A5,2018-01-01
