CONKPOS,DEPTH,CONIPOS,DATE,SGAS,PRESSURE,WELL,SWAT,CONIDX,CONBPRES,WELLMODEL,CONJPOS,DRAWDOWN
18,1674.2203369140625,22,2018-01-01,0.0,302.9838562011719,R_A2,0.9667648673057556,19,302.9838562011719,STANDARD,29,0
28,1676.191650390625,22,2018-01-01,0.0,303.1161193847656,R_A2,0.6481541991233826,20,303.1161193847656,STANDARD,29,0
29,1677.960693359375,22,2018-01-01,0.0,303.23480224609375,R_A2,0.6481541991233826,21,303.23480224609375,STANDARD,29,0
30,1679.729736328125,22,2018-01-01,0.0,303.3534851074219,R_A2,0.8243891000747681,22,303.3534851074219,STANDARD,29,0
31,1681.498779296875,22,2018-01-01,0.0,303.8155822753906,R_A2,1.0,23,303.8155822753906,STANDARD,29,0
32,1683.267822265625,22,2018-01-01,0.0,303.98321533203125,R_A2,1.0,24,303.98321533203125,STANDARD,29,0
1,1609.8089599609375,28,2018-01-01,0.0,298.6647644042969,R_A3,0.29361483454704285,1,298.6647644042969,STANDARD,41,0
1,1599.6539306640625,29,2018-01-01,0.0,297.9842529296875,R_A3,0.31504523754119873,2,297.9842529296875,STANDARD,41,0
2,1601.78466796875,29,2018-01-01,0.0,298.12701416015625,R_A3,0.18771211802959442,3,298.12701416015625,STANDARD,41,0
3,1603.915283203125,29,2018-01-01,0.0,298.2698059082031,R_A3,0.18505027890205383,4,298.2698059082031,STANDARD,41,0
4,1606.0460205078125,29,2018-01-01,0.0,298.4125671386719,R_A3,0.16076284646987915,5,298.4125671386719,STANDARD,41,0
5,1608.1767578125,29,2018-01-01,0.0,298.55535888671875,R_A3,0.8050497770309448,6,298.55535888671875,STANDARD,41,0
6,1610.307373046875,29,2018-01-01,0.0,298.6981506347656,R_A3,0.6481541991233826,7,298.6981506347656,STANDARD,41,0
7,1612.43798828125,29,2018-01-01,0.0,298.8409729003906,R_A3,0.19671602547168732,8,298.8409729003906,STANDARD,41,0
8,1614.5687255859375,29,2018-01-01,0.0,298.9837646484375,R_A3,0.1977851837873459,9,298.9837646484375,STANDARD,41,0
9,1616.6993408203125,29,2018-01-01,0.0,299.1265563964844,R_A3,0.7991988062858582,10,299.1265563964844,STANDARD,41,0
10,1618.830078125,29,2018-01-01,0.0,299.2693786621094,R_A3,0.7955386638641357,11,299.2693786621094,STANDARD,41,0
11,1621.0096435546875,29,2018-01-01,0.0,299.4154968261719,R_A3,0.04715747758746147,12,299.4154968261719,STANDARD,41,0
12,1623.2381591796875,29,2018-01-01,0.0,299.56488037109375,R_A3,0.052883509546518326,13,299.56488037109375,STANDARD,41,0
13,1625.4666748046875,29,2018-01-01,0.0,299.7142639160156,R_A3,0.36450713872909546,14,299.7142639160156,STANDARD,41,0
14,1627.6951904296875,29,2018-01-01,0.0,299.8636474609375,R_A3,0.13868089020252228,15,299.8636474609375,STANDARD,41,0
15,1629.923583984375,29,2018-01-01,0.0,300.0130310058594,R_A3,0.48852646350860596,16,300.0130310058594,STANDARD,41,0
16,1631.9688720703125,29,2018-01-01,0.0,300.1501770019531,R_A3,0.8044940829277039,17,300.1501770019531,STANDARD,41,0
28,1634.7757568359375,29,2018-01-01,0.0,300.3383483886719,R_A3,1.0,18,300.3383483886719,STANDARD,41,0
29,1638.3438720703125,29,2018-01-01,0.0,300.57757568359375,R_A3,0.04217218980193138,19,300.57757568359375,STANDARD,41,0
30,1641.9119873046875,29,2018-01-01,0.0,300.81683349609375,R_A3,0.04886253923177719,20,300.81683349609375,STANDARD,41,0
31,1645.480224609375,29,2018-01-01,0.0,301.0561218261719,R_A3,0.6481541991233826,21,301.0561218261719,STANDARD,41,0
32,1649.04833984375,29,2018-01-01,0.0,301.2953796386719,R_A3,0.28005164861679077,22,301.2953796386719,STANDARD,41,0
1,1628.5186767578125,30,2018-01-01,0.0,299.9188537597656,R_A4,0.04819699004292488,1,299.9188537597656,STANDARD,52,0
1,1625.923583984375,31,2018-01-01,0.0,299.744873046875,R_A4,0.0479532927274704,2,299.744873046875,STANDARD,52,0
2,1627.9853515625,31,2018-01-01,0.0,299.8830871582031,R_A4,0.04844062030315399,3,299.8830871582031,STANDARD,52,0
3,1630.047119140625,31,2018-01-01,0.0,300.0213317871094,R_A4,0.05031939223408699,4,300.0213317871094,STANDARD,52,0
4,1632.10888671875,31,2018-01-01,0.0,300.1595458984375,R_A4,0.052334435284137726,5,300.1595458984375,STANDARD,52,0
5,1634.170654296875,31,2018-01-01,0.0,300.29779052734375,R_A4,0.053598567843437195,6,300.29779052734375,STANDARD,52,0
5,1632.6668701171875,32,2018-01-01,0.0,300.19696044921875,R_A4,0.05449709668755531,7,300.19696044921875,STANDARD,52,0
6,1634.5443115234375,32,2018-01-01,0.0,300.3228454589844,R_A4,0.05549093708395958,8,300.3228454589844,STANDARD,52,0
6,1636.364501953125,32,2018-01-01,0.0,300.44488525390625,R_A4,0.056220944970846176,9,300.44488525390625,STANDARD,51,0
5,1634.5394287109375,32,2018-01-01,0.0,300.322509765625,R_A4,0.05495387688279152,10,300.322509765625,STANDARD,51,0
5,1637.1536865234375,33,2018-01-01,0.0,300.4977722167969,R_A4,0.05800548940896988,11,300.4977722167969,STANDARD,51,0
4,1635.3238525390625,33,2018-01-01,0.0,300.3750915527344,R_A4,0.12380111962556839,12,300.3750915527344,STANDARD,51,0
5,1642.8623046875,33,2018-01-01,0.0,300.88055419921875,R_A4,0.06073666363954544,13,300.88055419921875,STANDARD,50,0
5,1641.7984619140625,34,2018-01-01,0.0,300.8092346191406,R_A4,0.05934720113873482,14,300.8092346191406,STANDARD,50,0
4,1639.8780517578125,34,2018-01-01,0.0,300.6804504394531,R_A4,0.06041145697236061,15,300.6804504394531,STANDARD,50,0
4,1641.661865234375,35,2018-01-01,0.0,300.800048828125,R_A4,0.05771886557340622,16,300.800048828125,STANDARD,50,0
3,1639.820068359375,35,2018-01-01,0.0,300.67657470703125,R_A4,0.22814078629016876,17,300.67657470703125,STANDARD,50,0
3,1643.0296630859375,35,2018-01-01,0.0,300.89178466796875,R_A4,0.1807858794927597,18,300.89178466796875,STANDARD,49,0
2,1641.246337890625,35,2018-01-01,0.0,300.7721862792969,R_A4,0.22824159264564514,19,300.7721862792969,STANDARD,49,0
31,1641.8935546875,36,2018-01-01,0.0,300.81561279296875,R_A4,0.08432529866695404,20,300.81561279296875,STANDARD,49,0
31,1642.7139892578125,36,2018-01-01,0.0,300.87060546875,R_A4,0.05368407815694809,21,300.87060546875,STANDARD,48,0
31,1649.2491455078125,37,2018-01-01,0.0,301.3088684082031,R_A4,0.27467843890190125,22,301.3088684082031,STANDARD,48,0
31,1654.12109375,38,2018-01-01,0.0,301.6355895996094,R_A4,0.16911368072032928,23,301.6355895996094,STANDARD,48,0
30,1648.379150390625,38,2018-01-01,0.0,301.2505187988281,R_A4,0.0517350472509861,24,301.2505187988281,STANDARD,48,0
30,1655.05126953125,38,2018-01-01,0.0,301.697998046875,R_A4,0.06223366782069206,25,301.697998046875,STANDARD,47,0
1,1686.358642578125,31,2018-01-01,0.0,303.9703063964844,R_A5,1.0,1,303.9703063964844,STANDARD,20,0
2,1688.637939453125,31,2018-01-01,0.0,304.4920959472656,R_A5,1.0,2,304.4920959472656,STANDARD,20,0
3,1690.9173583984375,31,2018-01-01,0.0,304.4023132324219,R_A5,1.0,3,304.4023132324219,STANDARD,20,0
4,1693.19677734375,31,2018-01-01,0.0,304.61834716796875,R_A5,1.0,4,304.61834716796875,STANDARD,20,0
5,1695.4761962890625,31,2018-01-01,0.0,304.8343505859375,R_A5,1.0,5,304.8343505859375,STANDARD,20,0
6,1697.755615234375,31,2018-01-01,0.0,305.05035400390625,R_A5,1.0,6,305.05035400390625,STANDARD,20,0
7,1700.034912109375,31,2018-01-01,0.0,305.5721435546875,R_A5,1.0,7,305.5721435546875,STANDARD,20,0
8,1702.3143310546875,31,2018-01-01,0.0,305.7881774902344,R_A5,1.0,8,305.7881774902344,STANDARD,20,0
10,1696.290771484375,31,2018-01-01,0.0,304.91827392578125,R_A5,1.0,9,304.91827392578125,STANDARD,21,0
11,1698.4407958984375,31,2018-01-01,0.0,305.11541748046875,R_A5,1.0,10,305.11541748046875,STANDARD,21,0
12,1700.39794921875,31,2018-01-01,0.0,305.3009033203125,R_A5,1.0,11,305.3009033203125,STANDARD,21,0
13,1702.3551025390625,31,2018-01-01,0.0,305.4983215332031,R_A5,1.0,12,305.4983215332031,STANDARD,21,0
14,1704.3123779296875,31,2018-01-01,0.0,305.6838073730469,R_A5,1.0,13,305.6838073730469,STANDARD,21,0
15,1706.26953125,31,2018-01-01,0.0,305.8692932128906,R_A5,1.0,14,305.8692932128906,STANDARD,21,0
16,1708.2266845703125,31,2018-01-01,0.0,306.1997985839844,R_A5,1.0,15,306.1997985839844,STANDARD,21,0
17,1710.183837890625,31,2018-01-01,0.0,306.3852844238281,R_A5,1.0,16,306.3852844238281,STANDARD,21,0
18,1712.0406494140625,31,2018-01-01,0.0,306.5612487792969,R_A5,1.0,17,306.5612487792969,STANDARD,21,0
19,1713.300537109375,31,2018-01-01,0.0,306.6806335449219,R_A5,1.0,18,306.6806335449219,STANDARD,21,0
28,1714.966796875,31,2018-01-01,0.0,306.68145751953125,R_A5,1.0,19,306.68145751953125,STANDARD,21,0
29,1717.392333984375,31,2018-01-01,0.0,306.9113464355469,R_A5,1.0,20,306.9113464355469,STANDARD,21,0
30,1719.8179931640625,31,2018-01-01,0.0,307.447021484375,R_A5,1.0,21,307.447021484375,STANDARD,21,0
31,1722.24365234375,31,2018-01-01,0.0,307.67694091796875,R_A5,1.0,22,307.67694091796875,STANDARD,21,0
32,1724.669189453125,31,2018-01-01,0.0,307.90679931640625,R_A5,1.0,23,307.90679931640625,STANDARD,21,0
1,1694.631103515625,17,2018-01-01,0.0,305.0600280761719,R_A6,1.0,1,305.0600280761719,STANDARD,42,0
2,1696.1644287109375,17,2018-01-01,0.0,305.2053527832031,R_A6,1.0,2,305.2053527832031,STANDARD,42,0
3,1697.69775390625,17,2018-01-01,0.0,305.35064697265625,R_A6,1.0,3,305.35064697265625,STANDARD,42,0
4,1699.2310791015625,17,2018-01-01,0.0,305.4959716796875,R_A6,1.0,4,305.4959716796875,STANDARD,42,0
5,1700.764404296875,17,2018-01-01,0.0,305.6412658691406,R_A6,1.0,5,305.6412658691406,STANDARD,42,0
6,1702.2977294921875,17,2018-01-01,0.0,305.487548828125,R_A6,1.0,6,305.487548828125,STANDARD,42,0
7,1703.8310546875,17,2018-01-01,0.0,305.6328430175781,R_A6,1.0,7,305.6328430175781,STANDARD,42,0
8,1705.3643798828125,17,2018-01-01,0.0,305.7781677246094,R_A6,1.0,8,305.7781677246094,STANDARD,42,0
9,1706.897705078125,17,2018-01-01,0.0,306.2225341796875,R_A6,1.0,9,306.2225341796875,STANDARD,42,0
10,1708.4310302734375,17,2018-01-01,0.0,306.06207275390625,R_A6,1.0,10,306.06207275390625,STANDARD,42,0
11,1710.333984375,17,2018-01-01,0.0,306.2425231933594,R_A6,1.0,11,306.2425231933594,STANDARD,42,0
12,1712.6065673828125,17,2018-01-01,0.0,306.4579162597656,R_A6,1.0,12,306.4579162597656,STANDARD,42,0
13,1714.879150390625,17,2018-01-01,0.0,306.68524169921875,R_A6,1.0,13,306.68524169921875,STANDARD,42,0
14,1717.151611328125,17,2018-01-01,0.0,306.900634765625,R_A6,1.0,14,306.900634765625,STANDARD,42,0
15,1719.4241943359375,17,2018-01-01,0.0,307.1159973144531,R_A6,1.0,15,307.1159973144531,STANDARD,42,0
16,1721.69677734375,17,2018-01-01,0.0,307.4764099121094,R_A6,1.0,16,307.4764099121094,STANDARD,42,0
17,1723.9693603515625,17,2018-01-01,0.0,307.6918029785156,R_A6,1.0,17,307.6918029785156,STANDARD,42,0
18,1725.5521240234375,17,2018-01-01,0.0,307.841796875,R_A6,1.0,18,307.841796875,STANDARD,42,0
28,1726.8531494140625,17,2018-01-01,0.0,307.8080139160156,R_A6,1.0,19,307.8080139160156,STANDARD,42,0
29,1728.5618896484375,17,2018-01-01,0.0,308.2757568359375,R_A6,1.0,20,308.2757568359375,STANDARD,42,0
30,1730.270751953125,17,2018-01-01,0.0,308.4377136230469,R_A6,1.0,21,308.4377136230469,STANDARD,42,0
31,1731.9796142578125,17,2018-01-01,0.0,308.59967041015625,R_A6,1.0,22,308.59967041015625,STANDARD,42,0
32,1733.6884765625,17,2018-01-01,0.0,308.45587158203125,R_A6,1.0,23,308.45587158203125,STANDARD,42,0
1,1639.4652099609375,22,2018-03-01,0.0,298.00543212890625,R_A2,0.053095776587724686,1,298.00543212890625,STANDARD,30,0
2,1641.2353515625,22,2018-03-01,0.0,298.1240539550781,R_A2,0.054623041301965714,2,298.1240539550781,STANDARD,30,0
3,1643.00537109375,22,2018-03-01,0.0,298.2426452636719,R_A2,0.05797572061419487,3,298.2426452636719,STANDARD,30,0
4,1644.7755126953125,22,2018-03-01,0.0,298.36126708984375,R_A2,0.06368599086999893,4,298.36126708984375,STANDARD,30,0
5,1646.545654296875,22,2018-03-01,0.0,298.4798889160156,R_A2,0.06791381537914276,5,298.4798889160156,STANDARD,30,0
6,1648.3157958984375,22,2018-03-01,0.0,298.6126403808594,R_A2,0.30189964175224304,6,298.6126403808594,STANDARD,30,0
7,1650.0859375,22,2018-03-01,0.0,298.7510986328125,R_A2,0.878282368183136,7,298.7510986328125,STANDARD,30,0
8,1651.85595703125,22,2018-03-01,0.0,298.8972473144531,R_A2,0.8429405689239502,8,298.8972473144531,STANDARD,30,0
9,1653.6260986328125,22,2018-03-01,0.0,299.4569396972656,R_A2,0.6482942700386047,9,299.4569396972656,STANDARD,30,0
10,1655.396240234375,22,2018-03-01,0.0,299.7195739746094,R_A2,0.1365869790315628,10,299.7195739746094,STANDARD,30,0
11,1657.2659912109375,22,2018-03-01,0.0,299.84405517578125,R_A2,0.06856448948383331,11,299.84405517578125,STANDARD,30,0
12,1659.2353515625,22,2018-03-01,0.0,299.9803161621094,R_A2,0.0681963711977005,12,299.9803161621094,STANDARD,30,0
13,1661.2047119140625,22,2018-03-01,0.0,300.13909912109375,R_A2,0.4281732439994812,13,300.13909912109375,STANDARD,30,0
14,1663.174072265625,22,2018-03-01,0.0,300.2721862792969,R_A2,0.46390074491500854,14,300.2721862792969,STANDARD,30,0
15,1665.1435546875,22,2018-03-01,0.0,300.40576171875,R_A2,0.8982298970222473,15,300.40576171875,STANDARD,30,0
16,1667.1129150390625,22,2018-03-01,0.0,300.53851318359375,R_A2,0.9299554824829102,16,300.53851318359375,STANDARD,30,0
16,1670.1016845703125,22,2018-03-01,0.0,300.6927490234375,R_A2,0.9441698789596558,17,300.6927490234375,STANDARD,29,0
17,1672.218505859375,22,2018-03-01,0.0,300.8355407714844,R_A2,0.9035157561302185,18,300.8355407714844,STANDARD,29,0
18,1674.2203369140625,22,2018-03-01,0.0,300.9700012207031,R_A2,0.9667443633079529,19,300.9700012207031,STANDARD,29,0
28,1676.191650390625,22,2018-03-01,0.0,301.9241638183594,R_A2,0.6482435464859009,20,301.9241638183594,STANDARD,29,0
29,1677.960693359375,22,2018-03-01,0.0,302.05572509765625,R_A2,0.648884654045105,21,302.05572509765625,STANDARD,29,0
30,1679.729736328125,22,2018-03-01,0.0,302.5406494140625,R_A2,0.824346125125885,22,302.5406494140625,STANDARD,29,0
31,1681.498779296875,22,2018-03-01,-6.316631652415403e-14,303.4779968261719,R_A2,1.0,23,303.4779968261719,STANDARD,29,0
32,1683.267822265625,22,2018-03-01,-2.2629093355554762e-14,303.8205261230469,R_A2,1.0,24,303.8205261230469,STANDARD,29,0
1,1686.358642578125,31,2018-04-28,-1.110361043561714e-12,277.4178771972656,R_A5,1.0,1,277.4178771972656,STANDARD,20,0
2,1688.637939453125,31,2018-04-28,-1.2555205356271082e-12,277.939208984375,R_A5,1.0,2,277.939208984375,STANDARD,20,0
3,1690.9173583984375,31,2018-04-28,-2.702254869521581e-12,277.84979248046875,R_A5,1.0,3,277.84979248046875,STANDARD,20,0
4,1693.19677734375,31,2018-04-28,-2.6932208633395627e-12,278.06573486328125,R_A5,1.0,4,278.06573486328125,STANDARD,20,0
5,1695.4761962890625,31,2018-04-28,-2.6365183907611778e-12,278.2816467285156,R_A5,1.0,5,278.2816467285156,STANDARD,20,0
6,1697.755615234375,31,2018-04-28,-2.0280955734253148e-12,278.4974060058594,R_A5,1.0,6,278.4974060058594,STANDARD,20,0
7,1700.034912109375,31,2018-04-28,-1.6563212593460018e-14,279.052490234375,R_A5,1.0,7,279.052490234375,STANDARD,20,0
8,1702.3143310546875,31,2018-04-28,-3.2864574776858557e-13,279.34100341796875,R_A5,1.0,8,279.34100341796875,STANDARD,20,0
10,1696.290771484375,31,2018-04-28,-6.9263943539010775e-12,275.9061584472656,R_A5,1.0,9,275.9061584472656,STANDARD,21,0
11,1698.4407958984375,31,2018-04-28,-3.0606003842414964e-10,276.18145751953125,R_A5,1.0,10,276.18145751953125,STANDARD,21,0
12,1700.39794921875,31,2018-04-28,-1.307457397556333e-12,276.4629821777344,R_A5,1.0,11,276.4629821777344,STANDARD,21,0
13,1702.3551025390625,31,2018-04-28,-7.242170751986521e-11,277.1256103515625,R_A5,1.0,12,277.1256103515625,STANDARD,21,0
14,1704.3123779296875,31,2018-04-28,-9.584009974528129e-11,277.32635498046875,R_A5,1.0,13,277.32635498046875,STANDARD,21,0
15,1706.26953125,31,2018-04-28,-2.0611796991421016e-11,277.5226135253906,R_A5,1.0,14,277.5226135253906,STANDARD,21,0
16,1708.2266845703125,31,2018-04-28,-1.4628192754329028e-11,277.879638671875,R_A5,1.0,15,277.879638671875,STANDARD,21,0
17,1710.183837890625,31,2018-04-28,-3.2879456535878093e-12,278.0870666503906,R_A5,1.0,16,278.0870666503906,STANDARD,21,0
18,1712.0406494140625,31,2018-04-28,-4.689665322743508e-12,278.2765808105469,R_A5,1.0,17,278.2765808105469,STANDARD,21,0
19,1713.300537109375,31,2018-04-28,-4.9256952683318644e-12,278.39776611328125,R_A5,1.0,18,278.39776611328125,STANDARD,21,0
28,1714.966796875,31,2018-04-28,-2.797193466436143e-12,287.3778076171875,R_A5,1.0,19,287.3778076171875,STANDARD,21,0
29,1717.392333984375,31,2018-04-28,-2.0838287692614976e-12,287.54241943359375,R_A5,1.0,20,287.54241943359375,STANDARD,21,0
30,1719.8179931640625,31,2018-04-28,-1.2235303915864026e-12,288.4811096191406,R_A5,1.0,21,288.4811096191406,STANDARD,21,0
31,1722.24365234375,31,2018-04-28,-7.476611553288909e-19,298.2286682128906,R_A5,1.0,22,298.2286682128906,STANDARD,21,0
32,1724.669189453125,31,2018-04-28,-3.1361221681149717e-20,304.4329528808594,R_A5,1.0,23,304.4329528808594,STANDARD,21,0
1,1609.8089599609375,28,2018-07-03,0.0,287.85577392578125,R_A3,0.2929978668689728,1,287.85577392578125,STANDARD,41,0
1,1599.6539306640625,29,2018-07-03,0.0,286.8898620605469,R_A3,0.312472403049469,2,286.8898620605469,STANDARD,41,0
2,1601.78466796875,29,2018-07-03,0.0,287.0763244628906,R_A3,0.18821007013320923,3,287.0763244628906,STANDARD,41,0
3,1603.915283203125,29,2018-07-03,0.0,287.21966552734375,R_A3,0.18580006062984467,4,287.21966552734375,STANDARD,41,0
4,1606.0460205078125,29,2018-07-03,0.0,287.3622131347656,R_A3,0.16209666430950165,5,287.3622131347656,STANDARD,41,0
5,1608.1767578125,29,2018-07-03,0.0,287.6715087890625,R_A3,0.8004260063171387,6,287.6715087890625,STANDARD,41,0
6,1610.307373046875,29,2018-07-03,0.0,287.8193054199219,R_A3,0.648978054523468,7,287.8193054199219,STANDARD,41,0
7,1612.43798828125,29,2018-07-03,0.0,287.9996032714844,R_A3,0.1973053514957428,8,287.9996032714844,STANDARD,41,0
8,1614.5687255859375,29,2018-07-03,0.0,288.1425476074219,R_A3,0.19859984517097473,9,288.1425476074219,STANDARD,41,0
9,1616.6993408203125,29,2018-07-03,0.0,288.3378601074219,R_A3,0.7986271977424622,10,288.3378601074219,STANDARD,41,0
10,1618.830078125,29,2018-07-03,0.0,289.5887756347656,R_A3,0.7945981025695801,11,289.5887756347656,STANDARD,41,0
11,1621.0096435546875,29,2018-07-03,0.0,290.344970703125,R_A3,0.047258418053388596,12,290.344970703125,STANDARD,41,0
12,1623.2381591796875,29,2018-07-03,0.0,290.4940185546875,R_A3,0.05297299474477768,13,290.4940185546875,STANDARD,41,0
13,1625.4666748046875,29,2018-07-03,0.0,290.64483642578125,R_A3,0.36481955647468567,14,290.64483642578125,STANDARD,41,0
14,1627.6951904296875,29,2018-07-03,0.0,290.8149108886719,R_A3,0.13974620401859283,15,290.8149108886719,STANDARD,41,0
15,1629.923583984375,29,2018-07-03,0.0,291.01470947265625,R_A3,0.48840293288230896,16,291.01470947265625,STANDARD,41,0
16,1631.9688720703125,29,2018-07-03,0.0,291.1585388183594,R_A3,0.8039732575416565,17,291.1585388183594,STANDARD,41,0
28,1634.7757568359375,29,2018-07-03,-3.8171645400097987e-08,289.0098571777344,R_A3,0.9999994039535522,18,289.0098571777344,STANDARD,41,0
29,1638.3438720703125,29,2018-07-03,0.0,286.4579162597656,R_A3,0.04300997033715248,19,286.4579162597656,STANDARD,41,0
30,1641.9119873046875,29,2018-07-03,0.0,286.6964416503906,R_A3,0.04958224296569824,20,286.6964416503906,STANDARD,41,0
31,1645.480224609375,29,2018-07-03,0.0,286.94189453125,R_A3,0.6494941711425781,21,286.94189453125,STANDARD,41,0
32,1649.04833984375,29,2018-07-03,0.0,287.08917236328125,R_A3,0.2476096898317337,22,287.08917236328125,STANDARD,41,0
1,1628.5186767578125,30,2018-09-12,0.0,279.8651428222656,R_A4,0.048279911279678345,1,279.8651428222656,STANDARD,52,0
1,1625.923583984375,31,2018-09-12,0.0,279.7883605957031,R_A4,0.04805067181587219,2,279.7883605957031,STANDARD,52,0
2,1627.9853515625,31,2018-09-12,0.0,279.9258728027344,R_A4,0.048550765961408615,3,279.9258728027344,STANDARD,52,0
3,1630.047119140625,31,2018-09-12,0.0,280.0633850097656,R_A4,0.05043772980570793,4,280.0633850097656,STANDARD,52,0
4,1632.10888671875,31,2018-09-12,0.0,280.2008361816406,R_A4,0.05245250463485718,5,280.2008361816406,STANDARD,52,0
5,1634.170654296875,31,2018-09-12,0.0,280.3382568359375,R_A4,0.053721461445093155,6,280.3382568359375,STANDARD,52,0
5,1632.6668701171875,32,2018-09-12,0.0,280.3295593261719,R_A4,0.05459059029817581,7,280.3295593261719,STANDARD,52,0
6,1634.5443115234375,32,2018-09-12,0.0,280.45477294921875,R_A4,0.055589593946933746,8,280.45477294921875,STANDARD,52,0
6,1636.364501953125,32,2018-09-12,0.0,280.5107421875,R_A4,0.056376516819000244,9,280.5107421875,STANDARD,51,0
5,1634.5394287109375,32,2018-09-12,0.0,280.38909912109375,R_A4,0.055096425116062164,10,280.38909912109375,STANDARD,51,0
5,1637.1536865234375,33,2018-09-12,0.0,280.6543884277344,R_A4,0.058110132813453674,11,280.6543884277344,STANDARD,51,0
4,1635.3238525390625,33,2018-09-12,0.0,280.5322265625,R_A4,0.12423650175333023,12,280.5322265625,STANDARD,51,0
5,1642.8623046875,33,2018-09-12,0.0,280.96856689453125,R_A4,0.06096570938825607,13,280.96856689453125,STANDARD,50,0
5,1641.7984619140625,34,2018-09-12,0.0,281.00537109375,R_A4,0.05933981016278267,14,281.00537109375,STANDARD,50,0
4,1639.8780517578125,34,2018-09-12,0.0,280.87725830078125,R_A4,0.06041119247674942,15,280.87725830078125,STANDARD,50,0
4,1641.661865234375,35,2018-09-12,0.0,281.0953674316406,R_A4,0.05785953253507614,16,281.0953674316406,STANDARD,50,0
3,1639.820068359375,35,2018-09-12,0.0,280.972412109375,R_A4,0.22835686802864075,17,280.972412109375,STANDARD,50,0
3,1643.0296630859375,35,2018-09-12,0.0,281.12255859375,R_A4,0.18033623695373535,18,281.12255859375,STANDARD,49,0
2,1641.246337890625,35,2018-09-12,0.0,281.0055847167969,R_A4,0.22758524119853973,19,281.0055847167969,STANDARD,49,0
31,1641.8935546875,36,2018-09-12,0.0,281.2198791503906,R_A4,0.08445107936859131,20,281.2198791503906,STANDARD,49,0
31,1642.7139892578125,36,2018-09-12,0.0,281.14215087890625,R_A4,0.05527307838201523,21,281.14215087890625,STANDARD,48,0
31,1649.2491455078125,37,2018-09-12,0.0,281.7830810546875,R_A4,0.2577078938484192,22,281.7830810546875,STANDARD,48,0
31,1654.12109375,38,2018-09-12,0.0,282.2470397949219,R_A4,0.17178191244602203,23,282.2470397949219,STANDARD,48,0
30,1648.379150390625,38,2018-09-12,0.0,281.86273193359375,R_A4,0.05245037376880646,24,281.86273193359375,STANDARD,48,0
30,1655.05126953125,38,2018-09-12,0.0,282.1699523925781,R_A4,0.06354520469903946,25,282.1699523925781,STANDARD,47,0
1,1694.631103515625,17,2018-11-07,-4.76766499543646e-12,277.01873779296875,R_A6,1.0,1,277.01873779296875,STANDARD,42,0
2,1696.1644287109375,17,2018-11-07,-2.4776519811503528e-12,277.1628112792969,R_A6,1.0,2,277.1628112792969,STANDARD,42,0
3,1697.69775390625,17,2018-11-07,-3.82578951158008e-12,277.3045959472656,R_A6,1.0,3,277.3045959472656,STANDARD,42,0
