REAL SENSNAME SENSCASE RMS_SEED HUM_MODEL_MODE GOC_NORTH_HORST FWL_CENTRAL FWL_NORTH_HORST SIMGRID_MINPV KVKH_CHANNEL KVKH_CREVASSE KVKH_LS KVKH_US FAULT_SEAL_SCALING RELPERM_INT_GO RELPERM_INT_WO MULT_VALYSAR_THERYS MULT_VALYSAR_VOLON MULT_THERYS_VOLON
63 fwl_mc p10_p90 1003 0 1640 1677.46 1659.15 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
64 fwl_mc p10_p90 1004 0 1640 1673.54 1658.31 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
65 fwl_mc p10_p90 1005 0 1640 1673.87 1658.66 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
66 fwl_mc p10_p90 1006 0 1640 1676.22 1658.12 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
67 fwl_mc p10_p90 1007 0 1640 1678.06 1660.8 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
68 fwl_mc p10_p90 1008 0 1640 1676.92 1656.13 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
69 fwl_mc p10_p90 1009 0 1640 1678.44 1658.26 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
70 minpv low 1000 0 1640 1677 1660 1 0.6 0.3 0.7 0.6 1 0 0 1 1 1
71 minpv low 1001 0 1640 1677 1660 1 0.6 0.3 0.7 0.6 1 0 0 1 1 1
72 minpv low 1002 0 1640 1677 1660 1 0.6 0.3 0.7 0.6 1 0 0 1 1 1
73 minpv low 1003 0 1640 1677 1660 1 0.6 0.3 0.7 0.6 1 0 0 1 1 1
74 minpv low 1004 0 1640 1677 1660 1 0.6 0.3 0.7 0.6 1 0 0 1 1 1
75 minpv low 1005 0 1640 1677 1660 1 0.6 0.3 0.7 0.6 1 0 0 1 1 1
76 minpv low 1006 0 1640 1677 1660 1 0.6 0.3 0.7 0.6 1 0 0 1 1 1
77 minpv low 1007 0 1640 1677 1660 1 0.6 0.3 0.7 0.6 1 0 0 1 1 1
78 minpv low 1008 0 1640 1677 1660 1 0.6 0.3 0.7 0.6 1 0 0 1 1 1
79 minpv low 1009 0 1640 1677 1660 1 0.6 0.3 0.7 0.6 1 0 0 1 1 1
80 kvkh low 1000 0 1640 1677 1660 100 0.4 0.1 0.5 0.4 1 0 0 1 1 1
81 kvkh low 1001 0 1640 1677 1660 100 0.4 0.1 0.5 0.4 1 0 0 1 1 1
82 kvkh low 1002 0 1640 1677 1660 100 0.4 0.1 0.5 0.4 1 0 0 1 1 1
83 kvkh low 1003 0 1640 1677 1660 100 0.4 0.1 0.5 0.4 1 0 0 1 1 1
84 kvkh low 1004 0 1640 1677 1660 100 0.4 0.1 0.5 0.4 1 0 0 1 1 1
85 kvkh low 1005 0 1640 1677 1660 100 0.4 0.1 0.5 0.4 1 0 0 1 1 1
86 kvkh low 1006 0 1640 1677 1660 100 0.4 0.1 0.5 0.4 1 0 0 1 1 1
87 kvkh low 1007 0 1640 1677 1660 100 0.4 0.1 0.5 0.4 1 0 0 1 1 1
88 kvkh low 1008 0 1640 1677 1660 100 0.4 0.1 0.5 0.4 1 0 0 1 1 1
89 kvkh low 1009 0 1640 1677 1660 100 0.4 0.1 0.5 0.4 1 0 0 1 1 1
90 kvkh high 1000 0 1640 1677 1660 100 0.8 0.5 0.9 0.8 1 0 0 1 1 1
91 kvkh high 1001 0 1640 1677 1660 100 0.8 0.5 0.9 0.8 1 0 0 1 1 1
92 kvkh high 1002 0 1640 1677 1660 100 0.8 0.5 0.9 0.8 1 0 0 1 1 1
93 kvkh high 1003 0 1640 1677 1660 100 0.8 0.5 0.9 0.8 1 0 0 1 1 1
94 kvkh high 1004 0 1640 1677 1660 100 0.8 0.5 0.9 0.8 1 0 0 1 1 1
95 kvkh high 1005 0 1640 1677 1660 100 0.8 0.5 0.9 0.8 1 0 0 1 1 1
96 kvkh high 1006 0 1640 1677 1660 100 0.8 0.5 0.9 0.8 1 0 0 1 1 1
97 kvkh high 1007 0 1640 1677 1660 100 0.8 0.5 0.9 0.8 1 0 0 1 1 1
98 kvkh high 1008 0 1640 1677 1660 100 0.8 0.5 0.9 0.8 1 0 0 1 1 1
99 kvkh high 1009 0 1640 1677 1660 100 0.8 0.5 0.9 0.8 1 0 0 1 1 1
100 faultseal low 1000 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 0.1 0 0 1 1 1
101 faultseal low 1001 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 0.1 0 0 1 1 1
102 faultseal low 1002 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 0.1 0 0 1 1 1
103 faultseal low 1003 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 0.1 0 0 1 1 1
104 faultseal low 1004 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 0.1 0 0 1 1 1
105 faultseal low 1005 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 0.1 0 0 1 1 1
106 faultseal low 1006 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 0.1 0 0 1 1 1
107 faultseal low 1007 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 0.1 0 0 1 1 1
108 faultseal low 1008 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 0.1 0 0 1 1 1
109 faultseal low 1009 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 0.1 0 0 1 1 1
110 faultseal high 1000 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 10 0 0 1 1 1
111 faultseal high 1001 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 10 0 0 1 1 1
112 faultseal high 1002 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 10 0 0 1 1 1
113 faultseal high 1003 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 10 0 0 1 1 1
114 faultseal high 1004 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 10 0 0 1 1 1
115 faultseal high 1005 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 10 0 0 1 1 1
116 faultseal high 1006 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 10 0 0 1 1 1
117 faultseal high 1007 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 10 0 0 1 1 1
118 faultseal high 1008 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 10 0 0 1 1 1
119 faultseal high 1009 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 10 0 0 1 1 1
120 relperm pessimistic 1000 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 -1 -1 1 1 1
121 relperm pessimistic 1001 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 -1 -1 1 1 1
122 relperm pessimistic 1002 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 -1 -1 1 1 1
123 relperm pessimistic 1003 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 -1 -1 1 1 1
124 relperm pessimistic 1004 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 -1 -1 1 1 1
125 relperm pessimistic 1005 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 -1 -1 1 1 1
126 relperm pessimistic 1006 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 -1 -1 1 1 1
127 relperm pessimistic 1007 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 -1 -1 1 1 1
128 relperm pessimistic 1008 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 -1 -1 1 1 1
129 relperm pessimistic 1009 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 -1 -1 1 1 1
130 relperm optimistic 1000 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 1 1 1 1 1
131 relperm optimistic 1001 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 1 1 1 1 1
132 relperm optimistic 1002 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 1 1 1 1 1
133 relperm optimistic 1003 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 1 1 1 1 1
134 relperm optimistic 1004 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 1 1 1 1 1
135 relperm optimistic 1005 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 1 1 1 1 1
136 relperm optimistic 1006 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 1 1 1 1 1
137 relperm optimistic 1007 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 1 1 1 1 1
138 relperm optimistic 1008 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 1 1 1 1 1
139 relperm optimistic 1009 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 1 1 1 1 1
140 mulregt low 1000 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0 0
141 mulregt low 1001 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0 0
142 mulregt low 1002 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0 0
143 mulregt low 1003 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0 0
144 mulregt low 1004 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0 0
145 mulregt low 1005 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0 0
146 mulregt low 1006 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0 0
147 mulregt low 1007 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0 0
148 mulregt low 1008 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0 0
149 mulregt low 1009 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0 0
150 multregt_mc p10_p90 1000 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0.18 0 0
151 multregt_mc p10_p90 1001 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0.01 0
152 multregt_mc p10_p90 1002 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0.02 0
153 multregt_mc p10_p90 1003 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0.01 0.01 0
154 multregt_mc p10_p90 1004 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0.01 0.37 0.02
155 multregt_mc p10_p90 1005 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0.08 0.02
156 multregt_mc p10_p90 1006 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0.04 0.07
157 multregt_mc p10_p90 1007 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0.21 0 0
158 multregt_mc p10_p90 1008 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0.58 0
159 multregt_mc p10_p90 1009 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 0 0 0.33
