PRESSURE,DATE,WELL,DEPTH,SGAS,CONIDX,WELLMODEL,CONJPOS,CONKPOS,CONBPRES,SWAT,DRAWDOWN,CONIPOS
298.8148498535156,2018-01-01,R_A3,1613.3720703125,0.0,3,STANDARD,41,3,298.8148498535156,0.15042813122272491,0,28
298.9532165527344,2018-01-01,R_A3,1615.4365234375,0.0,4,STANDARD,41,4,298.9532165527344,0.6481541991233826,0,28
299.0915832519531,2018-01-01,R_A3,1617.5008544921875,0.0,5,STANDARD,41,5,299.0915832519531,0.8328844904899597,0,28
299.2299499511719,2018-01-01,R_A3,1619.565185546875,0.0,6,STANDARD,41,6,299.2299499511719,0.6481541991233826,0,28
298.54638671875,2018-01-01,R_A3,1609.3663330078125,0.0,7,STANDARD,41,6,298.54638671875,0.6481541991233826,0,29
298.68377685546875,2018-01-01,R_A3,1611.4163818359375,0.0,8,STANDARD,41,7,298.68377685546875,0.19782783091068268,0,29
298.8211669921875,2018-01-01,R_A3,1613.46630859375,0.0,9,STANDARD,41,8,298.8211669921875,0.1995648592710495,0,29
298.95855712890625,2018-01-01,R_A3,1615.516357421875,0.0,10,STANDARD,41,9,298.95855712890625,0.7997170090675354,0,29
299.095947265625,2018-01-01,R_A3,1617.5662841796875,0.0,11,STANDARD,41,10,299.095947265625,0.8015515208244324,0,29
299.24237060546875,2018-01-01,R_A3,1619.750732421875,0.0,12,STANDARD,41,11,299.24237060546875,0.04906727373600006,0,29
299.3978271484375,2018-01-01,R_A3,1622.0697021484375,0.0,13,STANDARD,41,12,299.3978271484375,0.05435820296406746,0,29
299.5532531738281,2018-01-01,R_A3,1624.388671875,0.0,14,STANDARD,41,13,299.5532531738281,0.36790597438812256,0,29
299.8641662597656,2018-01-01,R_A3,1629.026611328125,0.0,15,STANDARD,41,15,299.8641662597656,0.5019171237945557,0,29
299.992919921875,2018-01-01,R_A3,1630.9468994140625,0.0,16,STANDARD,41,16,299.992919921875,0.8088846802711487,0,29
300.16583251953125,2018-01-01,R_A3,1633.5262451171875,0.0,17,STANDARD,41,27,300.16583251953125,0.6481541991233826,0,29
300.40966796875,2018-01-01,R_A3,1637.1630859375,0.0,18,STANDARD,41,28,300.40966796875,0.04671987146139145,0,29
300.6535339355469,2018-01-01,R_A3,1640.8001708984375,0.0,19,STANDARD,41,29,300.6535339355469,0.052011314779520035,0,29
300.89739990234375,2018-01-01,R_A3,1644.4371337890625,0.0,20,STANDARD,41,30,300.89739990234375,0.6723677515983582,0,29
301.14129638671875,2018-01-01,R_A3,1648.0740966796875,0.0,21,STANDARD,41,31,301.14129638671875,0.06565839052200317,0,29
300.009033203125,2018-01-01,R_A4,1631.1873779296875,0.0,1,STANDARD,52,1,300.009033203125,0.05159545689821243,0,30
299.7571105957031,2018-01-01,R_A4,1627.4293212890625,0.0,2,STANDARD,52,1,299.7571105957031,0.049295369535684586,0,31
299.89520263671875,2018-01-01,R_A4,1629.4896240234375,0.0,3,STANDARD,52,2,299.89520263671875,0.05215280130505562,0,31
300.0333251953125,2018-01-01,R_A4,1631.5498046875,0.0,4,STANDARD,52,3,300.0333251953125,0.054117489606142044,0,31
300.17144775390625,2018-01-01,R_A4,1633.610107421875,0.0,5,STANDARD,52,4,300.17144775390625,0.05574403703212738,0,31
300.0901184082031,2018-01-01,R_A4,1632.3968505859375,0.0,6,STANDARD,52,4,300.0901184082031,0.05757410079240799,0,32
300.3236999511719,2018-01-01,R_A4,1635.880615234375,0.0,7,STANDARD,51,4,300.3236999511719,0.05810001865029335,0,32
300.4202575683594,2018-01-01,R_A4,1637.321044921875,0.0,8,STANDARD,51,4,300.4202575683594,0.06064717099070549,0,33
