CONIDX,WELL,SWAT,CONIPOS,DATE,DEPTH,WELLMODEL,DRAWDOWN,SGAS,CONJPOS,PRESSURE,CONKPOS,CONBPRES
4,R_A5,1.0,31,2018-04-28,1694.5384521484375,STANDARD,0,0.0,20,280.1006164550781,4,280.1006164550781
5,R_A5,1.0,31,2018-04-28,1696.968505859375,STANDARD,0,0.0,20,280.3305969238281,5,280.3305969238281
6,R_A5,1.0,31,2018-04-28,1699.3984375,STANDARD,0,0.0,20,280.56085205078125,6,280.56085205078125
7,R_A5,1.0,31,2018-04-28,1701.828369140625,STANDARD,0,0.0,20,281.0970764160156,7,281.0970764160156
8,R_A5,1.0,31,2018-04-28,1704.25830078125,STANDARD,0,0.0,20,282.6957702636719,8,282.6957702636719
9,R_A5,1.0,31,2018-04-28,1693.3314208984375,STANDARD,0,5.871172688645676e-13,21,276.8857116699219,11,276.8857116699219
10,R_A5,1.0,31,2018-04-28,1695.3560791015625,STANDARD,0,9.059826998857046e-13,21,277.02862548828125,12,277.02862548828125
11,R_A5,1.0,31,2018-04-28,1697.3807373046875,STANDARD,0,6.137368174438662e-13,21,276.84222412109375,13,276.84222412109375
12,R_A5,1.0,31,2018-04-28,1699.4053955078125,STANDARD,0,1.41146304171412e-13,21,277.12109375,14,277.12109375
13,R_A5,1.0,31,2018-04-28,1701.4300537109375,STANDARD,0,1.142915921409013e-13,21,277.31463623046875,15,277.31463623046875
14,R_A5,1.0,31,2018-04-28,1703.45458984375,STANDARD,0,6.80473540471023e-14,21,279.21624755859375,16,279.21624755859375
15,R_A5,1.0,31,2018-04-28,1705.479248046875,STANDARD,0,1.2683940608438672e-14,21,281.5132141113281,17,281.5132141113281
16,R_A5,1.0,31,2018-04-28,1707.5040283203125,STANDARD,0,1.1308578483631027e-14,21,281.7435302734375,18,281.7435302734375
17,R_A5,1.0,31,2018-04-28,1709.386474609375,STANDARD,0,2.388434874954059e-14,21,281.9429016113281,19,281.9429016113281
18,R_A5,1.0,31,2018-04-28,1710.6378173828125,STANDARD,0,3.3675851414090643e-14,21,282.0669860839844,20,282.0669860839844
19,R_A5,1.0,31,2018-04-28,1712.465087890625,STANDARD,0,5.110870426416718e-14,21,286.8752746582031,26,286.8752746582031
20,R_A5,1.0,31,2018-04-28,1715.357421875,STANDARD,0,4.2858010434847216e-14,21,287.1523742675781,27,287.1523742675781
21,R_A5,1.0,31,2018-04-28,1718.249755859375,STANDARD,0,1.1645779064002408e-17,21,289.962646484375,28,289.962646484375
22,R_A5,1.0,31,2018-04-28,1721.14208984375,STANDARD,0,7.28869055742687e-22,21,301.842041015625,29,301.842041015625
23,R_A5,1.0,31,2018-04-28,1724.034423828125,STANDARD,0,4.7830289347146384e-24,21,306.3896484375,30,306.3896484375
1,R_A3,0.15478354692459106,28,2018-07-03,1610.3916015625,STANDARD,0,0.0,41,282.054931640625,1,282.054931640625
2,R_A3,0.1973292976617813,28,2018-07-03,1612.447998046875,STANDARD,0,0.0,41,282.192626953125,2,282.192626953125
3,R_A3,0.19412289559841156,28,2018-07-03,1614.5042724609375,STANDARD,0,0.0,41,282.330322265625,3,282.330322265625
4,R_A3,0.3106083571910858,28,2018-07-03,1616.5606689453125,STANDARD,0,0.0,41,282.4693908691406,4,282.4693908691406
5,R_A3,0.8146178126335144,28,2018-07-03,1618.616943359375,STANDARD,0,0.0,41,282.64654541015625,5,282.64654541015625
6,R_A3,0.15155045688152313,28,2018-07-03,1620.67333984375,STANDARD,0,0.0,41,282.7566833496094,6,282.7566833496094
7,R_A3,0.1944369673728943,29,2018-07-03,1608.0703125,STANDARD,0,0.0,41,281.8897705078125,6,281.8897705078125
8,R_A3,0.14870388805866241,29,2018-07-03,1610.1431884765625,STANDARD,0,0.0,41,282.0279846191406,7,282.0279846191406
9,R_A3,0.10374996066093445,29,2018-07-03,1612.216064453125,STANDARD,0,0.0,41,282.16632080078125,8,282.16632080078125
10,R_A3,0.6503122448921204,29,2018-07-03,1614.288818359375,STANDARD,0,0.0,41,282.3012390136719,9,282.3012390136719
11,R_A3,0.797904908657074,29,2018-07-03,1616.3616943359375,STANDARD,0,0.0,41,283.5934143066406,10,283.5934143066406
12,R_A3,0.04933405667543411,29,2018-07-03,1618.498046875,STANDARD,0,0.0,41,284.7328796386719,11,284.7328796386719
13,R_A3,0.05160665884613991,29,2018-07-03,1620.6978759765625,STANDARD,0,0.0,41,284.8797912597656,12,284.8797912597656
14,R_A3,0.19994893670082092,29,2018-07-03,1622.897705078125,STANDARD,0,0.0,41,285.0274963378906,13,285.0274963378906
15,R_A3,0.3841334879398346,29,2018-07-03,1625.09765625,STANDARD,0,0.0,41,285.4906311035156,14,285.4906311035156
16,R_A3,0.35527658462524414,29,2018-07-03,1627.2974853515625,STANDARD,0,0.0,41,285.6914978027344,15,285.6914978027344
17,R_A3,0.7972344756126404,29,2018-07-03,1629.290771484375,STANDARD,0,0.0,41,285.9222412109375,16,285.9222412109375
18,R_A3,0.7866278290748596,29,2018-07-03,1630.4703369140625,STANDARD,0,0.0,41,286.0005798339844,17,286.0005798339844
19,R_A3,0.6487151980400085,29,2018-07-03,1632.6517333984375,STANDARD,0,0.0,41,291.30755615234375,26,291.30755615234375
20,R_A3,0.044629305601119995,29,2018-07-03,1636.4422607421875,STANDARD,0,0.0,41,285.3746337890625,27,285.3746337890625
21,R_A3,0.04853181540966034,29,2018-07-03,1640.2327880859375,STANDARD,0,0.0,41,285.62786865234375,28,285.62786865234375
22,R_A3,0.6510217189788818,29,2018-07-03,1644.0234375,STANDARD,0,0.0,41,285.8518981933594,29,285.8518981933594
23,R_A3,0.06359510123729706,29,2018-07-03,1647.81396484375,STANDARD,0,0.0,41,286.019287109375,30,286.019287109375
1,R_A4,0.05168946459889412,30,2018-09-12,1629.9957275390625,STANDARD,0,0.0,52,278.9757995605469,1,278.9757995605469
2,R_A4,0.04835614189505577,31,2018-09-12,1626.173828125,STANDARD,0,0.0,52,278.764404296875,1,278.764404296875
3,R_A4,0.049236178398132324,31,2018-09-12,1628.249755859375,STANDARD,0,0.0,52,278.9028015136719,2,278.9028015136719
4,R_A4,0.05046121031045914,31,2018-09-12,1630.32568359375,STANDARD,0,0.0,52,279.0411682128906,3,279.0411682128906
5,R_A4,0.053202107548713684,31,2018-09-12,1632.401611328125,STANDARD,0,0.0,52,279.17950439453125,4,279.17950439453125
6,R_A4,0.05360535904765129,31,2018-09-12,1634.4775390625,STANDARD,0,0.0,52,279.31781005859375,5,279.31781005859375
7,R_A4,0.055088456720113754,32,2018-09-12,1632.915771484375,STANDARD,0,0.0,52,279.2576599121094,5,279.2576599121094
8,R_A4,0.05616072192788124,32,2018-09-12,1634.814208984375,STANDARD,0,0.0,52,279.38421630859375,6,279.38421630859375
9,R_A4,0.05846625193953514,32,2018-09-12,1636.332275390625,STANDARD,0,0.0,51,279.45257568359375,6,279.45257568359375
10,R_A4,0.07988177984952927,33,2018-09-12,1638.7017822265625,STANDARD,0,0.0,51,279.63690185546875,6,279.63690185546875
11,R_A4,0.05803264304995537,33,2018-09-12,1636.9002685546875,STANDARD,0,0.0,51,279.51678466796875,5,279.51678466796875
12,R_A4,0.06079637259244919,33,2018-09-12,1642.562255859375,STANDARD,0,0.0,50,279.8432922363281,5,279.8432922363281
13,R_A4,0.06289621442556381,34,2018-09-12,1642.2264404296875,STANDARD,0,0.0,50,279.8189392089844,5,279.8189392089844
14,R_A4,0.06278785318136215,34,2018-09-12,1640.4248046875,STANDARD,0,0.0,50,279.6993408203125,4,279.6993408203125
15,R_A4,0.11130347102880478,34,2018-09-12,1638.623046875,STANDARD,0,0.0,50,279.580322265625,3,279.580322265625
16,R_A4,0.1798100769519806,35,2018-09-12,1640.5250244140625,STANDARD,0,0.0,50,279.7496643066406,3,279.7496643066406
17,R_A4,0.22216828167438507,35,2018-09-12,1638.7166748046875,STANDARD,0,0.0,50,279.6298828125,2,279.6298828125
18,R_A4,0.09969740360975266,35,2018-09-12,1642.258544921875,STANDARD,0,0.0,49,278.7748718261719,30,278.7748718261719
19,R_A4,0.6518757939338684,36,2018-09-12,1646.5909423828125,STANDARD,0,0.0,49,279.08599853515625,30,279.08599853515625
20,R_A4,0.12407675385475159,36,2018-09-12,1640.524169921875,STANDARD,0,0.0,49,278.7477111816406,29,278.7477111816406
21,R_A4,0.09022458642721176,36,2018-09-12,1646.1793212890625,STANDARD,0,0.0,48,278.9673156738281,30,278.9673156738281
22,R_A4,0.6622974872589111,37,2018-09-12,1651.286865234375,STANDARD,0,0.0,48,279.4154357910156,30,279.4154357910156
23,R_A4,0.6511480212211609,37,2018-09-12,1645.7060546875,STANDARD,0,0.0,48,279.1236572265625,29,279.1236572265625
24,R_A4,0.6815841794013977,38,2018-09-12,1653.6500244140625,STANDARD,0,0.0,48,279.9996643066406,29,279.9996643066406
25,R_A4,0.6585323810577393,38,2018-09-12,1660.732421875,STANDARD,0,0.0,47,280.1986083984375,29,280.1986083984375
