SGAS,DEPTH,PRESSURE,CONIDX,CONJPOS,WELL,SWAT,DATE,CONIPOS,WELLMODEL,DRAWDOWN,CONKPOS,CONBPRES
0.0,1622.973876953125,299.5639953613281,6,41,R_A3,0.6481541991233826,2018-01-01,28,STANDARD,0,6,299.5639953613281
0.0,1607.468994140625,298.5247802734375,7,41,R_A3,0.6481541991233826,2018-01-01,29,STANDARD,0,6,298.5247802734375
0.0,1609.574462890625,298.6658935546875,8,41,R_A3,0.19273361563682556,2018-01-01,29,STANDARD,0,7,298.6658935546875
0.0,1611.6800537109375,298.8070068359375,9,41,R_A3,0.19215942919254303,2018-01-01,29,STANDARD,0,8,298.8070068359375
0.0,1613.78564453125,298.9481201171875,10,41,R_A3,0.7877770662307739,2018-01-01,29,STANDARD,0,9,298.9481201171875
0.0,1615.89111328125,299.0892639160156,11,41,R_A3,0.7947399616241455,2018-01-01,29,STANDARD,0,10,299.0892639160156
0.0,1618.0555419921875,299.23431396484375,12,41,R_A3,0.04720049351453781,2018-01-01,29,STANDARD,0,11,299.23431396484375
0.0,1620.27880859375,299.38336181640625,13,41,R_A3,0.05058397352695465,2018-01-01,29,STANDARD,0,12,299.38336181640625
0.0,1622.502197265625,299.5323791503906,14,41,R_A3,0.3612525761127472,2018-01-01,29,STANDARD,0,13,299.5323791503906
0.0,1624.7254638671875,299.6814270019531,15,41,R_A3,0.37801021337509155,2018-01-01,29,STANDARD,0,14,299.6814270019531
0.0,1626.94873046875,299.8304748535156,16,41,R_A3,0.34811410307884216,2018-01-01,29,STANDARD,0,15,299.8304748535156
0.0,1629.135498046875,299.97705078125,17,41,R_A3,0.800496518611908,2018-01-01,29,STANDARD,0,16,299.97705078125
0.0,1630.347412109375,300.0583190917969,18,41,R_A3,0.7513322830200195,2018-01-01,29,STANDARD,0,17,300.0583190917969
0.0,1632.3658447265625,300.1936340332031,19,41,R_A3,0.12880311906337738,2018-01-01,29,STANDARD,0,26,300.1936340332031
0.0,1636.12939453125,300.4459533691406,20,41,R_A3,0.045486729592084885,2018-01-01,29,STANDARD,0,27,300.4459533691406
0.0,1639.892822265625,300.69830322265625,21,41,R_A3,0.04868598282337189,2018-01-01,29,STANDARD,0,28,300.69830322265625
0.0,1643.65625,300.9506530761719,22,41,R_A3,0.7703984975814819,2018-01-01,29,STANDARD,0,29,300.9506530761719
0.0,1647.4197998046875,301.2030334472656,23,41,R_A3,0.06049590930342674,2018-01-01,29,STANDARD,0,30,301.2030334472656
0.0,1629.8663330078125,300.02606201171875,1,52,R_A4,0.050684139132499695,2018-01-01,30,STANDARD,0,1,300.02606201171875
0.0,1626.97265625,299.8320617675781,2,52,R_A4,0.04776286333799362,2018-01-01,31,STANDARD,0,1,299.8320617675781
0.0,1629.03466796875,299.9703063964844,3,52,R_A4,0.04967065528035164,2018-01-01,31,STANDARD,0,2,299.9703063964844
0.0,1631.0966796875,300.1085510253906,4,52,R_A4,0.05164547264575958,2018-01-01,31,STANDARD,0,3,300.1085510253906
0.0,1633.1588134765625,300.2467956542969,5,52,R_A4,0.053124651312828064,2018-01-01,31,STANDARD,0,4,300.2467956542969
0.0,1633.8387451171875,300.2923889160156,6,52,R_A4,0.05551322177052498,2018-01-01,32,STANDARD,0,4,300.2923889160156
0.0,1634.9560546875,300.3673095703125,7,51,R_A4,0.05703706294298172,2018-01-01,32,STANDARD,0,4,300.3673095703125
0.0,1637.1793212890625,300.516357421875,8,51,R_A4,0.05824005976319313,2018-01-01,33,STANDARD,0,4,300.516357421875
0.0,1639.07470703125,300.6434631347656,9,51,R_A4,0.09925347566604614,2018-01-01,33,STANDARD,0,5,300.6434631347656
0.0,1641.704833984375,300.81982421875,10,50,R_A4,0.05872088298201561,2018-01-01,33,STANDARD,0,5,300.81982421875
0.0,1640.81689453125,300.76025390625,11,50,R_A4,0.060323566198349,2018-01-01,34,STANDARD,0,5,300.76025390625
0.0,1638.8834228515625,300.630615234375,12,50,R_A4,0.11614774167537689,2018-01-01,34,STANDARD,0,4,300.630615234375
0.0,1642.93603515625,300.9023742675781,13,50,R_A4,0.18478818237781525,2018-01-01,35,STANDARD,0,4,300.9023742675781
0.0,1641.1131591796875,300.7801208496094,14,50,R_A4,0.2318129539489746,2018-01-01,35,STANDARD,0,3,300.7801208496094
0.0,1641.657470703125,300.816650390625,15,49,R_A4,0.23352454602718353,2018-01-01,35,STANDARD,0,3,300.816650390625
0.0,1639.837646484375,300.6946105957031,16,49,R_A4,0.22455184161663055,2018-01-01,35,STANDARD,0,2,300.6946105957031
0.0,1643.5369873046875,300.9426574707031,17,49,R_A4,0.05018795654177666,2018-01-01,36,STANDARD,0,29,300.9426574707031
0.0,1641.2666015625,300.7904357910156,18,48,R_A4,0.10443942993879318,2018-01-01,36,STANDARD,0,29,300.7904357910156
0.0,1647.6143798828125,301.2160949707031,19,48,R_A4,0.0956229567527771,2018-01-01,37,STANDARD,0,29,301.2160949707031
0.0,1652.5838623046875,301.54937744140625,20,48,R_A4,0.05950042977929115,2018-01-01,38,STANDARD,0,29,301.54937744140625
0.0,1657.1268310546875,301.85406494140625,21,47,R_A4,0.3661267161369324,2018-01-01,38,STANDARD,0,29,301.85406494140625
0.0,1684.90576171875,303.8326416015625,1,20,R_A5,1.0,2018-01-01,31,STANDARD,0,1,303.8326416015625
0.0,1687.1348876953125,304.04388427734375,2,20,R_A5,1.0,2018-01-01,31,STANDARD,0,2,304.04388427734375
0.0,1689.364013671875,304.255126953125,3,20,R_A5,1.0,2018-01-01,31,STANDARD,0,3,304.255126953125
0.0,1691.59326171875,304.46636962890625,4,20,R_A5,1.0,2018-01-01,31,STANDARD,0,4,304.46636962890625
0.0,1693.8223876953125,304.6776123046875,5,20,R_A5,1.0,2018-01-01,31,STANDARD,0,5,304.6776123046875
0.0,1696.051513671875,304.88885498046875,6,20,R_A5,1.0,2018-01-01,31,STANDARD,0,6,304.88885498046875
0.0,1698.280517578125,305.4058837890625,7,20,R_A5,1.0,2018-01-01,31,STANDARD,0,7,305.4058837890625
0.0,1707.03466796875,305.9298400878906,8,20,R_A5,1.0,2018-01-01,31,STANDARD,0,11,305.9298400878906
