CONKPOS,CONIDX,DEPTH,WELLMODEL,WELL,DRAWDOWN,SGAS,CONIPOS,CONBPRES,PRESSURE,DATE,SWAT,CONJPOS
9,9,1708.5462646484375,STANDARD,R_A6,0,-3.7205915431881564e-12,17,278.4906005859375,278.4906005859375,2018-11-07,1.0,42
10,10,1710.115478515625,STANDARD,R_A6,0,-1.8471051077550982e-11,17,277.8407897949219,277.8407897949219,2018-11-07,1.0,42
11,11,1712.0272216796875,STANDARD,R_A6,0,1.4137472659561667e-12,17,285.4600524902344,285.4600524902344,2018-11-07,1.0,42
12,12,1714.28125,STANDARD,R_A6,0,-2.3259523647400915e-12,17,285.6861572265625,285.6861572265625,2018-11-07,1.0,42
13,13,1716.53515625,STANDARD,R_A6,0,-1.9965726121007332e-12,17,286.0095520019531,286.0095520019531,2018-11-07,1.0,42
14,14,1718.7891845703125,STANDARD,R_A6,0,-1.50518746772077e-12,17,286.2232360839844,286.2232360839844,2018-11-07,1.0,42
15,15,1721.043212890625,STANDARD,R_A6,0,-5.739173378075182e-14,17,286.447509765625,286.447509765625,2018-11-07,1.0,42
16,16,1723.2972412109375,STANDARD,R_A6,0,-3.266446358188291e-14,17,286.82550048828125,286.82550048828125,2018-11-07,1.0,42
17,17,1725.55126953125,STANDARD,R_A6,0,-7.979654128220312e-14,17,287.05072021484375,287.05072021484375,2018-11-07,1.0,42
18,18,1727.3912353515625,STANDARD,R_A6,0,-6.917512759439456e-14,17,287.23150634765625,287.23150634765625,2018-11-07,1.0,42
26,19,1728.9788818359375,STANDARD,R_A6,0,-2.9235572296393286e-11,17,287.3879089355469,287.3879089355469,2018-11-07,1.0,42
27,20,1730.7279052734375,STANDARD,R_A6,0,-2.5613415902125958e-11,17,287.5581970214844,287.5581970214844,2018-11-07,1.0,42
28,21,1732.47705078125,STANDARD,R_A6,0,-5.3368618660627754e-14,17,288.2017822265625,288.2017822265625,2018-11-07,1.0,42
29,22,1734.22607421875,STANDARD,R_A6,0,3.430636299357116e-17,17,288.6869812011719,288.6869812011719,2018-11-07,1.0,42
30,23,1735.97509765625,STANDARD,R_A6,0,3.84934055117081e-12,17,288.035400390625,288.035400390625,2018-11-07,1.0,42
