WELLMODEL,DATE,SWAT,DRAWDOWN,CONJPOS,CONBPRES,CONKPOS,PRESSURE,DEPTH,WELL,CONIPOS,SGAS,CONIDX
STANDARD,2018-01-01,0.21241526305675507,0,41,299.9396057128906,14,299.9396057128906,1628.5150146484375,R_A3,29,0.0,15
STANDARD,2018-01-01,0.601466715335846,0,41,300.0930480957031,15,300.0930480957031,1630.8037109375,R_A3,29,0.0,16
STANDARD,2018-01-01,0.8003110289573669,0,41,300.20269775390625,16,300.20269775390625,1632.4390869140625,R_A3,29,0.0,17
STANDARD,2018-01-01,0.8277254700660706,0,41,300.3497619628906,27,300.3497619628906,1634.6326904296875,R_A3,29,0.0,18
STANDARD,2018-01-01,0.04668674245476723,0,41,300.57806396484375,28,300.57806396484375,1638.037841796875,R_A3,29,0.0,19
STANDARD,2018-01-01,0.11744383722543716,0,41,300.806396484375,29,300.806396484375,1641.44287109375,R_A3,29,0.0,20
STANDARD,2018-01-01,0.6720707416534424,0,41,301.03472900390625,30,301.03472900390625,1644.8480224609375,R_A3,29,0.0,21
STANDARD,2018-01-01,0.16641169786453247,0,41,301.2630615234375,31,301.2630615234375,1648.253173828125,R_A3,29,0.0,22
STANDARD,2018-01-01,0.049913376569747925,0,52,300.131103515625,1,300.131103515625,1631.371337890625,R_A4,30,0.0,1
STANDARD,2018-01-01,0.04905553534626961,0,52,299.8155517578125,1,299.8155517578125,1626.66455078125,R_A4,31,0.0,2
STANDARD,2018-01-01,0.048517897725105286,0,52,299.9560241699219,2,299.9560241699219,1628.759765625,R_A4,31,0.0,3
STANDARD,2018-01-01,0.0510127954185009,0,52,300.09649658203125,3,300.09649658203125,1630.8551025390625,R_A4,31,0.0,4
STANDARD,2018-01-01,0.05409477278590202,0,52,300.2369689941406,4,300.2369689941406,1632.950439453125,R_A4,31,0.0,5
STANDARD,2018-01-01,0.05429349094629288,0,52,300.2173156738281,4,300.2173156738281,1632.657470703125,R_A4,32,0.0,6
STANDARD,2018-01-01,0.056857459247112274,0,52,300.34466552734375,5,300.34466552734375,1634.556396484375,R_A4,32,0.0,7
STANDARD,2018-01-01,0.057477548718452454,0,51,300.4430847167969,5,300.4430847167969,1636.024658203125,R_A4,32,0.0,8
STANDARD,2018-01-01,0.056389015167951584,0,51,300.3193359375,4,300.3193359375,1634.1790771484375,R_A4,32,0.0,9
STANDARD,2018-01-01,0.05861637741327286,0,51,300.507568359375,4,300.507568359375,1636.9864501953125,R_A4,33,0.0,10
STANDARD,2018-01-01,0.061536841094493866,0,50,300.7510986328125,4,300.7510986328125,1640.618408203125,R_A4,33,0.0,11
STANDARD,2018-01-01,0.061225030571222305,0,50,300.7792053222656,4,300.7792053222656,1641.037353515625,R_A4,34,0.0,12
STANDARD,2018-01-01,0.05961555987596512,0,50,300.6516418457031,3,300.6516418457031,1639.1351318359375,R_A4,34,0.0,13
STANDARD,2018-01-01,0.06277500092983246,0,50,300.8589782714844,3,300.8589782714844,1642.22705078125,R_A4,35,0.0,14
STANDARD,2018-01-01,0.20799770951271057,0,50,300.73590087890625,2,300.73590087890625,1640.3917236328125,R_A4,35,0.0,15
STANDARD,2018-01-01,0.235877126455307,0,49,301.0052185058594,2,301.0052185058594,1644.4078369140625,R_A4,35,0.0,16
STANDARD,2018-01-01,0.22995898127555847,0,49,300.8837890625,1,300.8837890625,1642.596923828125,R_A4,35,0.0,17
STANDARD,2018-01-01,0.0824795588850975,0,49,301.08245849609375,30,301.08245849609375,1645.5599365234375,R_A4,36,0.0,18
STANDARD,2018-01-01,0.12725844979286194,0,48,301.0973205566406,30,301.0973205566406,1645.781494140625,R_A4,36,0.0,19
STANDARD,2018-01-01,0.32448235154151917,0,48,301.4900207519531,30,301.4900207519531,1651.63720703125,R_A4,37,0.0,20
STANDARD,2018-01-01,0.7169075012207031,0,48,301.123291015625,29,301.123291015625,1646.16845703125,R_A4,37,0.0,21
STANDARD,2018-01-01,1.0,0,48,301.46728515625,29,301.46728515625,1651.2982177734375,R_A4,38,0.0,22
STANDARD,2018-01-01,0.10509180277585983,0,47,302.08038330078125,29,302.08038330078125,1660.4390869140625,R_A4,38,0.0,23
STANDARD,2018-01-01,1.0,0,20,303.8326416015625,1,303.8326416015625,1684.9058837890625,R_A5,31,0.0,1
STANDARD,2018-01-01,1.0,0,20,304.0500793457031,2,304.0500793457031,1687.200439453125,R_A5,31,0.0,2
STANDARD,2018-01-01,1.0,0,20,304.2675476074219,3,304.2675476074219,1689.4949951171875,R_A5,31,0.0,3
STANDARD,2018-01-01,1.0,0,20,304.4849853515625,4,304.4849853515625,1691.78955078125,R_A5,31,0.0,4
STANDARD,2018-01-01,1.0,0,20,304.7024230957031,5,304.7024230957031,1694.084228515625,R_A5,31,0.0,5
STANDARD,2018-01-01,1.0,0,20,304.9198913574219,6,304.9198913574219,1696.37890625,R_A5,31,0.0,6
STANDARD,2018-01-01,1.0,0,20,305.443115234375,7,305.443115234375,1698.6734619140625,R_A5,31,0.0,7
STANDARD,2018-01-01,1.0,0,20,305.66058349609375,8,305.66058349609375,1700.968017578125,R_A5,31,0.0,8
