DEPTH,PRESSURE,SGAS,CONIPOS,CONBPRES,CONJPOS,WELLMODEL,CONKPOS,DRAWDOWN,DATE,CONIDX,SWAT,WELL
1630.8341064453125,300.0420227050781,0.0,29,300.0420227050781,41,STANDARD,15,0,2018-01-01,15,0.49718281626701355,R_A3
1632.5653076171875,300.1580810546875,0.0,29,300.1580810546875,41,STANDARD,16,0,2018-01-01,16,0.8052257895469666,R_A3
1635.075927734375,300.326416015625,0.0,29,300.326416015625,41,STANDARD,25,0,2018-01-01,17,1.0,R_A3
1638.6500244140625,300.5660400390625,0.0,29,300.5660400390625,41,STANDARD,26,0,2018-01-01,18,0.045704834163188934,R_A3
1642.2239990234375,300.8056945800781,0.0,29,300.8056945800781,41,STANDARD,27,0,2018-01-01,19,0.05337228626012802,R_A3
1645.798095703125,301.04534912109375,0.0,29,301.04534912109375,41,STANDARD,28,0,2018-01-01,20,0.7945078611373901,R_A3
1649.3720703125,301.2850341796875,0.0,29,301.2850341796875,41,STANDARD,29,0,2018-01-01,21,0.06311176717281342,R_A3
1629.664794921875,299.963623046875,0.0,30,299.963623046875,52,STANDARD,1,0,2018-01-01,1,0.05104623734951019,R_A4
1625.379638671875,299.6763610839844,0.0,31,299.6763610839844,52,STANDARD,1,0,2018-01-01,2,0.047250013798475266,R_A4
1627.389892578125,299.8111267089844,0.0,31,299.8111267089844,52,STANDARD,2,0,2018-01-01,3,0.04908188804984093,R_A4
1629.400146484375,299.9458923339844,0.0,31,299.9458923339844,52,STANDARD,3,0,2018-01-01,4,0.050381582230329514,R_A4
1631.410400390625,300.0806579589844,0.0,31,300.0806579589844,52,STANDARD,4,0,2018-01-01,5,0.052683211863040924,R_A4
1633.420654296875,300.2154235839844,0.0,31,300.2154235839844,52,STANDARD,5,0,2018-01-01,6,0.05472926050424576,R_A4
1632.985595703125,300.1862487792969,0.0,32,300.1862487792969,52,STANDARD,5,0,2018-01-01,7,0.054614026099443436,R_A4
1636.954833984375,300.452392578125,0.0,32,300.452392578125,51,STANDARD,5,0,2018-01-01,8,0.05671575292944908,R_A4
1635.197509765625,300.3345642089844,0.0,32,300.3345642089844,51,STANDARD,4,0,2018-01-01,9,0.056850727647542953,R_A4
1638.104736328125,300.52947998046875,0.0,33,300.52947998046875,51,STANDARD,4,0,2018-01-01,10,0.05929222330451012,R_A4
1636.32080078125,300.4098815917969,0.0,33,300.4098815917969,51,STANDARD,3,0,2018-01-01,11,0.05878603085875511,R_A4
1643.7720947265625,300.90948486328125,0.0,33,300.90948486328125,50,STANDARD,3,0,2018-01-01,12,0.06352586299180984,R_A4
1641.55419921875,300.7607727050781,0.0,34,300.7607727050781,50,STANDARD,3,0,2018-01-01,13,0.0616978295147419,R_A4
1639.72900390625,300.6383972167969,0.0,34,300.6383972167969,50,STANDARD,2,0,2018-01-01,14,0.06055006757378578,R_A4
1639.3189697265625,300.61090087890625,0.0,35,300.61090087890625,50,STANDARD,2,0,2018-01-01,15,0.09759818017482758,R_A4
1644.8131103515625,300.97930908203125,0.0,35,300.97930908203125,49,STANDARD,2,0,2018-01-01,16,0.08320571482181549,R_A4
1643.0037841796875,300.85797119140625,0.0,35,300.85797119140625,49,STANDARD,1,0,2018-01-01,17,0.1853601187467575,R_A4
1643.1534423828125,300.8680114746094,0.0,36,300.8680114746094,49,STANDARD,28,0,2018-01-01,18,0.6481541991233826,R_A4
1641.5452880859375,300.76019287109375,0.0,36,300.76019287109375,48,STANDARD,28,0,2018-01-01,19,0.2368546724319458,R_A4
1647.1690673828125,301.1372985839844,0.0,37,301.1372985839844,48,STANDARD,28,0,2018-01-01,20,0.6481541991233826,R_A4
1651.0380859375,301.3967590332031,0.0,38,301.3967590332031,48,STANDARD,28,0,2018-01-01,21,0.6481541991233826,R_A4
1658.3486328125,301.8870544433594,0.0,38,301.8870544433594,47,STANDARD,28,0,2018-01-01,22,0.2574837803840637,R_A4
1684.379638671875,303.78277587890625,0.0,31,303.78277587890625,20,STANDARD,1,0,2018-01-01,1,1.0,R_A5
1686.60791015625,303.9939270019531,0.0,31,303.9939270019531,20,STANDARD,2,0,2018-01-01,2,1.0,R_A5
1688.836181640625,304.2051086425781,0.0,31,304.2051086425781,20,STANDARD,3,0,2018-01-01,3,1.0,R_A5
1691.0645751953125,304.416259765625,0.0,31,304.416259765625,20,STANDARD,4,0,2018-01-01,4,1.0,R_A5
1693.29296875,304.62744140625,0.0,31,304.62744140625,20,STANDARD,5,0,2018-01-01,5,1.0,R_A5
1695.521240234375,304.838623046875,0.0,31,304.838623046875,20,STANDARD,6,0,2018-01-01,6,1.0,R_A5
1697.7496337890625,305.3555908203125,0.0,31,305.3555908203125,20,STANDARD,7,0,2018-01-01,7,1.0,R_A5
1701.326416015625,305.3888854980469,0.0,31,305.3888854980469,21,STANDARD,11,0,2018-01-01,8,1.0,R_A5
1703.29052734375,305.57501220703125,0.0,31,305.57501220703125,21,STANDARD,12,0,2018-01-01,9,1.0,R_A5
1705.254638671875,305.77313232421875,0.0,31,305.77313232421875,21,STANDARD,13,0,2018-01-01,10,1.0,R_A5
1707.2188720703125,305.9592590332031,0.0,31,305.9592590332031,21,STANDARD,14,0,2018-01-01,11,1.0,R_A5
1709.18310546875,306.1454162597656,0.0,31,306.1454162597656,21,STANDARD,15,0,2018-01-01,12,1.0,R_A5
1711.147216796875,306.4765625,0.0,31,306.4765625,21,STANDARD,16,0,2018-01-01,13,1.0,R_A5
1713.111328125,306.6627197265625,0.0,31,306.6627197265625,21,STANDARD,17,0,2018-01-01,14,1.0,R_A5
1714.9012451171875,306.8323669433594,0.0,31,306.8323669433594,21,STANDARD,18,0,2018-01-01,15,1.0,R_A5
1715.891357421875,306.9261779785156,0.0,31,306.9261779785156,21,STANDARD,19,0,2018-01-01,16,1.0,R_A5
1717.23095703125,306.89605712890625,0.0,31,306.89605712890625,21,STANDARD,25,0,2018-01-01,17,1.0,R_A5
