PRESSURE,DEPTH,SWAT,CONIDX,WELL,CONJPOS,DRAWDOWN,DATE,CONIPOS,CONBPRES,SGAS,WELLMODEL,CONKPOS
301.41009521484375,1650.5482177734375,1.0,23,R_A4,48,0,2018-01-01,37,301.41009521484375,0.0,STANDARD,28
301.3232116699219,1649.252685546875,0.22453118860721588,24,R_A4,48,0,2018-01-01,38,301.3232116699219,0.0,STANDARD,27
301.74005126953125,1655.4683837890625,0.3287715017795563,25,R_A4,47,0,2018-01-01,38,301.74005126953125,0.0,STANDARD,27
303.7619323730469,1684.1595458984375,1.0,1,R_A5,20,0,2018-01-01,31,303.7619323730469,0.0,STANDARD,1
303.9696960449219,1686.352294921875,1.0,2,R_A5,20,0,2018-01-01,31,303.9696960449219,0.0,STANDARD,2
304.177490234375,1688.544921875,1.0,3,R_A5,20,0,2018-01-01,31,304.177490234375,0.0,STANDARD,3
304.3852844238281,1690.737548828125,1.0,4,R_A5,20,0,2018-01-01,31,304.3852844238281,0.0,STANDARD,4
304.59307861328125,1692.9302978515625,1.0,5,R_A5,20,0,2018-01-01,31,304.59307861328125,0.0,STANDARD,5
304.8008728027344,1695.1229248046875,1.0,6,R_A5,20,0,2018-01-01,31,304.8008728027344,0.0,STANDARD,6
305.314453125,1697.315673828125,1.0,7,R_A5,20,0,2018-01-01,31,305.314453125,0.0,STANDARD,7
305.5222473144531,1699.50830078125,1.0,8,R_A5,20,0,2018-01-01,31,305.5222473144531,0.0,STANDARD,8
305.4754333496094,1702.2396240234375,1.0,9,R_A5,21,0,2018-01-01,31,305.4754333496094,0.0,STANDARD,11
305.67156982421875,1704.3094482421875,1.0,10,R_A5,21,0,2018-01-01,31,305.67156982421875,0.0,STANDARD,12
305.87969970703125,1706.3792724609375,1.0,11,R_A5,21,0,2018-01-01,31,305.87969970703125,0.0,STANDARD,13
306.07586669921875,1708.4490966796875,1.0,12,R_A5,21,0,2018-01-01,31,306.07586669921875,0.0,STANDARD,14
306.2720031738281,1710.5189208984375,1.0,13,R_A5,21,0,2018-01-01,31,306.2720031738281,0.0,STANDARD,15
306.6131896972656,1712.5887451171875,1.0,14,R_A5,21,0,2018-01-01,31,306.6131896972656,0.0,STANDARD,16
306.80078125,1714.5679931640625,1.0,15,R_A5,21,0,2018-01-01,31,306.80078125,0.0,STANDARD,17
306.9158630371094,1715.7823486328125,1.0,16,R_A5,21,0,2018-01-01,31,306.9158630371094,0.0,STANDARD,18
306.9105529785156,1717.3839111328125,1.0,17,R_A5,21,0,2018-01-01,31,306.9105529785156,0.0,STANDARD,25
307.1214599609375,1719.6092529296875,1.0,18,R_A5,21,0,2018-01-01,31,307.1214599609375,0.0,STANDARD,26
307.6381530761719,1721.83447265625,1.0,19,R_A5,21,0,2018-01-01,31,307.6381530761719,0.0,STANDARD,27
307.84906005859375,1724.059814453125,1.0,20,R_A5,21,0,2018-01-01,31,307.84906005859375,0.0,STANDARD,28
308.0599670410156,1726.28515625,1.0,21,R_A5,21,0,2018-01-01,31,308.0599670410156,0.0,STANDARD,29
305.0338439941406,1694.354736328125,1.0,1,R_A6,42,0,2018-01-01,17,305.0338439941406,0.0,STANDARD,1
305.17901611328125,1695.8865966796875,1.0,2,R_A6,42,0,2018-01-01,17,305.17901611328125,0.0,STANDARD,2
305.3241882324219,1697.4183349609375,1.0,3,R_A6,42,0,2018-01-01,17,305.3241882324219,0.0,STANDARD,3
305.4693603515625,1698.9501953125,1.0,4,R_A6,42,0,2018-01-01,17,305.4693603515625,0.0,STANDARD,4
305.614501953125,1700.48193359375,1.0,5,R_A6,42,0,2018-01-01,17,305.614501953125,0.0,STANDARD,5
305.7596740722656,1702.0137939453125,1.0,6,R_A6,42,0,2018-01-01,17,305.7596740722656,0.0,STANDARD,6
305.6058044433594,1703.5455322265625,1.0,7,R_A6,42,0,2018-01-01,17,305.6058044433594,0.0,STANDARD,7
305.7509765625,1705.077392578125,1.0,8,R_A6,42,0,2018-01-01,17,305.7509765625,0.0,STANDARD,8
306.1951904296875,1706.6092529296875,1.0,9,R_A6,42,0,2018-01-01,17,306.1951904296875,0.0,STANDARD,9
306.0345764160156,1708.1409912109375,1.0,10,R_A6,42,0,2018-01-01,17,306.0345764160156,0.0,STANDARD,10
306.2185974121094,1710.08154296875,1.0,11,R_A6,42,0,2018-01-01,17,306.2185974121094,0.0,STANDARD,11
306.4412536621094,1712.430908203125,1.0,12,R_A6,42,0,2018-01-01,17,306.4412536621094,0.0,STANDARD,12
306.6758728027344,1714.7801513671875,1.0,13,R_A6,42,0,2018-01-01,17,306.6758728027344,0.0,STANDARD,13
306.8985290527344,1717.12939453125,1.0,14,R_A6,42,0,2018-01-01,17,306.8985290527344,0.0,STANDARD,14
307.1211853027344,1719.4786376953125,1.0,15,R_A6,42,0,2018-01-01,17,307.1211853027344,0.0,STANDARD,15
307.48883056640625,1721.827880859375,1.0,16,R_A6,42,0,2018-01-01,17,307.48883056640625,0.0,STANDARD,16
307.7109680175781,1724.1717529296875,1.0,17,R_A6,42,0,2018-01-01,17,307.7109680175781,0.0,STANDARD,17
307.8380432128906,1725.5123291015625,1.0,18,R_A6,42,0,2018-01-01,17,307.8380432128906,0.0,STANDARD,18
307.7781066894531,1726.53759765625,1.0,19,R_A6,42,0,2018-01-01,17,307.7781066894531,0.0,STANDARD,25
308.2457580566406,1728.245361328125,1.0,20,R_A6,42,0,2018-01-01,17,308.2457580566406,0.0,STANDARD,26
308.4076232910156,1729.953125,1.0,21,R_A6,42,0,2018-01-01,17,308.4076232910156,0.0,STANDARD,27
308.5694580078125,1731.660888671875,1.0,22,R_A6,42,0,2018-01-01,17,308.5694580078125,0.0,STANDARD,28
308.425537109375,1733.36865234375,1.0,23,R_A6,42,0,2018-01-01,17,308.425537109375,0.0,STANDARD,29
298.1953125,1640.6243896484375,0.054123736917972565,1,R_A2,30,0,2018-03-01,22,298.1953125,0.0,STANDARD,1
298.3137512207031,1642.3922119140625,0.056040167808532715,2,R_A2,30,0,2018-03-01,22,298.3137512207031,0.0,STANDARD,2
298.4321594238281,1644.16015625,0.05841478332877159,3,R_A2,30,0,2018-03-01,22,298.4321594238281,0.0,STANDARD,3
298.550537109375,1645.9281005859375,0.10816507041454315,4,R_A2,30,0,2018-03-01,22,298.550537109375,0.0,STANDARD,4
298.6689453125,1647.696044921875,0.1807531863451004,5,R_A2,30,0,2018-03-01,22,298.6689453125,0.0,STANDARD,5
298.6874694824219,1649.4638671875,0.6497029662132263,6,R_A2,30,0,2018-03-01,22,298.6874694824219,0.0,STANDARD,6
298.8348693847656,1651.2318115234375,0.8763071894645691,7,R_A2,30,0,2018-03-01,22,298.8348693847656,0.0,STANDARD,7
298.962158203125,1652.999755859375,0.8432364463806152,8,R_A2,30,0,2018-03-01,22,298.962158203125,0.0,STANDARD,8
299.403564453125,1654.767578125,0.8845382332801819,9,R_A2,30,0,2018-03-01,22,299.403564453125,0.0,STANDARD,9
299.7718505859375,1656.5355224609375,0.8834225535392761,10,R_A2,30,0,2018-03-01,22,299.7718505859375,0.0,STANDARD,10
299.7710876464844,1658.491455078125,0.06937868148088455,11,R_A2,30,0,2018-03-01,22,299.7710876464844,0.0,STANDARD,11
299.890869140625,1660.6353759765625,0.07016488909721375,12,R_A2,30,0,2018-03-01,22,299.890869140625,0.0,STANDARD,12
300.07977294921875,1662.7794189453125,0.43460187315940857,13,R_A2,30,0,2018-03-01,22,300.07977294921875,0.0,STANDARD,13
300.2252502441406,1664.92333984375,0.47843441367149353,14,R_A2,30,0,2018-03-01,22,300.2252502441406,0.0,STANDARD,14
300.372314453125,1667.0673828125,0.916621744632721,15,R_A2,30,0,2018-03-01,22,300.372314453125,0.0,STANDARD,15
300.5206604003906,1669.21142578125,0.9307973384857178,16,R_A2,30,0,2018-03-01,22,300.5206604003906,0.0,STANDARD,16
300.66778564453125,1671.3553466796875,0.9075331687927246,17,R_A2,30,0,2018-03-01,22,300.66778564453125,0.0,STANDARD,17
300.7723388671875,1672.9129638671875,0.9552648067474365,18,R_A2,30,0,2018-03-01,22,300.7723388671875,0.0,STANDARD,18
302.9449768066406,1674.281005859375,0.7030444145202637,19,R_A2,30,0,2018-03-01,22,302.9449768066406,0.0,STANDARD,25
303.02496337890625,1676.046142578125,0.9999992251396179,20,R_A2,30,0,2018-03-01,22,303.02496337890625,-7.62790008934644e-08,STANDARD,26
303.2358093261719,1678.14208984375,1.0,21,R_A2,29,0,2018-03-01,22,303.2358093261719,-1.5227870975465126e-16,STANDARD,26
303.3311767578125,1679.9869384765625,0.8288576602935791,22,R_A2,29,0,2018-03-01,22,303.3311767578125,0.0,STANDARD,27
303.8066101074219,1681.831787109375,1.0,23,R_A2,29,0,2018-03-01,22,303.8066101074219,-6.731612659736366e-15,STANDARD,28
303.98480224609375,1683.6766357421875,1.0,24,R_A2,29,0,2018-03-01,22,303.98480224609375,-2.6630634546512266e-14,STANDARD,29
283.2132568359375,1684.1595458984375,1.0,1,R_A5,20,0,2018-04-28,31,283.2132568359375,-1.6166201710632322e-10,STANDARD,1
283.42071533203125,1686.352294921875,1.0,2,R_A5,20,0,2018-04-28,31,283.42071533203125,-1.6391747681421265e-10,STANDARD,2
283.6279602050781,1688.544921875,1.0,3,R_A5,20,0,2018-04-28,31,283.6279602050781,-1.7666244855885083e-10,STANDARD,3
283.83502197265625,1690.737548828125,1.0,4,R_A5,20,0,2018-04-28,31,283.83502197265625,-1.740319138798796e-10,STANDARD,4
284.041748046875,1692.9302978515625,1.0,5,R_A5,20,0,2018-04-28,31,284.041748046875,-1.5319827351145676e-10,STANDARD,5
284.24786376953125,1695.1229248046875,1.0,6,R_A5,20,0,2018-04-28,31,284.24786376953125,-9.7251255659625e-11,STANDARD,6
284.7596130371094,1697.315673828125,1.0,7,R_A5,20,0,2018-04-28,31,284.7596130371094,-4.856788257158462e-13,STANDARD,7
286.00128173828125,1699.50830078125,1.0,8,R_A5,20,0,2018-04-28,31,286.00128173828125,-1.5557401287363826e-13,STANDARD,8
280.6502380371094,1702.2396240234375,1.0,9,R_A5,21,0,2018-04-28,31,280.6502380371094,-2.3168000504170116e-11,STANDARD,11
280.84619140625,1704.3094482421875,1.0,10,R_A5,21,0,2018-04-28,31,280.84619140625,-1.9946537477277815e-11,STANDARD,12
281.0542907714844,1706.3792724609375,1.0,11,R_A5,21,0,2018-04-28,31,281.0542907714844,-1.4690610923920322e-12,STANDARD,13
281.25079345703125,1708.4490966796875,1.0,12,R_A5,21,0,2018-04-28,31,281.25079345703125,-1.2915508506433637e-12,STANDARD,14
281.44757080078125,1710.5189208984375,1.0,13,R_A5,21,0,2018-04-28,31,281.44757080078125,-4.737161726255101e-13,STANDARD,15
281.79290771484375,1712.5887451171875,1.0,14,R_A5,21,0,2018-04-28,31,281.79290771484375,-1.0134246415140213e-13,STANDARD,16
281.9835510253906,1714.5679931640625,1.0,15,R_A5,21,0,2018-04-28,31,281.9835510253906,-1.9449409259780087e-13,STANDARD,17
282.09832763671875,1715.7823486328125,1.0,16,R_A5,21,0,2018-04-28,31,282.09832763671875,-2.854598949255695e-14,STANDARD,18
285.43023681640625,1717.3839111328125,1.0,17,R_A5,21,0,2018-04-28,31,285.43023681640625,-5.292064703121824e-11,STANDARD,25
285.7037658691406,1719.6092529296875,1.0,18,R_A5,21,0,2018-04-28,31,285.7037658691406,-3.102090459505824e-11,STANDARD,26
296.7791748046875,1721.83447265625,1.0,19,R_A5,21,0,2018-04-28,31,296.7791748046875,-2.4771091835515645e-18,STANDARD,27
304.3458557128906,1724.059814453125,1.0,20,R_A5,21,0,2018-04-28,31,304.3458557128906,-6.617492560244671e-21,STANDARD,28
306.9505615234375,1726.28515625,1.0,21,R_A5,21,0,2018-04-28,31,306.9505615234375,1.4409406264400735e-24,STANDARD,29
275.0645446777344,1611.06640625,0.36405080556869507,1,R_A3,41,0,2018-07-03,28,275.0645446777344,0.0,STANDARD,1
