CONKPOS,CONBPRES,CONIDX,SWAT,CONJPOS,WELL,SGAS,WELLMODEL,CONIPOS,DEPTH,DATE,DRAWDOWN,PRESSURE
31,301.14129638671875,21,0.13994601368904114,41,R_A3,0.0,STANDARD,29,1648.0740966796875,2018-01-01,0,301.14129638671875
1,300.009033203125,1,0.05151934176683426,52,R_A4,0.0,STANDARD,30,1631.1873779296875,2018-01-01,0,300.009033203125
1,299.7571105957031,2,0.04863721504807472,52,R_A4,0.0,STANDARD,31,1627.4293212890625,2018-01-01,0,299.7571105957031
2,299.89520263671875,3,0.0520753338932991,52,R_A4,0.0,STANDARD,31,1629.4896240234375,2018-01-01,0,299.89520263671875
3,300.0333251953125,4,0.05323897302150726,52,R_A4,0.0,STANDARD,31,1631.5498046875,2018-01-01,0,300.0333251953125
4,300.17144775390625,5,0.0529385581612587,52,R_A4,0.0,STANDARD,31,1633.610107421875,2018-01-01,0,300.17144775390625
4,300.0901184082031,6,0.056289657950401306,52,R_A4,0.0,STANDARD,32,1632.3968505859375,2018-01-01,0,300.0901184082031
4,300.3236999511719,7,0.057290755212306976,51,R_A4,0.0,STANDARD,32,1635.880615234375,2018-01-01,0,300.3236999511719
4,300.4202575683594,8,0.05848418176174164,51,R_A4,0.0,STANDARD,33,1637.321044921875,2018-01-01,0,300.4202575683594
3,300.29644775390625,9,0.056494034826755524,51,R_A4,0.0,STANDARD,33,1635.474609375,2018-01-01,0,300.29644775390625
4,300.74395751953125,10,0.06261570006608963,50,R_A4,0.0,STANDARD,33,1642.1485595703125,2018-01-01,0,300.74395751953125
4,300.67578125,11,0.06255142390727997,50,R_A4,0.0,STANDARD,34,1641.132080078125,2018-01-01,0,300.67578125
3,300.5467224121094,12,0.09832502156496048,50,R_A4,0.0,STANDARD,34,1639.20703125,2018-01-01,0,300.5467224121094
3,300.66064453125,13,0.0954970121383667,50,R_A4,0.0,STANDARD,35,1640.9061279296875,2018-01-01,0,300.66064453125
2,300.53570556640625,14,0.16065853834152222,50,R_A4,0.0,STANDARD,35,1639.0426025390625,2018-01-01,0,300.53570556640625
2,300.72943115234375,15,0.2374390959739685,49,R_A4,0.0,STANDARD,35,1641.93212890625,2018-01-01,0,300.72943115234375
30,300.7579650878906,16,0.24230048060417175,49,R_A4,0.0,STANDARD,36,1642.357421875,2018-01-01,0,300.7579650878906
30,300.5735168457031,17,0.19549621641635895,48,R_A4,0.0,STANDARD,36,1639.6068115234375,2018-01-01,0,300.5735168457031
30,301.0526123046875,18,0.2985859513282776,48,R_A4,0.0,STANDARD,37,1646.7513427734375,2018-01-01,0,301.0526123046875
30,301.5025939941406,19,0.6481541991233826,48,R_A4,0.0,STANDARD,38,1653.461669921875,2018-01-01,0,301.5025939941406
