DATE,DRAWDOWN,CONIDX,WELLMODEL,CONIPOS,CONBPRES,SGAS,PRESSURE,CONKPOS,CONJPOS,DEPTH,WELL,SWAT
2018-01-01,0,8,STANDARD,29,298.7760009765625,0.0,298.7760009765625,7,41,1610.9041748046875,R_A3,0.19081465899944305
2018-01-01,0,9,STANDARD,29,298.9129333496094,0.0,298.9129333496094,8,41,1612.947021484375,R_A3,0.1936841905117035
2018-01-01,0,10,STANDARD,29,299.0498352050781,0.0,299.0498352050781,9,41,1614.9898681640625,R_A3,0.30565837025642395
2018-01-01,0,11,STANDARD,29,299.186767578125,0.0,299.186767578125,10,41,1617.03271484375,R_A3,0.6481541991233826
2018-01-01,0,12,STANDARD,29,299.3305358886719,0.0,299.3305358886719,11,41,1619.177734375,R_A3,0.04684090241789818
2018-01-01,0,13,STANDARD,29,299.4811706542969,0.0,299.4811706542969,12,41,1621.4248046875,R_A3,0.05239889770746231
2018-01-01,0,14,STANDARD,29,299.6318054199219,0.0,299.6318054199219,13,41,1623.671875,R_A3,0.3611776530742645
2018-01-01,0,15,STANDARD,29,299.7824401855469,0.0,299.7824401855469,14,41,1625.9190673828125,R_A3,0.3772856295108795
2018-01-01,0,16,STANDARD,29,299.9330749511719,0.0,299.9330749511719,15,41,1628.1661376953125,R_A3,0.34678635001182556
2018-01-01,0,17,STANDARD,29,300.0830993652344,0.0,300.0830993652344,16,41,1630.403564453125,R_A3,0.804031252861023
2018-01-01,0,18,STANDARD,29,300.1668395996094,0.0,300.1668395996094,17,41,1631.65283203125,R_A3,0.7852911353111267
2018-01-01,0,19,STANDARD,29,300.3020935058594,0.0,300.3020935058594,26,41,1633.670166015625,R_A3,1.0
2018-01-01,0,20,STANDARD,29,300.5544738769531,0.0,300.5544738769531,27,41,1637.4345703125,R_A3,0.12071044743061066
2018-01-01,0,21,STANDARD,29,300.806884765625,0.0,300.806884765625,28,41,1641.1988525390625,R_A3,0.04930518567562103
2018-01-01,0,22,STANDARD,29,301.059326171875,0.0,301.059326171875,29,41,1644.963134765625,R_A3,0.0937921404838562
2018-01-01,0,23,STANDARD,29,301.311767578125,0.0,301.311767578125,30,41,1648.7275390625,R_A3,0.060947906225919724
2018-01-01,0,1,STANDARD,31,300.03472900390625,0.0,300.03472900390625,1,52,1629.6822509765625,R_A4,0.05033719167113304
2018-01-01,0,2,STANDARD,31,300.1692199707031,0.0,300.1692199707031,2,52,1631.6884765625,R_A4,0.10400533676147461
2018-01-01,0,3,STANDARD,32,300.1914367675781,0.0,300.1914367675781,2,52,1632.01953125,R_A4,0.0660645067691803
2018-01-01,0,4,STANDARD,32,300.3189697265625,0.0,300.3189697265625,3,52,1633.9219970703125,R_A4,0.05406397953629494
2018-01-01,0,5,STANDARD,32,300.385498046875,0.0,300.385498046875,3,51,1634.9140625,R_A4,0.2950311005115509
2018-01-01,0,6,STANDARD,33,300.3895263671875,0.0,300.3895263671875,3,51,1634.974365234375,R_A4,0.8597734570503235
2018-01-01,0,7,STANDARD,33,300.5198059082031,0.0,300.5198059082031,4,51,1636.917236328125,R_A4,0.07600536197423935
2018-01-01,0,8,STANDARD,33,300.6500549316406,0.0,300.6500549316406,5,51,1638.8599853515625,R_A4,0.05807465687394142
2018-01-01,0,9,STANDARD,33,300.74993896484375,0.0,300.74993896484375,5,50,1640.3497314453125,R_A4,0.057375941425561905
2018-01-01,0,10,STANDARD,33,300.8783264160156,0.0,300.8783264160156,6,50,1642.2642822265625,R_A4,0.057849619537591934
2018-01-01,0,11,STANDARD,34,300.8221435546875,0.0,300.8221435546875,6,50,1641.4263916015625,R_A4,0.2192874550819397
2018-01-01,0,12,STANDARD,34,300.68878173828125,0.0,300.68878173828125,5,50,1639.4373779296875,R_A4,0.0587567500770092
2018-01-01,0,13,STANDARD,35,300.8620910644531,0.0,300.8620910644531,5,50,1642.0218505859375,R_A4,0.059506114572286606
2018-01-01,0,14,STANDARD,35,300.8498840332031,0.0,300.8498840332031,5,49,1641.8399658203125,R_A4,0.05785270780324936
2018-01-01,0,15,STANDARD,35,300.7216796875,0.0,300.7216796875,4,49,1639.927978515625,R_A4,0.14052896201610565
2018-01-01,0,16,STANDARD,36,300.9788513183594,0.0,300.9788513183594,30,49,1643.763427734375,R_A4,0.1361982822418213
2018-01-01,0,17,STANDARD,36,300.5917663574219,0.0,300.5917663574219,30,48,1637.99072265625,R_A4,0.052229948341846466
2018-01-01,0,18,STANDARD,37,301.2464904785156,0.0,301.2464904785156,30,48,1647.7545166015625,R_A4,0.6481541991233826
2018-01-01,0,19,STANDARD,38,301.6376953125,0.0,301.6376953125,30,48,1653.5875244140625,R_A4,1.0
2018-01-01,0,20,STANDARD,38,301.9093933105469,0.0,301.9093933105469,30,47,1657.638427734375,R_A4,0.6481541991233826
2018-01-01,0,1,STANDARD,31,303.8067321777344,0.0,303.8067321777344,1,20,1684.632568359375,R_A5,1.0
2018-01-01,0,2,STANDARD,31,304.01361083984375,0.0,304.01361083984375,2,20,1686.8155517578125,R_A5,1.0
2018-01-01,0,3,STANDARD,31,304.2204895019531,0.0,304.2204895019531,3,20,1688.9986572265625,R_A5,1.0
2018-01-01,0,4,STANDARD,31,304.4273681640625,0.0,304.4273681640625,4,20,1691.1817626953125,R_A5,1.0
2018-01-01,0,5,STANDARD,31,304.6342468261719,0.0,304.6342468261719,5,20,1693.3648681640625,R_A5,1.0
2018-01-01,0,6,STANDARD,31,304.8411560058594,0.0,304.8411560058594,6,20,1695.548095703125,R_A5,1.0
2018-01-01,0,7,STANDARD,31,305.35382080078125,0.0,305.35382080078125,7,20,1697.731201171875,R_A5,1.0
2018-01-01,0,8,STANDARD,31,305.8598327636719,0.0,305.8598327636719,11,20,1706.2960205078125,R_A5,1.0
2018-01-01,0,9,STANDARD,31,305.3258972167969,0.0,305.3258972167969,11,21,1700.6617431640625,R_A5,1.0
2018-01-01,0,10,STANDARD,31,305.50115966796875,0.0,305.50115966796875,12,21,1702.51123046875,R_A5,1.0
2018-01-01,0,11,STANDARD,31,305.6883850097656,0.0,305.6883850097656,13,21,1704.360595703125,R_A5,1.0
2018-01-01,0,12,STANDARD,31,305.8636779785156,0.0,305.8636779785156,14,21,1706.2100830078125,R_A5,1.0
2018-01-01,0,13,STANDARD,31,306.0389404296875,0.0,306.0389404296875,15,21,1708.0595703125,R_A5,1.0
2018-01-01,0,14,STANDARD,31,306.3592224121094,0.0,306.3592224121094,16,21,1709.9090576171875,R_A5,1.0
2018-01-01,0,15,STANDARD,31,306.5345153808594,0.0,306.5345153808594,17,21,1711.758544921875,R_A5,1.0
2018-01-01,0,16,STANDARD,31,306.7076416015625,0.0,306.7076416015625,18,21,1713.58544921875,R_A5,1.0
2018-01-01,0,17,STANDARD,31,306.82867431640625,0.0,306.82867431640625,19,21,1714.8623046875,R_A5,1.0
2018-01-01,0,18,STANDARD,31,306.8209533691406,0.0,306.8209533691406,26,21,1716.4384765625,R_A5,1.0
2018-01-01,0,19,STANDARD,31,307.0373840332031,0.0,307.0373840332031,27,21,1718.7222900390625,R_A5,1.0
2018-01-01,0,20,STANDARD,31,307.55963134765625,0.0,307.55963134765625,28,21,1721.0059814453125,R_A5,1.0
2018-01-01,0,21,STANDARD,31,307.77606201171875,0.0,307.77606201171875,29,21,1723.2896728515625,R_A5,1.0
2018-01-01,0,22,STANDARD,31,307.9925231933594,0.0,307.9925231933594,30,21,1725.573486328125,R_A5,1.0
2018-01-01,0,1,STANDARD,17,305.12860107421875,0.0,305.12860107421875,1,42,1695.354736328125,R_A6,1.0
2018-01-01,0,2,STANDARD,17,305.2760314941406,0.0,305.2760314941406,2,42,1696.9102783203125,R_A6,1.0
2018-01-01,0,3,STANDARD,17,305.4234619140625,0.0,305.4234619140625,3,42,1698.4658203125,R_A6,1.0
2018-01-01,0,4,STANDARD,17,305.57086181640625,0.0,305.57086181640625,4,42,1700.0213623046875,R_A6,1.0
2018-01-01,0,5,STANDARD,17,305.7182922363281,0.0,305.7182922363281,5,42,1701.576904296875,R_A6,1.0
2018-01-01,0,6,STANDARD,17,305.8656921386719,0.0,305.8656921386719,6,42,1703.132568359375,R_A6,1.0
2018-01-01,0,7,STANDARD,17,305.7140808105469,0.0,305.7140808105469,7,42,1704.6881103515625,R_A6,1.0
2018-01-01,0,8,STANDARD,17,305.86151123046875,0.0,305.86151123046875,8,42,1706.24365234375,R_A6,1.0
2018-01-01,0,9,STANDARD,17,306.3079833984375,0.0,306.3079833984375,9,42,1707.7991943359375,R_A6,1.0
2018-01-01,0,10,STANDARD,17,306.14959716796875,0.0,306.14959716796875,10,42,1709.3548583984375,R_A6,1.0
2018-01-01,0,11,STANDARD,17,306.3277893066406,0.0,306.3277893066406,11,42,1711.2335205078125,R_A6,1.0
2018-01-01,0,12,STANDARD,17,306.5364685058594,0.0,306.5364685058594,12,42,1713.435302734375,R_A6,1.0
2018-01-01,0,13,STANDARD,17,306.757080078125,0.0,306.757080078125,13,42,1715.63720703125,R_A6,1.0
2018-01-01,0,14,STANDARD,17,306.9657897949219,0.0,306.9657897949219,14,42,1717.839111328125,R_A6,1.0
2018-01-01,0,15,STANDARD,17,307.1744689941406,0.0,307.1744689941406,15,42,1720.0408935546875,R_A6,1.0
2018-01-01,0,16,STANDARD,17,307.52813720703125,0.0,307.52813720703125,16,42,1722.2427978515625,R_A6,1.0
2018-01-01,0,17,STANDARD,17,307.7368469238281,0.0,307.7368469238281,17,42,1724.444580078125,R_A6,1.0
2018-01-01,0,18,STANDARD,17,307.91815185546875,0.0,307.91815185546875,18,42,1726.3575439453125,R_A6,1.0
2018-01-01,0,19,STANDARD,17,307.92010498046875,0.0,307.92010498046875,26,42,1728.035888671875,R_A6,1.0
2018-01-01,0,20,STANDARD,17,308.3901062011719,0.0,308.3901062011719,27,42,1729.768310546875,R_A6,1.0
2018-01-01,0,21,STANDARD,17,308.5543212890625,0.0,308.5543212890625,28,42,1731.5008544921875,R_A6,1.0
2018-01-01,0,22,STANDARD,17,308.7185363769531,0.0,308.7185363769531,29,42,1733.2333984375,R_A6,1.0
2018-01-01,0,23,STANDARD,17,308.5769348144531,0.0,308.5769348144531,30,42,1734.9659423828125,R_A6,1.0
2018-03-01,0,1,STANDARD,22,300.1503601074219,0.0,300.1503601074219,1,30,1641.4091796875,R_A2,0.05355006456375122
2018-03-01,0,2,STANDARD,22,300.2715148925781,0.0,300.2715148925781,2,30,1643.216064453125,R_A2,0.05551910027861595
2018-03-01,0,3,STANDARD,22,300.3926696777344,0.0,300.3926696777344,3,30,1645.02294921875,R_A2,0.0596187599003315
2018-03-01,0,4,STANDARD,22,300.5138244628906,0.0,300.5138244628906,4,30,1646.8299560546875,R_A2,0.06331432610750198
2018-03-01,0,5,STANDARD,22,300.6349792480469,0.0,300.6349792480469,5,30,1648.636962890625,R_A2,0.06674590706825256
2018-03-01,0,6,STANDARD,22,300.76239013671875,0.0,300.76239013671875,6,30,1650.44384765625,R_A2,0.3247380554676056
2018-03-01,0,7,STANDARD,22,300.8870544433594,0.0,300.8870544433594,7,30,1652.2508544921875,R_A2,0.8759576678276062
2018-03-01,0,8,STANDARD,22,301.0106201171875,0.0,301.0106201171875,8,30,1654.0577392578125,R_A2,0.8657090663909912
2018-03-01,0,9,STANDARD,22,301.2030944824219,0.0,301.2030944824219,9,30,1655.8646240234375,R_A2,0.876143217086792
2018-03-01,0,10,STANDARD,22,301.4245300292969,0.0,301.4245300292969,10,30,1657.671630859375,R_A2,0.8896763324737549
2018-03-01,0,11,STANDARD,22,301.139892578125,0.0,301.139892578125,11,30,1659.5291748046875,R_A2,0.06944891065359116
2018-03-01,0,12,STANDARD,22,301.26806640625,0.0,301.26806640625,12,30,1661.4373779296875,R_A2,0.0686107948422432
2018-03-01,0,13,STANDARD,22,301.4015197753906,0.0,301.4015197753906,13,30,1663.3455810546875,R_A2,0.41308847069740295
2018-03-01,0,14,STANDARD,22,301.5310363769531,0.0,301.5310363769531,14,30,1665.2537841796875,R_A2,0.4573517143726349
2018-03-01,0,15,STANDARD,22,301.6647644042969,0.0,301.6647644042969,15,30,1667.1619873046875,R_A2,0.6416425108909607
2018-03-01,0,16,STANDARD,22,301.7937316894531,0.0,301.7937316894531,16,30,1669.0701904296875,R_A2,0.9172874689102173
2018-03-01,0,17,STANDARD,22,301.6888732910156,0.0,301.6888732910156,16,29,1666.951904296875,R_A2,0.8882666826248169
2018-03-01,0,18,STANDARD,22,301.8236999511719,0.0,301.8236999511719,17,29,1668.9678955078125,R_A2,0.9070020914077759
2018-03-01,0,19,STANDARD,22,301.9588317871094,0.0,301.9588317871094,18,29,1670.98388671875,R_A2,0.8872172832489014
2018-03-01,0,20,STANDARD,22,302.0641174316406,0.0,302.0641174316406,19,29,1672.553955078125,R_A2,0.9470954537391663
2018-03-01,0,21,STANDARD,22,302.95989990234375,0.0,302.95989990234375,26,29,1674.0909423828125,R_A2,0.734466016292572
2018-03-01,0,22,STANDARD,22,303.0635681152344,-2.0743236461839842e-08,303.0635681152344,27,29,1675.945068359375,R_A2,0.9999997615814209
2018-03-01,0,23,STANDARD,22,303.12554931640625,-2.737947604638906e-15,303.12554931640625,28,29,1677.79931640625,R_A2,1.0
2018-03-01,0,24,STANDARD,22,303.04632568359375,-1.1657672440226752e-13,303.04632568359375,29,29,1679.6534423828125,R_A2,1.0
2018-03-01,0,25,STANDARD,22,302.7162170410156,-4.363114470412599e-12,302.7162170410156,30,29,1681.507568359375,R_A2,1.0
2018-04-28,0,1,STANDARD,31,271.40924072265625,2.4585593774045268e-14,271.40924072265625,1,20,1684.632568359375,R_A5,1.0
2018-04-28,0,2,STANDARD,31,271.615966796875,3.523079045294683e-14,271.615966796875,2,20,1686.8155517578125,R_A5,1.0
2018-04-28,0,3,STANDARD,31,271.8227233886719,3.705066445704522e-14,271.8227233886719,3,20,1688.9986572265625,R_A5,1.0
2018-04-28,0,4,STANDARD,31,272.0296936035156,2.0165203599813164e-13,272.0296936035156,4,20,1691.1817626953125,R_A5,1.0
2018-04-28,0,5,STANDARD,31,272.23724365234375,9.062002450516138e-13,272.23724365234375,5,20,1693.3648681640625,R_A5,1.0
2018-04-28,0,6,STANDARD,31,272.44439697265625,1.0662313046361227e-12,272.44439697265625,6,20,1695.548095703125,R_A5,1.0
2018-04-28,0,7,STANDARD,31,273.04022216796875,7.542065388020658e-14,273.04022216796875,7,20,1697.731201171875,R_A5,1.0
2018-04-28,0,8,STANDARD,31,271.90155029296875,-4.110936417667244e-12,271.90155029296875,11,20,1706.2960205078125,R_A5,1.0
2018-04-28,0,9,STANDARD,31,270.6911315917969,-1.5741673643852178e-13,270.6911315917969,11,21,1700.6617431640625,R_A5,1.0
2018-04-28,0,10,STANDARD,31,270.8661193847656,-1.180102429622007e-13,270.8661193847656,12,21,1702.51123046875,R_A5,1.0
2018-04-28,0,11,STANDARD,31,271.0550231933594,-4.4840423285260125e-14,271.0550231933594,13,21,1704.360595703125,R_A5,1.0
2018-04-28,0,12,STANDARD,31,271.2324523925781,-3.9236558338311134e-13,271.2324523925781,14,21,1706.2100830078125,R_A5,1.0
2018-04-28,0,13,STANDARD,31,271.4091796875,-1.0762223089707396e-13,271.4091796875,15,21,1708.0595703125,R_A5,1.0
2018-04-28,0,14,STANDARD,31,271.7350769042969,-9.162131773751692e-14,271.7350769042969,16,21,1709.9090576171875,R_A5,1.0
2018-04-28,0,15,STANDARD,31,271.9186706542969,-9.433592280819539e-15,271.9186706542969,17,21,1711.758544921875,R_A5,1.0
2018-04-28,0,16,STANDARD,31,272.1077575683594,-7.318621078090948e-13,272.1077575683594,18,21,1713.58544921875,R_A5,1.0
2018-04-28,0,17,STANDARD,31,272.2333068847656,-2.8544963701776505e-12,272.2333068847656,19,21,1714.8623046875,R_A5,1.0
2018-04-28,0,18,STANDARD,31,273.2372741699219,-5.281191456374401e-11,273.2372741699219,26,21,1716.4384765625,R_A5,1.0
2018-04-28,0,19,STANDARD,31,273.4217529296875,-7.880282537620076e-11,273.4217529296875,27,21,1718.7222900390625,R_A5,1.0
2018-04-28,0,20,STANDARD,31,273.9583435058594,-6.421391196553827e-11,273.9583435058594,28,21,1721.0059814453125,R_A5,1.0
2018-04-28,0,21,STANDARD,31,277.8851623535156,-4.729017700873016e-17,277.8851623535156,29,21,1723.2896728515625,R_A5,1.0
2018-04-28,0,22,STANDARD,31,274.18963623046875,-4.081518651700977e-13,274.18963623046875,30,21,1725.573486328125,R_A5,1.0
2018-07-03,0,1,STANDARD,28,279.9155578613281,0.0,279.9155578613281,1,41,1610.0789794921875,R_A3,0.153131365776062
2018-07-03,0,2,STANDARD,28,280.0588684082031,0.0,280.0588684082031,2,41,1612.22705078125,R_A3,0.11871067434549332
2018-07-03,0,3,STANDARD,28,280.2021789550781,0.0,280.2021789550781,3,41,1614.375244140625,R_A3,0.19229036569595337
2018-07-03,0,4,STANDARD,29,279.4097900390625,0.0,279.4097900390625,3,41,1602.732666015625,R_A3,0.18088985979557037
2018-07-03,0,5,STANDARD,29,279.54779052734375,0.0,279.54779052734375,4,41,1604.7755126953125,R_A3,0.3655972182750702
2018-07-03,0,6,STANDARD,29,279.81817626953125,0.0,279.81817626953125,5,41,1606.818359375,R_A3,0.8058008551597595
2018-07-03,0,7,STANDARD,29,279.8753662109375,0.0,279.8753662109375,6,41,1608.861328125,R_A3,0.6495780944824219
2018-07-03,0,8,STANDARD,29,280.0147705078125,0.0,280.0147705078125,7,41,1610.9041748046875,R_A3,0.1911601424217224
2018-07-03,0,9,STANDARD,29,280.15106201171875,0.0,280.15106201171875,8,41,1612.947021484375,R_A3,0.1940227895975113
2018-07-03,0,10,STANDARD,29,280.2873840332031,0.0,280.2873840332031,9,41,1614.9898681640625,R_A3,0.3062768280506134
2018-07-03,0,11,STANDARD,29,280.432861328125,0.0,280.432861328125,10,41,1617.03271484375,R_A3,0.6499440670013428
2018-07-03,0,12,STANDARD,29,290.2355651855469,0.0,290.2355651855469,11,41,1619.177734375,R_A3,0.046893637627363205
2018-07-03,0,13,STANDARD,29,290.3858642578125,0.0,290.3858642578125,12,41,1621.4248046875,R_A3,0.05246822535991669
2018-07-03,0,14,STANDARD,29,290.5367126464844,0.0,290.5367126464844,13,41,1623.671875,R_A3,0.36146241426467896
2018-07-03,0,15,STANDARD,29,290.8210754394531,0.0,290.8210754394531,14,41,1625.9190673828125,R_A3,0.3775940239429474
2018-07-03,0,16,STANDARD,29,290.98211669921875,0.0,290.98211669921875,15,41,1628.1661376953125,R_A3,0.34765079617500305
2018-07-03,0,17,STANDARD,29,291.15740966796875,0.0,291.15740966796875,16,41,1630.403564453125,R_A3,0.803514838218689
2018-07-03,0,18,STANDARD,29,291.2418212890625,0.0,291.2418212890625,17,41,1631.65283203125,R_A3,0.784757673740387
2018-07-03,0,19,STANDARD,29,294.6396179199219,-6.614291904981362e-14,294.6396179199219,26,41,1633.670166015625,R_A3,1.0
2018-07-03,0,20,STANDARD,29,289.76055908203125,0.0,289.76055908203125,27,41,1637.4345703125,R_A3,0.12092877924442291
2018-07-03,0,21,STANDARD,29,290.0122985839844,0.0,290.0122985839844,28,41,1641.1988525390625,R_A3,0.04939708113670349
2018-07-03,0,22,STANDARD,29,290.2642517089844,0.0,290.2642517089844,29,41,1644.963134765625,R_A3,0.09385828673839569
2018-07-03,0,23,STANDARD,29,290.51611328125,0.0,290.51611328125,30,41,1648.7275390625,R_A3,0.061037201434373856
2018-09-12,0,1,STANDARD,31,276.8815612792969,0.0,276.8815612792969,1,52,1629.6822509765625,R_A4,0.05043831840157509
2018-09-12,0,2,STANDARD,31,277.0152893066406,0.0,277.0152893066406,2,52,1631.6884765625,R_A4,0.1042322888970375
2018-09-12,0,3,STANDARD,32,277.1587829589844,0.0,277.1587829589844,2,52,1632.01953125,R_A4,0.06623048335313797
2018-09-12,0,4,STANDARD,32,277.6586608886719,0.0,277.6586608886719,3,52,1633.9219970703125,R_A4,0.054183393716812134
2018-09-12,0,5,STANDARD,32,277.2539367675781,0.0,277.2539367675781,3,51,1634.9140625,R_A4,0.2955099940299988
2018-09-12,0,6,STANDARD,33,277.45452880859375,0.0,277.45452880859375,3,51,1634.974365234375,R_A4,0.8586947321891785
2018-09-12,0,7,STANDARD,33,277.5525207519531,0.0,277.5525207519531,4,51,1636.917236328125,R_A4,0.07632164657115936
2018-09-12,0,8,STANDARD,33,277.68212890625,0.0,277.68212890625,5,51,1638.8599853515625,R_A4,0.0582553930580616
2018-09-12,0,9,STANDARD,33,277.6599426269531,0.0,277.6599426269531,5,50,1640.3497314453125,R_A4,0.057551149278879166
2018-09-12,0,10,STANDARD,33,277.7881164550781,0.0,277.7881164550781,6,50,1642.2642822265625,R_A4,0.0581737719476223
2018-09-12,0,11,STANDARD,34,277.96917724609375,0.0,277.96917724609375,6,50,1641.4263916015625,R_A4,0.21886323392391205
2018-09-12,0,12,STANDARD,34,277.7890930175781,0.0,277.7890930175781,5,50,1639.4373779296875,R_A4,0.05894412472844124
2018-09-12,0,13,STANDARD,35,278.1844177246094,0.0,278.1844177246094,5,50,1642.0218505859375,R_A4,0.05961707979440689
2018-09-12,0,14,STANDARD,35,278.0596008300781,0.0,278.0596008300781,5,49,1641.8399658203125,R_A4,0.05798156559467316
2018-09-12,0,15,STANDARD,35,277.9320068359375,0.0,277.9320068359375,4,49,1639.927978515625,R_A4,0.1409222036600113
2018-09-12,0,16,STANDARD,36,284.2643127441406,0.0,284.2643127441406,30,49,1643.763427734375,R_A4,0.13628976047039032
2018-09-12,0,17,STANDARD,36,283.9202880859375,0.0,283.9202880859375,30,48,1637.99072265625,R_A4,0.05265462026000023
2018-09-12,0,18,STANDARD,37,284.57757568359375,0.0,284.57757568359375,30,48,1647.7545166015625,R_A4,0.6496925354003906
2018-09-12,0,19,STANDARD,38,296.1765441894531,-1.7278336964313135e-12,296.1765441894531,30,48,1653.5875244140625,R_A4,1.0
2018-09-12,0,20,STANDARD,38,285.2750549316406,0.0,285.2750549316406,30,47,1657.638427734375,R_A4,0.6493369936943054
2018-11-07,0,1,STANDARD,17,265.92681884765625,5.341198403702174e-13,265.92681884765625,1,42,1695.354736328125,R_A6,1.0
2018-11-07,0,2,STANDARD,17,266.0762939453125,2.8692358818721564e-13,266.0762939453125,2,42,1696.9102783203125,R_A6,1.0
2018-11-07,0,3,STANDARD,17,266.22802734375,2.6207988145128536e-13,266.22802734375,3,42,1698.4658203125,R_A6,1.0
2018-11-07,0,4,STANDARD,17,266.3810729980469,2.9549358294446437e-13,266.3810729980469,4,42,1700.0213623046875,R_A6,1.0
2018-11-07,0,5,STANDARD,17,266.5343017578125,4.3072991462618504e-13,266.5343017578125,5,42,1701.576904296875,R_A6,1.0
2018-11-07,0,6,STANDARD,17,266.685791015625,1.533491909844198e-11,266.685791015625,6,42,1703.132568359375,R_A6,1.0
2018-11-07,0,7,STANDARD,17,266.5398864746094,2.2272404406886714e-11,266.5398864746094,7,42,1704.6881103515625,R_A6,1.0
2018-11-07,0,8,STANDARD,17,266.650634765625,1.8744053184582832e-11,266.650634765625,8,42,1706.24365234375,R_A6,1.0
2018-11-07,0,9,STANDARD,17,266.87591552734375,1.0546839009778486e-12,266.87591552734375,9,42,1707.7991943359375,R_A6,1.0
2018-11-07,0,10,STANDARD,17,265.13421630859375,1.3509215968099397e-10,265.13421630859375,10,42,1709.3548583984375,R_A6,1.0
2018-11-07,0,11,STANDARD,17,285.6290283203125,4.527770573834605e-13,285.6290283203125,11,42,1711.2335205078125,R_A6,1.0
