SGAS,SWAT,CONJPOS,WELLMODEL,DATE,DRAWDOWN,CONIDX,CONIPOS,CONBPRES,WELL,PRESSURE,CONKPOS,DEPTH
0.0,0.05023038014769554,52,STANDARD,2018-01-01,0,3,31,299.7026672363281,R_A4,299.7026672363281,2,1626.8482666015625
0.0,0.05069021135568619,52,STANDARD,2018-01-01,0,4,31,299.8453674316406,R_A4,299.8453674316406,3,1628.976806640625
0.0,0.052295658737421036,52,STANDARD,2018-01-01,0,5,31,299.9880676269531,R_A4,299.9880676269531,4,1631.10546875
0.0,0.05435342341661453,52,STANDARD,2018-01-01,0,6,31,300.1307678222656,R_A4,300.1307678222656,5,1633.2340087890625
0.0,0.0561157688498497,52,STANDARD,2018-01-01,0,7,31,300.2734680175781,R_A4,300.2734680175781,6,1635.3626708984375
0.0,0.055346306413412094,52,STANDARD,2018-01-01,0,8,32,300.04541015625,R_A4,300.04541015625,6,1631.9610595703125
0.0,0.05954177305102348,51,STANDARD,2018-01-01,0,9,32,300.41046142578125,R_A4,300.41046142578125,6,1637.406005859375
0.0,0.05911702290177345,51,STANDARD,2018-01-01,0,10,32,300.2857666015625,R_A4,300.2857666015625,5,1635.5458984375
0.0,0.06084733456373215,51,STANDARD,2018-01-01,0,11,33,300.4158020019531,R_A4,300.4158020019531,5,1637.4853515625
0.0,0.05772610753774643,51,STANDARD,2018-01-01,0,12,33,300.28936767578125,R_A4,300.28936767578125,4,1635.5994873046875
0.0,0.06428250670433044,50,STANDARD,2018-01-01,0,13,33,300.7333068847656,R_A4,300.7333068847656,5,1642.220947265625
0.0,0.0635608360171318,50,STANDARD,2018-01-01,0,14,34,300.6332702636719,R_A4,300.6332702636719,5,1640.728759765625
0.0,0.14524529874324799,50,STANDARD,2018-01-01,0,15,34,300.5015869140625,R_A4,300.5015869140625,4,1638.764892578125
0.0,0.14861121773719788,50,STANDARD,2018-01-01,0,16,35,300.7229919433594,R_A4,300.7229919433594,4,1642.0667724609375
