CONIPOS,DATE,WELL,SWAT,PRESSURE,WELLMODEL,DEPTH,CONBPRES,CONJPOS,SGAS,CONIDX,CONKPOS,DRAWDOWN
29,2018-01-01,R_A3,0.19151905179023743,298.6948547363281,STANDARD,1610.0396728515625,298.6948547363281,41,0.0,8,7,0
29,2018-01-01,R_A3,0.19234633445739746,298.83624267578125,STANDARD,1612.1494140625,298.83624267578125,41,0.0,9,8,0
29,2018-01-01,R_A3,0.7908938527107239,298.9776611328125,STANDARD,1614.259033203125,298.9776611328125,41,0.0,10,9,0
29,2018-01-01,R_A3,0.7915310263633728,299.1190490722656,STANDARD,1616.36865234375,299.1190490722656,41,0.0,11,10,0
29,2018-01-01,R_A3,0.04709071293473244,299.26434326171875,STANDARD,1618.536376953125,299.26434326171875,41,0.0,12,11,0
29,2018-01-01,R_A3,0.05525629222393036,299.4135437011719,STANDARD,1620.7620849609375,299.4135437011719,41,0.0,13,12,0
29,2018-01-01,R_A3,0.36318594217300415,299.562744140625,STANDARD,1622.988037109375,299.562744140625,41,0.0,14,13,0
29,2018-01-01,R_A3,0.3633059859275818,299.7119445800781,STANDARD,1625.2138671875,299.7119445800781,41,0.0,15,14,0
29,2018-01-01,R_A3,0.601466715335846,299.8611755371094,STANDARD,1627.4395751953125,299.8611755371094,41,0.0,16,15,0
29,2018-01-01,R_A3,0.7939914464950562,299.98980712890625,STANDARD,1629.358642578125,299.98980712890625,41,0.0,17,16,0
29,2018-01-01,R_A3,0.37202882766723633,300.18597412109375,STANDARD,1632.28466796875,300.18597412109375,41,0.0,18,27,0
29,2018-01-01,R_A3,0.04414080083370209,300.43292236328125,STANDARD,1635.9676513671875,300.43292236328125,41,0.0,19,28,0
29,2018-01-01,R_A3,0.050079263746738434,300.67987060546875,STANDARD,1639.650634765625,300.67987060546875,41,0.0,20,29,0
29,2018-01-01,R_A3,1.0,300.92681884765625,STANDARD,1643.333740234375,300.92681884765625,41,0.0,21,30,0
29,2018-01-01,R_A3,0.16976048052310944,301.1737976074219,STANDARD,1647.0166015625,301.1737976074219,41,0.0,22,31,0
30,2018-01-01,R_A4,0.050946686416864395,300.234130859375,STANDARD,1633.002685546875,300.234130859375,52,0.0,1,1,0
31,2018-01-01,R_A4,0.04687168449163437,299.8607482910156,STANDARD,1627.4334716796875,299.8607482910156,52,0.0,2,1,0
31,2018-01-01,R_A4,0.04845518618822098,299.9963684082031,STANDARD,1629.456298828125,299.9963684082031,52,0.0,3,2,0
31,2018-01-01,R_A4,0.052113402634859085,300.1319885253906,STANDARD,1631.4791259765625,300.1319885253906,52,0.0,4,3,0
31,2018-01-01,R_A4,0.05361618846654892,300.2676086425781,STANDARD,1633.501953125,300.2676086425781,52,0.0,5,4,0
32,2018-01-01,R_A4,0.051894448697566986,300.0906066894531,STANDARD,1630.8621826171875,300.0906066894531,52,0.0,6,4,0
32,2018-01-01,R_A4,0.16699345409870148,300.21435546875,STANDARD,1632.7078857421875,300.21435546875,52,0.0,7,5,0
32,2018-01-01,R_A4,0.17382392287254333,300.4342956542969,STANDARD,1635.98828125,300.4342956542969,51,0.0,8,5,0
33,2018-01-01,R_A4,0.11028395593166351,300.5449523925781,STANDARD,1637.638671875,300.5449523925781,51,0.0,9,5,0
33,2018-01-01,R_A4,0.05579458549618721,300.4237976074219,STANDARD,1635.831787109375,300.4237976074219,51,0.0,10,4,0
33,2018-01-01,R_A4,0.09977686405181885,300.688720703125,STANDARD,1639.78271484375,300.688720703125,50,0.0,11,4,0
34,2018-01-01,R_A4,0.13833224773406982,300.6255798339844,STANDARD,1638.84130859375,300.6255798339844,50,0.0,12,4,0
35,2018-01-01,R_A4,0.14058811962604523,300.7596130371094,STANDARD,1640.8399658203125,300.7596130371094,50,0.0,13,4,0
35,2018-01-01,R_A4,0.2234513759613037,300.64276123046875,STANDARD,1639.0972900390625,300.64276123046875,50,0.0,14,3,0
35,2018-01-01,R_A4,0.2334134578704834,300.91119384765625,STANDARD,1643.1007080078125,300.91119384765625,49,0.0,15,3,0
35,2018-01-01,R_A4,0.2308821678161621,300.7961730957031,STANDARD,1641.385498046875,300.7961730957031,49,0.0,16,2,0
36,2018-01-01,R_A4,0.08947379887104034,301.0494689941406,STANDARD,1645.16259765625,301.0494689941406,49,0.0,17,30,0
36,2018-01-01,R_A4,0.23232494294643402,300.6434020996094,STANDARD,1639.107177734375,300.6434020996094,49,0.0,18,29,0
36,2018-01-01,R_A4,0.04921358451247215,300.51458740234375,STANDARD,1637.1856689453125,300.51458740234375,48,0.0,19,29,0
37,2018-01-01,R_A4,0.30094701051712036,301.2777404785156,STANDARD,1648.5667724609375,301.2777404785156,48,0.0,20,29,0
37,2018-01-01,R_A4,0.15996375679969788,300.88873291015625,STANDARD,1642.7657470703125,300.88873291015625,48,0.0,21,28,0
38,2018-01-01,R_A4,0.6481541991233826,301.482177734375,STANDARD,1651.615234375,301.482177734375,48,0.0,22,28,0
38,2018-01-01,R_A4,0.11703342199325562,301.7973327636719,STANDARD,1656.31396484375,301.7973327636719,47,0.0,23,28,0
31,2018-01-01,R_A5,1.0,303.8322448730469,STANDARD,1684.9017333984375,303.8322448730469,20,0.0,1,1,0
31,2018-01-01,R_A5,1.0,304.02996826171875,STANDARD,1686.98828125,304.02996826171875,20,0.0,2,2,0
31,2018-01-01,R_A5,1.0,304.2276916503906,STANDARD,1689.07470703125,304.2276916503906,20,0.0,3,3,0
31,2018-01-01,R_A5,1.0,304.4254455566406,STANDARD,1691.1612548828125,304.4254455566406,20,0.0,4,4,0
31,2018-01-01,R_A5,1.0,304.6231689453125,STANDARD,1693.247802734375,304.6231689453125,20,0.0,5,5,0
31,2018-01-01,R_A5,1.0,304.8208923339844,STANDARD,1695.3343505859375,304.8208923339844,20,0.0,6,6,0
31,2018-01-01,R_A5,1.0,305.32440185546875,STANDARD,1697.4207763671875,305.32440185546875,20,0.0,7,7,0
31,2018-01-01,R_A5,1.0,305.52215576171875,STANDARD,1699.50732421875,305.52215576171875,20,0.0,8,8,0
31,2018-01-01,R_A5,1.0,305.2786560058594,STANDARD,1696.9381103515625,305.2786560058594,21,0.0,9,9,0
31,2018-01-01,R_A5,1.0,305.3851318359375,STANDARD,1701.286865234375,305.3851318359375,21,0.0,10,11,0
31,2018-01-01,R_A5,1.0,305.5653381347656,STANDARD,1703.1883544921875,305.5653381347656,21,0.0,11,12,0
31,2018-01-01,R_A5,1.0,305.75750732421875,STANDARD,1705.0899658203125,305.75750732421875,21,0.0,12,13,0
31,2018-01-01,R_A5,1.0,305.9377136230469,STANDARD,1706.9915771484375,305.9377136230469,21,0.0,13,14,0
31,2018-01-01,R_A5,1.0,306.1179504394531,STANDARD,1708.8931884765625,306.1179504394531,21,0.0,14,15,0
31,2018-01-01,R_A5,1.0,306.44317626953125,STANDARD,1710.794677734375,306.44317626953125,21,0.0,15,16,0
31,2018-01-01,R_A5,1.0,306.6233825683594,STANDARD,1712.6962890625,306.6233825683594,21,0.0,16,17,0
31,2018-01-01,R_A5,1.0,306.775390625,STANDARD,1714.300048828125,306.775390625,21,0.0,17,18,0
31,2018-01-01,R_A5,1.0,306.8717956542969,STANDARD,1715.3173828125,306.8717956542969,21,0.0,18,19,0
31,2018-01-01,R_A5,1.0,306.855712890625,STANDARD,1716.805419921875,306.855712890625,21,0.0,19,27,0
31,2018-01-01,R_A5,1.0,307.0687255859375,STANDARD,1719.052734375,307.0687255859375,21,0.0,20,28,0
31,2018-01-01,R_A5,1.0,307.5874938964844,STANDARD,1721.300048828125,307.5874938964844,21,0.0,21,29,0
31,2018-01-01,R_A5,1.0,307.80047607421875,STANDARD,1723.5472412109375,307.80047607421875,21,0.0,22,30,0
31,2018-01-01,R_A5,1.0,308.0134582519531,STANDARD,1725.7945556640625,308.0134582519531,21,0.0,23,31,0
17,2018-01-01,R_A6,1.0,304.8855285644531,STANDARD,1696.0164794921875,304.8855285644531,42,0.0,1,1,0
17,2018-01-01,R_A6,1.0,305.33892822265625,STANDARD,1697.5740966796875,305.33892822265625,42,0.0,2,2,0
17,2018-01-01,R_A6,1.0,305.486572265625,STANDARD,1699.1318359375,305.486572265625,42,0.0,3,3,0
17,2018-01-01,R_A6,1.0,305.6341857910156,STANDARD,1700.689453125,305.6341857910156,42,0.0,4,4,0
17,2018-01-01,R_A6,1.0,305.78179931640625,STANDARD,1702.2470703125,305.78179931640625,42,0.0,5,5,0
17,2018-01-01,R_A6,1.0,305.63037109375,STANDARD,1703.8046875,305.63037109375,42,0.0,6,6,0
17,2018-01-01,R_A6,1.0,305.7779846191406,STANDARD,1705.3624267578125,305.7779846191406,42,0.0,7,7,0
17,2018-01-01,R_A6,1.0,305.92559814453125,STANDARD,1706.9200439453125,305.92559814453125,42,0.0,8,8,0
17,2018-01-01,R_A6,1.0,306.3722839355469,STANDARD,1708.477783203125,306.3722839355469,42,0.0,9,9,0
17,2018-01-01,R_A6,1.0,306.214111328125,STANDARD,1710.035400390625,306.214111328125,42,0.0,10,10,0
17,2018-01-01,R_A6,1.0,306.3941955566406,STANDARD,1711.934326171875,306.3941955566406,42,0.0,11,11,0
17,2018-01-01,R_A6,1.0,306.60650634765625,STANDARD,1714.1744384765625,306.60650634765625,42,0.0,12,12,0
17,2018-01-01,R_A6,1.0,306.83074951171875,STANDARD,1716.41455078125,306.83074951171875,42,0.0,13,13,0
17,2018-01-01,R_A6,1.0,307.0430603027344,STANDARD,1718.654541015625,307.0430603027344,42,0.0,14,14,0
17,2018-01-01,R_A6,1.0,307.25537109375,STANDARD,1720.8946533203125,307.25537109375,42,0.0,15,15,0
17,2018-01-01,R_A6,1.0,307.6127014160156,STANDARD,1723.134765625,307.6127014160156,42,0.0,16,16,0
17,2018-01-01,R_A6,1.0,307.82501220703125,STANDARD,1725.374755859375,307.82501220703125,42,0.0,17,17,0
17,2018-01-01,R_A6,1.0,307.9979553222656,STANDARD,1727.19970703125,307.9979553222656,42,0.0,18,18,0
17,2018-01-01,R_A6,1.0,307.9899597167969,STANDARD,1728.77294921875,307.9899597167969,42,0.0,19,27,0
17,2018-01-01,R_A6,1.0,308.1545715332031,STANDARD,1730.5096435546875,308.1545715332031,42,0.0,20,28,0
17,2018-01-01,R_A6,1.0,308.6249694824219,STANDARD,1732.2462158203125,308.6249694824219,42,0.0,21,29,0
17,2018-01-01,R_A6,1.0,308.78955078125,STANDARD,1733.98291015625,308.78955078125,42,0.0,22,30,0
17,2018-01-01,R_A6,1.0,308.64837646484375,STANDARD,1735.7196044921875,308.64837646484375,42,0.0,23,31,0
22,2018-03-01,R_A2,0.053181201219558716,299.37969970703125,STANDARD,1640.740478515625,299.37969970703125,30,0.0,1,1,0
22,2018-03-01,R_A2,0.05657899007201195,299.49859619140625,STANDARD,1642.514892578125,299.49859619140625,30,0.0,2,2,0
22,2018-03-01,R_A2,0.05780097469687462,299.6174621582031,STANDARD,1644.2894287109375,299.6174621582031,30,0.0,3,3,0
22,2018-03-01,R_A2,0.061440106481313705,299.7363586425781,STANDARD,1646.0638427734375,299.7363586425781,30,0.0,4,4,0
22,2018-03-01,R_A2,0.06573742628097534,299.8552551269531,STANDARD,1647.83837890625,299.8552551269531,30,0.0,5,5,0
22,2018-03-01,R_A2,0.311657577753067,299.96343994140625,STANDARD,1649.6129150390625,299.96343994140625,30,0.0,6,6,0
22,2018-03-01,R_A2,0.8775676488876343,300.083251953125,STANDARD,1651.387451171875,300.083251953125,30,0.0,7,7,0
22,2018-03-01,R_A2,0.8605779409408569,300.20428466796875,STANDARD,1653.161865234375,300.20428466796875,30,0.0,8,8,0
22,2018-03-01,R_A2,0.895056426525116,300.3425598144531,STANDARD,1654.936279296875,300.3425598144531,30,0.0,9,9,0
22,2018-03-01,R_A2,0.9047755002975464,300.5215148925781,STANDARD,1656.7108154296875,300.5215148925781,30,0.0,10,10,0
22,2018-03-01,R_A2,0.0690644383430481,300.535888671875,STANDARD,1658.5626220703125,300.535888671875,30,0.0,11,11,0
22,2018-03-01,R_A2,0.07098595052957535,300.66522216796875,STANDARD,1660.49169921875,300.66522216796875,30,0.0,12,12,0
22,2018-03-01,R_A2,0.4127618372440338,300.79547119140625,STANDARD,1662.4208984375,300.79547119140625,30,0.0,13,13,0
22,2018-03-01,R_A2,0.45902329683303833,300.9264221191406,STANDARD,1664.35009765625,300.9264221191406,30,0.0,14,14,0
22,2018-03-01,R_A2,0.6115931868553162,301.0660400390625,STANDARD,1666.279296875,301.0660400390625,30,0.0,15,15,0
22,2018-03-01,R_A2,0.9284279346466064,301.19720458984375,STANDARD,1668.2083740234375,301.19720458984375,30,0.0,16,16,0
22,2018-03-01,R_A2,0.8903403282165527,301.3275451660156,STANDARD,1670.137451171875,301.3275451660156,30,0.0,17,17,0
22,2018-03-01,R_A2,0.9293018579483032,301.4480895996094,STANDARD,1671.930908203125,301.4480895996094,30,0.0,18,18,0
22,2018-03-01,R_A2,0.9538397192955017,301.6425476074219,STANDARD,1673.7841796875,301.6425476074219,29,0.0,19,18,0
22,2018-03-01,R_A2,0.6483178734779358,302.0005798339844,STANDARD,1675.8685302734375,302.0005798339844,29,0.0,20,27,0
22,2018-03-01,R_A2,1.0,302.4081115722656,STANDARD,1677.61328125,302.4081115722656,29,-2.336448634392141e-13,21,28,0
22,2018-03-01,R_A2,1.0,302.5642395019531,STANDARD,1679.35791015625,302.5642395019531,29,-6.291972151628578e-14,22,29,0
22,2018-03-01,R_A2,0.9999999403953552,302.720947265625,STANDARD,1681.1026611328125,302.720947265625,29,-4.893139671224844e-09,23,30,0
22,2018-03-01,R_A2,0.9999999403953552,302.91595458984375,STANDARD,1682.847412109375,302.91595458984375,29,-7.744751506777448e-09,24,31,0
31,2018-04-28,R_A5,1.0,270.5067138671875,STANDARD,1684.9017333984375,270.5067138671875,20,7.771845097820015e-14,1,1,0
31,2018-04-28,R_A5,1.0,270.7041015625,STANDARD,1686.98828125,270.7041015625,20,6.02919271583055e-14,2,2,0
31,2018-04-28,R_A5,1.0,270.9015197753906,STANDARD,1689.07470703125,270.9015197753906,20,6.007111583335167e-14,3,3,0
31,2018-04-28,R_A5,1.0,271.0989685058594,STANDARD,1691.1612548828125,271.0989685058594,20,6.510665216587913e-14,4,4,0
31,2018-04-28,R_A5,1.0,271.29638671875,STANDARD,1693.247802734375,271.29638671875,20,5.850230239481946e-14,5,5,0
31,2018-04-28,R_A5,1.0,271.4937744140625,STANDARD,1695.3343505859375,271.4937744140625,20,4.768170382726637e-14,6,6,0
31,2018-04-28,R_A5,1.0,272.01971435546875,STANDARD,1697.4207763671875,272.01971435546875,20,1.3322442514408436e-14,7,7,0
31,2018-04-28,R_A5,1.0,272.2617492675781,STANDARD,1699.50732421875,272.2617492675781,20,1.8504529776964401e-13,8,8,0
31,2018-04-28,R_A5,1.0,271.7724914550781,STANDARD,1696.9381103515625,271.7724914550781,21,2.3085947216394676e-12,9,9,0
31,2018-04-28,R_A5,1.0,274.0190124511719,STANDARD,1701.286865234375,274.0190124511719,21,-1.3461553052818154e-11,10,11,0
31,2018-04-28,R_A5,1.0,274.1991882324219,STANDARD,1703.1883544921875,274.1991882324219,21,-1.4871803441507403e-11,11,12,0
31,2018-04-28,R_A5,1.0,274.3914489746094,STANDARD,1705.0899658203125,274.3914489746094,21,-5.540362005979071e-13,12,13,0
31,2018-04-28,R_A5,1.0,274.57183837890625,STANDARD,1706.9915771484375,274.57183837890625,21,-9.788696546039755e-13,13,14,0
31,2018-04-28,R_A5,1.0,274.75274658203125,STANDARD,1708.8931884765625,274.75274658203125,21,-2.440481898600272e-13,14,15,0
31,2018-04-28,R_A5,1.0,275.0837097167969,STANDARD,1710.794677734375,275.0837097167969,21,-1.742675556810902e-13,15,16,0
31,2018-04-28,R_A5,1.0,275.2730712890625,STANDARD,1712.6962890625,275.2730712890625,21,-5.239183381838125e-14,16,17,0
31,2018-04-28,R_A5,1.0,275.43084716796875,STANDARD,1714.300048828125,275.43084716796875,21,-7.286935676175874e-14,17,18,0
31,2018-04-28,R_A5,1.0,275.52838134765625,STANDARD,1715.3173828125,275.52838134765625,21,0.0,18,19,0
31,2018-04-28,R_A5,1.0,275.79473876953125,STANDARD,1716.805419921875,275.79473876953125,21,-2.4381896241570944e-13,19,27,0
31,2018-04-28,R_A5,1.0,276.0159912109375,STANDARD,1719.052734375,276.0159912109375,21,-1.9882026255392538e-13,20,28,0
31,2018-04-28,R_A5,1.0,276.8677978515625,STANDARD,1721.300048828125,276.8677978515625,21,-1.5407878288129992e-14,21,29,0
31,2018-04-28,R_A5,1.0,277.0624694824219,STANDARD,1723.5472412109375,277.0624694824219,21,-8.485799682291656e-15,22,30,0
31,2018-04-28,R_A5,1.0,288.7554626464844,STANDARD,1725.7945556640625,288.7554626464844,21,-5.710674407203891e-22,23,31,0
28,2018-07-03,R_A3,0.29833149909973145,292.33148193359375,STANDARD,1613.3424072265625,292.33148193359375,41,0.0,1,1,0
28,2018-07-03,R_A3,0.19979028403759003,292.4728698730469,STANDARD,1615.446533203125,292.4728698730469,41,0.0,2,2,0
28,2018-07-03,R_A3,0.19473515450954437,292.6136169433594,STANDARD,1617.550537109375,292.6136169433594,41,0.0,3,3,0
28,2018-07-03,R_A3,0.19780080020427704,292.7544250488281,STANDARD,1619.6546630859375,292.7544250488281,41,0.0,4,4,0
28,2018-07-03,R_A3,0.8229721784591675,292.9334716796875,STANDARD,1621.7586669921875,292.9334716796875,41,0.0,5,5,0
28,2018-07-03,R_A3,0.3148827850818634,293.0633850097656,STANDARD,1623.86279296875,293.0633850097656,41,0.0,6,6,0
29,2018-07-03,R_A3,0.648712158203125,291.9139709472656,STANDARD,1607.9300537109375,291.9139709472656,41,0.0,7,6,0
29,2018-07-03,R_A3,0.19183672964572906,292.0613708496094,STANDARD,1610.0396728515625,292.0613708496094,41,0.0,8,7,0
29,2018-07-03,R_A3,0.19297069311141968,292.2026672363281,STANDARD,1612.1494140625,292.2026672363281,41,0.0,9,8,0
29,2018-07-03,R_A3,0.7905532717704773,292.3904113769531,STANDARD,1614.259033203125,292.3904113769531,41,0.0,10,9,0
29,2018-07-03,R_A3,0.7911636233329773,293.3149719238281,STANDARD,1616.36865234375,293.3149719238281,41,0.0,11,10,0
29,2018-07-03,R_A3,0.04715172201395035,290.8927917480469,STANDARD,1618.536376953125,290.8927917480469,41,0.0,12,11,0
29,2018-07-03,R_A3,0.055313851684331894,291.0417175292969,STANDARD,1620.7620849609375,291.0417175292969,41,0.0,13,12,0
29,2018-07-03,R_A3,0.3634617328643799,291.19110107421875,STANDARD,1622.988037109375,291.19110107421875,41,0.0,14,13,0
29,2018-07-03,R_A3,0.36356163024902344,291.41986083984375,STANDARD,1625.2138671875,291.41986083984375,41,0.0,15,14,0
29,2018-07-03,R_A3,0.6023492813110352,291.5628662109375,STANDARD,1627.4395751953125,291.5628662109375,41,0.0,16,15,0
29,2018-07-03,R_A3,0.7935428023338318,291.7186279296875,STANDARD,1629.358642578125,291.7186279296875,41,0.0,17,16,0
29,2018-07-03,R_A3,0.3712259829044342,286.16162109375,STANDARD,1632.28466796875,286.16162109375,41,0.0,18,27,0
29,2018-07-03,R_A3,0.044413842260837555,286.394775390625,STANDARD,1635.9676513671875,286.394775390625,41,0.0,19,28,0
29,2018-07-03,R_A3,0.05036582425236702,286.6408996582031,STANDARD,1639.650634765625,286.6408996582031,41,0.0,20,29,0
29,2018-07-03,R_A3,1.0,290.1088562011719,STANDARD,1643.333740234375,290.1088562011719,41,-2.272477080914482e-14,21,30,0
29,2018-07-03,R_A3,0.17023254930973053,287.1365661621094,STANDARD,1647.0166015625,287.1365661621094,41,0.0,22,31,0
30,2018-09-12,R_A4,0.051051750779151917,279.6897277832031,STANDARD,1633.002685546875,279.6897277832031,52,0.0,1,1,0
31,2018-09-12,R_A4,0.0469704195857048,279.49462890625,STANDARD,1627.4334716796875,279.49462890625,52,0.0,2,1,0
31,2018-09-12,R_A4,0.04856259003281593,279.6295166015625,STANDARD,1629.456298828125,279.6295166015625,52,0.0,3,2,0
31,2018-09-12,R_A4,0.052220284938812256,279.7644348144531,STANDARD,1631.4791259765625,279.7644348144531,52,0.0,4,3,0
31,2018-09-12,R_A4,0.05373236909508705,279.89935302734375,STANDARD,1633.501953125,279.89935302734375,52,0.0,5,4,0
32,2018-09-12,R_A4,0.05197069048881531,279.8886413574219,STANDARD,1630.8621826171875,279.8886413574219,52,0.0,6,4,0
32,2018-09-12,R_A4,0.1671442985534668,280.0119323730469,STANDARD,1632.7078857421875,280.0119323730469,52,0.0,7,5,0
32,2018-09-12,R_A4,0.17444874346256256,280.0895690917969,STANDARD,1635.98828125,280.0895690917969,51,0.0,8,5,0
33,2018-09-12,R_A4,0.1116260439157486,280.35760498046875,STANDARD,1637.638671875,280.35760498046875,51,0.0,9,5,0
33,2018-09-12,R_A4,0.056243762373924255,280.2371826171875,STANDARD,1635.831787109375,280.2371826171875,51,0.0,10,4,0
33,2018-09-12,R_A4,0.1006108894944191,280.2073059082031,STANDARD,1639.78271484375,280.2073059082031,50,0.0,11,4,0
34,2018-09-12,R_A4,0.13859549164772034,280.35296630859375,STANDARD,1638.84130859375,280.35296630859375,50,0.0,12,4,0
35,2018-09-12,R_A4,0.14085395634174347,280.6971435546875,STANDARD,1640.8399658203125,280.6971435546875,50,0.0,13,4,0
35,2018-09-12,R_A4,0.22380150854587555,280.5816650390625,STANDARD,1639.0972900390625,280.5816650390625,50,0.0,14,3,0
35,2018-09-12,R_A4,0.23368464410305023,280.6229248046875,STANDARD,1643.1007080078125,280.6229248046875,49,0.0,15,3,0
35,2018-09-12,R_A4,0.23119139671325684,280.50885009765625,STANDARD,1641.385498046875,280.50885009765625,49,0.0,16,2,0
36,2018-09-12,R_A4,0.09255629777908325,281.05596923828125,STANDARD,1645.16259765625,281.05596923828125,49,0.0,17,30,0
36,2018-09-12,R_A4,0.2514514625072479,280.6142578125,STANDARD,1639.107177734375,280.6142578125,49,0.0,18,29,0
36,2018-09-12,R_A4,0.0547892190515995,280.3691711425781,STANDARD,1637.1856689453125,280.3691711425781,48,0.0,19,29,0
37,2018-09-12,R_A4,0.31913337111473083,281.3006591796875,STANDARD,1648.5667724609375,281.3006591796875,48,0.0,20,29,0
37,2018-09-12,R_A4,0.16957822442054749,280.9012756347656,STANDARD,1642.7657470703125,280.9012756347656,48,0.0,21,28,0
38,2018-09-12,R_A4,0.6729598641395569,281.7015380859375,STANDARD,1651.615234375,281.7015380859375,48,0.0,22,28,0
38,2018-09-12,R_A4,0.13470815122127533,281.8182373046875,STANDARD,1656.31396484375,281.8182373046875,47,0.0,23,28,0
17,2018-11-07,R_A6,1.0,277.9097900390625,STANDARD,1696.0164794921875,277.9097900390625,42,-4.5415074153599966e-14,1,1,0
17,2018-11-07,R_A6,1.0,278.3509826660156,STANDARD,1697.5740966796875,278.3509826660156,42,-1.339041182622791e-14,2,2,0
17,2018-11-07,R_A6,1.0,278.4485778808594,STANDARD,1699.1318359375,278.4485778808594,42,-1.5736080155905865e-16,3,3,0
17,2018-11-07,R_A6,1.0,278.5160217285156,STANDARD,1700.689453125,278.5160217285156,42,-7.408164715064892e-17,4,4,0
17,2018-11-07,R_A6,1.0,278.5880126953125,STANDARD,1702.2470703125,278.5880126953125,42,-3.2917436747843982e-16,5,5,0
17,2018-11-07,R_A6,1.0,278.40625,STANDARD,1703.8046875,278.40625,42,-1.3654697117199566e-14,6,6,0
17,2018-11-07,R_A6,1.0,278.55352783203125,STANDARD,1705.3624267578125,278.55352783203125,42,-1.6370173784780763e-14,7,7,0
17,2018-11-07,R_A6,1.0,278.7010192871094,STANDARD,1706.9200439453125,278.7010192871094,42,-1.253363037678366e-14,8,8,0
