CONIDX,DEPTH,CONIPOS,CONBPRES,DRAWDOWN,SGAS,CONKPOS,PRESSURE,CONJPOS,SWAT,WELLMODEL,DATE,WELL
19,1674.8218994140625,22,303.0621032714844,0,0.0,18,303.0621032714844,29,0.9598519206047058,STANDARD,2018-01-01,R_A2
20,1676.6097412109375,22,303.18206787109375,0,0.0,26,303.18206787109375,29,0.7642602324485779,STANDARD,2018-01-01,R_A2
21,1678.380615234375,22,303.3008728027344,0,0.0,27,303.3008728027344,29,0.8159531354904175,STANDARD,2018-01-01,R_A2
22,1680.1514892578125,22,303.4197082519531,0,0.0,28,303.4197082519531,29,1.0,STANDARD,2018-01-01,R_A2
23,1681.92236328125,22,303.855712890625,0,0.0,29,303.855712890625,29,1.0,STANDARD,2018-01-01,R_A2
24,1683.693115234375,22,304.0235290527344,0,0.0,30,304.0235290527344,29,1.0,STANDARD,2018-01-01,R_A2
1,1608.8302001953125,28,298.63702392578125,0,0.0,1,298.63702392578125,41,0.32550230622291565,STANDARD,2018-01-01,R_A3
2,1610.822998046875,28,298.77056884765625,0,0.0,2,298.77056884765625,41,0.1460871547460556,STANDARD,2018-01-01,R_A3
3,1602.380859375,29,298.2048034667969,0,0.0,2,298.2048034667969,41,0.16008025407791138,STANDARD,2018-01-01,R_A3
4,1604.4591064453125,29,298.3440856933594,0,0.0,3,298.3440856933594,41,0.11823459714651108,STANDARD,2018-01-01,R_A3
5,1606.5374755859375,29,298.4833679199219,0,0.0,4,298.4833679199219,41,0.13637083768844604,STANDARD,2018-01-01,R_A3
6,1608.61572265625,29,298.6226501464844,0,0.0,5,298.6226501464844,41,0.8030660152435303,STANDARD,2018-01-01,R_A3
7,1610.694091796875,29,298.7619323730469,0,0.0,6,298.7619323730469,41,0.18116424977779388,STANDARD,2018-01-01,R_A3
8,1612.7723388671875,29,298.9012145996094,0,0.0,7,298.9012145996094,41,0.19610416889190674,STANDARD,2018-01-01,R_A3
9,1614.8505859375,29,299.04052734375,0,0.0,8,299.04052734375,41,0.19719143211841583,STANDARD,2018-01-01,R_A3
10,1616.928955078125,29,299.1798095703125,0,0.0,9,299.1798095703125,41,0.7887846827507019,STANDARD,2018-01-01,R_A3
11,1619.0072021484375,29,299.3191223144531,0,0.0,10,299.3191223144531,41,0.7940843105316162,STANDARD,2018-01-01,R_A3
12,1621.1805419921875,29,299.46478271484375,0,0.0,11,299.46478271484375,41,0.046441659331321716,STANDARD,2018-01-01,R_A3
13,1623.4488525390625,29,299.6168518066406,0,0.0,12,299.6168518066406,41,0.0546114519238472,STANDARD,2018-01-01,R_A3
14,1625.7171630859375,29,299.7689208984375,0,0.0,13,299.7689208984375,41,0.36729440093040466,STANDARD,2018-01-01,R_A3
15,1627.9854736328125,29,299.92095947265625,0,0.0,14,299.92095947265625,41,0.2056528776884079,STANDARD,2018-01-01,R_A3
16,1630.2537841796875,29,300.0730285644531,0,0.0,15,300.0730285644531,41,0.601466715335846,STANDARD,2018-01-01,R_A3
17,1632.173583984375,29,300.2017517089844,0,0.0,16,300.2017517089844,41,0.8032014966011047,STANDARD,2018-01-01,R_A3
18,1634.7320556640625,29,300.373291015625,0,0.0,26,300.373291015625,41,0.6875734925270081,STANDARD,2018-01-01,R_A3
19,1638.2777099609375,29,300.61102294921875,0,0.0,27,300.61102294921875,41,0.04591439291834831,STANDARD,2018-01-01,R_A3
20,1641.8233642578125,29,300.8487548828125,0,0.0,28,300.8487548828125,41,0.048550382256507874,STANDARD,2018-01-01,R_A3
21,1645.3690185546875,29,301.0865478515625,0,0.0,29,301.0865478515625,41,0.6904502511024475,STANDARD,2018-01-01,R_A3
22,1648.9146728515625,29,301.3243103027344,0,0.0,30,301.3243103027344,41,0.09995247423648834,STANDARD,2018-01-01,R_A3
1,1632.8323974609375,30,300.24591064453125,0,0.0,1,300.24591064453125,52,0.049297574907541275,STANDARD,2018-01-01,R_A4
2,1627.1361083984375,31,299.8640441894531,0,0.0,1,299.8640441894531,52,0.04756835103034973,STANDARD,2018-01-01,R_A4
3,1629.197021484375,31,300.002197265625,0,0.0,2,300.002197265625,52,0.048268429934978485,STANDARD,2018-01-01,R_A4
4,1631.2579345703125,31,300.1403503417969,0,0.0,3,300.1403503417969,52,0.050822317600250244,STANDARD,2018-01-01,R_A4
5,1633.31884765625,31,300.2785339355469,0,0.0,4,300.2785339355469,52,0.052915021777153015,STANDARD,2018-01-01,R_A4
6,1631.4212646484375,32,300.15130615234375,0,0.0,4,300.15130615234375,52,0.05224698781967163,STANDARD,2018-01-01,R_A4
7,1633.2821044921875,32,300.27606201171875,0,0.0,5,300.27606201171875,52,0.05514386296272278,STANDARD,2018-01-01,R_A4
8,1637.3189697265625,32,300.5467224121094,0,0.0,5,300.5467224121094,51,0.0565415658056736,STANDARD,2018-01-01,R_A4
9,1635.5023193359375,32,300.4249267578125,0,0.0,4,300.4249267578125,51,0.05472767353057861,STANDARD,2018-01-01,R_A4
10,1636.790771484375,33,300.5113220214844,0,0.0,4,300.5113220214844,51,0.056244224309921265,STANDARD,2018-01-01,R_A4
11,1641.90576171875,33,300.8542785644531,0,0.0,4,300.8542785644531,50,0.060193415731191635,STANDARD,2018-01-01,R_A4
12,1640.9217529296875,34,300.7882995605469,0,0.0,4,300.7882995605469,50,0.05812210217118263,STANDARD,2018-01-01,R_A4
13,1639.0634765625,34,300.6636962890625,0,0.0,3,300.6636962890625,50,0.1348206251859665,STANDARD,2018-01-01,R_A4
14,1638.4720458984375,35,300.6240539550781,0,0.0,3,300.6240539550781,50,0.1324736773967743,STANDARD,2018-01-01,R_A4
15,1644.4176025390625,35,301.0227355957031,0,0.0,3,301.0227355957031,49,0.1501903533935547,STANDARD,2018-01-01,R_A4
16,1642.6605224609375,35,300.9049072265625,0,0.0,2,300.9049072265625,49,0.23420774936676025,STANDARD,2018-01-01,R_A4
17,1641.416748046875,36,300.8215026855469,0,0.0,29,300.8215026855469,49,0.6481541991233826,STANDARD,2018-01-01,R_A4
18,1642.5633544921875,36,300.89837646484375,0,0.0,29,300.89837646484375,48,0.08379539102315903,STANDARD,2018-01-01,R_A4
19,1646.9683837890625,37,301.19378662109375,0,0.0,29,301.19378662109375,48,0.6481541991233826,STANDARD,2018-01-01,R_A4
20,1649.88037109375,38,301.3890686035156,0,0.0,29,301.3890686035156,48,0.3273189067840576,STANDARD,2018-01-01,R_A4
21,1658.8695068359375,38,301.9919738769531,0,0.0,29,301.9919738769531,47,1.0,STANDARD,2018-01-01,R_A4
1,1685.8377685546875,31,303.92095947265625,0,0.0,1,303.92095947265625,20,1.0,STANDARD,2018-01-01,R_A5
2,1688.03564453125,31,304.1292419433594,0,0.0,2,304.1292419433594,20,1.0,STANDARD,2018-01-01,R_A5
3,1690.2333984375,31,304.3374938964844,0,0.0,3,304.3374938964844,20,1.0,STANDARD,2018-01-01,R_A5
4,1692.4312744140625,31,304.5457763671875,0,0.0,4,304.5457763671875,20,1.0,STANDARD,2018-01-01,R_A5
5,1694.629150390625,31,304.7540588378906,0,0.0,5,304.7540588378906,20,1.0,STANDARD,2018-01-01,R_A5
6,1696.8270263671875,31,304.96234130859375,0,0.0,6,304.96234130859375,20,1.0,STANDARD,2018-01-01,R_A5
7,1699.02490234375,31,305.4764404296875,0,0.0,7,305.4764404296875,20,1.0,STANDARD,2018-01-01,R_A5
8,1701.2227783203125,31,305.6847229003906,0,0.0,8,305.6847229003906,20,1.0,STANDARD,2018-01-01,R_A5
9,1700.6649169921875,31,305.326171875,0,0.0,11,305.326171875,21,1.0,STANDARD,2018-01-01,R_A5
10,1702.6044921875,31,305.510009765625,0,0.0,12,305.510009765625,21,1.0,STANDARD,2018-01-01,R_A5
