CONKPOS,DRAWDOWN,DEPTH,CONJPOS,PRESSURE,SWAT,CONBPRES,SGAS,WELL,WELLMODEL,CONIDX,DATE,CONIPOS
13,0,1624.8167724609375,41,299.710205078125,0.3669588267803192,299.710205078125,0.0,R_A3,STANDARD,14,2018-01-01,29
15,0,1629.388916015625,41,300.0167236328125,0.4798698127269745,300.0167236328125,0.0,R_A3,STANDARD,15,2018-01-01,29
16,0,1631.326416015625,41,300.1466064453125,0.805565595626831,300.1466064453125,0.0,R_A3,STANDARD,16,2018-01-01,29
29,0,1633.9844970703125,41,300.3248291015625,1.0,300.3248291015625,0.0,R_A3,STANDARD,17,2018-01-01,29
30,0,1637.6138916015625,41,300.56817626953125,0.04137542471289635,300.56817626953125,0.0,R_A3,STANDARD,18,2018-01-01,29
31,0,1641.2432861328125,41,300.8115234375,0.04899269714951515,300.8115234375,0.0,R_A3,STANDARD,19,2018-01-01,29
32,0,1644.8726806640625,41,301.0549011230469,1.0,301.0549011230469,0.0,R_A3,STANDARD,20,2018-01-01,29
33,0,1648.5020751953125,41,301.29827880859375,0.05867664888501167,301.29827880859375,0.0,R_A3,STANDARD,21,2018-01-01,29
1,0,1631.8341064453125,52,300.1806335449219,0.05101786181330681,300.1806335449219,0.0,R_A4,STANDARD,1,2018-01-01,30
1,0,1627.0438232421875,52,299.8594970703125,0.04743948578834534,299.8594970703125,0.0,R_A4,STANDARD,2,2018-01-01,31
2,0,1629.0631103515625,52,299.994873046875,0.048551253974437714,299.994873046875,0.0,R_A4,STANDARD,3,2018-01-01,31
3,0,1631.0823974609375,52,300.1302490234375,0.05024178326129913,300.1302490234375,0.0,R_A4,STANDARD,4,2018-01-01,31
4,0,1633.1016845703125,52,300.265625,0.05462164431810379,300.265625,0.0,R_A4,STANDARD,5,2018-01-01,31
4,0,1629.9974365234375,52,300.0575256347656,0.05397991091012955,300.0575256347656,0.0,R_A4,STANDARD,6,2018-01-01,32
4,0,1636.8145751953125,51,300.51458740234375,0.055866919457912445,300.51458740234375,0.0,R_A4,STANDARD,7,2018-01-01,32
4,0,1636.931884765625,51,300.5224304199219,0.05860152095556259,300.5224304199219,0.0,R_A4,STANDARD,8,2018-01-01,33
3,0,1635.1492919921875,51,300.4029235839844,0.05375702679157257,300.4029235839844,0.0,R_A4,STANDARD,9,2018-01-01,33
4,0,1644.7294921875,50,301.0453186035156,0.1443016529083252,301.0453186035156,0.0,R_A4,STANDARD,10,2018-01-01,33
