SGAS,WELL,CONKPOS,CONJPOS,PRESSURE,CONIPOS,DRAWDOWN,CONBPRES,SWAT,DEPTH,DATE,CONIDX,WELLMODEL
0.0,R_A3,2,41,298.2345886230469,29,0,298.2345886230469,0.1881711781024933,1603.3526611328125,2018-01-01,3,STANDARD
0.0,R_A3,3,41,298.3724365234375,29,0,298.3724365234375,0.11823459714651108,1605.41015625,2018-01-01,4,STANDARD
0.0,R_A3,4,41,298.5103454589844,29,0,298.5103454589844,0.09709685295820236,1607.4676513671875,2018-01-01,5,STANDARD
0.0,R_A3,5,41,298.6482238769531,29,0,298.6482238769531,0.19505147635936737,1609.5250244140625,2018-01-01,6,STANDARD
0.0,R_A3,6,41,298.7861022949219,29,0,298.7861022949219,0.23390091955661774,1611.58251953125,2018-01-01,7,STANDARD
0.0,R_A3,7,41,298.92401123046875,29,0,298.92401123046875,0.19663184881210327,1613.639892578125,2018-01-01,8,STANDARD
0.0,R_A3,8,41,299.0618896484375,29,0,299.0618896484375,0.19906286895275116,1615.6973876953125,2018-01-01,9,STANDARD
0.0,R_A3,9,41,299.1997985839844,29,0,299.1997985839844,0.7984308004379272,1617.7547607421875,2018-01-01,10,STANDARD
0.0,R_A3,10,41,299.33770751953125,29,0,299.33770751953125,0.8021126389503479,1619.812255859375,2018-01-01,11,STANDARD
0.0,R_A3,11,41,299.4793395996094,29,0,299.4793395996094,0.0442889928817749,1621.9254150390625,2018-01-01,12,STANDARD
0.0,R_A3,12,41,299.6247253417969,29,0,299.6247253417969,0.05269424617290497,1624.09423828125,2018-01-01,13,STANDARD
0.0,R_A3,13,41,299.7701416015625,29,0,299.7701416015625,0.36744821071624756,1626.26318359375,2018-01-01,14,STANDARD
0.0,R_A3,14,41,299.91552734375,29,0,299.91552734375,0.12324454635381699,1628.4320068359375,2018-01-01,15,STANDARD
0.0,R_A3,15,41,300.0609436035156,29,0,300.0609436035156,0.4937911629676819,1630.6009521484375,2018-01-01,16,STANDARD
0.0,R_A3,16,41,300.1777038574219,29,0,300.1777038574219,0.8051984906196594,1632.342529296875,2018-01-01,17,STANDARD
0.0,R_A3,29,41,300.341796875,29,0,300.341796875,0.6630204916000366,1634.7899169921875,2018-01-01,18,STANDARD
0.0,R_A3,30,41,300.56805419921875,29,0,300.56805419921875,0.043326299637556076,1638.1644287109375,2018-01-01,19,STANDARD
0.0,R_A3,31,41,300.7943115234375,29,0,300.7943115234375,0.04955003783106804,1641.5390625,2018-01-01,20,STANDARD
0.0,R_A3,32,41,301.0205993652344,29,0,301.0205993652344,1.0,1644.91357421875,2018-01-01,21,STANDARD
0.0,R_A3,33,41,301.24688720703125,29,0,301.24688720703125,0.06090378016233444,1648.2880859375,2018-01-01,22,STANDARD
0.0,R_A4,1,52,300.0057373046875,30,0,300.0057373046875,0.04769005998969078,1629.777587890625,2018-01-01,1,STANDARD
0.0,R_A4,1,52,299.63055419921875,31,0,299.63055419921875,0.04754888266324997,1624.1807861328125,2018-01-01,2,STANDARD
0.0,R_A4,2,52,299.7710266113281,31,0,299.7710266113281,0.06545592099428177,1626.2764892578125,2018-01-01,3,STANDARD
0.0,R_A4,3,52,299.9115295410156,31,0,299.9115295410156,0.11794310063123703,1628.3721923828125,2018-01-01,4,STANDARD
0.0,R_A4,4,52,300.0520324707031,31,0,300.0520324707031,0.05094865709543228,1630.4678955078125,2018-01-01,5,STANDARD
0.0,R_A4,5,52,300.1925354003906,31,0,300.1925354003906,0.0536552257835865,1632.5635986328125,2018-01-01,6,STANDARD
0.0,R_A4,6,52,300.3330383300781,31,0,300.3330383300781,0.056407563388347626,1634.659423828125,2018-01-01,7,STANDARD
0.0,R_A4,6,52,300.2369384765625,32,0,300.2369384765625,0.05662494897842407,1633.2259521484375,2018-01-01,8,STANDARD
0.0,R_A4,6,51,300.2945556640625,32,0,300.2945556640625,0.055997442454099655,1634.08544921875,2018-01-01,9,STANDARD
0.0,R_A4,6,51,300.507568359375,33,0,300.507568359375,0.05911628156900406,1637.2626953125,2018-01-01,10,STANDARD
0.0,R_A4,5,51,300.3839111328125,33,0,300.3839111328125,0.05565740540623665,1635.41845703125,2018-01-01,11,STANDARD
