CONBPRES,DRAWDOWN,PRESSURE,DATE,CONKPOS,SWAT,WELLMODEL,CONIDX,CONIPOS,WELL,CONJPOS,DEPTH,SGAS
303.0618896484375,0,303.0618896484375,2018-01-01,28,1.0,STANDARD,21,22,R_A2,29,1676.0760498046875,0.0
303.18609619140625,0,303.18609619140625,2018-01-01,29,0.8477029204368591,STANDARD,22,22,R_A2,29,1677.9273681640625,0.0
303.652587890625,0,303.652587890625,2018-01-01,30,1.0,STANDARD,23,22,R_A2,29,1679.7786865234375,0.0
303.8280029296875,0,303.8280029296875,2018-01-01,31,1.0,STANDARD,24,22,R_A2,29,1681.6300048828125,0.0
298.68634033203125,0,298.68634033203125,2018-01-01,1,0.6481541991233826,STANDARD,1,28,R_A3,41,1610.8236083984375,0.0
298.8234558105469,0,298.8234558105469,2018-01-01,2,0.1756221503019333,STANDARD,2,28,R_A3,41,1612.8695068359375,0.0
298.9605712890625,0,298.9605712890625,2018-01-01,3,0.11985325068235397,STANDARD,3,28,R_A3,41,1614.9154052734375,0.0
299.0976867675781,0,299.0976867675781,2018-01-01,4,0.14456120133399963,STANDARD,4,28,R_A3,41,1616.9613037109375,0.0
299.2348327636719,0,299.2348327636719,2018-01-01,5,0.6481541991233826,STANDARD,5,28,R_A3,41,1619.0072021484375,0.0
298.4202575683594,0,298.4202575683594,2018-01-01,5,0.8063183426856995,STANDARD,6,29,R_A3,41,1606.8533935546875,0.0
298.5674133300781,0,298.5674133300781,2018-01-01,6,0.6481541991233826,STANDARD,7,29,R_A3,41,1609.0491943359375,0.0
298.714599609375,0,298.714599609375,2018-01-01,7,0.19513629376888275,STANDARD,8,29,R_A3,41,1611.2451171875,0.0
298.86175537109375,0,298.86175537109375,2018-01-01,8,0.19621022045612335,STANDARD,9,29,R_A3,41,1613.4410400390625,0.0
299.0089416503906,0,299.0089416503906,2018-01-01,9,0.7999660968780518,STANDARD,10,29,R_A3,41,1615.636962890625,0.0
299.1561279296875,0,299.1561279296875,2018-01-01,10,0.7951493859291077,STANDARD,11,29,R_A3,41,1617.832763671875,0.0
299.3116455078125,0,299.3116455078125,2018-01-01,11,0.0491584874689579,STANDARD,12,29,R_A3,41,1620.153076171875,0.0
299.4754943847656,0,299.4754943847656,2018-01-01,12,0.054947126656770706,STANDARD,13,29,R_A3,41,1622.5977783203125,0.0
299.6393737792969,0,299.6393737792969,2018-01-01,13,0.37717267870903015,STANDARD,14,29,R_A3,41,1625.04248046875,0.0
299.8032531738281,0,299.8032531738281,2018-01-01,14,0.3543517291545868,STANDARD,15,29,R_A3,41,1627.487060546875,0.0
299.9649963378906,0,299.9649963378906,2018-01-01,15,0.7956506013870239,STANDARD,16,29,R_A3,41,1629.8995361328125,0.0
