CONKPOS,CONBPRES,DEPTH,WELLMODEL,DATE,PRESSURE,WELL,SGAS,SWAT,CONJPOS,CONIDX,CONIPOS,DRAWDOWN
18,302.8481750488281,1673.228759765625,STANDARD,2018-01-01,302.8481750488281,R_A2,0.0,0.9706745743751526,29,18,22,0
19,302.92254638671875,1674.3372802734375,STANDARD,2018-01-01,302.92254638671875,R_A2,0.0,0.9682862758636475,29,19,22,0
32,302.9902648925781,1675.3466796875,STANDARD,2018-01-01,302.9902648925781,R_A2,0.0,1.0,29,20,22,0
33,303.1086730957031,1677.111328125,STANDARD,2018-01-01,303.1086730957031,R_A2,0.0,1.0,29,21,22,0
34,303.5670471191406,1678.8760986328125,STANDARD,2018-01-01,303.5670471191406,R_A2,0.0,1.0,29,22,22,0
35,303.7342529296875,1680.640625,STANDARD,2018-01-01,303.7342529296875,R_A2,0.0,1.0,29,23,22,0
36,303.9014892578125,1682.4053955078125,STANDARD,2018-01-01,303.9014892578125,R_A2,0.0,1.0,29,24,22,0
1,298.5060729980469,1608.47216796875,STANDARD,2018-01-01,298.5060729980469,R_A3,0.0,0.6481541991233826,41,1,28,0
2,298.63360595703125,1610.3751220703125,STANDARD,2018-01-01,298.63360595703125,R_A3,0.0,0.19531849026679993,41,2,28,0
3,298.76116943359375,1612.2781982421875,STANDARD,2018-01-01,298.76116943359375,R_A3,0.0,0.15466740727424622,41,3,28,0
4,298.8887023925781,1614.1812744140625,STANDARD,2018-01-01,298.8887023925781,R_A3,0.0,0.11879180371761322,41,4,28,0
5,299.0162658691406,1616.0843505859375,STANDARD,2018-01-01,299.0162658691406,R_A3,0.0,0.10445211827754974,41,5,28,0
5,298.67132568359375,1610.937744140625,STANDARD,2018-01-01,298.67132568359375,R_A3,0.0,0.20037741959095,41,6,29,0
6,298.8007507324219,1612.868896484375,STANDARD,2018-01-01,298.8007507324219,R_A3,0.0,0.18546850979328156,41,7,29,0
7,298.93017578125,1614.800048828125,STANDARD,2018-01-01,298.93017578125,R_A3,0.0,0.2009061574935913,41,8,29,0
8,299.05963134765625,1616.7313232421875,STANDARD,2018-01-01,299.05963134765625,R_A3,0.0,0.20177967846393585,41,9,29,0
9,299.1890563964844,1618.6624755859375,STANDARD,2018-01-01,299.1890563964844,R_A3,0.0,0.8055595755577087,41,10,29,0
10,299.3185119628906,1620.59375,STANDARD,2018-01-01,299.3185119628906,R_A3,0.0,0.8014665246009827,41,11,29,0
11,299.45489501953125,1622.6285400390625,STANDARD,2018-01-01,299.45489501953125,R_A3,0.0,0.04594415798783302,41,12,29,0
12,299.5982360839844,1624.7669677734375,STANDARD,2018-01-01,299.5982360839844,R_A3,0.0,0.05480196699500084,41,13,29,0
13,299.7416076660156,1626.9053955078125,STANDARD,2018-01-01,299.7416076660156,R_A3,0.0,0.37321603298187256,41,14,29,0
14,299.88494873046875,1629.0438232421875,STANDARD,2018-01-01,299.88494873046875,R_A3,0.0,0.2230851948261261,41,15,29,0
15,300.0283203125,1631.1822509765625,STANDARD,2018-01-01,300.0283203125,R_A3,0.0,0.5074377655982971,41,16,29,0
16,300.13720703125,1632.806640625,STANDARD,2018-01-01,300.13720703125,R_A3,0.0,0.8128654360771179,41,17,29,0
32,300.2882385253906,1635.0589599609375,STANDARD,2018-01-01,300.2882385253906,R_A3,0.0,0.17243456840515137,41,18,29,0
33,300.50872802734375,1638.34765625,STANDARD,2018-01-01,300.50872802734375,R_A3,0.0,0.04634453356266022,41,19,29,0
34,300.729248046875,1641.6363525390625,STANDARD,2018-01-01,300.729248046875,R_A3,0.0,0.049705587327480316,41,20,29,0
35,300.94976806640625,1644.925048828125,STANDARD,2018-01-01,300.94976806640625,R_A3,0.0,0.6481541991233826,41,21,29,0
36,301.1702880859375,1648.2137451171875,STANDARD,2018-01-01,301.1702880859375,R_A3,0.0,0.06262272596359253,41,22,29,0
1,299.8909606933594,1629.133544921875,STANDARD,2018-01-01,299.8909606933594,R_A4,0.0,0.05048932880163193,52,1,30,0
1,299.59356689453125,1624.6971435546875,STANDARD,2018-01-01,299.59356689453125,R_A4,0.0,0.048706069588661194,52,2,31,0
2,299.7351379394531,1626.8092041015625,STANDARD,2018-01-01,299.7351379394531,R_A4,0.0,0.06456892937421799,52,3,31,0
3,299.8767395019531,1628.921142578125,STANDARD,2018-01-01,299.8767395019531,R_A4,0.0,0.06475638598203659,52,4,31,0
4,300.018310546875,1631.033203125,STANDARD,2018-01-01,300.018310546875,R_A4,0.0,0.052784379571676254,52,5,31,0
5,300.159912109375,1633.145263671875,STANDARD,2018-01-01,300.159912109375,R_A4,0.0,0.05393075570464134,52,6,31,0
6,300.301513671875,1635.2572021484375,STANDARD,2018-01-01,300.301513671875,R_A4,0.0,0.0571579672396183,52,7,31,0
6,300.2410583496094,1634.355224609375,STANDARD,2018-01-01,300.2410583496094,R_A4,0.0,0.056018341332674026,52,8,32,0
6,300.3285827636719,1635.66064453125,STANDARD,2018-01-01,300.3285827636719,R_A4,0.0,0.058875732123851776,51,9,32,0
5,300.2043762207031,1633.808349609375,STANDARD,2018-01-01,300.2043762207031,R_A4,0.0,0.05658624693751335,51,10,32,0
5,300.3382873535156,1635.8056640625,STANDARD,2018-01-01,300.3382873535156,R_A4,0.0,0.058998145163059235,51,11,33,0
5,300.8277282714844,1643.10498046875,STANDARD,2018-01-01,300.8277282714844,R_A4,0.0,0.06282194703817368,50,12,33,0
5,300.73822021484375,1641.7701416015625,STANDARD,2018-01-01,300.73822021484375,R_A4,0.0,0.06143583729863167,50,13,34,0
4,300.6153259277344,1639.9373779296875,STANDARD,2018-01-01,300.6153259277344,R_A4,0.0,0.06281460076570511,50,14,34,0
3,300.492431640625,1638.1046142578125,STANDARD,2018-01-01,300.492431640625,R_A4,0.0,0.14963676035404205,50,15,34,0
3,300.5554504394531,1639.04443359375,STANDARD,2018-01-01,300.5554504394531,R_A4,0.0,0.1440710425376892,50,16,35,0
2,300.4383239746094,1637.2977294921875,STANDARD,2018-01-01,300.4383239746094,R_A4,0.0,0.22841876745224,50,17,35,0
35,300.8368835449219,1643.241943359375,STANDARD,2018-01-01,300.8368835449219,R_A4,0.0,0.05729581415653229,49,18,35,0
34,300.4408264160156,1637.3349609375,STANDARD,2018-01-01,300.4408264160156,R_A4,0.0,0.05474766343832016,49,19,35,0
34,300.8100280761719,1642.841064453125,STANDARD,2018-01-01,300.8100280761719,R_A4,0.0,0.09415127336978912,49,20,36,0
34,300.8497619628906,1643.43359375,STANDARD,2018-01-01,300.8497619628906,R_A4,0.0,0.05717959254980087,48,21,36,0
34,301.3280944824219,1650.5667724609375,STANDARD,2018-01-01,301.3280944824219,R_A4,0.0,0.8521320223808289,48,22,37,0
33,300.9555969238281,1645.011962890625,STANDARD,2018-01-01,300.9555969238281,R_A4,0.0,0.10292217135429382,48,23,37,0
33,301.27484130859375,1649.7728271484375,STANDARD,2018-01-01,301.27484130859375,R_A4,0.0,0.2505285441875458,48,24,38,0
33,301.80938720703125,1657.7431640625,STANDARD,2018-01-01,301.80938720703125,R_A4,0.0,0.11682118475437164,47,25,38,0
1,304.20562744140625,1685.6151123046875,STANDARD,2018-01-01,304.20562744140625,R_A5,0.0,1.0,20,1,31,0
2,304.1011047363281,1687.73876953125,STANDARD,2018-01-01,304.1011047363281,R_A5,0.0,1.0,20,2,31,0
3,304.3023681640625,1689.862548828125,STANDARD,2018-01-01,304.3023681640625,R_A5,0.0,1.0,20,3,31,0
4,304.50360107421875,1691.9862060546875,STANDARD,2018-01-01,304.50360107421875,R_A5,0.0,1.0,20,4,31,0
5,304.7048645019531,1694.1099853515625,STANDARD,2018-01-01,304.7048645019531,R_A5,0.0,1.0,20,5,31,0
6,304.9061279296875,1696.233642578125,STANDARD,2018-01-01,304.9061279296875,R_A5,0.0,1.0,20,6,31,0
7,305.4131774902344,1698.357421875,STANDARD,2018-01-01,305.4131774902344,R_A5,0.0,1.0,20,7,31,0
11,305.48284912109375,1702.318115234375,STANDARD,2018-01-01,305.48284912109375,R_A5,0.0,1.0,21,8,31,0
12,305.6651611328125,1704.24169921875,STANDARD,2018-01-01,305.6651611328125,R_A5,0.0,1.0,21,9,31,0
13,305.85943603515625,1706.1654052734375,STANDARD,2018-01-01,305.85943603515625,R_A5,0.0,1.0,21,10,31,0
14,306.0417175292969,1708.0889892578125,STANDARD,2018-01-01,306.0417175292969,R_A5,0.0,1.0,21,11,31,0
15,306.2240295410156,1710.0125732421875,STANDARD,2018-01-01,306.2240295410156,R_A5,0.0,1.0,21,12,31,0
16,306.5513610839844,1711.936279296875,STANDARD,2018-01-01,306.5513610839844,R_A5,0.0,1.0,21,13,31,0
17,306.7336730957031,1713.85986328125,STANDARD,2018-01-01,306.7336730957031,R_A5,0.0,1.0,21,14,31,0
18,306.85955810546875,1715.1883544921875,STANDARD,2018-01-01,306.85955810546875,R_A5,0.0,1.0,21,15,31,0
32,306.837646484375,1716.6146240234375,STANDARD,2018-01-01,306.837646484375,R_A5,0.0,1.0,21,16,31,0
33,307.0384826660156,1718.7337646484375,STANDARD,2018-01-01,307.0384826660156,R_A5,0.0,1.0,21,17,31,0
34,307.2393493652344,1720.85302734375,STANDARD,2018-01-01,307.2393493652344,R_A5,0.0,1.0,21,18,31,0
35,307.7459716796875,1722.97216796875,STANDARD,2018-01-01,307.7459716796875,R_A5,0.0,1.0,21,19,31,0
36,307.9468078613281,1725.09130859375,STANDARD,2018-01-01,307.9468078613281,R_A5,0.0,1.0,21,20,31,0
1,305.0134582519531,1694.1395263671875,STANDARD,2018-01-01,305.0134582519531,R_A6,0.0,1.0,42,1,17,0
2,305.1585998535156,1695.671142578125,STANDARD,2018-01-01,305.1585998535156,R_A6,0.0,1.0,42,2,17,0
3,305.3037414550781,1697.202880859375,STANDARD,2018-01-01,305.3037414550781,R_A6,0.0,1.0,42,3,17,0
4,305.44891357421875,1698.7344970703125,STANDARD,2018-01-01,305.44891357421875,R_A6,0.0,1.0,42,4,17,0
5,305.59405517578125,1700.26611328125,STANDARD,2018-01-01,305.59405517578125,R_A6,0.0,1.0,42,5,17,0
6,305.7392272949219,1701.7978515625,STANDARD,2018-01-01,305.7392272949219,R_A6,0.0,1.0,42,6,17,0
7,305.5853271484375,1703.3294677734375,STANDARD,2018-01-01,305.5853271484375,R_A6,0.0,1.0,42,7,17,0
8,305.73046875,1704.861083984375,STANDARD,2018-01-01,305.73046875,R_A6,0.0,1.0,42,8,17,0
9,306.1746826171875,1706.392822265625,STANDARD,2018-01-01,306.1746826171875,R_A6,0.0,1.0,42,9,17,0
10,306.0140380859375,1707.9244384765625,STANDARD,2018-01-01,306.0140380859375,R_A6,0.0,1.0,42,10,17,0
11,306.19415283203125,1709.8236083984375,STANDARD,2018-01-01,306.19415283203125,R_A6,0.0,1.0,42,11,17,0
12,306.4089660644531,1712.09033203125,STANDARD,2018-01-01,306.4089660644531,R_A6,0.0,1.0,42,12,17,0
13,306.6357727050781,1714.35693359375,STANDARD,2018-01-01,306.6357727050781,R_A6,0.0,1.0,42,13,17,0
14,306.8505859375,1716.6236572265625,STANDARD,2018-01-01,306.8505859375,R_A6,0.0,1.0,42,14,17,0
15,307.0653991699219,1718.890380859375,STANDARD,2018-01-01,307.0653991699219,R_A6,0.0,1.0,42,15,17,0
16,307.4252624511719,1721.156982421875,STANDARD,2018-01-01,307.4252624511719,R_A6,0.0,1.0,42,16,17,0
17,307.64007568359375,1723.4237060546875,STANDARD,2018-01-01,307.64007568359375,R_A6,0.0,1.0,42,17,17,0
18,307.7911376953125,1725.0174560546875,STANDARD,2018-01-01,307.7911376953125,R_A6,0.0,1.0,42,18,17,0
32,307.7585144042969,1726.3309326171875,STANDARD,2018-01-01,307.7585144042969,R_A6,0.0,1.0,42,19,17,0
33,307.9202575683594,1728.037353515625,STANDARD,2018-01-01,307.9202575683594,R_A6,0.0,1.0,42,20,17,0
34,308.38775634765625,1729.74365234375,STANDARD,2018-01-01,308.38775634765625,R_A6,0.0,1.0,42,21,17,0
35,308.54949951171875,1731.449951171875,STANDARD,2018-01-01,308.54949951171875,R_A6,0.0,1.0,42,22,17,0
36,308.4054260253906,1733.1563720703125,STANDARD,2018-01-01,308.4054260253906,R_A6,0.0,1.0,42,23,17,0
1,298.9855651855469,1639.0640869140625,STANDARD,2018-03-01,298.9855651855469,R_A2,0.0,0.05414579063653946,30,1,22,0
2,299.108642578125,1640.900390625,STANDARD,2018-03-01,299.108642578125,R_A2,0.0,0.05642582103610039,30,2,22,0
3,299.23175048828125,1642.7366943359375,STANDARD,2018-03-01,299.23175048828125,R_A2,0.0,0.0589277483522892,30,3,22,0
4,299.3548583984375,1644.572998046875,STANDARD,2018-03-01,299.3548583984375,R_A2,0.0,0.06462655961513519,30,4,22,0
5,299.4779357910156,1646.4091796875,STANDARD,2018-03-01,299.4779357910156,R_A2,0.0,0.06934887170791626,30,5,22,0
6,299.6239013671875,1648.2454833984375,STANDARD,2018-03-01,299.6239013671875,R_A2,0.0,0.29872915148735046,30,6,22,0
7,299.7636413574219,1650.081787109375,STANDARD,2018-03-01,299.7636413574219,R_A2,0.0,0.8843757510185242,30,7,22,0
8,299.9071044921875,1651.9180908203125,STANDARD,2018-03-01,299.9071044921875,R_A2,0.0,0.859695315361023,30,8,22,0
9,300.0333557128906,1653.7542724609375,STANDARD,2018-03-01,300.0333557128906,R_A2,0.0,0.6482928395271301,30,9,22,0
10,300.26104736328125,1655.590576171875,STANDARD,2018-03-01,300.26104736328125,R_A2,0.0,0.9113466143608093,30,10,22,0
11,300.07318115234375,1657.4931640625,STANDARD,2018-03-01,300.07318115234375,R_A2,0.0,0.07358899712562561,30,11,22,0
12,300.20599365234375,1659.4617919921875,STANDARD,2018-03-01,300.20599365234375,R_A2,0.0,0.07470320165157318,30,12,22,0
13,300.35400390625,1661.4305419921875,STANDARD,2018-03-01,300.35400390625,R_A2,0.0,0.4332505166530609,30,13,22,0
14,300.4872131347656,1663.3992919921875,STANDARD,2018-03-01,300.4872131347656,R_A2,0.0,0.48666781187057495,30,14,22,0
15,300.62969970703125,1665.3680419921875,STANDARD,2018-03-01,300.62969970703125,R_A2,0.0,0.6679394841194153,30,15,22,0
16,300.7643737792969,1667.3367919921875,STANDARD,2018-03-01,300.7643737792969,R_A2,0.0,0.9865590929985046,30,16,22,0
17,301.2004089355469,1671.20263671875,STANDARD,2018-03-01,301.2004089355469,R_A2,0.0,0.9445979595184326,29,17,22,0
18,301.3363037109375,1673.228759765625,STANDARD,2018-03-01,301.3363037109375,R_A2,0.0,0.9706610441207886,29,18,22,0
19,301.41064453125,1674.3372802734375,STANDARD,2018-03-01,301.41064453125,R_A2,0.0,0.9682716131210327,29,19,22,0
32,302.935546875,1675.3466796875,STANDARD,2018-03-01,302.935546875,R_A2,-2.03130676850198e-15,1.0,29,20,22,0
33,303.0748291015625,1677.111328125,STANDARD,2018-03-01,303.0748291015625,R_A2,-4.651621719678879e-16,1.0,29,21,22,0
34,303.54461669921875,1678.8760986328125,STANDARD,2018-03-01,303.54461669921875,R_A2,-2.445927543298388e-16,1.0,29,22,22,0
35,303.71575927734375,1680.640625,STANDARD,2018-03-01,303.71575927734375,R_A2,-2.1788151739861523e-16,1.0,29,23,22,0
36,303.8832092285156,1682.4053955078125,STANDARD,2018-03-01,303.8832092285156,R_A2,-1.9218043343144142e-16,1.0,29,24,22,0
1,278.2218017578125,1685.6151123046875,STANDARD,2018-04-28,278.2218017578125,R_A5,-2.8230134896389814e-10,1.0,20,1,31,0
2,278.1172180175781,1687.73876953125,STANDARD,2018-04-28,278.1172180175781,R_A5,-8.406308982245037e-10,1.0,20,2,31,0
3,278.31842041015625,1689.862548828125,STANDARD,2018-04-28,278.31842041015625,R_A5,-7.325750561726352e-10,1.0,20,3,31,0
4,278.5198669433594,1691.9862060546875,STANDARD,2018-04-28,278.5198669433594,R_A5,-8.234365411752265e-10,1.0,20,4,31,0
5,278.7212219238281,1694.1099853515625,STANDARD,2018-04-28,278.7212219238281,R_A5,-7.510099209184773e-10,1.0,20,5,31,0
6,278.92254638671875,1696.233642578125,STANDARD,2018-04-28,278.92254638671875,R_A5,-7.604681329098639e-10,1.0,20,6,31,0
7,279.45556640625,1698.357421875,STANDARD,2018-04-28,279.45556640625,R_A5,-1.468396064463473e-11,1.0,20,7,31,0
11,277.8063659667969,1702.318115234375,STANDARD,2018-04-28,277.8063659667969,R_A5,-2.3163776452506113e-11,1.0,21,8,31,0
12,277.9991760253906,1704.24169921875,STANDARD,2018-04-28,277.9991760253906,R_A5,-3.2845521441560166e-11,1.0,21,9,31,0
13,278.19384765625,1706.1654052734375,STANDARD,2018-04-28,278.19384765625,R_A5,-1.0279106125304915e-12,1.0,21,10,31,0
14,278.3768615722656,1708.0889892578125,STANDARD,2018-04-28,278.3768615722656,R_A5,-1.0323655992572345e-12,1.0,21,11,31,0
15,278.5610046386719,1710.0125732421875,STANDARD,2018-04-28,278.5610046386719,R_A5,-4.1660210979739543e-13,1.0,21,12,31,0
16,278.89874267578125,1711.936279296875,STANDARD,2018-04-28,278.89874267578125,R_A5,-2.6460950130254707e-14,1.0,21,13,31,0
17,279.09381103515625,1713.85986328125,STANDARD,2018-04-28,279.09381103515625,R_A5,-1.0928132449525632e-13,1.0,21,14,31,0
18,279.2226257324219,1715.1883544921875,STANDARD,2018-04-28,279.2226257324219,R_A5,-8.015871224165833e-14,1.0,21,15,31,0
32,279.3018493652344,1716.6146240234375,STANDARD,2018-04-28,279.3018493652344,R_A5,-7.091699731794077e-13,1.0,21,16,31,0
33,279.5273742675781,1718.7337646484375,STANDARD,2018-04-28,279.5273742675781,R_A5,-4.492728075417701e-13,1.0,21,17,31,0
34,279.728759765625,1720.85302734375,STANDARD,2018-04-28,279.728759765625,R_A5,-3.113884746840795e-13,1.0,21,18,31,0
35,280.3231506347656,1722.97216796875,STANDARD,2018-04-28,280.3231506347656,R_A5,-6.936634020003954e-14,1.0,21,19,31,0
36,291.880126953125,1725.09130859375,STANDARD,2018-04-28,291.880126953125,R_A5,1.379663752523858e-21,1.0,21,20,31,0
1,284.0809326171875,1608.47216796875,STANDARD,2018-07-03,284.0809326171875,R_A3,0.0,0.6490679383277893,41,1,28,0
2,284.2037048339844,1610.3751220703125,STANDARD,2018-07-03,284.2037048339844,R_A3,0.0,0.19559015333652496,41,2,28,0
3,284.3306579589844,1612.2781982421875,STANDARD,2018-07-03,284.3306579589844,R_A3,0.0,0.15488877892494202,41,3,28,0
4,284.4576721191406,1614.1812744140625,STANDARD,2018-07-03,284.4576721191406,R_A3,0.0,0.11897784471511841,41,4,28,0
5,284.5847473144531,1616.0843505859375,STANDARD,2018-07-03,284.5847473144531,R_A3,0.0,0.10464195907115936,41,5,28,0
5,284.2152404785156,1610.937744140625,STANDARD,2018-07-03,284.2152404785156,R_A3,0.0,0.20068314671516418,41,6,29,0
6,284.34417724609375,1612.868896484375,STANDARD,2018-07-03,284.34417724609375,R_A3,0.0,0.18576908111572266,41,7,29,0
7,284.4731140136719,1614.800048828125,STANDARD,2018-07-03,284.4731140136719,R_A3,0.0,0.2014314830303192,41,8,29,0
8,284.6020812988281,1616.7313232421875,STANDARD,2018-07-03,284.6020812988281,R_A3,0.0,0.20305906236171722,41,9,29,0
9,284.7905578613281,1618.6624755859375,STANDARD,2018-07-03,284.7905578613281,R_A3,0.0,0.8046935200691223,41,10,29,0
10,286.1873474121094,1620.59375,STANDARD,2018-07-03,286.1873474121094,R_A3,0.0,0.8003596067428589,41,11,29,0
11,287.4642639160156,1622.6285400390625,STANDARD,2018-07-03,287.4642639160156,R_A3,0.0,0.04601040482521057,41,12,29,0
12,287.6072082519531,1624.7669677734375,STANDARD,2018-07-03,287.6072082519531,R_A3,0.0,0.054881900548934937,41,13,29,0
13,287.7505798339844,1626.9053955078125,STANDARD,2018-07-03,287.7505798339844,R_A3,0.0,0.37362006306648254,41,14,29,0
14,288.0187072753906,1629.0438232421875,STANDARD,2018-07-03,288.0187072753906,R_A3,0.0,0.22361627221107483,41,15,29,0
15,288.6750793457031,1631.1822509765625,STANDARD,2018-07-03,288.6750793457031,R_A3,0.0,0.508063793182373,41,16,29,0
16,288.79925537109375,1632.806640625,STANDARD,2018-07-03,288.79925537109375,R_A3,0.0,0.8122162222862244,41,17,29,0
32,285.9085998535156,1635.0589599609375,STANDARD,2018-07-03,285.9085998535156,R_A3,0.0,0.17347650229930878,41,18,29,0
33,286.11480712890625,1638.34765625,STANDARD,2018-07-03,286.11480712890625,R_A3,0.0,0.04646455869078636,41,19,29,0
34,286.33453369140625,1641.6363525390625,STANDARD,2018-07-03,286.33453369140625,R_A3,0.0,0.0497858002781868,41,20,29,0
35,286.54022216796875,1644.925048828125,STANDARD,2018-07-03,286.54022216796875,R_A3,0.0,0.6502574682235718,41,21,29,0
36,286.7380676269531,1648.2137451171875,STANDARD,2018-07-03,286.7380676269531,R_A3,0.0,0.06272763758897781,41,22,29,0
1,276.51409912109375,1629.133544921875,STANDARD,2018-09-12,276.51409912109375,R_A4,0.0,0.05060144513845444,52,1,30,0
1,276.3682861328125,1624.6971435546875,STANDARD,2018-09-12,276.3682861328125,R_A4,0.0,0.04884244129061699,52,2,31,0
2,276.5089416503906,1626.8092041015625,STANDARD,2018-09-12,276.5089416503906,R_A4,0.0,0.0647391527891159,52,3,31,0
3,276.64947509765625,1628.921142578125,STANDARD,2018-09-12,276.64947509765625,R_A4,0.0,0.06493619084358215,52,4,31,0
4,276.7899475097656,1631.033203125,STANDARD,2018-09-12,276.7899475097656,R_A4,0.0,0.05290317162871361,52,5,31,0
5,276.9304504394531,1633.145263671875,STANDARD,2018-09-12,276.9304504394531,R_A4,0.0,0.05405742675065994,52,6,31,0
6,277.0709228515625,1635.2572021484375,STANDARD,2018-09-12,277.0709228515625,R_A4,0.0,0.0572812482714653,52,7,31,0
6,277.130859375,1634.355224609375,STANDARD,2018-09-12,277.130859375,R_A4,0.0,0.056138813495635986,52,8,32,0
6,276.95721435546875,1635.66064453125,STANDARD,2018-09-12,276.95721435546875,R_A4,0.0,0.058995168656110764,51,9,32,0
5,276.833984375,1633.808349609375,STANDARD,2018-09-12,276.833984375,R_A4,0.0,0.05671384930610657,51,10,32,0
5,277.0956115722656,1635.8056640625,STANDARD,2018-09-12,277.0956115722656,R_A4,0.0,0.059118375182151794,51,11,33,0
5,277.38653564453125,1643.10498046875,STANDARD,2018-09-12,277.38653564453125,R_A4,0.0,0.06296616047620773,50,12,33,0
5,277.4840393066406,1641.7701416015625,STANDARD,2018-09-12,277.4840393066406,R_A4,0.0,0.06158699095249176,50,13,34,0
4,277.3616943359375,1639.9373779296875,STANDARD,2018-09-12,277.3616943359375,R_A4,0.0,0.0629604235291481,50,14,34,0
3,277.2392883300781,1638.1046142578125,STANDARD,2018-09-12,277.2392883300781,R_A4,0.0,0.1500290334224701,50,15,34,0
3,277.58538818359375,1639.04443359375,STANDARD,2018-09-12,277.58538818359375,R_A4,0.0,0.14436616003513336,50,16,35,0
2,277.46990966796875,1637.2977294921875,STANDARD,2018-09-12,277.46990966796875,R_A4,0.0,0.2287883311510086,50,17,35,0
35,278.63970947265625,1643.241943359375,STANDARD,2018-09-12,278.63970947265625,R_A4,0.0,0.05747394263744354,49,18,35,0
34,278.2461242675781,1637.3349609375,STANDARD,2018-09-12,278.2461242675781,R_A4,0.0,0.05502413958311081,49,19,35,0
34,278.64801025390625,1642.841064453125,STANDARD,2018-09-12,278.64801025390625,R_A4,0.0,0.10584818571805954,49,20,36,0
34,278.6045837402344,1643.43359375,STANDARD,2018-09-12,278.6045837402344,R_A4,0.0,0.0576610304415226,48,21,36,0
34,280.7881164550781,1650.5667724609375,STANDARD,2018-09-12,280.7881164550781,R_A4,0.0,0.8511911034584045,48,22,37,0
33,278.7442626953125,1645.011962890625,STANDARD,2018-09-12,278.7442626953125,R_A4,0.0,0.11119391769170761,48,23,37,0
33,279.2521057128906,1649.7728271484375,STANDARD,2018-09-12,279.2521057128906,R_A4,0.0,0.23919402062892914,48,24,38,0
33,279.5282897949219,1657.7431640625,STANDARD,2018-09-12,279.5282897949219,R_A4,0.0,0.12431813031435013,47,25,38,0
1,272.901611328125,1694.1395263671875,STANDARD,2018-11-07,272.901611328125,R_A6,-6.417651241159839e-13,1.0,42,1,17,0
2,273.0459289550781,1695.671142578125,STANDARD,2018-11-07,273.0459289550781,R_A6,-3.6804489577518806e-13,1.0,42,2,17,0
3,273.188720703125,1697.202880859375,STANDARD,2018-11-07,273.188720703125,R_A6,-3.17180797685529e-13,1.0,42,3,17,0
4,273.3289794921875,1698.7344970703125,STANDARD,2018-11-07,273.3289794921875,R_A6,-2.2582233121220402e-13,1.0,42,4,17,0
5,273.4672546386719,1700.26611328125,STANDARD,2018-11-07,273.4672546386719,R_A6,-2.8273713123354305e-13,1.0,42,5,17,0
6,273.607421875,1701.7978515625,STANDARD,2018-11-07,273.607421875,R_A6,-1.723781881124431e-11,1.0,42,6,17,0
7,273.4576110839844,1703.3294677734375,STANDARD,2018-11-07,273.4576110839844,R_A6,-3.2224535539970844e-11,1.0,42,7,17,0
8,273.6114196777344,1704.861083984375,STANDARD,2018-11-07,273.6114196777344,R_A6,-1.993134476907521e-11,1.0,42,8,17,0
9,274.092041015625,1706.392822265625,STANDARD,2018-11-07,274.092041015625,R_A6,-1.1965649825140812e-12,1.0,42,9,17,0
