Realization,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_LOWREEK,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_LOWREEK,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL
10,0.5797875312579905,0.9732863124576203,-4.425498414983943,-3.5864258677705525,-2.878876664103819,-0.16323837129883176,-1.1435018237182302,-6.7841123570728366,-7.811572259493616,3.754063245653987e-05,0.00025916367650244236,0.0013216709240652523,0.6866914320963076,0.07186181407051015,1.6439463600020412e-07,1.5432196354732778e-08,0.0,1706.8858011814195
11,0.1298967382760554,0.5569040453914789,-4.945415866870339,-4.051221314982138,-2.708196921918107,-0.44160810953377516,-0.2921964905234362,-7.944933180146673,-6.994100626887737,1.1339244848649329e-05,8.887480994486063e-05,0.001957956676934888,0.3617361320415784,0.5102740813004876,1.1351854600532469e-08,1.0136764876837406e-07,0.0,1704.425999130402
12,-0.12683973541213978,0.5287339171620156,-4.828435156656031,-4.495152646998834,-1.2706424573294943,-0.2495744036936969,-0.3698234985905474,-7.5936030919238044,-6.262856257535433,1.4844475023933538e-05,3.197770950961165e-05,0.053623794575121744,0.562892673889636,0.42675292001020204,2.5491589019176094e-08,5.459385255186081e-07,0.0,1700.7301639440095
13,0.4839035195919732,0.227917416584269,-4.6912873360625555,-3.409331879407921,-1.863107489460976,-0.45097911762932463,-0.9391148922876977,-7.654166808792621,-7.720339743760445,2.035694784360021e-05,0.0003896441144126266,0.01370542509936051,0.3540143629009552,0.11504959858094188,2.21734459314489e-08,1.9039706800555058e-08,0.0,1712.4993338833935
14,0.9122962547006963,0.5442112992693424,-4.396662475236488,-3.4665353094923828,-0.8684103931133649,-0.03194403330641588,-0.3977163567264746,-7.224258355656653,-6.680469742654617,4.011783841127697e-05,0.00034155817981460277,0.13539094105734997,0.9290861086033322,0.40020604410384814,5.966802243410056e-08,2.087037522988169e-07,0.0,1706.3216363678566
15,0.9815475240259226,0.4357134101612399,-3.478797760073886,-4.512574558370024,-1.1204254345920452,-1.2590953704181693,-1.3151401507660427,-7.72108156234779,-7.018918571293467,0.00033204904837606233,3.072029923139287e-05,0.07578348367823448,0.05506867531396937,0.04840161459806408,1.9007212828738552e-08,9.573735586838377e-08,0.0,1708.3432460755212
16,0.9861287424109149,0.5677795102140217,-4.871277183971612,-3.858375714110024,-0.8786957996836329,-0.04369346781516795,-1.550244461713189,-7.500278198044992,-3.9392041763625154,1.3450016466325623e-05,0.00013855566461828213,0.1322221456106746,0.9042875095178238,0.028167969271320734,3.160252633855194e-08,0.00011502594863470154,0.0,1708.2619749810863
17,0.4842485680687454,0.15997339222820872,-4.50485788026959,-4.299931562257031,-0.7383678362824513,-0.5247373099906713,-2.148613775566642,-7.467285361606811,-6.190053276696885,3.127102521404409e-05,5.0126621880257624e-05,0.18265525176905215,0.2987188921889,0.007102090865272592,3.4096879784357554e-08,6.455750288230935e-07,0.0,1713.681005223976
18,0.9057035239360394,0.1933249148518954,-4.213648584551063,-3.5776230834990024,-2.26911533589357,-0.363958012083153,-1.7197747122861473,-6.859026697293522,-7.848783255131834,6.114365772424163e-05,0.00026447030526005334,0.005381268528082048,0.43255564881864655,0.019064494209483578,1.3834813299003248e-07,1.416500541465854e-08,0.0,1710.4861880003953
19,0.011600659059776142,0.5538007654264332,-4.530308920619986,-4.3931132459555915,-0.8355434376246709,-0.10817663816906055,-2.7242581784530144,-6.010560165285226,-3.0125018156882426,2.949110730716692e-05,4.044704088687126e-05,0.1460348679774872,0.7795129990706658,0.0018868693135902653,9.759775653398892e-07,0.0009716238894261151,0.0,1711.5899090361725
20,0.12484339614466622,0.5131908342874256,-4.7140376071210035,-3.8493119892044425,-1.4301821370436774,-0.058615127925551985,-1.1136681066166438,-6.855843760486032,-5.456820277260973,1.9318010281757576e-05,0.00014147770648653476,0.03713794450772118,0.8737453391230722,0.07697184442322987,1.3936580879230263e-07,3.4928482903265578e-06,0.0,1707.158485311692
