Realization,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_LOWREEK,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_LOWREEK,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL
10,-0.35180473526926226,0.9914628710987978,-2.3377308413076396,-1.0076695682908103,-3.595086801617035,-2.383003165774047,-2.2025327814597517,-2.0943618997711457,-6.648716541495561,0.004594826939692908,0.09824951873559927,0.00025404648968875955,0.00413996656994951,0.006272883451550473,0.008047075948511005,2.2453469551289523e-07,0.0,1703.3647984572326
11,-0.6825202661139899,0.5920376579786142,-4.132908716669689,-0.6084700576773103,-3.6748260001173025,-3.77060022470146,-0.9371629808048868,-4.274171071476337,-6.1500823380111695,7.363618553874067e-05,0.24633716689143312,0.00021143359778913123,0.00016958981846610817,0.1155678461058762,5.318986995711126e-05,7.078115774692657e-07,0.0,1700.4908036761517
12,-0.9688150503616113,0.7827602839825105,-2.64083622588555,-2.599073310410474,-3.688498760166284,-3.0202173365765566,-1.8964736066100176,-3.854334698754216,-3.2174007480426594,0.0022864608739832774,0.0025172519710546094,0.00020488078989323137,0.0009545147929509655,0.01269189274574649,0.00013985091148305837,0.0006061767179476943,0.0,1694.1286984192711
13,-0.9505914784131798,0.7382665654886593,-2.005915017049903,-1.526209625953916,-3.5839235774691565,-1.4312228756973002,-4.3340649451943785,-3.5672296422755694,-7.844544839056074,0.00986472500152477,0.029770791012773874,0.0002606612193576458,0.03704905408509314,4.6337762021453716e-05,0.0002708758940291646,1.4303922912824303e-08,0.0,1706.8738247349809
14,-0.6076038014728101,0.19943478992909536,-2.7952517809185133,-2.25312763762586,-3.328840172383031,-3.8285788789168143,-1.4926484695108198,-6.425179657049272,-3.7419236365937136,0.0016023161833796844,0.005583060864208634,0.0004689859450446501,0.00014839563313978735,0.032162628212790347,3.75681961662003e-07,0.0001811658614421118,0.0,1706.6516466570492
15,0.3108006341883012,0.3408534461813115,-0.4958667554441373,-0.6493744784391344,-2.133246090066061,-4.425406808204348,-2.6043018008846874,-4.860351449775395,-5.339871185414524,0.3192517191251723,0.2241947929077056,0.00735790048832615,3.754855182763013e-05,0.002487128356850588,1.3792676501476082e-05,4.5722378507148195e-06,0.0,1701.1996685829313
16,0.39232138043847464,0.638071926224093,-3.2936626089902834,-1.5415629085138416,-2.6782564695127737,-2.3509163953161485,-3.765903393361196,-1.6769376000990732,-0.8259256790163378,0.0005085543705380454,0.028736713058371218,0.002097700735547214,0.004457420485580834,0.00017143386111606292,0.021040807346448195,0.14930498939270642,0.0,1701.1525258349147
17,-0.5919034818744976,0.3302825072136175,-1.6585633219677003,-0.7277529025763892,-1.522069290199644,-3.9835195571024964,-3.8507938493922986,-1.556283442675692,-5.808702538043723,0.02195010883959608,0.1871746791841679,0.030055967316905196,0.00010386768277860269,0.00014099579174609643,0.02777899677334655,1.5534506528886834e-06,0.0,1709.891757272358
18,-0.4271220640210597,0.004572105802606252,-2.855719396947388,-3.6832551540140894,-4.5771010079969585,-2.4540375142321653,-4.011075573545246,-5.524512695191536,-5.824261192375252,0.0013940572296963019,0.00020736948351003092,2.6478842233747452e-05,0.0035153007415031773,9.748199901258352e-05,2.988734279722902e-06,1.4987831697094333e-06,0.0,1702.6651029935924
19,-0.7358891979709854,0.2503329815824462,-1.149802294521519,-0.8979603540139209,-1.7464166434999562,-3.4077042935871984,-3.947195649895455,-0.23246804516905373,-0.6080853093989469,0.07082681385218156,0.12648518083173277,0.01793012662005231,0.00039110710574812865,0.00011292870556406103,0.5855068155762104,0.24655549753982597,0.0,1704.3996697420089
20,-0.7832747313983817,0.6854491274492978,-3.724904179338537,-2.9120532140613955,-3.2447111882265594,-0.3981132899630281,-2.422889366276614,-4.336415149111866,-1.056648936875801,0.0001884064734684957,0.0012244661563516554,0.0005692313516407109,0.39984043386814294,0.0037766838726251803,4.608768043408987e-05,0.08777100337481111,0.0,1700.7121297913507
21,-0.5856311252931707,0.9918360066339194,-4.816944317745053,-3.8995465372375864,-3.2931277543505466,-0.3793547483056725,-2.880493839905725,-7.930067440248083,-3.5963350736575355,1.5242481698986113e-05,0.00012602405883819836,0.0005091810656423435,0.4174892062139675,0.0013167585896789874,1.1747151228937902e-08,0.00025331734428317876,0.0,1704.8447590471123
22,-0.5528465158431523,0.7894176594540792,-1.9499675907332736,-0.6962764682793735,-2.6769456836694383,-0.7787511236237655,-2.6974240819908033,-1.590519280767603,-6.008945479970519,0.011221021881593626,0.2012442737584105,0.0021040415715260353,0.1664366157198351,0.002007131921420427,0.025673242276558487,9.796129553684811e-07,0.0,1696.3166254324426
23,0.5133441494351221,0.5491211802805949,-1.874528328998718,-0.5950587184999736,-1.6641633740306145,-0.6396764574486535,-1.8033492218276,-1.8748538636908947,-5.694545790855998,0.013349705066892972,0.25406291782284923,0.02166888805597617,0.22925749489763655,0.015727177131539136,0.013339702260095045,2.020478386889477e-06,0.0,1700.028069914302
24,-0.6135077246160506,-0.5530530411541336,-0.43290336448109223,-0.2777473381958247,-2.0810827026922505,-0.6105657337150908,-3.246268108761633,-4.750454910271753,-2.804671984054031,0.3690597094659975,0.5275366799767325,0.00829692754089836,0.24515133708595815,0.0005671943437111959,1.7764176916150886e-05,0.0015679348600993626,0.0,1695.9258006051712
