Realization,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_LOWREEK,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_LOWREEK,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL
10,0.8686638006011618,0.9742069505491462,-4.276310687539281,-3.0969510495856296,-1.9111043285257967,-0.05876450111840799,-0.9829798296834915,-6.444217982211495,-7.872503302559407,5.292846663774552e-05,0.0007999244114018172,0.012271444046045332,0.8734448709056518,0.10399684648677578,3.595688141450051e-07,1.3412097362390057e-08,0.0,1707.5341953994114
11,0.3086642419746308,0.8476119058906035,-4.9645755956936695,-3.83237931587103,-2.039409342886207,-0.23779502533600858,-0.25701546509775985,-7.970861294581052,-7.272537460345936,1.0849866744281374e-05,0.00014710271356895054,0.009132520528533963,0.5783689567231471,0.5533304049332146,1.0693963696009675e-08,5.339032194272336e-08,0.0,1705.117314796881
12,0.17692863171653217,0.8860573938974707,-4.796461406039951,-4.2159110878644555,-0.7046843571290785,-0.04071150447865251,-0.357578295013811,-7.697787208497859,-6.655160820282803,1.5978595179370908e-05,6.082595161394134e-05,0.19738568033208156,0.9105179156190996,0.4389567229802267,2.0054544002555522e-08,2.2122753470699112e-07,0.0,1700.999538456043
13,0.6447831413197784,0.7415020128837757,-4.5601108635899985,-3.432403643149002,-1.2940377306601034,-0.08886023967216344,-1.152640759089098,-7.677914887549544,-7.585924292460958,2.753525713259336e-05,0.00036948461275992483,0.0508115296573992,0.8149665062357617,0.07036541297886484,2.099351271358889e-08,2.594631626798541e-08,0.0,1711.0787330247201
14,0.9062641797222901,0.665837167707114,-4.099589983876955,-2.9586898079533803,-0.8512091889800245,-0.04329478678223303,-0.49916498042293567,-6.9846224100174705,-6.752057202909366,7.95078511749297e-05,0.0010997910776927905,0.1408610142097255,0.9051180238882061,0.3168363631791243,1.0360425448586317e-07,1.7698758245374193e-07,0.0,1707.1555983161497
15,0.9867728909061404,0.7782848378108946,-3.2995561931302357,-4.47368159484339,-0.7838774995967155,-0.2987835261392438,-1.5288274079477229,-7.776645683529323,-7.502597689003069,0.0005016996601867662,3.359838521967532e-05,0.164483561262551,0.50259304434168,0.029591882376497163,1.672454519558225e-08,3.143419268667993e-08,0.0,1706.7226264203591
16,0.9908459554337004,0.5732310022286746,-4.715924338583213,-3.1447322065273324,-0.5227311689701152,-0.03039652479352413,-1.7083199371801914,-7.051902149431899,-5.279368279857095,1.923426793080278e-05,0.0007165851327718413,0.30010195942588197,0.9324025985577986,0.01957402158157763,8.873559190216519e-08,5.2557139508114604e-06,0.0,1705.3046961766097
17,0.38269371631430826,0.47935083811115,-4.164572850104897,-3.6664333863773098,-0.5014702072693652,-0.26937611696939434,-2.5449664301648545,-7.328845506128508,-7.174028386943454,6.845846387909685e-05,0.00021555922505692165,0.3151590572839686,0.5378038204399123,0.002851238652326462,4.689801852747087e-08,6.69840824943409e-08,0.0,1713.390608415626
18,0.9304039234052801,0.7628845205845067,-4.168025415629779,-3.541773730246231,-1.7968692264236132,-0.11125681482696961,-2.2243900022922967,-7.074029446881572,-7.752349413502899,6.791638856627827e-05,0.0002872276663800589,0.015963597663945367,0.7740039644983943,0.005964993815187133,8.43277578274589e-08,1.7686853822516384e-08,0.0,1710.4719878107044
19,0.45484933029892916,0.7911823314938649,-4.340291305196326,-4.37331510418596,-0.5620218134151114,-0.022940116066625174,-2.732138650974005,-6.27509020701519,-2.814399617052005,4.5678169822688164e-05,4.233357015976454e-05,0.2741436473669867,0.9485492477024651,0.0018529399673919559,5.307741860308116e-07,0.001533205550969505,0.0,1712.1369889443074
