DRAWDOWN,CONIPOS,SGAS,DATE,CONJPOS,WELL,SWAT,WELLMODEL,DEPTH,PRESSURE,CONIDX,CONBPRES,CONKPOS
0,31,0.0,2018-01-01,52,R_A4,0.05204690992832184,STANDARD,1633.0950927734375,300.2624206542969,5,300.2624206542969,4
0,32,0.0,2018-01-01,52,R_A4,0.0520295687019825,STANDARD,1631.392333984375,300.14825439453125,6,300.14825439453125,4
0,32,0.0,2018-01-01,52,R_A4,0.054825007915496826,STANDARD,1633.24658203125,300.2725830078125,7,300.2725830078125,5
0,32,0.0,2018-01-01,51,R_A4,0.05639702081680298,STANDARD,1635.5819091796875,300.4291687011719,8,300.4291687011719,5
0,32,0.0,2018-01-01,51,R_A4,0.056072402745485306,STANDARD,1637.4373779296875,300.5535583496094,9,300.5535583496094,6
0,33,0.0,2018-01-01,51,R_A4,0.05643694847822189,STANDARD,1637.6766357421875,300.5696105957031,10,300.5696105957031,6
0,33,0.0,2018-01-01,51,R_A4,0.057561442255973816,STANDARD,1635.8236083984375,300.44537353515625,11,300.44537353515625,5
0,33,0.0,2018-01-01,50,R_A4,0.06018327176570892,STANDARD,1642.552001953125,300.8965148925781,12,300.8965148925781,6
0,34,0.0,2018-01-01,50,R_A4,0.061327092349529266,STANDARD,1642.227294921875,300.874755859375,13,300.874755859375,6
0,34,0.0,2018-01-01,50,R_A4,0.06152414530515671,STANDARD,1640.357421875,300.7493591308594,14,300.7493591308594,5
0,34,0.0,2018-01-01,50,R_A4,0.13431544601917267,STANDARD,1638.487548828125,300.6239929199219,15,300.6239929199219,4
0,35,0.0,2018-01-01,50,R_A4,0.1401517689228058,STANDARD,1642.566162109375,300.8974609375,16,300.8974609375,4
0,35,0.0,2018-01-01,50,R_A4,0.22322343289852142,STANDARD,1640.75634765625,300.776123046875,17,300.776123046875,3
0,35,0.0,2018-01-01,49,R_A4,0.18226207792758942,STANDARD,1642.4046630859375,300.8866271972656,18,300.8866271972656,3
0,35,0.0,2018-01-01,49,R_A4,0.22488032281398773,STANDARD,1640.5941162109375,300.7652282714844,19,300.7652282714844,2
0,36,0.0,2018-01-01,49,R_A4,0.08888915181159973,STANDARD,1644.332275390625,301.0158996582031,20,301.0158996582031,28
0,36,0.0,2018-01-01,48,R_A4,0.05639762058854103,STANDARD,1642.82177734375,300.91461181640625,21,300.91461181640625,28
0,37,0.0,2018-01-01,48,R_A4,0.3060494661331177,STANDARD,1651.1185302734375,301.47100830078125,22,301.47100830078125,28
0,37,0.0,2018-01-01,48,R_A4,0.6481541991233826,STANDARD,1645.4197998046875,301.0888366699219,23,301.0888366699219,27
0,38,0.0,2018-01-01,48,R_A4,0.09742819517850876,STANDARD,1650.116455078125,301.40380859375,24,301.40380859375,27
0,38,0.0,2018-01-01,47,R_A4,0.2200416773557663,STANDARD,1656.99365234375,301.86505126953125,25,301.86505126953125,27
0,31,0.0,2018-01-01,20,R_A5,1.0,STANDARD,1684.7130126953125,303.8143615722656,1,303.8143615722656,1
0,31,0.0,2018-01-01,20,R_A5,1.0,STANDARD,1686.774658203125,304.0097351074219,2,304.0097351074219,2
0,31,0.0,2018-01-01,20,R_A5,1.0,STANDARD,1688.8363037109375,304.2051086425781,3,304.2051086425781,3
0,31,0.0,2018-01-01,20,R_A5,1.0,STANDARD,1690.8978271484375,304.4004821777344,4,304.4004821777344,4
0,31,0.0,2018-01-01,20,R_A5,1.0,STANDARD,1692.95947265625,304.5958251953125,5,304.5958251953125,5
0,31,0.0,2018-01-01,20,R_A5,1.0,STANDARD,1695.02099609375,304.79119873046875,6,304.79119873046875,6
0,31,0.0,2018-01-01,20,R_A5,1.0,STANDARD,1697.08251953125,305.2923583984375,7,305.2923583984375,7
0,31,0.0,2018-01-01,20,R_A5,1.0,STANDARD,1699.1441650390625,305.48773193359375,8,305.48773193359375,8
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1698.0423583984375,305.3833312988281,9,305.3833312988281,9
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1700.3284912109375,305.5999755859375,10,305.5999755859375,10
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1702.4676513671875,305.4970397949219,11,305.4970397949219,11
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1704.4599609375,305.6858215332031,12,305.6858215332031,12
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1706.4520263671875,305.8865966796875,13,305.8865966796875,13
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1708.4442138671875,306.0754089355469,14,306.0754089355469,14
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1710.4365234375,306.4092102050781,15,306.4092102050781,15
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1712.4287109375,306.5980224609375,16,306.5980224609375,16
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1714.2779541015625,306.7732849121094,17,306.7732849121094,17
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1715.3861083984375,306.8782958984375,18,306.8782958984375,18
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1715.789794921875,306.91656494140625,19,306.91656494140625,19
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1716.9876708984375,306.87298583984375,20,306.87298583984375,25
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1719.0858154296875,307.07183837890625,21,307.07183837890625,26
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1721.1839599609375,307.57647705078125,22,307.57647705078125,27
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1723.2821044921875,307.77532958984375,23,307.77532958984375,28
0,31,0.0,2018-01-01,21,R_A5,1.0,STANDARD,1725.3802490234375,307.9742126464844,24,307.9742126464844,29
0,17,0.0,2018-01-01,42,R_A6,1.0,STANDARD,1694.2705078125,305.02587890625,1,305.02587890625,1
0,17,0.0,2018-01-01,42,R_A6,1.0,STANDARD,1695.8017578125,305.1709899902344,2,305.1709899902344,2
0,17,0.0,2018-01-01,42,R_A6,1.0,STANDARD,1697.3330078125,305.31610107421875,3,305.31610107421875,3
0,17,0.0,2018-01-01,42,R_A6,1.0,STANDARD,1698.8642578125,305.4612121582031,4,305.4612121582031,4
0,17,0.0,2018-01-01,42,R_A6,1.0,STANDARD,1700.3955078125,305.6063232421875,5,305.6063232421875,5
0,17,0.0,2018-01-01,42,R_A6,1.0,STANDARD,1701.9267578125,305.7514343261719,6,305.7514343261719,6
0,17,0.0,2018-01-01,42,R_A6,1.0,STANDARD,1703.4578857421875,305.5975036621094,7,305.5975036621094,7
