PRESSURE,CONIDX,CONJPOS,DATE,CONBPRES,CONIPOS,SGAS,CONKPOS,SWAT,WELLMODEL,DEPTH,DRAWDOWN,WELL
298.90460205078125,7,41,2018-01-01,298.90460205078125,29,0.0,7,0.1949537992477417,STANDARD,1612.942138671875,0,R_A3
299.04931640625,8,41,2018-01-01,299.04931640625,29,0.0,8,0.1966637372970581,STANDARD,1615.101806640625,0,R_A3
299.194091796875,9,41,2018-01-01,299.194091796875,29,0.0,9,0.7920631766319275,STANDARD,1617.26123046875,0,R_A3
299.3388366699219,10,41,2018-01-01,299.3388366699219,29,0.0,10,0.8001223206520081,STANDARD,1619.4208984375,0,R_A3
299.4857177734375,11,41,2018-01-01,299.4857177734375,29,0.0,11,0.04753518104553223,STANDARD,1621.6119384765625,0,R_A3
299.6346740722656,12,41,2018-01-01,299.6346740722656,29,0.0,12,0.05363469198346138,STANDARD,1623.83447265625,0,R_A3
299.78369140625,13,41,2018-01-01,299.78369140625,29,0.0,13,0.3611469864845276,STANDARD,1626.0570068359375,0,R_A3
299.93267822265625,14,41,2018-01-01,299.93267822265625,29,0.0,14,0.16453863680362701,STANDARD,1628.2796630859375,0,R_A3
300.0816955566406,15,41,2018-01-01,300.0816955566406,29,0.0,15,0.5049159526824951,STANDARD,1630.502197265625,0,R_A3
300.20904541015625,16,41,2018-01-01,300.20904541015625,29,0.0,16,0.8071942925453186,STANDARD,1632.4019775390625,0,R_A3
300.3848571777344,17,41,2018-01-01,300.3848571777344,29,0.0,25,1.0,STANDARD,1635.0242919921875,0,R_A3
300.6216735839844,18,41,2018-01-01,300.6216735839844,29,0.0,26,0.04466291144490242,STANDARD,1638.555908203125,0,R_A3
300.85845947265625,19,41,2018-01-01,300.85845947265625,29,0.0,27,0.048147812485694885,STANDARD,1642.087646484375,0,R_A3
301.0953063964844,20,41,2018-01-01,301.0953063964844,29,0.0,28,0.6481541991233826,STANDARD,1645.6192626953125,0,R_A3
301.3321228027344,21,41,2018-01-01,301.3321228027344,29,0.0,29,0.08992944657802582,STANDARD,1649.15087890625,0,R_A3
300.09735107421875,1,52,2018-01-01,300.09735107421875,30,0.0,1,0.051406435668468475,STANDARD,1630.736083984375,0,R_A4
299.81365966796875,2,52,2018-01-01,299.81365966796875,31,0.0,1,0.0973568707704544,STANDARD,1626.5040283203125,0,R_A4
299.9498596191406,3,52,2018-01-01,299.9498596191406,31,0.0,2,0.04880237579345703,STANDARD,1628.535888671875,0,R_A4
300.0860595703125,4,52,2018-01-01,300.0860595703125,31,0.0,3,0.04996151477098465,STANDARD,1630.567626953125,0,R_A4
300.2222900390625,5,52,2018-01-01,300.2222900390625,31,0.0,4,0.05272612348198891,STANDARD,1632.599365234375,0,R_A4
300.1828918457031,6,52,2018-01-01,300.1828918457031,32,0.0,4,0.05189067870378494,STANDARD,1632.0120849609375,0,R_A4
300.3919372558594,7,51,2018-01-01,300.3919372558594,32,0.0,4,0.05516209080815315,STANDARD,1635.1298828125,0,R_A4
300.504638671875,8,51,2018-01-01,300.504638671875,33,0.0,4,0.056886933743953705,STANDARD,1636.8104248046875,0,R_A4
300.96710205078125,9,50,2018-01-01,300.96710205078125,33,0.0,4,0.06069378927350044,STANDARD,1643.7073974609375,0,R_A4
300.81158447265625,10,50,2018-01-01,300.81158447265625,34,0.0,4,0.05806557834148407,STANDARD,1641.3885498046875,0,R_A4
300.6883239746094,11,50,2018-01-01,300.6883239746094,34,0.0,3,0.13687969744205475,STANDARD,1639.5499267578125,0,R_A4
300.8004455566406,12,50,2018-01-01,300.8004455566406,35,0.0,3,0.13493454456329346,STANDARD,1641.2220458984375,0,R_A4
300.6848449707031,13,50,2018-01-01,300.6848449707031,35,0.0,2,0.2262391895055771,STANDARD,1639.498291015625,0,R_A4
300.99920654296875,14,49,2018-01-01,300.99920654296875,35,0.0,2,0.23438186943531036,STANDARD,1644.186279296875,0,R_A4
300.88006591796875,15,49,2018-01-01,300.88006591796875,35,0.0,1,0.22447635233402252,STANDARD,1642.40966796875,0,R_A4
301.0321044921875,16,49,2018-01-01,301.0321044921875,36,0.0,27,0.05636943131685257,STANDARD,1644.6767578125,0,R_A4
300.9704895019531,17,48,2018-01-01,300.9704895019531,36,0.0,27,0.05799046531319618,STANDARD,1643.75830078125,0,R_A4
301.4556884765625,18,48,2018-01-01,301.4556884765625,37,0.0,27,0.059084583073854446,STANDARD,1650.9931640625,0,R_A4
301.0704345703125,19,48,2018-01-01,301.0704345703125,37,0.0,26,0.14169354736804962,STANDARD,1645.2484130859375,0,R_A4
301.3328857421875,20,48,2018-01-01,301.3328857421875,38,0.0,26,0.6906521320343018,STANDARD,1649.1622314453125,0,R_A4
301.6559753417969,21,47,2018-01-01,301.6559753417969,38,0.0,26,0.6481541991233826,STANDARD,1653.979736328125,0,R_A4
302.0338134765625,22,47,2018-01-01,302.0338134765625,38,0.0,27,0.10623130202293396,STANDARD,1659.61279296875,0,R_A4
303.907958984375,1,20,2018-01-01,303.907958984375,31,0.0,1,1.0,STANDARD,1685.7008056640625,0,R_A5
304.1162109375,2,20,2018-01-01,304.1162109375,31,0.0,2,1.0,STANDARD,1687.8983154296875,0,R_A5
304.324462890625,3,20,2018-01-01,304.324462890625,31,0.0,3,1.0,STANDARD,1690.095947265625,0,R_A5
304.53271484375,4,20,2018-01-01,304.53271484375,31,0.0,4,1.0,STANDARD,1692.29345703125,0,R_A5
304.740966796875,5,20,2018-01-01,304.740966796875,31,0.0,5,1.0,STANDARD,1694.4910888671875,0,R_A5
