DEPTH,WELL,DATE,CONBPRES,PRESSURE,CONIDX,CONJPOS,DRAWDOWN,CONKPOS,CONIPOS,WELLMODEL,SGAS,SWAT
1657.8184814453125,R_A4,2018-01-01,301.7947998046875,301.7947998046875,20,47,0,30,38,STANDARD,0.0,0.07282351702451706
1685.026611328125,R_A5,2018-01-01,303.8440856933594,303.8440856933594,1,20,0,1,31,STANDARD,0.0,1.0
1687.3070068359375,R_A5,2018-01-01,304.0601806640625,304.0601806640625,2,20,0,2,31,STANDARD,0.0,1.0
1689.5875244140625,R_A5,2018-01-01,304.27630615234375,304.27630615234375,3,20,0,3,31,STANDARD,0.0,1.0
1691.8680419921875,R_A5,2018-01-01,304.4924011230469,304.4924011230469,4,20,0,4,31,STANDARD,0.0,1.0
1694.1485595703125,R_A5,2018-01-01,304.7085266113281,304.7085266113281,5,20,0,5,31,STANDARD,0.0,1.0
1696.4290771484375,R_A5,2018-01-01,304.9246520996094,304.9246520996094,6,20,0,6,31,STANDARD,0.0,1.0
1698.70947265625,R_A5,2018-01-01,305.446533203125,305.446533203125,7,20,0,7,31,STANDARD,0.0,1.0
1707.6488037109375,R_A5,2018-01-01,305.988037109375,305.988037109375,8,20,0,11,31,STANDARD,0.0,1.0
1709.5638427734375,R_A5,2018-01-01,306.1695251464844,306.1695251464844,9,20,0,12,31,STANDARD,0.0,1.0
1701.7845458984375,R_A5,2018-01-01,305.4322814941406,305.4322814941406,10,21,0,12,31,STANDARD,0.0,1.0
1703.735107421875,R_A5,2018-01-01,305.6291198730469,305.6291198730469,11,21,0,13,31,STANDARD,0.0,1.0
1705.6856689453125,R_A5,2018-01-01,305.81396484375,305.81396484375,12,21,0,14,31,STANDARD,0.0,1.0
1707.63623046875,R_A5,2018-01-01,305.9988098144531,305.9988098144531,13,21,0,15,31,STANDARD,0.0,1.0
1709.5867919921875,R_A5,2018-01-01,306.3287048339844,306.3287048339844,14,21,0,16,31,STANDARD,0.0,1.0
1711.537353515625,R_A5,2018-01-01,306.5135498046875,306.5135498046875,15,21,0,17,31,STANDARD,0.0,1.0
1713.35400390625,R_A5,2018-01-01,306.6856994628906,306.6856994628906,16,21,0,18,31,STANDARD,0.0,1.0
1714.3951416015625,R_A5,2018-01-01,306.7843933105469,306.7843933105469,17,21,0,19,31,STANDARD,0.0,1.0
1715.7628173828125,R_A5,2018-01-01,306.75689697265625,306.75689697265625,18,21,0,27,31,STANDARD,0.0,1.0
1718.098388671875,R_A5,2018-01-01,306.978271484375,306.978271484375,19,21,0,28,31,STANDARD,0.0,1.0
1720.43408203125,R_A5,2018-01-01,307.5054016113281,307.5054016113281,20,21,0,29,31,STANDARD,0.0,1.0
1722.7696533203125,R_A5,2018-01-01,307.7267761230469,307.7267761230469,21,21,0,30,31,STANDARD,0.0,1.0
1725.105224609375,R_A5,2018-01-01,307.9481506347656,307.9481506347656,22,21,0,31,31,STANDARD,0.0,1.0
1695.20263671875,R_A6,2018-01-01,305.11419677734375,305.11419677734375,1,42,0,1,17,STANDARD,0.0,1.0
1696.7510986328125,R_A6,2018-01-01,305.2609558105469,305.2609558105469,2,42,0,2,17,STANDARD,0.0,1.0
1698.299560546875,R_A6,2018-01-01,305.4076843261719,305.4076843261719,3,42,0,3,17,STANDARD,0.0,1.0
1699.84814453125,R_A6,2018-01-01,305.554443359375,305.554443359375,4,42,0,4,17,STANDARD,0.0,1.0
1701.3966064453125,R_A6,2018-01-01,305.7012023925781,305.7012023925781,5,42,0,5,17,STANDARD,0.0,1.0
1702.9451904296875,R_A6,2018-01-01,305.84796142578125,305.84796142578125,6,42,0,6,17,STANDARD,0.0,1.0
1704.49365234375,R_A6,2018-01-01,305.6956481933594,305.6956481933594,7,42,0,7,17,STANDARD,0.0,1.0
1706.042236328125,R_A6,2018-01-01,306.1414489746094,306.1414489746094,8,42,0,8,17,STANDARD,0.0,1.0
1707.5906982421875,R_A6,2018-01-01,306.2882080078125,306.2882080078125,9,42,0,9,17,STANDARD,0.0,1.0
1709.1392822265625,R_A6,2018-01-01,306.1291809082031,306.1291809082031,10,42,0,10,17,STANDARD,0.0,1.0
1711.055419921875,R_A6,2018-01-01,306.3109130859375,306.3109130859375,11,42,0,11,17,STANDARD,0.0,1.0
1713.3392333984375,R_A6,2018-01-01,306.52734375,306.52734375,12,42,0,12,17,STANDARD,0.0,1.0
