DEPTH,SGAS,CONKPOS,CONBPRES,CONIPOS,CONIDX,DATE,SWAT,DRAWDOWN,CONJPOS,WELLMODEL,PRESSURE,WELL
1643.8988037109375,0.0,3,297.9049987792969,22,3,2018-03-01,0.05818306654691696,0,30,STANDARD,297.9049987792969,R_A2
1645.6744384765625,0.0,4,298.02398681640625,22,4,2018-03-01,0.06407540291547775,0,30,STANDARD,298.02398681640625,R_A2
1647.4500732421875,0.0,5,298.1429748535156,22,5,2018-03-01,0.19508403539657593,0,30,STANDARD,298.1429748535156,R_A2
1649.2257080078125,0.0,6,298.2540588378906,22,6,2018-03-01,0.3063786029815674,0,30,STANDARD,298.2540588378906,R_A2
1651.00146484375,0.0,7,298.3759765625,22,7,2018-03-01,0.8719704151153564,0,30,STANDARD,298.3759765625,R_A2
1652.777099609375,0.0,8,298.5037841796875,22,8,2018-03-01,0.8648506999015808,0,30,STANDARD,298.5037841796875,R_A2
1654.5526123046875,0.0,9,298.8652038574219,22,9,2018-03-01,0.881493330001831,0,30,STANDARD,298.8652038574219,R_A2
1656.3282470703125,0.0,10,299.1341857910156,22,10,2018-03-01,0.8894777297973633,0,30,STANDARD,299.1341857910156,R_A2
1658.2242431640625,0.0,11,299.1877136230469,22,11,2018-03-01,0.07013881206512451,0,30,STANDARD,299.1877136230469,R_A2
1660.24072265625,0.0,12,299.3229675292969,22,12,2018-03-01,0.17431335151195526,0,30,STANDARD,299.3229675292969,R_A2
1662.257080078125,0.0,13,299.4588317871094,22,13,2018-03-01,0.42867007851600647,0,30,STANDARD,299.4588317871094,R_A2
1664.2735595703125,0.0,14,299.59521484375,22,14,2018-03-01,0.46561354398727417,0,30,STANDARD,299.59521484375,R_A2
1666.2900390625,0.0,15,299.7345275878906,22,15,2018-03-01,0.912696897983551,0,30,STANDARD,299.7345275878906,R_A2
1668.306396484375,0.0,16,299.8717041015625,22,16,2018-03-01,0.921215832233429,0,30,STANDARD,299.8717041015625,R_A2
1670.3228759765625,0.0,17,300.0079650878906,22,17,2018-03-01,0.8747022747993469,0,30,STANDARD,300.0079650878906,R_A2
1672.1201171875,0.0,18,300.12860107421875,22,18,2018-03-01,0.935157299041748,0,30,STANDARD,300.12860107421875,R_A2
1674.9111328125,0.0,18,300.2985534667969,22,19,2018-03-01,0.9627097249031067,0,29,STANDARD,300.2985534667969,R_A2
1676.714599609375,-4.740516027548205e-15,25,302.9607849121094,22,20,2018-03-01,1.0,0,29,STANDARD,302.9607849121094,R_A2
1678.4561767578125,-1.7964367718544504e-14,26,302.9442443847656,22,21,2018-03-01,1.0,0,29,STANDARD,302.9442443847656,R_A2
1680.197509765625,-1.9315220267396987e-13,27,302.63385009765625,22,22,2018-03-01,1.0,0,29,STANDARD,302.63385009765625,R_A2
1681.93896484375,-2.0352288743197278e-09,28,302.1154479980469,22,23,2018-03-01,1.0,0,29,STANDARD,302.1154479980469,R_A2
1683.680419921875,3.461936159965262e-08,29,302.028076171875,22,24,2018-03-01,0.9999954700469971,0,29,STANDARD,302.028076171875,R_A2
1685.42578125,-3.853666084158158e-12,1,279.3445739746094,31,1,2018-04-28,1.0,0,20,STANDARD,279.3445739746094,R_A5
1687.7447509765625,-3.401246298495586e-12,2,279.5640869140625,31,2,2018-04-28,1.0,0,20,STANDARD,279.5640869140625,R_A5
1690.0635986328125,-3.217812518177543e-12,3,279.7837219238281,31,3,2018-04-28,1.0,0,20,STANDARD,279.7837219238281,R_A5
1692.382568359375,-3.770646555406598e-12,4,280.0035705566406,31,4,2018-04-28,1.0,0,20,STANDARD,280.0035705566406,R_A5
1694.701416015625,-4.037208935214753e-12,5,280.2231140136719,31,5,2018-04-28,1.0,0,20,STANDARD,280.2231140136719,R_A5
1697.0203857421875,-2.9695009472197054e-12,6,280.4424743652344,31,6,2018-04-28,1.0,0,20,STANDARD,280.4424743652344,R_A5
1699.33935546875,-4.1273228731193365e-14,7,280.9830322265625,31,7,2018-04-28,1.0,0,20,STANDARD,280.9830322265625,R_A5
1701.658203125,-4.5231495008875647e-14,8,281.22991943359375,31,8,2018-04-28,1.0,0,20,STANDARD,281.22991943359375,R_A5
1708.414794921875,-2.8258810222392405e-12,11,279.9959716796875,31,9,2018-04-28,1.0,0,20,STANDARD,279.9959716796875,R_A5
1710.3331298828125,-5.1636112920194766e-12,12,280.0218505859375,31,10,2018-04-28,1.0,0,20,STANDARD,280.0218505859375,R_A5
1701.51318359375,-3.68519520455024e-10,12,278.4482727050781,31,11,2018-04-28,1.0,0,21,STANDARD,278.4482727050781,R_A5
1703.4171142578125,-2.371110079113503e-11,13,278.6445007324219,31,12,2018-04-28,1.0,0,21,STANDARD,278.6445007324219,R_A5
1705.321044921875,-1.3073690741105537e-10,14,278.83258056640625,31,13,2018-04-28,1.0,0,21,STANDARD,278.83258056640625,R_A5
1707.2249755859375,-4.221497457157497e-11,15,279.0192565917969,31,14,2018-04-28,1.0,0,21,STANDARD,279.0192565917969,R_A5
1709.12890625,-3.990135652442994e-11,16,279.3638610839844,31,15,2018-04-28,1.0,0,21,STANDARD,279.3638610839844,R_A5
1711.032958984375,-6.9215293219127005e-12,17,279.562255859375,31,16,2018-04-28,1.0,0,21,STANDARD,279.562255859375,R_A5
1712.7847900390625,-1.3418577013424304e-11,18,279.7413635253906,31,17,2018-04-28,1.0,0,21,STANDARD,279.7413635253906,R_A5
1713.859619140625,-7.6469221579889e-12,19,279.8458557128906,31,18,2018-04-28,1.0,0,21,STANDARD,279.8458557128906,R_A5
1715.3143310546875,-2.982789709671252e-11,25,285.2769775390625,31,19,2018-04-28,1.0,0,21,STANDARD,285.2769775390625,R_A5
1717.673583984375,-2.526783643430619e-11,26,285.4875183105469,31,20,2018-04-28,1.0,0,21,STANDARD,285.4875183105469,R_A5
1720.03271484375,-1.5967257152430837e-14,27,286.0070495605469,31,21,2018-04-28,1.0,0,21,STANDARD,286.0070495605469,R_A5
1722.3919677734375,-3.670970689843224e-19,28,296.1069030761719,31,22,2018-04-28,1.0,0,21,STANDARD,296.1069030761719,R_A5
1724.751220703125,-1.9726484502510263e-21,29,304.12664794921875,31,23,2018-04-28,1.0,0,21,STANDARD,304.12664794921875,R_A5
1611.2894287109375,0.0,1,283.4037780761719,28,1,2018-07-03,0.3526844382286072,0,41,STANDARD,283.4037780761719,R_A3
1613.25537109375,0.0,2,283.5276184082031,28,2,2018-07-03,0.09402476251125336,0,41,STANDARD,283.5276184082031,R_A3
1601.523681640625,0.0,2,282.6312561035156,29,3,2018-07-03,0.12935444712638855,0,41,STANDARD,282.6312561035156,R_A3
1603.6328125,0.0,3,282.7725524902344,29,4,2018-07-03,0.16006168723106384,0,41,STANDARD,282.7725524902344,R_A3
