CONJPOS,PRESSURE,DATE,CONKPOS,WELL,SGAS,WELLMODEL,DEPTH,DRAWDOWN,CONIDX,SWAT,CONIPOS,CONBPRES
50,300.53570556640625,2018-01-01,2,R_A4,0.0,STANDARD,1639.0426025390625,0,14,0.23273660242557526,35,300.53570556640625
49,300.72943115234375,2018-01-01,2,R_A4,0.0,STANDARD,1641.93212890625,0,15,0.23657433688640594,35,300.72943115234375
49,300.7579650878906,2018-01-01,30,R_A4,0.0,STANDARD,1642.357421875,0,16,1.0,36,300.7579650878906
48,300.5735168457031,2018-01-01,30,R_A4,0.0,STANDARD,1639.6068115234375,0,17,0.6481541991233826,36,300.5735168457031
48,301.0526123046875,2018-01-01,30,R_A4,0.0,STANDARD,1646.7513427734375,0,18,0.6481541991233826,37,301.0526123046875
48,301.5025939941406,2018-01-01,30,R_A4,0.0,STANDARD,1653.461669921875,0,19,0.6481541991233826,38,301.5025939941406
47,301.7947998046875,2018-01-01,30,R_A4,0.0,STANDARD,1657.8184814453125,0,20,0.6481541991233826,38,301.7947998046875
20,303.8440856933594,2018-01-01,1,R_A5,0.0,STANDARD,1685.026611328125,0,1,1.0,31,303.8440856933594
20,304.0601806640625,2018-01-01,2,R_A5,0.0,STANDARD,1687.3070068359375,0,2,1.0,31,304.0601806640625
20,304.27630615234375,2018-01-01,3,R_A5,0.0,STANDARD,1689.5875244140625,0,3,1.0,31,304.27630615234375
20,304.4924011230469,2018-01-01,4,R_A5,0.0,STANDARD,1691.8680419921875,0,4,1.0,31,304.4924011230469
20,304.7085266113281,2018-01-01,5,R_A5,0.0,STANDARD,1694.1485595703125,0,5,1.0,31,304.7085266113281
20,304.9246520996094,2018-01-01,6,R_A5,0.0,STANDARD,1696.4290771484375,0,6,1.0,31,304.9246520996094
20,305.446533203125,2018-01-01,7,R_A5,0.0,STANDARD,1698.70947265625,0,7,1.0,31,305.446533203125
20,305.988037109375,2018-01-01,11,R_A5,0.0,STANDARD,1707.6488037109375,0,8,1.0,31,305.988037109375
20,306.1695251464844,2018-01-01,12,R_A5,0.0,STANDARD,1709.5638427734375,0,9,1.0,31,306.1695251464844
21,305.4322814941406,2018-01-01,12,R_A5,0.0,STANDARD,1701.7845458984375,0,10,1.0,31,305.4322814941406
21,305.6291198730469,2018-01-01,13,R_A5,0.0,STANDARD,1703.735107421875,0,11,1.0,31,305.6291198730469
21,305.81396484375,2018-01-01,14,R_A5,0.0,STANDARD,1705.6856689453125,0,12,1.0,31,305.81396484375
21,305.9988098144531,2018-01-01,15,R_A5,0.0,STANDARD,1707.63623046875,0,13,1.0,31,305.9988098144531
21,306.3287048339844,2018-01-01,16,R_A5,0.0,STANDARD,1709.5867919921875,0,14,1.0,31,306.3287048339844
21,306.5135498046875,2018-01-01,17,R_A5,0.0,STANDARD,1711.537353515625,0,15,1.0,31,306.5135498046875
21,306.6856994628906,2018-01-01,18,R_A5,0.0,STANDARD,1713.35400390625,0,16,1.0,31,306.6856994628906
21,306.7843933105469,2018-01-01,19,R_A5,0.0,STANDARD,1714.3951416015625,0,17,1.0,31,306.7843933105469
21,306.75689697265625,2018-01-01,27,R_A5,0.0,STANDARD,1715.7628173828125,0,18,1.0,31,306.75689697265625
21,306.978271484375,2018-01-01,28,R_A5,0.0,STANDARD,1718.098388671875,0,19,1.0,31,306.978271484375
21,307.5054016113281,2018-01-01,29,R_A5,0.0,STANDARD,1720.43408203125,0,20,1.0,31,307.5054016113281
21,307.7267761230469,2018-01-01,30,R_A5,0.0,STANDARD,1722.7696533203125,0,21,1.0,31,307.7267761230469
21,307.9481506347656,2018-01-01,31,R_A5,0.0,STANDARD,1725.105224609375,0,22,1.0,31,307.9481506347656
42,305.11419677734375,2018-01-01,1,R_A6,0.0,STANDARD,1695.20263671875,0,1,1.0,17,305.11419677734375
42,305.2609558105469,2018-01-01,2,R_A6,0.0,STANDARD,1696.7510986328125,0,2,1.0,17,305.2609558105469
42,305.4076843261719,2018-01-01,3,R_A6,0.0,STANDARD,1698.299560546875,0,3,1.0,17,305.4076843261719
42,305.554443359375,2018-01-01,4,R_A6,0.0,STANDARD,1699.84814453125,0,4,1.0,17,305.554443359375
42,305.7012023925781,2018-01-01,5,R_A6,0.0,STANDARD,1701.3966064453125,0,5,1.0,17,305.7012023925781
42,305.84796142578125,2018-01-01,6,R_A6,0.0,STANDARD,1702.9451904296875,0,6,1.0,17,305.84796142578125
42,305.6956481933594,2018-01-01,7,R_A6,0.0,STANDARD,1704.49365234375,0,7,1.0,17,305.6956481933594
42,305.8424072265625,2018-01-01,8,R_A6,0.0,STANDARD,1706.042236328125,0,8,1.0,17,305.8424072265625
42,306.2882080078125,2018-01-01,9,R_A6,0.0,STANDARD,1707.5906982421875,0,9,1.0,17,306.2882080078125
42,306.1291809082031,2018-01-01,10,R_A6,0.0,STANDARD,1709.1392822265625,0,10,1.0,17,306.1291809082031
42,306.3109130859375,2018-01-01,11,R_A6,0.0,STANDARD,1711.055419921875,0,11,1.0,17,306.3109130859375
42,306.52734375,2018-01-01,12,R_A6,0.0,STANDARD,1713.3392333984375,0,12,1.0,17,306.52734375
42,306.7557678222656,2018-01-01,13,R_A6,0.0,STANDARD,1715.623046875,0,13,1.0,17,306.7557678222656
42,306.9721984863281,2018-01-01,14,R_A6,0.0,STANDARD,1717.9068603515625,0,14,1.0,17,306.9721984863281
42,307.18865966796875,2018-01-01,15,R_A6,0.0,STANDARD,1720.190673828125,0,15,1.0,17,307.18865966796875
42,307.55010986328125,2018-01-01,16,R_A6,0.0,STANDARD,1722.474365234375,0,16,1.0,17,307.55010986328125
42,307.7665710449219,2018-01-01,17,R_A6,0.0,STANDARD,1724.7581787109375,0,17,1.0,17,307.7665710449219
42,307.921630859375,2018-01-01,18,R_A6,0.0,STANDARD,1726.394287109375,0,18,1.0,17,307.921630859375
42,307.8930969238281,2018-01-01,27,R_A6,0.0,STANDARD,1727.7508544921875,0,19,1.0,17,307.8930969238281
42,308.3623352050781,2018-01-01,28,R_A6,0.0,STANDARD,1729.4755859375,0,20,1.0,17,308.3623352050781
42,308.52581787109375,2018-01-01,29,R_A6,0.0,STANDARD,1731.2001953125,0,21,1.0,17,308.52581787109375
42,308.68927001953125,2018-01-01,30,R_A6,0.0,STANDARD,1732.9249267578125,0,22,1.0,17,308.68927001953125
42,308.5469665527344,2018-01-01,31,R_A6,0.0,STANDARD,1734.649658203125,0,23,1.0,17,308.5469665527344
30,298.44952392578125,2018-03-01,1,R_A2,0.0,STANDARD,1641.094970703125,0,1,0.056511249393224716,22,298.44952392578125
30,298.5697326660156,2018-03-01,2,R_A2,0.0,STANDARD,1642.8890380859375,0,2,0.05710326507687569,22,298.5697326660156
30,298.6899719238281,2018-03-01,3,R_A2,0.0,STANDARD,1644.68310546875,0,3,0.06134389340877533,22,298.6899719238281
30,298.8102111816406,2018-03-01,4,R_A2,0.0,STANDARD,1646.4771728515625,0,4,0.06753077358007431,22,298.8102111816406
30,298.9304504394531,2018-03-01,5,R_A2,0.0,STANDARD,1648.2713623046875,0,5,0.07103464752435684,22,298.9304504394531
30,299.04693603515625,2018-03-01,6,R_A2,0.0,STANDARD,1650.0654296875,0,6,0.32203832268714905,22,299.04693603515625
30,299.2259521484375,2018-03-01,7,R_A2,0.0,STANDARD,1651.859619140625,0,7,0.690304160118103,22,299.2259521484375
30,299.3807373046875,2018-03-01,8,R_A2,0.0,STANDARD,1653.6536865234375,0,8,0.6482895016670227,22,299.3807373046875
30,299.5113525390625,2018-03-01,9,R_A2,0.0,STANDARD,1655.44775390625,0,9,0.6484633088111877,22,299.5113525390625
30,299.8688659667969,2018-03-01,10,R_A2,0.0,STANDARD,1657.2418212890625,0,10,0.916103720664978,22,299.8688659667969
30,300.0640869140625,2018-03-01,11,R_A2,0.0,STANDARD,1659.1368408203125,0,11,0.07594109326601028,22,300.0640869140625
30,300.1979064941406,2018-03-01,12,R_A2,0.0,STANDARD,1661.132568359375,0,12,0.08086126297712326,22,300.1979064941406
30,300.3321838378906,2018-03-01,13,R_A2,0.0,STANDARD,1663.12841796875,0,13,0.4564853310585022,22,300.3321838378906
30,300.4671325683594,2018-03-01,14,R_A2,0.0,STANDARD,1665.1241455078125,0,14,0.5044542551040649,22,300.4671325683594
30,300.6077880859375,2018-03-01,15,R_A2,0.0,STANDARD,1667.1199951171875,0,15,0.6865476369857788,22,300.6077880859375
30,300.7422180175781,2018-03-01,16,R_A2,0.0,STANDARD,1669.11572265625,0,16,0.9750910997390747,22,300.7422180175781
30,300.8767395019531,2018-03-01,17,R_A2,0.0,STANDARD,1671.111572265625,0,17,0.9595687985420227,22,300.8767395019531
30,301.00286865234375,2018-03-01,18,R_A2,0.0,STANDARD,1672.9881591796875,0,18,0.9807531833648682,22,301.00286865234375
29,301.0122985839844,2018-03-01,18,R_A2,0.0,STANDARD,1674.229736328125,0,19,0.9992629289627075,22,301.0122985839844
29,302.978759765625,2018-03-01,27,R_A2,-3.215499698103197e-14,STANDARD,1676.1676025390625,0,20,1.0,22,302.978759765625
29,303.4331359863281,2018-03-01,28,R_A2,-2.2476527475161212e-14,STANDARD,1677.9368896484375,0,21,1.0,22,303.4331359863281
29,302.9199523925781,2018-03-01,29,R_A2,-1.2032486118584984e-10,STANDARD,1679.7061767578125,0,22,1.0,22,302.9199523925781
29,303.75628662109375,2018-03-01,30,R_A2,-2.856092912086744e-13,STANDARD,1681.4754638671875,0,23,1.0,22,303.75628662109375
29,303.933349609375,2018-03-01,31,R_A2,-2.8095937170758215e-14,STANDARD,1683.2447509765625,0,24,1.0,22,303.933349609375
20,276.4256591796875,2018-04-28,1,R_A5,1.7058684515956421e-15,STANDARD,1685.026611328125,0,1,1.0,31,276.4256591796875
20,276.6417541503906,2018-04-28,2,R_A5,6.19391528084573e-13,STANDARD,1687.3070068359375,0,2,1.0,31,276.6417541503906
20,276.8577575683594,2018-04-28,3,R_A5,8.404612184161053e-13,STANDARD,1689.5875244140625,0,3,1.0,31,276.8577575683594
20,277.07373046875,2018-04-28,4,R_A5,7.13155988256442e-13,STANDARD,1691.8680419921875,0,4,1.0,31,277.07373046875
20,277.2896728515625,2018-04-28,5,R_A5,6.394673744518353e-13,STANDARD,1694.1485595703125,0,5,1.0,31,277.2896728515625
20,277.505615234375,2018-04-28,6,R_A5,6.367176751120862e-13,STANDARD,1696.4290771484375,0,6,1.0,31,277.505615234375
20,278.0404357910156,2018-04-28,7,R_A5,4.650442543937183e-15,STANDARD,1698.70947265625,0,7,1.0,31,278.0404357910156
20,277.4652404785156,2018-04-28,11,R_A5,-6.066912944246994e-11,STANDARD,1707.6488037109375,0,8,1.0,31,277.4652404785156
20,277.6469421386719,2018-04-28,12,R_A5,-7.374909710700095e-11,STANDARD,1709.5638427734375,0,9,1.0,31,277.6469421386719
21,276.27813720703125,2018-04-28,12,R_A5,-2.180501890158837e-10,STANDARD,1701.7845458984375,0,10,1.0,31,276.27813720703125
21,276.4783935546875,2018-04-28,13,R_A5,-5.57428799299875e-12,STANDARD,1703.735107421875,0,11,1.0,31,276.4783935546875
21,276.6684875488281,2018-04-28,14,R_A5,-9.263411218651818e-12,STANDARD,1705.6856689453125,0,12,1.0,31,276.6684875488281
21,276.8729553222656,2018-04-28,15,R_A5,-1.8933142813953863e-12,STANDARD,1707.63623046875,0,13,1.0,31,276.8729553222656
21,277.2758483886719,2018-04-28,16,R_A5,-1.6682452945102066e-12,STANDARD,1709.5867919921875,0,14,1.0,31,277.2758483886719
21,277.646484375,2018-04-28,17,R_A5,-5.560673449478415e-13,STANDARD,1711.537353515625,0,15,1.0,31,277.646484375
21,278.011474609375,2018-04-28,18,R_A5,-1.3330208247994135e-12,STANDARD,1713.35400390625,0,16,1.0,31,278.011474609375
21,278.1878356933594,2018-04-28,19,R_A5,0.0,STANDARD,1714.3951416015625,0,17,1.0,31,278.1878356933594
21,278.2144775390625,2018-04-28,27,R_A5,-3.0330572038314574e-13,STANDARD,1715.7628173828125,0,18,1.0,31,278.2144775390625
21,278.4583435058594,2018-04-28,28,R_A5,-4.2820871089428725e-13,STANDARD,1718.098388671875,0,19,1.0,31,278.4583435058594
21,279.0245361328125,2018-04-28,29,R_A5,-5.983710296886493e-19,STANDARD,1720.43408203125,0,20,1.0,31,279.0245361328125
21,283.3194274902344,2018-04-28,30,R_A5,-2.1557515256236017e-16,STANDARD,1722.7696533203125,0,21,1.0,31,283.3194274902344
21,298.5001525878906,2018-04-28,31,R_A5,-1.4346226340859042e-20,STANDARD,1725.105224609375,0,22,1.0,31,298.5001525878906
41,280.03582763671875,2018-07-03,1,R_A3,0.0,STANDARD,1609.243408203125,0,1,0.6500991582870483,28,280.03582763671875
41,280.1755065917969,2018-07-03,2,R_A3,0.0,STANDARD,1611.3077392578125,0,2,0.22938823699951172,28,280.1755065917969
41,280.3133850097656,2018-07-03,3,R_A3,0.0,STANDARD,1613.3720703125,0,3,0.19843381643295288,28,280.3133850097656
41,280.4703674316406,2018-07-03,4,R_A3,0.0,STANDARD,1615.4365234375,0,4,0.3855641484260559,28,280.4703674316406
41,280.8838195800781,2018-07-03,5,R_A3,0.0,STANDARD,1617.5008544921875,0,5,0.8178111910820007,28,280.8838195800781
41,281.03338623046875,2018-07-03,6,R_A3,0.0,STANDARD,1619.565185546875,0,6,0.22725656628608704,28,281.03338623046875
41,280.32611083984375,2018-07-03,6,R_A3,0.0,STANDARD,1609.3663330078125,0,7,0.26636287569999695,29,280.32611083984375
41,280.46331787109375,2018-07-03,7,R_A3,0.0,STANDARD,1611.4163818359375,0,8,0.19835542142391205,29,280.46331787109375
41,280.6021423339844,2018-07-03,8,R_A3,0.0,STANDARD,1613.46630859375,0,9,0.38385623693466187,29,280.6021423339844
41,280.8187255859375,2018-07-03,9,R_A3,0.0,STANDARD,1615.516357421875,0,10,0.8009611964225769,29,280.8187255859375
41,282.5511474609375,2018-07-03,10,R_A3,0.0,STANDARD,1617.5662841796875,0,11,0.7974171042442322,29,282.5511474609375
41,282.9478454589844,2018-07-03,11,R_A3,0.0,STANDARD,1619.750732421875,0,12,0.04902567341923714,29,282.9478454589844
41,283.1026611328125,2018-07-03,12,R_A3,0.0,STANDARD,1622.0697021484375,0,13,0.05435049533843994,29,283.1026611328125
41,283.2581481933594,2018-07-03,13,R_A3,0.0,STANDARD,1624.388671875,0,14,0.3701019883155823,29,283.2581481933594
41,283.4138488769531,2018-07-03,14,R_A3,0.0,STANDARD,1626.707763671875,0,15,0.3683025538921356,29,283.4138488769531
41,283.57318115234375,2018-07-03,15,R_A3,0.0,STANDARD,1629.026611328125,0,16,0.4426686763763428,29,283.57318115234375
41,283.73443603515625,2018-07-03,16,R_A3,0.0,STANDARD,1630.9468994140625,0,17,0.810247004032135,29,283.73443603515625
41,283.60260009765625,2018-07-03,27,R_A3,0.0,STANDARD,1633.5262451171875,0,18,0.3794264793395996,29,283.60260009765625
41,283.82989501953125,2018-07-03,28,R_A3,0.0,STANDARD,1637.1630859375,0,19,0.04581485688686371,29,283.82989501953125
41,284.07275390625,2018-07-03,29,R_A3,0.0,STANDARD,1640.8001708984375,0,20,0.05065372213721275,29,284.07275390625
41,284.3252258300781,2018-07-03,30,R_A3,0.0,STANDARD,1644.4371337890625,0,21,0.6495752930641174,29,284.3252258300781
41,284.5664978027344,2018-07-03,31,R_A3,0.0,STANDARD,1648.0740966796875,0,22,0.06266750395298004,29,284.5664978027344
52,277.14471435546875,2018-09-12,1,R_A4,0.0,STANDARD,1631.1873779296875,0,1,0.0518156923353672,30,277.14471435546875
52,277.0213928222656,2018-09-12,1,R_A4,0.0,STANDARD,1627.4293212890625,0,2,0.04873195290565491,31,277.0213928222656
52,277.1586608886719,2018-09-12,2,R_A4,0.0,STANDARD,1629.4896240234375,0,3,0.052331048995256424,31,277.1586608886719
52,277.2959289550781,2018-09-12,3,R_A4,0.0,STANDARD,1631.5498046875,0,4,0.05443623289465904,31,277.2959289550781
52,277.4331970214844,2018-09-12,4,R_A4,0.0,STANDARD,1633.610107421875,0,5,0.05748932808637619,31,277.4331970214844
52,277.47650146484375,2018-09-12,4,R_A4,0.0,STANDARD,1632.3968505859375,0,6,0.05651112273335457,32,277.47650146484375
51,277.54913330078125,2018-09-12,4,R_A4,0.0,STANDARD,1635.880615234375,0,7,0.0592329278588295,32,277.54913330078125
51,277.7806396484375,2018-09-12,4,R_A4,0.0,STANDARD,1637.321044921875,0,8,0.057555217295885086,33,277.7806396484375
51,277.6575927734375,2018-09-12,3,R_A4,0.0,STANDARD,1635.474609375,0,9,0.056427065283060074,33,277.6575927734375
50,277.9337463378906,2018-09-12,4,R_A4,0.0,STANDARD,1642.1485595703125,0,10,0.06334234029054642,33,277.9337463378906
50,278.02764892578125,2018-09-12,4,R_A4,0.0,STANDARD,1641.132080078125,0,11,0.06165376305580139,34,278.02764892578125
50,277.899658203125,2018-09-12,3,R_A4,0.0,STANDARD,1639.20703125,0,12,0.14040733873844147,34,277.899658203125
50,278.13641357421875,2018-09-12,3,R_A4,0.0,STANDARD,1640.9061279296875,0,13,0.14281493425369263,35,278.13641357421875
50,278.0119934082031,2018-09-12,2,R_A4,0.0,STANDARD,1639.0426025390625,0,14,0.233178973197937,35,278.0119934082031
49,278.1267395019531,2018-09-12,2,R_A4,0.0,STANDARD,1641.93212890625,0,15,0.23706601560115814,35,278.1267395019531
49,285.0360107421875,2018-09-12,30,R_A4,3.660215359968522e-12,STANDARD,1642.357421875,0,16,1.0,36,285.0360107421875
48,278.5883483886719,2018-09-12,30,R_A4,0.0,STANDARD,1639.6068115234375,0,17,0.6496137976646423,36,278.5883483886719
48,279.24658203125,2018-09-12,30,R_A4,0.0,STANDARD,1646.7513427734375,0,18,0.6498686075210571,37,279.24658203125
48,279.864990234375,2018-09-12,30,R_A4,0.0,STANDARD,1653.461669921875,0,19,0.6499362587928772,38,279.864990234375
47,279.9917297363281,2018-09-12,30,R_A4,0.0,STANDARD,1657.8184814453125,0,20,0.6543996930122375,38,279.9917297363281
42,274.758544921875,2018-11-07,1,R_A6,1.0752667193545229e-17,STANDARD,1695.20263671875,0,1,1.0,17,274.758544921875
42,274.903564453125,2018-11-07,2,R_A6,6.192151642841307e-18,STANDARD,1696.7510986328125,0,2,1.0,17,274.903564453125
42,275.0458068847656,2018-11-07,3,R_A6,5.710733767106364e-18,STANDARD,1698.299560546875,0,3,1.0,17,275.0458068847656
42,275.1837158203125,2018-11-07,4,R_A6,7.076590524575868e-18,STANDARD,1699.84814453125,0,4,1.0,17,275.1837158203125
42,275.3194885253906,2018-11-07,5,R_A6,6.007960440711981e-18,STANDARD,1701.3966064453125,0,5,1.0,17,275.3194885253906
42,275.4593505859375,2018-11-07,6,R_A6,3.006639002183501e-16,STANDARD,1702.9451904296875,0,6,1.0,17,275.4593505859375
42,275.3036804199219,2018-11-07,7,R_A6,5.136169564133662e-16,STANDARD,1704.49365234375,0,7,1.0,17,275.3036804199219
42,275.4505615234375,2018-11-07,8,R_A6,1.0134174157935857e-16,STANDARD,1706.042236328125,0,8,1.0,17,275.4505615234375
42,275.895263671875,2018-11-07,9,R_A6,2.1247177935357558e-17,STANDARD,1707.5906982421875,0,9,1.0,17,275.895263671875
42,275.7323303222656,2018-11-07,10,R_A6,3.5959949448228275e-15,STANDARD,1709.1392822265625,0,10,1.0,17,275.7323303222656
42,275.923828125,2018-11-07,11,R_A6,4.206168257388145e-15,STANDARD,1711.055419921875,0,11,1.0,17,275.923828125
42,276.13995361328125,2018-11-07,12,R_A6,2.893724586935497e-15,STANDARD,1713.3392333984375,0,12,1.0,17,276.13995361328125
42,276.3677673339844,2018-11-07,13,R_A6,1.6687527119266e-16,STANDARD,1715.623046875,0,13,1.0,17,276.3677673339844
42,276.5831604003906,2018-11-07,14,R_A6,1.5692974119824502e-16,STANDARD,1717.9068603515625,0,14,1.0,17,276.5831604003906
42,276.7914733886719,2018-11-07,15,R_A6,8.872705856691258e-17,STANDARD,1720.190673828125,0,15,1.0,17,276.7914733886719
