SWAT,CONJPOS,CONIDX,DRAWDOWN,CONBPRES,WELL,WELLMODEL,DEPTH,CONKPOS,DATE,PRESSURE,CONIPOS,SGAS
0.08677756041288376,49,21,0,301.0252685546875,R_A4,STANDARD,1646.8056640625,28,2018-01-01,301.0252685546875,36,0.0
0.6481541991233826,49,22,0,300.62005615234375,R_A4,STANDARD,1640.762939453125,27,2018-01-01,300.62005615234375,36,0.0
0.6481541991233826,48,23,0,300.55413818359375,R_A4,STANDARD,1639.7796630859375,27,2018-01-01,300.55413818359375,36,0.0
0.8534695506095886,48,24,0,301.3520202636719,R_A4,STANDARD,1651.677978515625,27,2018-01-01,301.3520202636719,37,0.0
1.0,48,25,0,300.9762268066406,R_A4,STANDARD,1646.074462890625,26,2018-01-01,300.9762268066406,37,0.0
0.6481541991233826,48,26,0,301.56268310546875,R_A4,STANDARD,1654.8193359375,26,2018-01-01,301.56268310546875,38,0.0
0.06617854535579681,48,27,0,301.17535400390625,R_A4,STANDARD,1649.043701171875,25,2018-01-01,301.17535400390625,38,0.0
0.0818018838763237,47,28,0,301.8221435546875,R_A4,STANDARD,1658.6878662109375,25,2018-01-01,301.8221435546875,38,0.0
1.0,20,1,0,303.93927001953125,R_A5,STANDARD,1686.0311279296875,1,2018-01-01,303.93927001953125,31,0.0
1.0,20,2,0,304.17083740234375,R_A5,STANDARD,1688.474609375,2,2018-01-01,304.17083740234375,31,0.0
1.0,20,3,0,304.40240478515625,R_A5,STANDARD,1690.918212890625,3,2018-01-01,304.40240478515625,31,0.0
1.0,20,4,0,304.63397216796875,R_A5,STANDARD,1693.3616943359375,4,2018-01-01,304.63397216796875,31,0.0
1.0,20,5,0,304.86553955078125,R_A5,STANDARD,1695.8052978515625,5,2018-01-01,304.86553955078125,31,0.0
1.0,20,6,0,305.09710693359375,R_A5,STANDARD,1698.248779296875,6,2018-01-01,305.09710693359375,31,0.0
1.0,20,7,0,305.63446044921875,R_A5,STANDARD,1700.6923828125,7,2018-01-01,305.63446044921875,31,0.0
1.0,20,8,0,305.86602783203125,R_A5,STANDARD,1703.1358642578125,8,2018-01-01,305.86602783203125,31,0.0
1.0,20,9,0,306.2346496582031,R_A5,STANDARD,1710.2509765625,11,2018-01-01,306.2346496582031,31,0.0
1.0,20,10,0,306.4253845214844,R_A5,STANDARD,1712.263427734375,12,2018-01-01,306.4253845214844,31,0.0
1.0,20,11,0,306.6280822753906,R_A5,STANDARD,1714.27587890625,13,2018-01-01,306.6280822753906,31,0.0
1.0,20,12,0,306.81878662109375,R_A5,STANDARD,1716.2882080078125,14,2018-01-01,306.81878662109375,31,0.0
1.0,20,13,0,307.009521484375,R_A5,STANDARD,1718.3006591796875,15,2018-01-01,307.009521484375,31,0.0
1.0,20,14,0,307.20025634765625,R_A5,STANDARD,1720.31298828125,16,2018-01-01,307.20025634765625,31,0.0
1.0,21,15,0,306.1156005859375,R_A5,STANDARD,1708.8682861328125,16,2018-01-01,306.1156005859375,31,0.0
1.0,21,16,0,306.4192199707031,R_A5,STANDARD,1710.5418701171875,17,2018-01-01,306.4192199707031,31,0.0
1.0,21,17,0,306.5611572265625,R_A5,STANDARD,1712.039794921875,18,2018-01-01,306.5611572265625,31,0.0
1.0,21,18,0,306.6460266113281,R_A5,STANDARD,1712.935302734375,19,2018-01-01,306.6460266113281,31,0.0
1.0,21,19,0,306.6214599609375,R_A5,STANDARD,1714.3336181640625,25,2018-01-01,306.6214599609375,31,0.0
1.0,21,20,0,306.8420715332031,R_A5,STANDARD,1716.661376953125,26,2018-01-01,306.8420715332031,31,0.0
1.0,21,21,0,307.06268310546875,R_A5,STANDARD,1718.9892578125,27,2018-01-01,307.06268310546875,31,0.0
1.0,21,22,0,307.589111328125,R_A5,STANDARD,1721.3170166015625,28,2018-01-01,307.589111328125,31,0.0
1.0,21,23,0,307.8097229003906,R_A5,STANDARD,1723.6448974609375,29,2018-01-01,307.8097229003906,31,0.0
1.0,42,1,0,305.1416931152344,R_A6,STANDARD,1695.49267578125,1,2018-01-01,305.1416931152344,17,0.0
1.0,42,2,0,305.28857421875,R_A6,STANDARD,1697.0426025390625,2,2018-01-01,305.28857421875,17,0.0
1.0,42,3,0,305.4354553222656,R_A6,STANDARD,1698.592529296875,3,2018-01-01,305.4354553222656,17,0.0
1.0,42,4,0,305.58233642578125,R_A6,STANDARD,1700.142578125,4,2018-01-01,305.58233642578125,17,0.0
1.0,42,5,0,305.7292175292969,R_A6,STANDARD,1701.6925048828125,5,2018-01-01,305.7292175292969,17,0.0
1.0,42,6,0,305.5770568847656,R_A6,STANDARD,1703.242431640625,6,2018-01-01,305.5770568847656,17,0.0
1.0,42,7,0,305.7239685058594,R_A6,STANDARD,1704.7923583984375,7,2018-01-01,305.7239685058594,17,0.0
1.0,42,8,0,305.870849609375,R_A6,STANDARD,1706.34228515625,8,2018-01-01,305.870849609375,17,0.0
