CONKPOS,CONIDX,SGAS,WELL,DEPTH,CONJPOS,DATE,DRAWDOWN,CONBPRES,PRESSURE,SWAT,CONIPOS,WELLMODEL
12,12,0.0,R_A2,1661.81689453125,30,2018-03-01,0,299.3403015136719,299.3403015136719,0.07990371435880661,22,STANDARD
13,13,0.0,R_A2,1663.86669921875,30,2018-03-01,0,299.4780578613281,299.4780578613281,0.4568004012107849,22,STANDARD
14,14,0.0,R_A2,1665.91650390625,30,2018-03-01,0,299.6162414550781,299.6162414550781,0.49898213148117065,22,STANDARD
15,15,0.0,R_A2,1667.9661865234375,30,2018-03-01,0,299.7585144042969,299.7585144042969,0.9561572670936584,22,STANDARD
16,16,0.0,R_A2,1670.015869140625,30,2018-03-01,0,299.9019470214844,299.9019470214844,0.9800096750259399,22,STANDARD
16,17,-4.568838196661318e-09,R_A2,1673.80908203125,29,2018-03-01,0,300.0226135253906,300.0226135253906,0.9999999403953552,22,STANDARD
17,18,0.0,R_A2,1675.990234375,29,2018-03-01,0,300.1689147949219,300.1689147949219,0.9999931454658508,22,STANDARD
18,19,-2.818472344401357e-09,R_A2,1677.5626220703125,29,2018-03-01,0,300.2744140625,300.2744140625,0.9999999403953552,22,STANDARD
27,20,-1.8448350062627876e-15,R_A2,1678.902587890625,29,2018-03-01,0,303.31268310546875,303.31268310546875,1.0,22,STANDARD
28,21,-2.1689486298140688e-17,R_A2,1680.618896484375,29,2018-03-01,0,303.6036376953125,303.6036376953125,1.0,22,STANDARD
29,22,-3.350838144305095e-18,R_A2,1682.3353271484375,29,2018-03-01,0,303.818603515625,303.818603515625,1.0,22,STANDARD
30,23,-6.40653387750366e-20,R_A2,1684.0516357421875,29,2018-03-01,0,303.9942626953125,303.9942626953125,1.0,22,STANDARD
31,24,-3.162089500118028e-20,R_A2,1685.7679443359375,29,2018-03-01,0,304.16815185546875,304.16815185546875,1.0,22,STANDARD
1,1,-1.1078125806155076e-15,R_A5,1684.3292236328125,20,2018-04-28,0,278.9296875,278.9296875,1.0,31,STANDARD
2,2,-1.1429304607295525e-15,R_A5,1686.5216064453125,20,2018-04-28,0,279.13720703125,279.13720703125,1.0,31,STANDARD
3,3,-1.2074344548826908e-15,R_A5,1688.7139892578125,20,2018-04-28,0,279.34478759765625,279.34478759765625,1.0,31,STANDARD
4,4,-1.2105533360735996e-15,R_A5,1690.9063720703125,20,2018-04-28,0,279.5523681640625,279.5523681640625,1.0,31,STANDARD
5,5,-1.0190171638427736e-15,R_A5,1693.0987548828125,20,2018-04-28,0,279.7599792480469,279.7599792480469,1.0,31,STANDARD
6,6,-9.458400817053433e-16,R_A5,1695.2911376953125,20,2018-04-28,0,279.9676513671875,279.9676513671875,1.0,31,STANDARD
7,7,-5.974722669338375e-18,R_A5,1697.4835205078125,20,2018-04-28,0,280.4911193847656,280.4911193847656,1.0,31,STANDARD
11,8,-1.5189710383597954e-12,R_A5,1706.1617431640625,20,2018-04-28,0,280.82928466796875,280.82928466796875,1.0,31,STANDARD
12,9,-2.608466775910756e-09,R_A5,1703.49755859375,21,2018-04-28,0,279.3297119140625,279.3297119140625,0.9999999403953552,31,STANDARD
13,10,-1.33273683755597e-10,R_A5,1705.44189453125,21,2018-04-28,0,279.52703857421875,279.52703857421875,1.0,31,STANDARD
14,11,-1.6894283194623938e-10,R_A5,1707.38623046875,21,2018-04-28,0,279.71246337890625,279.71246337890625,1.0,31,STANDARD
15,12,-5.08532382870186e-11,R_A5,1709.33056640625,21,2018-04-28,0,279.8974914550781,279.8974914550781,1.0,31,STANDARD
16,13,-8.411528418239556e-12,R_A5,1711.27490234375,21,2018-04-28,0,280.23175048828125,280.23175048828125,1.0,31,STANDARD
17,14,-1.0945868343659182e-11,R_A5,1713.21923828125,21,2018-04-28,0,280.4214172363281,280.4214172363281,1.0,31,STANDARD
18,15,-1.4094731458358378e-11,R_A5,1714.82373046875,21,2018-04-28,0,280.5746154785156,280.5746154785156,1.0,31,STANDARD
27,16,-2.349800735934604e-11,R_A5,1716.7071533203125,21,2018-04-28,0,289.5719909667969,289.5719909667969,1.0,31,STANDARD
28,17,-3.469709589087877e-11,R_A5,1718.9755859375,21,2018-04-28,0,289.8273620605469,289.8273620605469,1.0,31,STANDARD
29,18,-1.70232248436486e-11,R_A5,1721.2440185546875,21,2018-04-28,0,290.6457824707031,290.6457824707031,1.0,31,STANDARD
30,19,-1.1340661211761e-13,R_A5,1723.512451171875,21,2018-04-28,0,294.7397155761719,294.7397155761719,1.0,31,STANDARD
31,20,2.3517841656374822e-17,R_A5,1725.7808837890625,21,2018-04-28,0,303.7376403808594,303.7376403808594,1.0,31,STANDARD
1,1,0.0,R_A3,1607.3372802734375,41,2018-07-03,0,280.73492431640625,280.73492431640625,0.22598183155059814,28,STANDARD
2,2,0.0,R_A3,1609.3201904296875,41,2018-07-03,0,280.8671875,280.8671875,0.19495396316051483,28,STANDARD
3,3,0.0,R_A3,1611.302978515625,41,2018-07-03,0,280.9992980957031,280.9992980957031,0.1185322180390358,28,STANDARD
