PRESSURE,CONKPOS,SWAT,DATE,CONIDX,WELLMODEL,CONIPOS,CONJPOS,CONBPRES,WELL,SGAS,DRAWDOWN,DEPTH
303.26055908203125,18,1.0,2018-01-01,19,STANDARD,22,29,303.26055908203125,R_A2,0.0,0,1677.210693359375
303.57342529296875,28,1.0,2018-01-01,20,STANDARD,22,29,303.57342529296875,R_A2,0.0,0,1678.9434814453125
303.736572265625,29,1.0,2018-01-01,21,STANDARD,22,29,303.736572265625,R_A2,0.0,0,1680.6649169921875
303.8996887207031,30,1.0,2018-01-01,22,STANDARD,22,29,303.8996887207031,R_A2,0.0,0,1682.386474609375
304.06280517578125,31,1.0,2018-01-01,23,STANDARD,22,29,304.06280517578125,R_A2,0.0,0,1684.10791015625
304.2259521484375,32,1.0,2018-01-01,24,STANDARD,22,29,304.2259521484375,R_A2,0.0,0,1685.829345703125
298.6166076660156,1,0.6481541991233826,2018-01-01,1,STANDARD,28,41,298.6166076660156,R_A3,0.0,0,1611.585205078125
298.7562255859375,2,0.20175504684448242,2018-01-01,2,STANDARD,28,41,298.7562255859375,R_A3,0.0,0,1613.6685791015625
298.8958435058594,3,0.3136577308177948,2018-01-01,3,STANDARD,28,41,298.8958435058594,R_A3,0.0,0,1615.751953125
299.0354919433594,4,0.248945415019989,2018-01-01,4,STANDARD,28,41,299.0354919433594,R_A3,0.0,0,1617.8353271484375
299.1751403808594,5,0.8334567546844482,2018-01-01,5,STANDARD,28,41,299.1751403808594,R_A3,0.0,0,1619.918701171875
299.31475830078125,6,0.3553806245326996,2018-01-01,6,STANDARD,28,41,299.31475830078125,R_A3,0.0,0,1622.0020751953125
298.5943298339844,6,0.34276899695396423,2018-01-01,7,STANDARD,29,41,298.5943298339844,R_A3,0.0,0,1611.2529296875
298.7287902832031,7,0.1997450888156891,2018-01-01,8,STANDARD,29,41,298.7287902832031,R_A3,0.0,0,1613.2593994140625
298.86328125,8,0.2027139514684677,2018-01-01,9,STANDARD,29,41,298.86328125,R_A3,0.0,0,1615.265869140625
298.99774169921875,9,0.6481541991233826,2018-01-01,10,STANDARD,29,41,298.99774169921875,R_A3,0.0,0,1617.272216796875
299.1322326660156,10,0.8151077628135681,2018-01-01,11,STANDARD,29,41,299.1322326660156,R_A3,0.0,0,1619.2786865234375
299.2723388671875,11,0.048924386501312256,2018-01-01,12,STANDARD,29,41,299.2723388671875,R_A3,0.0,0,1621.3687744140625
299.41802978515625,12,0.056484028697013855,2018-01-01,13,STANDARD,29,41,299.41802978515625,R_A3,0.0,0,1623.54248046875
299.5637512207031,13,0.38082167506217957,2018-01-01,14,STANDARD,29,41,299.5637512207031,R_A3,0.0,0,1625.7161865234375
299.7094421386719,14,0.38891515135765076,2018-01-01,15,STANDARD,29,41,299.7094421386719,R_A3,0.0,0,1627.889892578125
299.84844970703125,15,0.5194420218467712,2018-01-01,16,STANDARD,29,41,299.84844970703125,R_A3,0.0,0,1629.9632568359375
299.95831298828125,16,0.8197684288024902,2018-01-01,17,STANDARD,29,41,299.95831298828125,R_A3,0.0,0,1631.6019287109375
300.11474609375,28,0.6481541991233826,2018-01-01,18,STANDARD,29,41,300.11474609375,R_A3,0.0,0,1633.935546875
300.3402404785156,29,0.04676926136016846,2018-01-01,19,STANDARD,29,41,300.3402404785156,R_A3,0.0,0,1637.2987060546875
300.56573486328125,30,0.15504129230976105,2018-01-01,20,STANDARD,29,41,300.56573486328125,R_A3,0.0,0,1640.6617431640625
300.7912292480469,31,0.6481541991233826,2018-01-01,21,STANDARD,29,41,300.7912292480469,R_A3,0.0,0,1644.02490234375
301.0167541503906,32,0.06490418314933777,2018-01-01,22,STANDARD,29,41,301.0167541503906,R_A3,0.0,0,1647.387939453125
299.9561767578125,1,0.05313623324036598,2018-01-01,1,STANDARD,30,52,299.9561767578125,R_A4,0.0,0,1631.5704345703125
299.65203857421875,1,0.05067839473485947,2018-01-01,2,STANDARD,31,52,299.65203857421875,R_A4,0.0,0,1627.033447265625
299.7922058105469,2,0.052897192537784576,2018-01-01,3,STANDARD,31,52,299.7922058105469,R_A4,0.0,0,1629.124267578125
299.932373046875,3,0.055264025926589966,2018-01-01,4,STANDARD,31,52,299.932373046875,R_A4,0.0,0,1631.215087890625
300.0725402832031,4,0.056845083832740784,2018-01-01,5,STANDARD,31,52,300.0725402832031,R_A4,0.0,0,1633.305908203125
300.21270751953125,5,0.062188681215047836,2018-01-01,6,STANDARD,31,52,300.21270751953125,R_A4,0.0,0,1635.396728515625
300.109375,5,0.05957761034369469,2018-01-01,7,STANDARD,32,52,300.109375,R_A4,0.0,0,1633.85546875
300.3370056152344,5,0.10696183890104294,2018-01-01,8,STANDARD,32,51,300.3370056152344,R_A4,0.0,0,1637.25048828125
300.2164001464844,4,0.05995933338999748,2018-01-01,9,STANDARD,32,51,300.2164001464844,R_A4,0.0,0,1635.4517822265625
300.3495788574219,4,0.060876715928316116,2018-01-01,10,STANDARD,33,51,300.3495788574219,R_A4,0.0,0,1637.438232421875
300.2282409667969,3,0.060161467641592026,2018-01-01,11,STANDARD,33,51,300.2282409667969,R_A4,0.0,0,1635.62841796875
300.6668395996094,4,0.06636038422584534,2018-01-01,12,STANDARD,33,50,300.6668395996094,R_A4,0.0,0,1642.169677734375
300.5390930175781,4,0.17301282286643982,2018-01-01,13,STANDARD,34,50,300.5390930175781,R_A4,0.0,0,1640.2646484375
300.4093933105469,3,0.16728663444519043,2018-01-01,14,STANDARD,34,50,300.4093933105469,R_A4,0.0,0,1638.330078125
300.64361572265625,3,0.2756219506263733,2018-01-01,15,STANDARD,35,50,300.64361572265625,R_A4,0.0,0,1641.8233642578125
300.73651123046875,3,0.22002889215946198,2018-01-01,16,STANDARD,35,49,300.73651123046875,R_A4,0.0,0,1643.2086181640625
300.60711669921875,2,0.24680066108703613,2018-01-01,17,STANDARD,35,49,300.60711669921875,R_A4,0.0,0,1641.2791748046875
300.727294921875,31,0.18943385779857635,2018-01-01,18,STANDARD,36,49,300.727294921875,R_A4,0.0,0,1643.0714111328125
300.5588073730469,31,0.18718549609184265,2018-01-01,19,STANDARD,36,48,300.5588073730469,R_A4,0.0,0,1640.5587158203125
300.91119384765625,31,0.6481541991233826,2018-01-01,20,STANDARD,37,48,300.91119384765625,R_A4,0.0,0,1645.8140869140625
301.41265869140625,31,0.1971830278635025,2018-01-01,21,STANDARD,38,48,301.41265869140625,R_A4,0.0,0,1653.2918701171875
301.7833251953125,31,0.3612872064113617,2018-01-01,22,STANDARD,38,47,301.7833251953125,R_A4,0.0,0,1658.8182373046875
301.3992614746094,30,0.06884818524122238,2018-01-01,23,STANDARD,38,47,301.3992614746094,R_A4,0.0,0,1653.0921630859375
304.27117919921875,1,1.0,2018-01-01,1,STANDARD,31,20,304.27117919921875,R_A5,0.0,0,1686.306640625
304.5111999511719,2,1.0,2018-01-01,2,STANDARD,31,20,304.5111999511719,R_A5,0.0,0,1688.83935546875
304.4521484375,3,1.0,2018-01-01,3,STANDARD,31,20,304.4521484375,R_A5,0.0,0,1691.3720703125
304.6854248046875,4,1.0,2018-01-01,4,STANDARD,31,20,304.6854248046875,R_A5,0.0,0,1693.90478515625
304.9254455566406,5,1.0,2018-01-01,5,STANDARD,31,20,304.9254455566406,R_A5,0.0,0,1696.4375
305.16546630859375,6,1.0,2018-01-01,6,STANDARD,31,20,305.16546630859375,R_A5,0.0,0,1698.9703369140625
305.7112731933594,7,1.0,2018-01-01,7,STANDARD,31,20,305.7112731933594,R_A5,0.0,0,1701.5030517578125
306.3356018066406,11,1.0,2018-01-01,8,STANDARD,31,20,306.3356018066406,R_A5,0.0,0,1711.316162109375
304.9798583984375,11,1.0,2018-01-01,9,STANDARD,31,21,304.9798583984375,R_A5,0.0,0,1697.010498046875
305.3406677246094,13,1.0,2018-01-01,10,STANDARD,31,21,305.3406677246094,R_A5,0.0,0,1700.8177490234375
305.53302001953125,14,1.0,2018-01-01,11,STANDARD,31,21,305.53302001953125,R_A5,0.0,0,1702.7213134765625
305.71343994140625,15,1.0,2018-01-01,12,STANDARD,31,21,305.71343994140625,R_A5,0.0,0,1704.625
305.89385986328125,16,1.0,2018-01-01,13,STANDARD,31,21,305.89385986328125,R_A5,0.0,0,1706.528564453125
306.2192687988281,17,1.0,2018-01-01,14,STANDARD,31,21,306.2192687988281,R_A5,0.0,0,1708.4322509765625
306.3996887207031,18,1.0,2018-01-01,15,STANDARD,31,21,306.3996887207031,R_A5,0.0,0,1710.3358154296875
306.5547790527344,19,1.0,2018-01-01,16,STANDARD,31,21,306.5547790527344,R_A5,0.0,0,1711.972412109375
306.6371765136719,20,1.0,2018-01-01,17,STANDARD,31,21,306.6371765136719,R_A5,0.0,0,1712.8416748046875
306.6161193847656,28,1.0,2018-01-01,18,STANDARD,31,21,306.6161193847656,R_A5,0.0,0,1714.277099609375
306.8532409667969,29,1.0,2018-01-01,19,STANDARD,31,21,306.8532409667969,R_A5,0.0,0,1716.779296875
307.39617919921875,30,1.0,2018-01-01,20,STANDARD,31,21,307.39617919921875,R_A5,0.0,0,1719.281494140625
307.6333312988281,31,1.0,2018-01-01,21,STANDARD,31,21,307.6333312988281,R_A5,0.0,0,1721.78369140625
307.8704833984375,32,1.0,2018-01-01,22,STANDARD,31,21,307.8704833984375,R_A5,0.0,0,1724.285888671875
305.1890563964844,1,1.0,2018-01-01,1,STANDARD,17,42,305.1890563964844,R_A6,0.0,0,1695.9925537109375
305.3379821777344,2,1.0,2018-01-01,2,STANDARD,17,42,305.3379821777344,R_A6,0.0,0,1697.56396484375
305.48687744140625,3,1.0,2018-01-01,3,STANDARD,17,42,305.48687744140625,R_A6,0.0,0,1699.13525390625
305.63580322265625,4,1.0,2018-01-01,4,STANDARD,17,42,305.63580322265625,R_A6,0.0,0,1700.7066650390625
305.78472900390625,5,1.0,2018-01-01,5,STANDARD,17,42,305.78472900390625,R_A6,0.0,0,1702.278076171875
305.93365478515625,6,1.0,2018-01-01,6,STANDARD,17,42,305.93365478515625,R_A6,0.0,0,1703.8494873046875
305.78350830078125,7,1.0,2018-01-01,7,STANDARD,17,42,305.78350830078125,R_A6,0.0,0,1705.4208984375
306.23150634765625,8,1.0,2018-01-01,8,STANDARD,17,42,306.23150634765625,R_A6,0.0,0,1706.9923095703125
306.3804016113281,9,1.0,2018-01-01,9,STANDARD,17,42,306.3804016113281,R_A6,0.0,0,1708.5635986328125
306.2235412597656,10,1.0,2018-01-01,10,STANDARD,17,42,306.2235412597656,R_A6,0.0,0,1710.135009765625
306.4072265625,11,1.0,2018-01-01,11,STANDARD,17,42,306.4072265625,R_A6,0.0,0,1712.0718994140625
306.62542724609375,12,1.0,2018-01-01,12,STANDARD,17,42,306.62542724609375,R_A6,0.0,0,1714.374267578125
306.8555908203125,13,1.0,2018-01-01,13,STANDARD,17,42,306.8555908203125,R_A6,0.0,0,1716.676513671875
307.07379150390625,14,1.0,2018-01-01,14,STANDARD,17,42,307.07379150390625,R_A6,0.0,0,1718.9788818359375
307.2919921875,15,1.0,2018-01-01,15,STANDARD,17,42,307.2919921875,R_A6,0.0,0,1721.28125
307.65521240234375,16,1.0,2018-01-01,16,STANDARD,17,42,307.65521240234375,R_A6,0.0,0,1723.58349609375
307.8734436035156,17,1.0,2018-01-01,17,STANDARD,17,42,307.8734436035156,R_A6,0.0,0,1725.8858642578125
308.03521728515625,18,1.0,2018-01-01,18,STANDARD,17,42,308.03521728515625,R_A6,0.0,0,1727.5926513671875
308.0139465332031,28,1.0,2018-01-01,19,STANDARD,17,42,308.0139465332031,R_A6,0.0,0,1729.0260009765625
