CONKPOS,WELLMODEL,SGAS,CONJPOS,SWAT,CONBPRES,CONIDX,CONIPOS,PRESSURE,WELL,DRAWDOWN,DATE,DEPTH
5,STANDARD,0.0,41,0.804581344127655,298.59521484375,6,29,298.59521484375,R_A3,0,2018-01-01,1608.156982421875
6,STANDARD,0.0,41,0.17573077976703644,298.73223876953125,7,29,298.73223876953125,R_A3,0,2018-01-01,1610.2017822265625
7,STANDARD,0.0,41,0.19304035604000092,298.8692932128906,8,29,298.8692932128906,R_A3,0,2018-01-01,1612.24658203125
8,STANDARD,0.0,41,0.19336403906345367,299.00634765625,9,29,299.00634765625,R_A3,0,2018-01-01,1614.291259765625
9,STANDARD,0.0,41,0.7906372547149658,299.1434020996094,10,29,299.1434020996094,R_A3,0,2018-01-01,1616.3360595703125
10,STANDARD,0.0,41,0.7901976704597473,299.28045654296875,11,29,299.28045654296875,R_A3,0,2018-01-01,1618.380859375
11,STANDARD,0.0,41,0.04891157150268555,299.42620849609375,12,29,299.42620849609375,R_A3,0,2018-01-01,1620.55517578125
12,STANDARD,0.0,41,0.05368626490235329,299.5806579589844,13,29,299.5806579589844,R_A3,0,2018-01-01,1622.859375
13,STANDARD,0.0,41,0.3641706109046936,299.735107421875,14,29,299.735107421875,R_A3,0,2018-01-01,1625.163330078125
15,STANDARD,0.0,41,0.601466715335846,300.0440368652344,15,29,300.0440368652344,R_A3,0,2018-01-01,1629.771484375
16,STANDARD,0.0,41,0.7999281287193298,300.1575927734375,16,29,300.1575927734375,R_A3,0,2018-01-01,1631.46533203125
25,STANDARD,0.0,41,0.3710189759731293,300.3112487792969,17,29,300.3112487792969,R_A3,0,2018-01-01,1633.7574462890625
26,STANDARD,0.0,41,0.04355325549840927,300.54595947265625,18,29,300.54595947265625,R_A3,0,2018-01-01,1637.258056640625
27,STANDARD,0.0,41,0.05025650933384895,300.78070068359375,19,29,300.78070068359375,R_A3,0,2018-01-01,1640.7586669921875
28,STANDARD,0.0,41,0.6481541991233826,301.01544189453125,20,29,301.01544189453125,R_A3,0,2018-01-01,1644.2593994140625
29,STANDARD,0.0,41,0.06001950800418854,301.25018310546875,21,29,301.25018310546875,R_A3,0,2018-01-01,1647.760009765625
1,STANDARD,0.0,52,0.1944907307624817,300.2625427246094,1,30,300.2625427246094,R_A4,0,2018-01-01,1633.0308837890625
1,STANDARD,0.0,52,0.6481541991233826,299.8367919921875,2,31,299.8367919921875,R_A4,0,2018-01-01,1626.6802978515625
2,STANDARD,0.0,52,0.23852726817131042,299.9772644042969,3,31,299.9772644042969,R_A4,0,2018-01-01,1628.7757568359375
3,STANDARD,0.0,52,0.08843844383955002,300.11773681640625,4,31,300.11773681640625,R_A4,0,2018-01-01,1630.87109375
4,STANDARD,0.0,52,0.05295057222247124,300.25823974609375,5,31,300.25823974609375,R_A4,0,2018-01-01,1632.966552734375
5,STANDARD,0.0,52,0.19788981974124908,300.3987121582031,6,31,300.3987121582031,R_A4,0,2018-01-01,1635.06201171875
5,STANDARD,0.0,52,0.2839491665363312,300.31524658203125,7,32,300.31524658203125,R_A4,0,2018-01-01,1633.8167724609375
4,STANDARD,0.0,52,0.05332586541771889,300.18902587890625,8,32,300.18902587890625,R_A4,0,2018-01-01,1631.934326171875
4,STANDARD,0.0,51,0.05572747066617012,300.4643859863281,9,32,300.4643859863281,R_A4,0,2018-01-01,1636.04150390625
4,STANDARD,0.0,51,0.056310977786779404,300.5369873046875,10,33,300.5369873046875,R_A4,0,2018-01-01,1637.1239013671875
3,STANDARD,0.0,51,0.08394418656826019,300.40875244140625,11,33,300.40875244140625,R_A4,0,2018-01-01,1635.2117919921875
4,STANDARD,0.0,50,0.058912597596645355,300.8832702636719,12,33,300.8832702636719,R_A4,0,2018-01-01,1642.2882080078125
4,STANDARD,0.0,50,0.05934977903962135,300.7515563964844,13,34,300.7515563964844,R_A4,0,2018-01-01,1640.323974609375
3,STANDARD,0.0,50,0.17640157043933868,300.6248779296875,14,34,300.6248779296875,R_A4,0,2018-01-01,1638.43505859375
3,STANDARD,0.0,50,0.22381827235221863,300.6073913574219,15,35,300.6073913574219,R_A4,0,2018-01-01,1638.1741943359375
3,STANDARD,0.0,49,0.2321223020553589,301.00958251953125,16,35,301.00958251953125,R_A4,0,2018-01-01,1644.172119140625
28,STANDARD,0.0,49,0.05513113737106323,300.9880065917969,17,36,300.9880065917969,R_A4,0,2018-01-01,1643.8502197265625
28,STANDARD,0.0,48,0.05396844819188118,301.05987548828125,18,36,301.05987548828125,R_A4,0,2018-01-01,1644.9219970703125
28,STANDARD,0.0,48,0.24704483151435852,301.3813781738281,19,37,301.3813781738281,R_A4,0,2018-01-01,1649.7161865234375
27,STANDARD,0.0,48,0.05277172848582268,301.0074157714844,20,37,301.0074157714844,R_A4,0,2018-01-01,1644.139892578125
27,STANDARD,0.0,48,0.05596297234296799,301.3054504394531,21,38,301.3054504394531,R_A4,0,2018-01-01,1648.583984375
27,STANDARD,0.0,47,0.06699953973293304,301.9919738769531,22,38,301.9919738769531,R_A4,0,2018-01-01,1658.8201904296875
1,STANDARD,0.0,20,1.0,303.898193359375,1,31,303.898193359375,R_A5,0,2018-01-01,1685.5975341796875
2,STANDARD,0.0,20,1.0,304.09197998046875,2,31,304.09197998046875,R_A5,0,2018-01-01,1687.642578125
3,STANDARD,0.0,20,1.0,304.2857971191406,3,31,304.2857971191406,R_A5,0,2018-01-01,1689.6876220703125
4,STANDARD,0.0,20,1.0,304.4795837402344,4,31,304.4795837402344,R_A5,0,2018-01-01,1691.7327880859375
5,STANDARD,0.0,20,1.0,304.67340087890625,5,31,304.67340087890625,R_A5,0,2018-01-01,1693.77783203125
6,STANDARD,0.0,20,1.0,304.8671875,6,31,304.8671875,R_A5,0,2018-01-01,1695.8228759765625
7,STANDARD,0.0,20,1.0,305.3667907714844,7,31,305.3667907714844,R_A5,0,2018-01-01,1697.867919921875
8,STANDARD,0.0,20,1.0,305.56060791015625,8,31,305.56060791015625,R_A5,0,2018-01-01,1699.9129638671875
9,STANDARD,0.0,21,1.0,305.2679443359375,9,31,305.2679443359375,R_A5,0,2018-01-01,1696.8248291015625
11,STANDARD,0.0,21,1.0,305.38385009765625,10,31,305.38385009765625,R_A5,0,2018-01-01,1701.2734375
12,STANDARD,0.0,21,1.0,305.57647705078125,11,31,305.57647705078125,R_A5,0,2018-01-01,1703.305908203125
13,STANDARD,0.0,21,1.0,305.78106689453125,12,31,305.78106689453125,R_A5,0,2018-01-01,1705.33837890625
14,STANDARD,0.0,21,1.0,305.97369384765625,13,31,305.97369384765625,R_A5,0,2018-01-01,1707.3709716796875
15,STANDARD,0.0,21,1.0,306.16632080078125,14,31,306.16632080078125,R_A5,0,2018-01-01,1709.403564453125
16,STANDARD,0.0,21,1.0,306.5039367675781,15,31,306.5039367675781,R_A5,0,2018-01-01,1711.43603515625
17,STANDARD,0.0,21,1.0,306.6915283203125,16,31,306.6915283203125,R_A5,0,2018-01-01,1713.415283203125
18,STANDARD,0.0,21,1.0,306.80712890625,17,31,306.80712890625,R_A5,0,2018-01-01,1714.635009765625
25,STANDARD,0.0,21,1.0,306.77862548828125,18,31,306.77862548828125,R_A5,0,2018-01-01,1715.991943359375
26,STANDARD,0.0,21,1.0,306.9855041503906,19,31,306.9855041503906,R_A5,0,2018-01-01,1718.1748046875
27,STANDARD,0.0,21,1.0,307.4981994628906,20,31,307.4981994628906,R_A5,0,2018-01-01,1720.3577880859375
28,STANDARD,0.0,21,1.0,307.705078125,21,31,307.705078125,R_A5,0,2018-01-01,1722.540771484375
29,STANDARD,0.0,21,1.0,307.9119567871094,22,31,307.9119567871094,R_A5,0,2018-01-01,1724.7236328125
1,STANDARD,0.0,42,1.0,305.0248107910156,1,17,305.0248107910156,R_A6,0,2018-01-01,1694.2593994140625
2,STANDARD,0.0,42,1.0,305.17022705078125,2,17,305.17022705078125,R_A6,0,2018-01-01,1695.7939453125
3,STANDARD,0.0,42,1.0,305.315673828125,3,17,305.315673828125,R_A6,0,2018-01-01,1697.3284912109375
4,STANDARD,0.0,42,1.0,305.4610900878906,4,17,305.4610900878906,R_A6,0,2018-01-01,1698.8631591796875
5,STANDARD,0.0,42,1.0,305.6065368652344,5,17,305.6065368652344,R_A6,0,2018-01-01,1700.397705078125
6,STANDARD,0.0,42,1.0,305.4529113769531,6,17,305.4529113769531,R_A6,0,2018-01-01,1701.932373046875
7,STANDARD,0.0,42,1.0,305.59832763671875,7,17,305.59832763671875,R_A6,0,2018-01-01,1703.4669189453125
8,STANDARD,0.0,42,1.0,305.7437744140625,8,17,305.7437744140625,R_A6,0,2018-01-01,1705.00146484375
9,STANDARD,0.0,42,1.0,306.1882629394531,9,17,306.1882629394531,R_A6,0,2018-01-01,1706.5360107421875
10,STANDARD,0.0,42,1.0,306.33367919921875,10,17,306.33367919921875,R_A6,0,2018-01-01,1708.070556640625
11,STANDARD,0.0,42,1.0,306.20965576171875,11,17,306.20965576171875,R_A6,0,2018-01-01,1709.987060546875
12,STANDARD,0.0,42,1.0,306.427490234375,12,17,306.427490234375,R_A6,0,2018-01-01,1712.2855224609375
