SGAS,CONIPOS,CONKPOS,SWAT,PRESSURE,WELLMODEL,CONIDX,CONBPRES,CONJPOS,WELL,DATE,DEPTH,DRAWDOWN
0.0,22,18,0.9538680911064148,303.0186767578125,STANDARD,18,303.0186767578125,30,R_A2,2018-01-01,1674.013671875,0
0.0,22,27,0.6481541991233826,303.1309509277344,STANDARD,19,303.1309509277344,30,R_A2,2018-01-01,1675.687255859375,0
0.0,22,28,1.0,303.2489318847656,STANDARD,20,303.2489318847656,30,R_A2,2018-01-01,1677.445556640625,0
0.0,22,28,0.8400021195411682,303.336181640625,STANDARD,21,303.336181640625,29,R_A2,2018-01-01,1678.7459716796875,0
0.0,22,29,0.6481541991233826,303.4574279785156,STANDARD,22,303.4574279785156,29,R_A2,2018-01-01,1680.552978515625,0
0.0,22,30,1.0,303.8971862792969,STANDARD,23,303.8971862792969,29,R_A2,2018-01-01,1682.360107421875,0
0.0,22,31,1.0,304.0684509277344,STANDARD,24,304.0684509277344,29,R_A2,2018-01-01,1684.167236328125,0
0.0,28,1,0.6481541991233826,298.7698974609375,STANDARD,1,298.7698974609375,41,R_A3,2018-01-01,1610.65234375,0
0.0,28,2,0.11823459714651108,298.9083251953125,STANDARD,2,298.9083251953125,41,R_A3,2018-01-01,1612.7174072265625,0
0.0,29,2,0.13905349373817444,298.0446472167969,STANDARD,3,298.0446472167969,41,R_A3,2018-01-01,1599.830078125,0
0.0,29,3,0.11823459714651108,298.1902160644531,STANDARD,4,298.1902160644531,41,R_A3,2018-01-01,1602.00244140625,0
0.0,29,4,0.16824236512184143,298.3358154296875,STANDARD,5,298.3358154296875,41,R_A3,2018-01-01,1604.1749267578125,0
0.0,29,5,0.7959964871406555,298.48138427734375,STANDARD,6,298.48138427734375,41,R_A3,2018-01-01,1606.3472900390625,0
0.0,29,6,0.6481541991233826,298.6269836425781,STANDARD,7,298.6269836425781,41,R_A3,2018-01-01,1608.519775390625,0
0.0,29,7,0.1936154067516327,298.7725830078125,STANDARD,8,298.7725830078125,41,R_A3,2018-01-01,1610.692138671875,0
0.0,29,8,0.1927543431520462,298.9181823730469,STANDARD,9,298.9181823730469,41,R_A3,2018-01-01,1612.8646240234375,0
0.0,29,9,0.7958629727363586,299.06378173828125,STANDARD,10,299.06378173828125,41,R_A3,2018-01-01,1615.0369873046875,0
0.0,29,10,0.27994221448898315,299.2093811035156,STANDARD,11,299.2093811035156,41,R_A3,2018-01-01,1617.20947265625,0
0.0,29,11,0.04677097871899605,299.35906982421875,STANDARD,12,299.35906982421875,41,R_A3,2018-01-01,1619.4425048828125,0
0.0,29,12,0.05292666330933571,299.5128173828125,STANDARD,13,299.5128173828125,41,R_A3,2018-01-01,1621.736328125,0
0.0,29,13,0.3666347563266754,299.6665954589844,STANDARD,14,299.6665954589844,41,R_A3,2018-01-01,1624.030029296875,0
0.0,29,14,0.2230851948261261,299.82037353515625,STANDARD,15,299.82037353515625,41,R_A3,2018-01-01,1626.3238525390625,0
0.0,29,15,0.49607646465301514,299.97412109375,STANDARD,16,299.97412109375,41,R_A3,2018-01-01,1628.61767578125,0
0.0,29,16,0.7973490953445435,300.12054443359375,STANDARD,17,300.12054443359375,41,R_A3,2018-01-01,1630.801513671875,0
0.0,29,17,0.7843818068504333,300.198486328125,STANDARD,18,300.198486328125,41,R_A3,2018-01-01,1631.9638671875,0
0.0,29,27,0.18785443902015686,300.3329162597656,STANDARD,19,300.3329162597656,41,R_A3,2018-01-01,1633.9691162109375,0
0.0,29,28,0.04273837432265282,300.5849914550781,STANDARD,20,300.5849914550781,41,R_A3,2018-01-01,1637.7288818359375,0
0.0,29,29,0.04593503102660179,300.83709716796875,STANDARD,21,300.83709716796875,41,R_A3,2018-01-01,1641.488525390625,0
0.0,29,30,0.6481541991233826,301.0892028808594,STANDARD,22,301.0892028808594,41,R_A3,2018-01-01,1645.2481689453125,0
0.0,29,31,0.05845806002616882,301.3413391113281,STANDARD,23,301.3413391113281,41,R_A3,2018-01-01,1649.0078125,0
0.0,30,1,0.049662888050079346,300.08746337890625,STANDARD,1,300.08746337890625,52,R_A4,2018-01-01,1630.30810546875,0
0.0,31,1,0.0470363087952137,299.80267333984375,STANDARD,2,299.80267333984375,52,R_A4,2018-01-01,1626.0599365234375,0
0.0,31,2,0.04813188314437866,299.94036865234375,STANDARD,3,299.94036865234375,52,R_A4,2018-01-01,1628.114013671875,0
0.0,31,3,0.04823986440896988,300.0780944824219,STANDARD,4,300.0780944824219,52,R_A4,2018-01-01,1630.168212890625,0
0.0,31,4,0.05139100179076195,300.2157897949219,STANDARD,5,300.2157897949219,52,R_A4,2018-01-01,1632.2222900390625,0
0.0,31,5,0.052402496337890625,300.353515625,STANDARD,6,300.353515625,52,R_A4,2018-01-01,1634.2763671875,0
0.0,32,5,0.05346354469656944,300.27093505859375,STANDARD,7,300.27093505859375,52,R_A4,2018-01-01,1633.0445556640625,0
0.0,32,5,0.05510398745536804,300.5149230957031,STANDARD,8,300.5149230957031,51,R_A4,2018-01-01,1636.683837890625,0
0.0,33,5,0.05752090364694595,300.67083740234375,STANDARD,9,300.67083740234375,51,R_A4,2018-01-01,1639.00927734375,0
0.0,33,4,0.055411215871572495,300.548828125,STANDARD,10,300.548828125,51,R_A4,2018-01-01,1637.1895751953125,0
0.0,33,3,0.05710294097661972,300.42681884765625,STANDARD,11,300.42681884765625,51,R_A4,2018-01-01,1635.369873046875,0
0.0,33,3,0.06047136336565018,300.9075012207031,STANDARD,12,300.9075012207031,50,R_A4,2018-01-01,1642.5384521484375,0
0.0,34,3,0.058869194239377975,300.7848205566406,STANDARD,13,300.7848205566406,50,R_A4,2018-01-01,1640.7091064453125,0
0.0,35,3,0.05786504969000816,300.7697448730469,STANDARD,14,300.7697448730469,50,R_A4,2018-01-01,1640.4842529296875,0
0.0,35,2,0.14902184903621674,300.6455993652344,STANDARD,15,300.6455993652344,50,R_A4,2018-01-01,1638.6328125,0
0.0,35,30,0.15892338752746582,300.7198486328125,STANDARD,16,300.7198486328125,49,R_A4,2018-01-01,1639.739990234375,0
0.0,36,30,0.08739297091960907,301.122314453125,STANDARD,17,301.122314453125,49,R_A4,2018-01-01,1645.74169921875,0
0.0,36,29,0.13351459801197052,300.7295837402344,STANDARD,18,300.7295837402344,49,R_A4,2018-01-01,1639.885009765625,0
0.0,36,29,0.1041782796382904,300.74554443359375,STANDARD,19,300.74554443359375,48,R_A4,2018-01-01,1640.123046875,0
0.0,37,29,0.2145034223794937,301.1376647949219,STANDARD,20,301.1376647949219,48,R_A4,2018-01-01,1645.9708251953125,0
0.0,38,29,0.05936054512858391,301.4459228515625,STANDARD,21,301.4459228515625,48,R_A4,2018-01-01,1650.5675048828125,0
0.0,38,29,0.06771398335695267,302.04156494140625,STANDARD,22,302.04156494140625,47,R_A4,2018-01-01,1659.4482421875,0
0.0,31,1,1.0,303.693115234375,STANDARD,1,303.693115234375,20,R_A5,2018-01-01,1683.433349609375,0
