X_UTME,Y_UTMN,Region
459206.39431843854,5930996.225066877,1.0
459281.1745922591,5930866.647580129,1.0
459356.05382546247,5930737.018389821,1.0
459430.87618035165,5930607.4316557925,1.0
459505.7131269609,5930477.885647103,1.0
459580.53082259645,5930348.387111844,1.0
459655.31878067815,5930218.97085783,1.0
459730.0720123439,5930089.640268594,1.0
459804.7921443243,5929960.319659194,1.0
459879.4867185329,5929831.019989983,1.0
459954.16863487253,5929701.769521511,1.0
460028.84954239824,5929572.471674609,1.0
460103.5290899393,5929443.105959835,1.0
460178.2019615858,5929313.766549439,1.0
460252.8627413173,5929184.508782177,1.0
460327.510294277,5929055.312509971,1.0
460402.1467568313,5928926.159655698,1.0
460476.78438755585,5928796.998485827,1.0
460551.4339036453,5928667.742911802,1.0
460626.0873454221,5928538.45164992,1.0
460700.7366929502,5928409.1861961605,1.0
460775.3870711096,5928279.909190038,1.0
460850.03840417083,5928150.61829601,1.0
460924.68849090324,5928021.33764778,1.0
460999.3386815567,5927892.064955576,1.0
461073.99098956585,5927762.79018888,1.0
461148.64431047166,5927633.502115267,1.0
461223.29780021776,5927504.2017224375,1.0
461297.9524960619,5927374.901063325,1.0
461372.6070435797,5927245.59704224,1.0
461447.2602874824,5927116.288566723,1.0
461521.91449025716,5926986.978436122,1.0
461596.5702101572,5926857.667858306,1.0
461671.22763756907,5926728.357780102,1.0
456427.1594503002,5936114.235965667,1.0
456502.5475591945,5935984.7080469,1.0
456577.9121637646,5935855.111072454,1.0
456653.0694095697,5935725.502199313,1.0
456728.3889620794,5935595.854488179,1.0
456803.80935664417,5935466.184518508,1.0
456879.2459929974,5935336.5181704,1.0
456954.49019793345,5935206.98156589,1.0
457029.58019578573,5935077.527887088,1.0
457104.88042244344,5934948.081304085,1.0
457179.5452356364,5934818.878645898,1.0
457253.24182266445,5934689.916247013,1.0
457326.96562799544,5934560.925273931,1.0
457401.0974682617,5934431.842672508,1.0
457475.4259308908,5934302.737709742,1.0
457549.81795672723,5934173.65546143,1.0
457623.9188645045,5934044.585664393,1.0
457697.99363912607,5933915.502084302,1.0
457772.46892611915,5933786.515892552,1.0
457847.0076618455,5933657.598720497,1.0
457921.3297922187,5933528.764243571,1.0
457995.52739823516,5933400.012718822,1.0
458069.49494079896,5933271.2462745225,1.0
458143.29846461414,5933142.390601416,1.0
458217.0775960084,5933013.234043822,1.0
458291.1538749352,5932883.578662906,1.0
458365.39056527213,5932754.030700056,1.0
458439.63624536816,5932624.792198274,1.0
458513.971587846,5932495.539617261,1.0
458588.2766292578,5932366.396772315,1.0
458662.8211572191,5932237.048679011,1.0
458737.0550024441,5932107.989744986,1.0
458811.4214743061,5931978.825028776,1.0
458886.16398653353,5931849.3046177095,1.0
458960.7478468035,5931719.9180372115,1.0
459035.87052811973,5931590.098403005,1.0
459111.02566701185,5931460.255797539,1.0
459185.9521765181,5931330.584021293,1.0
459260.94755954156,5931200.857606703,1.0
459335.7027100946,5931071.234066891,1.0
459410.45341697085,5930941.609517511,1.0
459485.2995075046,5930811.92193306,1.0
459560.1667146372,5930682.282332123,1.0
459635.1046632298,5930552.703273469,1.0
459709.99690880044,5930423.21629572,1.0
459784.8903300513,5930293.864544371,1.0
459859.70117771643,5930164.5297787385,1.0
459934.41454965016,5930035.103519343,1.0
460009.1312456606,5929905.739988062,1.0
460083.85575086874,5929776.478532288,1.0
460158.555114974,5929647.185392162,1.0
460233.23168500647,5929517.777267516,1.0
460307.91395126475,5929388.461489199,1.0
460382.6070708239,5929259.331018219,1.0
460457.28603446326,5929130.20294749,1.0
460531.95673099894,5929001.078396559,1.0
460606.62030875095,5928871.925284378,1.0
460681.2800715355,5928742.660788509,1.0
