DRAWDOWN,PRESSURE,SWAT,CONIDX,CONBPRES,SGAS,DATE,DEPTH,CONIPOS,WELL,WELLMODEL,CONJPOS,CONKPOS
0,307.0216979980469,1.0,15,307.0216979980469,0.0,2018-01-01,1718.4290771484375,17,R_A6,STANDARD,42,15
0,307.3817138671875,1.0,16,307.3817138671875,0.0,2018-01-01,1720.697509765625,17,R_A6,STANDARD,42,16
0,307.5967102050781,1.0,17,307.5967102050781,0.0,2018-01-01,1722.966064453125,17,R_A6,STANDARD,42,17
0,307.7431945800781,1.0,18,307.7431945800781,0.0,2018-01-01,1724.51171875,17,R_A6,STANDARD,42,18
0,307.70556640625,1.0,19,307.70556640625,0.0,2018-01-01,1725.772216796875,17,R_A6,STANDARD,42,26
0,308.1722717285156,1.0,20,308.1722717285156,0.0,2018-01-01,1727.47021484375,17,R_A6,STANDARD,42,27
0,308.3332214355469,1.0,21,308.3332214355469,0.0,2018-01-01,1729.1680908203125,17,R_A6,STANDARD,42,28
0,308.494140625,1.0,22,308.494140625,0.0,2018-01-01,1730.8660888671875,17,R_A6,STANDARD,42,29
0,308.3492736816406,1.0,23,308.3492736816406,0.0,2018-01-01,1732.56396484375,17,R_A6,STANDARD,42,30
0,297.9427185058594,0.05210591480135918,1,297.9427185058594,0.0,2018-03-01,1640.4937744140625,22,R_A2,STANDARD,30,1
0,298.0602111816406,0.05474238842725754,2,298.0602111816406,0.0,2018-03-01,1642.245849609375,22,R_A2,STANDARD,30,2
0,298.177734375,0.05739711597561836,3,298.177734375,0.0,2018-03-01,1643.9979248046875,22,R_A2,STANDARD,30,3
0,298.2952880859375,0.06324347853660583,4,298.2952880859375,0.0,2018-03-01,1645.7501220703125,22,R_A2,STANDARD,30,4
0,298.41278076171875,0.06581351906061172,5,298.41278076171875,0.0,2018-03-01,1647.502197265625,22,R_A2,STANDARD,30,5
0,298.58306884765625,0.3038179278373718,6,298.58306884765625,0.0,2018-03-01,1649.2542724609375,22,R_A2,STANDARD,30,6
0,298.7429504394531,0.8662198781967163,7,298.7429504394531,0.0,2018-03-01,1651.00634765625,22,R_A2,STANDARD,30,7
0,298.8743896484375,0.6486770510673523,8,298.8743896484375,0.0,2018-03-01,1652.7584228515625,22,R_A2,STANDARD,30,8
0,299.3792724609375,0.8733115792274475,9,299.3792724609375,0.0,2018-03-01,1654.5106201171875,22,R_A2,STANDARD,30,9
0,299.73046875,0.8822840452194214,10,299.73046875,0.0,2018-03-01,1656.2626953125,22,R_A2,STANDARD,30,10
0,299.8645935058594,0.06731099635362625,11,299.8645935058594,0.0,2018-03-01,1658.156982421875,22,R_A2,STANDARD,30,11
0,300.00115966796875,0.13442128896713257,12,300.00115966796875,0.0,2018-03-01,1660.193359375,22,R_A2,STANDARD,30,12
0,300.1382141113281,0.42219504714012146,13,300.1382141113281,0.0,2018-03-01,1662.229736328125,22,R_A2,STANDARD,30,13
0,300.2762145996094,0.474147230386734,14,300.2762145996094,0.0,2018-03-01,1664.26611328125,22,R_A2,STANDARD,30,14
0,300.4187316894531,0.9033045768737793,15,300.4187316894531,0.0,2018-03-01,1666.302490234375,22,R_A2,STANDARD,30,15
0,300.55975341796875,0.9266860485076904,16,300.55975341796875,0.0,2018-03-01,1668.3387451171875,22,R_A2,STANDARD,30,16
0,300.74200439453125,0.9331063628196716,17,300.74200439453125,0.0,2018-03-01,1670.8125,22,R_A2,STANDARD,29,16
0,300.88128662109375,0.8831342458724976,18,300.88128662109375,0.0,2018-03-01,1672.89697265625,22,R_A2,STANDARD,29,17
0,301.0089111328125,0.9567442536354065,19,301.0089111328125,0.0,2018-03-01,1674.8046875,22,R_A2,STANDARD,29,18
0,303.0854187011719,0.7722875475883484,20,303.0854187011719,0.0,2018-03-01,1676.6533203125,22,R_A2,STANDARD,29,26
0,303.1402587890625,0.9999998807907104,21,303.1402587890625,-1.0867918120993636e-08,2018-03-01,1678.43603515625,22,R_A2,STANDARD,29,27
0,303.0841979980469,1.0,22,303.0841979980469,-1.3549963187337467e-14,2018-03-01,1680.2186279296875,22,R_A2,STANDARD,29,28
0,303.00494384765625,1.0,23,303.00494384765625,-2.3461994066303893e-13,2018-03-01,1682.001220703125,22,R_A2,STANDARD,29,29
0,302.5778503417969,0.9999982714653015,24,302.5778503417969,0.0,2018-03-01,1683.783935546875,22,R_A2,STANDARD,29,30
0,283.52899169921875,1.0,1,283.52899169921875,-1.257230430873335e-09,2018-04-28,1686.08935546875,31,R_A5,STANDARD,20,1
0,283.7353820800781,1.0,2,283.7353820800781,-1.2554870476577662e-09,2018-04-28,1688.270263671875,31,R_A5,STANDARD,20,2
0,283.9417419433594,1.0,3,283.9417419433594,-1.173249275510102e-09,2018-04-28,1690.451171875,31,R_A5,STANDARD,20,3
0,284.1481018066406,1.0,4,284.1481018066406,-1.2251931691409368e-09,2018-04-28,1692.632080078125,31,R_A5,STANDARD,20,4
0,284.3544006347656,1.0,5,284.3544006347656,-9.338718687246228e-10,2018-04-28,1694.81298828125,31,R_A5,STANDARD,20,5
0,284.5606994628906,1.0,6,284.5606994628906,-6.233117355591844e-10,2018-04-28,1696.993896484375,31,R_A5,STANDARD,20,6
0,285.07586669921875,1.0,7,285.07586669921875,-4.112121667482205e-12,2018-04-28,1699.1748046875,31,R_A5,STANDARD,20,7
0,277.7968444824219,1.0,8,277.7968444824219,-2.684132638375303e-10,2018-04-28,1699.834716796875,31,R_A5,STANDARD,21,11
0,278.04510498046875,1.0,9,278.04510498046875,-2.0782808807240372e-10,2018-04-28,1701.828369140625,31,R_A5,STANDARD,21,12
0,278.3367919921875,1.0,10,278.3367919921875,-1.7305281556703744e-12,2018-04-28,1703.8218994140625,31,R_A5,STANDARD,21,13
0,278.85650634765625,1.0,11,278.85650634765625,-2.186606104515043e-11,2018-04-28,1705.8155517578125,31,R_A5,STANDARD,21,14
0,279.09503173828125,1.0,12,279.09503173828125,-7.108112709541814e-12,2018-04-28,1707.8092041015625,31,R_A5,STANDARD,21,15
0,279.4652099609375,1.0,13,279.4652099609375,-1.6241495995328314e-12,2018-04-28,1709.802734375,31,R_A5,STANDARD,21,16
0,279.66748046875,1.0,14,279.66748046875,-1.78167138160934e-12,2018-04-28,1711.7962646484375,31,R_A5,STANDARD,21,17
0,279.8197937011719,1.0,15,279.8197937011719,-3.1532680112855704e-12,2018-04-28,1713.3394775390625,31,R_A5,STANDARD,21,18
0,279.8869934082031,1.0,16,279.8869934082031,0.0,2018-04-28,1714.0391845703125,31,R_A5,STANDARD,21,19
0,284.7264404296875,1.0,17,284.7264404296875,-4.01293061280672e-12,2018-04-28,1715.3450927734375,31,R_A5,STANDARD,21,26
0,285.0171203613281,1.0,18,285.0171203613281,-1.9889953399576665e-12,2018-04-28,1717.650390625,31,R_A5,STANDARD,21,27
0,296.2860107421875,1.0,19,296.2860107421875,-6.084415400561762e-19,2018-04-28,1719.95556640625,31,R_A5,STANDARD,21,28
0,304.173828125,1.0,20,304.173828125,-4.531512530476281e-20,2018-04-28,1722.2607421875,31,R_A5,STANDARD,21,29
0,306.9858093261719,1.0,21,306.9858093261719,-2.196812578717371e-21,2018-04-28,1724.5660400390625,31,R_A5,STANDARD,21,30
0,275.66949462890625,0.33263400197029114,1,275.66949462890625,0.0,2018-07-03,1608.7294921875,28,R_A3,STANDARD,41,1
0,275.78363037109375,0.1931423395872116,2,275.78363037109375,0.0,2018-07-03,1610.7657470703125,28,R_A3,STANDARD,41,2
0,275.91912841796875,0.15375523269176483,3,275.91912841796875,0.0,2018-07-03,1612.8021240234375,28,R_A3,STANDARD,41,3
0,275.37664794921875,0.14627479016780853,4,275.37664794921875,0.0,2018-07-03,1604.4239501953125,29,R_A3,STANDARD,41,3
0,275.51409912109375,0.1394890397787094,5,275.51409912109375,0.0,2018-07-03,1606.4871826171875,29,R_A3,STANDARD,41,4
0,275.7314453125,0.8056159019470215,6,275.7314453125,0.0,2018-07-03,1608.550537109375,29,R_A3,STANDARD,41,5
0,275.8077087402344,0.2880937457084656,7,275.8077087402344,0.0,2018-07-03,1610.6138916015625,29,R_A3,STANDARD,41,6
0,275.9452209472656,0.19467812776565552,8,275.9452209472656,0.0,2018-07-03,1612.67724609375,29,R_A3,STANDARD,41,7
0,276.0827941894531,0.19858722388744354,9,276.0827941894531,0.0,2018-07-03,1614.740478515625,29,R_A3,STANDARD,41,8
0,276.4383239746094,0.7919492721557617,10,276.4383239746094,0.0,2018-07-03,1616.8038330078125,29,R_A3,STANDARD,41,9
0,280.2616271972656,0.7657754421234131,11,280.2616271972656,0.0,2018-07-03,1618.8671875,29,R_A3,STANDARD,41,10
0,298.28106689453125,0.04701140150427818,12,298.28106689453125,0.0,2018-07-03,1621.040771484375,29,R_A3,STANDARD,41,11
0,298.4341125488281,0.05300108343362808,13,298.4341125488281,0.0,2018-07-03,1623.3245849609375,29,R_A3,STANDARD,41,12
0,298.5872497558594,0.36365795135498047,14,298.5872497558594,0.0,2018-07-03,1625.6083984375,29,R_A3,STANDARD,41,13
0,298.7657165527344,0.6016091108322144,15,298.7657165527344,0.0,2018-07-03,1630.176025390625,29,R_A3,STANDARD,41,15
0,298.8929443359375,0.7978017926216125,16,298.8929443359375,0.0,2018-07-03,1632.083740234375,29,R_A3,STANDARD,41,16
0,285.580322265625,0.3168811798095703,17,285.580322265625,0.0,2018-07-03,1634.61328125,29,R_A3,STANDARD,41,26
0,285.79473876953125,0.043557822704315186,18,285.79473876953125,0.0,2018-07-03,1638.140869140625,29,R_A3,STANDARD,41,27
0,286.0304260253906,0.04916854202747345,19,286.0304260253906,0.0,2018-07-03,1641.66845703125,29,R_A3,STANDARD,41,28
0,286.6357421875,0.7773508429527283,20,286.6357421875,0.0,2018-07-03,1645.196044921875,29,R_A3,STANDARD,41,29
0,286.2155456542969,0.1420527547597885,21,286.2155456542969,0.0,2018-07-03,1648.7236328125,29,R_A3,STANDARD,41,30
0,278.760498046875,0.050361864268779755,1,278.760498046875,0.0,2018-09-12,1632.9793701171875,30,R_A4,STANDARD,52,1
0,278.4540100097656,0.04944930225610733,2,278.4540100097656,0.0,2018-09-12,1627.467529296875,31,R_A4,STANDARD,52,1
0,278.5912170410156,0.049425158649683,3,278.5912170410156,0.0,2018-09-12,1629.5257568359375,31,R_A4,STANDARD,52,2
0,278.7283935546875,0.051281265914440155,4,278.7283935546875,0.0,2018-09-12,1631.5838623046875,31,R_A4,STANDARD,52,3
0,278.8656005859375,0.05208052694797516,5,278.8656005859375,0.0,2018-09-12,1633.64208984375,31,R_A4,STANDARD,52,4
0,278.8004455566406,0.05352138727903366,6,278.8004455566406,0.0,2018-09-12,1632.1258544921875,32,R_A4,STANDARD,52,4
0,278.9821472167969,0.05684828385710716,7,278.9821472167969,0.0,2018-09-12,1635.886962890625,32,R_A4,STANDARD,51,4
0,279.024169921875,0.05695842579007149,8,279.024169921875,0.0,2018-09-12,1636.74853515625,33,R_A4,STANDARD,51,4
0,279.3101501464844,0.06027504801750183,9,279.3101501464844,0.0,2018-09-12,1641.666748046875,33,R_A4,STANDARD,50,4
0,279.15765380859375,0.06015176326036453,10,279.15765380859375,0.0,2018-09-12,1640.154052734375,34,R_A4,STANDARD,50,4
0,279.0984802246094,0.06138221174478531,11,279.0984802246094,0.0,2018-09-12,1640.7122802734375,35,R_A4,STANDARD,50,4
0,278.9812927246094,0.2233293056488037,12,278.9812927246094,0.0,2018-09-12,1638.9306640625,35,R_A4,STANDARD,50,3
0,279.29876708984375,0.24408629536628723,13,279.29876708984375,0.0,2018-09-12,1644.30615234375,35,R_A4,STANDARD,49,3
0,279.1773376464844,0.22891321778297424,14,279.1773376464844,0.0,2018-09-12,1642.529541015625,35,R_A4,STANDARD,49,2
0,276.95166015625,0.05418529734015465,15,276.95166015625,0.0,2018-09-12,1643.0142822265625,36,R_A4,STANDARD,49,29
0,276.6448974609375,0.056338489055633545,16,276.6448974609375,0.0,2018-09-12,1643.44482421875,36,R_A4,STANDARD,48,29
0,277.2494201660156,0.057181693613529205,17,277.2494201660156,0.0,2018-09-12,1648.3663330078125,37,R_A4,STANDARD,48,29
0,277.8108825683594,0.05683973804116249,18,277.8108825683594,0.0,2018-09-12,1652.375,38,R_A4,STANDARD,48,29
0,278.1730651855469,0.18227146565914154,19,278.1730651855469,0.0,2018-09-12,1660.457275390625,38,R_A4,STANDARD,47,29
0,276.3839111328125,1.0,1,276.3839111328125,-2.384890245357707e-12,2018-11-07,1693.7379150390625,17,R_A6,STANDARD,42,1
0,276.5275573730469,1.0,2,276.5275573730469,-1.1982167645238628e-12,2018-11-07,1695.262451171875,17,R_A6,STANDARD,42,2
0,276.6697082519531,1.0,3,276.6697082519531,-1.7543846150130937e-12,2018-11-07,1696.7869873046875,17,R_A6,STANDARD,42,3
0,276.80950927734375,1.0,4,276.80950927734375,-1.3371162900857603e-12,2018-11-07,1698.3115234375,17,R_A6,STANDARD,42,4
0,276.948486328125,1.0,5,276.948486328125,-1.029901207719175e-12,2018-11-07,1699.8360595703125,17,R_A6,STANDARD,42,5
0,277.0894470214844,1.0,6,277.0894470214844,-4.607282610979979e-11,2018-11-07,1701.360595703125,17,R_A6,STANDARD,42,6
0,276.9393005371094,1.0,7,276.9393005371094,-8.526129802177707e-11,2018-11-07,1702.885009765625,17,R_A6,STANDARD,42,7
0,277.08380126953125,1.0,8,277.08380126953125,-7.346691310861075e-11,2018-11-07,1704.4095458984375,17,R_A6,STANDARD,42,8
0,277.56390380859375,1.0,9,277.56390380859375,-6.370389025317502e-12,2018-11-07,1705.93408203125,17,R_A6,STANDARD,42,9
0,277.53173828125,1.0,10,277.53173828125,-2.9631669340446365e-10,2018-11-07,1707.45849609375,17,R_A6,STANDARD,42,10
0,281.75457763671875,1.0,11,281.75457763671875,-9.53432055528225e-11,2018-11-07,1709.3551025390625,17,R_A6,STANDARD,42,11
0,281.9727478027344,1.0,12,281.9727478027344,-9.141874757201407e-11,2018-11-07,1711.62353515625,17,R_A6,STANDARD,42,12
0,282.216796875,1.0,13,282.216796875,-4.6391480067187185e-12,2018-11-07,1713.89208984375,17,R_A6,STANDARD,42,13
0,282.431640625,1.0,14,282.431640625,-4.547104446445127e-12,2018-11-07,1716.1605224609375,17,R_A6,STANDARD,42,14
0,282.64678955078125,1.0,15,282.64678955078125,-3.0501838034491247e-12,2018-11-07,1718.4290771484375,17,R_A6,STANDARD,42,15
0,283.0071716308594,1.0,16,283.0071716308594,-8.520571943317068e-13,2018-11-07,1720.697509765625,17,R_A6,STANDARD,42,16
0,283.2223815917969,1.0,17,283.2223815917969,-1.5395971173295941e-12,2018-11-07,1722.966064453125,17,R_A6,STANDARD,42,17
0,283.3688049316406,1.0,18,283.3688049316406,-1.5681610740850283e-12,2018-11-07,1724.51171875,17,R_A6,STANDARD,42,18
0,283.59521484375,1.0,19,283.59521484375,-3.0299821354197454e-13,2018-11-07,1725.772216796875,17,R_A6,STANDARD,42,26
