PRESSURE,CONJPOS,CONIPOS,WELL,CONKPOS,CONIDX,SWAT,CONBPRES,DATE,DRAWDOWN,WELLMODEL,SGAS,DEPTH
298.7906799316406,41,28,R_A3,1,1,0.6481541991233826,298.7906799316406,2018-01-01,0,STANDARD,0.0,1611.044677734375
298.9309387207031,41,28,R_A3,2,2,0.19691291451454163,298.9309387207031,2018-01-01,0,STANDARD,0.0,1613.1375732421875
299.07122802734375,41,28,R_A3,3,3,0.195614293217659,299.07122802734375,2018-01-01,0,STANDARD,0.0,1615.23046875
298.1944580078125,41,29,R_A3,3,4,0.18443404138088226,298.1944580078125,2018-01-01,0,STANDARD,0.0,1602.1478271484375
298.3357238769531,41,29,R_A3,4,5,0.21727833151817322,298.3357238769531,2018-01-01,0,STANDARD,0.0,1604.2559814453125
298.47698974609375,41,29,R_A3,5,6,0.6481541991233826,298.47698974609375,2018-01-01,0,STANDARD,0.0,1606.3642578125
298.6182861328125,41,29,R_A3,6,7,0.6481541991233826,298.6182861328125,2018-01-01,0,STANDARD,0.0,1608.472412109375
298.75958251953125,41,29,R_A3,7,8,0.19102387130260468,298.75958251953125,2018-01-01,0,STANDARD,0.0,1610.5806884765625
298.90087890625,41,29,R_A3,8,9,0.19568182528018951,298.90087890625,2018-01-01,0,STANDARD,0.0,1612.68896484375
299.04217529296875,41,29,R_A3,9,10,0.787756085395813,299.04217529296875,2018-01-01,0,STANDARD,0.0,1614.797119140625
299.1834716796875,41,29,R_A3,10,11,0.17638178169727325,299.1834716796875,2018-01-01,0,STANDARD,0.0,1616.9053955078125
299.3302001953125,41,29,R_A3,11,12,0.046880610287189484,299.3302001953125,2018-01-01,0,STANDARD,0.0,1619.093994140625
299.4822998046875,41,29,R_A3,12,13,0.05217427387833595,299.4822998046875,2018-01-01,0,STANDARD,0.0,1621.3631591796875
299.6343994140625,41,29,R_A3,13,14,0.36505141854286194,299.6343994140625,2018-01-01,0,STANDARD,0.0,1623.63232421875
299.93865966796875,41,29,R_A3,15,15,0.49754026532173157,299.93865966796875,2018-01-01,0,STANDARD,0.0,1628.1707763671875
300.08197021484375,41,29,R_A3,16,16,0.8005978465080261,300.08197021484375,2018-01-01,0,STANDARD,0.0,1630.30859375
300.286865234375,41,29,R_A3,25,17,0.13509365916252136,300.286865234375,2018-01-01,0,STANDARD,0.0,1633.36474609375
300.53826904296875,41,29,R_A3,26,18,0.0453423373401165,300.53826904296875,2018-01-01,0,STANDARD,0.0,1637.114501953125
300.7897033691406,41,29,R_A3,27,19,0.04897056519985199,300.7897033691406,2018-01-01,0,STANDARD,0.0,1640.8643798828125
301.0411682128906,41,29,R_A3,28,20,0.6481541991233826,301.0411682128906,2018-01-01,0,STANDARD,0.0,1644.6141357421875
301.2926330566406,41,29,R_A3,29,21,0.061821527779102325,301.2926330566406,2018-01-01,0,STANDARD,0.0,1648.3638916015625
300.2279357910156,52,30,R_A4,1,1,0.049695324152708054,300.2279357910156,2018-01-01,0,STANDARD,0.0,1632.4859619140625
299.8825378417969,52,31,R_A4,1,2,0.04691970720887184,299.8825378417969,2018-01-01,0,STANDARD,0.0,1627.3336181640625
300.01690673828125,52,31,R_A4,2,3,0.04938240349292755,300.01690673828125,2018-01-01,0,STANDARD,0.0,1629.338134765625
300.1512756347656,52,31,R_A4,3,4,0.05114353075623512,300.1512756347656,2018-01-01,0,STANDARD,0.0,1631.342529296875
300.2856750488281,52,31,R_A4,4,5,0.05295742675662041,300.2856750488281,2018-01-01,0,STANDARD,0.0,1633.346923828125
300.1814270019531,52,32,R_A4,4,6,0.05437035858631134,300.1814270019531,2018-01-01,0,STANDARD,0.0,1631.7918701171875
300.3041687011719,52,32,R_A4,5,7,0.1057112067937851,300.3041687011719,2018-01-01,0,STANDARD,0.0,1633.623046875
300.5348815917969,51,32,R_A4,5,8,0.15315721929073334,300.5348815917969,2018-01-01,0,STANDARD,0.0,1637.0635986328125
300.5458984375,51,33,R_A4,5,9,0.1628727912902832,300.5458984375,2018-01-01,0,STANDARD,0.0,1637.2279052734375
300.42327880859375,51,33,R_A4,4,10,0.05647217482328415,300.42327880859375,2018-01-01,0,STANDARD,0.0,1635.399169921875
300.9354248046875,50,33,R_A4,5,11,0.059342216700315475,300.9354248046875,2018-01-01,0,STANDARD,0.0,1643.037353515625
300.800537109375,50,34,R_A4,5,12,0.06055396795272827,300.800537109375,2018-01-01,0,STANDARD,0.0,1641.02587890625
300.6763000488281,50,34,R_A4,4,13,0.0775807797908783,300.6763000488281,2018-01-01,0,STANDARD,0.0,1639.1728515625
300.7231750488281,50,35,R_A4,4,14,0.07763461768627167,300.7231750488281,2018-01-01,0,STANDARD,0.0,1639.871826171875
300.60211181640625,50,35,R_A4,3,15,0.057566747069358826,300.60211181640625,2018-01-01,0,STANDARD,0.0,1638.0662841796875
300.85723876953125,49,35,R_A4,3,16,0.22591908276081085,300.85723876953125,2018-01-01,0,STANDARD,0.0,1641.8712158203125
300.8645935058594,49,36,R_A4,28,17,0.10690778493881226,300.8645935058594,2018-01-01,0,STANDARD,0.0,1641.9808349609375
300.85943603515625,48,36,R_A4,28,18,0.16497302055358887,300.85943603515625,2018-01-01,0,STANDARD,0.0,1641.9041748046875
301.16644287109375,48,37,R_A4,28,19,0.6809068322181702,301.16644287109375,2018-01-01,0,STANDARD,0.0,1646.4825439453125
301.365234375,48,38,R_A4,28,20,0.35799381136894226,301.365234375,2018-01-01,0,STANDARD,0.0,1649.44677734375
301.8708801269531,47,38,R_A4,28,21,0.7265495657920837,301.8708801269531,2018-01-01,0,STANDARD,0.0,1656.986083984375
303.89056396484375,20,31,R_A5,1,1,1.0,303.89056396484375,2018-01-01,0,STANDARD,0.0,1685.5169677734375
304.0927734375,20,31,R_A5,2,2,1.0,304.0927734375,2018-01-01,0,STANDARD,0.0,1687.65087890625
304.29498291015625,20,31,R_A5,3,3,1.0,304.29498291015625,2018-01-01,0,STANDARD,0.0,1689.7847900390625
304.4972229003906,20,31,R_A5,4,4,1.0,304.4972229003906,2018-01-01,0,STANDARD,0.0,1691.918701171875
304.6994323730469,20,31,R_A5,5,5,1.0,304.6994323730469,2018-01-01,0,STANDARD,0.0,1694.0526123046875
304.9016418457031,20,31,R_A5,6,6,1.0,304.9016418457031,2018-01-01,0,STANDARD,0.0,1696.1864013671875
305.40966796875,20,31,R_A5,7,7,1.0,305.40966796875,2018-01-01,0,STANDARD,0.0,1698.3204345703125
305.61187744140625,20,31,R_A5,8,8,1.0,305.61187744140625,2018-01-01,0,STANDARD,0.0,1700.454345703125
305.3080139160156,21,31,R_A5,11,9,1.0,305.3080139160156,2018-01-01,0,STANDARD,0.0,1700.47314453125
305.499267578125,21,31,R_A5,12,10,1.0,305.499267578125,2018-01-01,0,STANDARD,0.0,1702.4913330078125
305.7025146484375,21,31,R_A5,13,11,1.0,305.7025146484375,2018-01-01,0,STANDARD,0.0,1704.509521484375
305.8937683105469,21,31,R_A5,14,12,1.0,305.8937683105469,2018-01-01,0,STANDARD,0.0,1706.5277099609375
306.08502197265625,21,31,R_A5,15,13,1.0,306.08502197265625,2018-01-01,0,STANDARD,0.0,1708.5458984375
306.42132568359375,21,31,R_A5,16,14,1.0,306.42132568359375,2018-01-01,0,STANDARD,0.0,1710.5640869140625
306.6125793457031,21,31,R_A5,17,15,1.0,306.6125793457031,2018-01-01,0,STANDARD,0.0,1712.582275390625
306.7476806640625,21,31,R_A5,18,16,1.0,306.7476806640625,2018-01-01,0,STANDARD,0.0,1714.0079345703125
306.8072509765625,21,31,R_A5,19,17,1.0,306.8072509765625,2018-01-01,0,STANDARD,0.0,1714.63623046875
306.7764892578125,21,31,R_A5,25,18,1.0,306.7764892578125,2018-01-01,0,STANDARD,0.0,1715.9693603515625
307.2948303222656,21,31,R_A5,26,19,1.0,307.2948303222656,2018-01-01,0,STANDARD,0.0,1718.2119140625
307.5073547363281,21,31,R_A5,27,20,1.0,307.5073547363281,2018-01-01,0,STANDARD,0.0,1720.45458984375
307.71990966796875,21,31,R_A5,28,21,1.0,307.71990966796875,2018-01-01,0,STANDARD,0.0,1722.697265625
307.9324645996094,21,31,R_A5,29,22,1.0,307.9324645996094,2018-01-01,0,STANDARD,0.0,1724.93994140625
305.0188903808594,42,17,R_A6,1,1,1.0,305.0188903808594,2018-01-01,0,STANDARD,0.0,1694.197021484375
305.1641845703125,42,17,R_A6,2,2,1.0,305.1641845703125,2018-01-01,0,STANDARD,0.0,1695.72998046875
305.3094787597656,42,17,R_A6,3,3,1.0,305.3094787597656,2018-01-01,0,STANDARD,0.0,1697.2630615234375
305.4547424316406,42,17,R_A6,4,4,1.0,305.4547424316406,2018-01-01,0,STANDARD,0.0,1698.796142578125
