REAL,EQLNUM,DATUM,PRESSURE,OWC,PCOWC,GOC,PCGOC,INITRS,INITRV,ACCURACY,SENSNAME,SENSCASE,RMS_SEED,FWL,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,INTERPOLATE_WO,INTERPOLATE_GO,COHIBA_MODEL_MODE
4,2,2469,382.4,1000.0,0,0,0,2,0,20,rms_seed,p10_p90,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
0,1,2469,382.4,1705.0,0,0,0,1,0,20,rms_seed,p10_p90,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
0,2,2469,382.4,1000.0,0,0,0,2,0,20,rms_seed,p10_p90,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
28,1,2469,382.4,1705.0,0,0,0,1,0,20,relp_wo,opt,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
28,2,2469,382.4,1000.0,0,0,0,2,0,20,relp_wo,opt,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
14,1,2469,382.4,1690.0,0,0,0,1,0,20,fwl,shallow,1004,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
14,2,2469,382.4,1000.0,0,0,0,2,0,20,fwl,shallow,1004,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
32,1,2469,382.4,1705.0,0,0,0,1,0,20,relp_wo,pes,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
32,2,2469,382.4,1000.0,0,0,0,2,0,20,relp_wo,pes,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
3,1,2469,382.4,1705.0,0,0,0,1,0,20,rms_seed,p10_p90,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
3,2,2469,382.4,1000.0,0,0,0,2,0,20,rms_seed,p10_p90,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
36,1,2469,382.4,1705.0,0,0,0,1,0,20,cohiba,simulation,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
36,2,2469,382.4,1000.0,0,0,0,2,0,20,cohiba,simulation,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
26,1,2469,382.4,1705.0,0,0,0,1,0,20,relp_wo,opt,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
26,2,2469,382.4,1000.0,0,0,0,2,0,20,relp_wo,opt,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
6,1,2469,382.4,1710.0,0,0,0,1,0,20,fwl,deep,1001,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
6,2,2469,382.4,1000.0,0,0,0,2,0,20,fwl,deep,1001,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
13,1,2469,382.4,1690.0,0,0,0,1,0,20,fwl,shallow,1003,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
13,2,2469,382.4,1000.0,0,0,0,2,0,20,fwl,shallow,1003,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
8,1,2469,382.4,1710.0,0,0,0,1,0,20,fwl,deep,1003,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
8,2,2469,382.4,1000.0,0,0,0,2,0,20,fwl,deep,1003,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
18,1,2469,382.4,1705.0,0,0,0,1,0,20,multflt1,open,1003,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
18,2,2469,382.4,1000.0,0,0,0,2,0,20,multflt1,open,1003,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
27,1,2469,382.4,1705.0,0,0,0,1,0,20,relp_wo,opt,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
27,2,2469,382.4,1000.0,0,0,0,2,0,20,relp_wo,opt,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
19,1,2469,382.4,1705.0,0,0,0,1,0,20,multflt1,open,1004,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
19,2,2469,382.4,1000.0,0,0,0,2,0,20,multflt1,open,1004,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
9,1,2469,382.4,1710.0,0,0,0,1,0,20,fwl,deep,1004,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
9,2,2469,382.4,1000.0,0,0,0,2,0,20,fwl,deep,1004,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
1,1,2469,382.4,1705.0,0,0,0,1,0,20,rms_seed,p10_p90,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
1,2,2469,382.4,1000.0,0,0,0,2,0,20,rms_seed,p10_p90,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
33,1,2469,382.4,1705.0,0,0,0,1,0,20,relp_wo,pes,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
33,2,2469,382.4,1000.0,0,0,0,2,0,20,relp_wo,pes,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
23,1,2469,382.4,1705.0,0,0,0,1,0,20,multflt1,closed,1003,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
23,2,2469,382.4,1000.0,0,0,0,2,0,20,multflt1,closed,1003,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
11,1,2469,382.4,1690.0,0,0,0,1,0,20,fwl,shallow,1001,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
11,2,2469,382.4,1000.0,0,0,0,2,0,20,fwl,shallow,1001,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
30,1,2469,382.4,1705.0,0,0,0,1,0,20,relp_wo,pes,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
30,2,2469,382.4,1000.0,0,0,0,2,0,20,relp_wo,pes,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
15,1,2469,382.4,1705.0,0,0,0,1,0,20,multflt1,open,1000,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
15,2,2469,382.4,1000.0,0,0,0,2,0,20,multflt1,open,1000,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
25,1,2469,382.4,1705.0,0,0,0,1,0,20,relp_wo,opt,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
25,2,2469,382.4,1000.0,0,0,0,2,0,20,relp_wo,opt,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
31,1,2469,382.4,1705.0,0,0,0,1,0,20,relp_wo,pes,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
31,2,2469,382.4,1000.0,0,0,0,2,0,20,relp_wo,pes,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
2,1,2469,382.4,1705.0,0,0,0,1,0,20,rms_seed,p10_p90,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
2,2,2469,382.4,1000.0,0,0,0,2,0,20,rms_seed,p10_p90,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
