SWAT,SGAS,CONIDX,CONJPOS,WELLMODEL,WELL,CONIPOS,CONKPOS,DEPTH,CONBPRES,DRAWDOWN,DATE,PRESSURE
0.7735472917556763,0.0,15,30,STANDARD,R_A2,22,15,1667.1199951171875,302.2803955078125,0,2018-01-01,302.2803955078125
1.0,0.0,16,30,STANDARD,R_A2,22,16,1669.11572265625,302.4142761230469,0,2018-01-01,302.4142761230469
0.9947081804275513,0.0,17,30,STANDARD,R_A2,22,17,1671.111572265625,302.54815673828125,0,2018-01-01,302.54815673828125
1.0,0.0,18,30,STANDARD,R_A2,22,18,1672.9881591796875,302.86041259765625,0,2018-01-01,302.86041259765625
1.0,0.0,19,29,STANDARD,R_A2,22,18,1674.229736328125,302.97808837890625,0,2018-01-01,302.97808837890625
1.0,0.0,20,29,STANDARD,R_A2,22,27,1676.1676025390625,303.3103942871094,0,2018-01-01,303.3103942871094
1.0,0.0,21,29,STANDARD,R_A2,22,28,1677.9368896484375,303.47802734375,0,2018-01-01,303.47802734375
1.0,0.0,22,29,STANDARD,R_A2,22,29,1679.7061767578125,303.64569091796875,0,2018-01-01,303.64569091796875
1.0,0.0,23,29,STANDARD,R_A2,22,30,1681.4754638671875,303.8133544921875,0,2018-01-01,303.8133544921875
1.0,0.0,24,29,STANDARD,R_A2,22,31,1683.2447509765625,303.98101806640625,0,2018-01-01,303.98101806640625
0.6481541991233826,0.0,1,41,STANDARD,R_A3,28,1,1609.243408203125,298.39996337890625,0,2018-01-01,298.39996337890625
0.2028549313545227,0.0,2,41,STANDARD,R_A3,28,2,1611.3077392578125,298.5382995605469,0,2018-01-01,298.5382995605469
0.19858834147453308,0.0,3,41,STANDARD,R_A3,28,3,1613.3720703125,298.6766357421875,0,2018-01-01,298.6766357421875
0.26007506251335144,0.0,4,41,STANDARD,R_A3,28,4,1615.4365234375,298.81500244140625,0,2018-01-01,298.81500244140625
0.8376256823539734,0.0,5,41,STANDARD,R_A3,28,5,1617.5008544921875,298.953369140625,0,2018-01-01,298.953369140625
0.6481541991233826,0.0,6,41,STANDARD,R_A3,28,6,1619.565185546875,299.09173583984375,0,2018-01-01,299.09173583984375
0.6481541991233826,0.0,7,41,STANDARD,R_A3,29,6,1609.3663330078125,298.408203125,0,2018-01-01,298.408203125
0.20322532951831818,0.0,8,41,STANDARD,R_A3,29,7,1611.4163818359375,298.5455627441406,0,2018-01-01,298.5455627441406
0.20516806840896606,0.0,9,41,STANDARD,R_A3,29,8,1613.46630859375,298.6829528808594,0,2018-01-01,298.6829528808594
0.8115453720092773,0.0,10,41,STANDARD,R_A3,29,9,1615.516357421875,298.8203430175781,0,2018-01-01,298.8203430175781
0.8105334639549255,0.0,11,41,STANDARD,R_A3,29,10,1617.5662841796875,298.9577331542969,0,2018-01-01,298.9577331542969
0.04969174042344093,0.0,12,41,STANDARD,R_A3,29,11,1619.750732421875,299.1041564941406,0,2018-01-01,299.1041564941406
0.05709113925695419,0.0,13,41,STANDARD,R_A3,29,12,1622.0697021484375,299.25958251953125,0,2018-01-01,299.25958251953125
0.37793147563934326,0.0,14,41,STANDARD,R_A3,29,13,1624.388671875,299.4150390625,0,2018-01-01,299.4150390625
0.4115159809589386,0.0,15,41,STANDARD,R_A3,29,15,1629.026611328125,299.7259216308594,0,2018-01-01,299.7259216308594
0.8261919021606445,0.0,16,41,STANDARD,R_A3,29,16,1630.9468994140625,299.85467529296875,0,2018-01-01,299.85467529296875
0.6481541991233826,0.0,17,41,STANDARD,R_A3,29,27,1633.5262451171875,300.027587890625,0,2018-01-01,300.027587890625
0.04952062666416168,0.0,18,41,STANDARD,R_A3,29,28,1637.1630859375,300.27142333984375,0,2018-01-01,300.27142333984375
0.058349985629320145,0.0,19,41,STANDARD,R_A3,29,29,1640.8001708984375,300.5152587890625,0,2018-01-01,300.5152587890625
1.0,0.0,20,41,STANDARD,R_A3,29,30,1644.4371337890625,300.7591247558594,0,2018-01-01,300.7591247558594
0.06811777502298355,0.0,21,41,STANDARD,R_A3,29,31,1648.0740966796875,301.0030212402344,0,2018-01-01,301.0030212402344
0.052380502223968506,0.0,1,52,STANDARD,R_A4,30,1,1631.1873779296875,299.87078857421875,0,2018-01-01,299.87078857421875
0.05218825116753578,0.0,2,52,STANDARD,R_A4,31,1,1627.4293212890625,299.6188659667969,0,2018-01-01,299.6188659667969
0.05390092357993126,0.0,3,52,STANDARD,R_A4,31,2,1629.4896240234375,299.7569580078125,0,2018-01-01,299.7569580078125
0.05666650831699371,0.0,4,52,STANDARD,R_A4,31,3,1631.5498046875,299.89508056640625,0,2018-01-01,299.89508056640625
0.0617557168006897,0.0,5,52,STANDARD,R_A4,31,4,1633.610107421875,300.033203125,0,2018-01-01,300.033203125
0.05954732373356819,0.0,6,52,STANDARD,R_A4,32,4,1632.3968505859375,299.9518737792969,0,2018-01-01,299.9518737792969
0.06265891343355179,0.0,7,51,STANDARD,R_A4,32,4,1635.880615234375,300.1854248046875,0,2018-01-01,300.1854248046875
0.09778427332639694,0.0,8,51,STANDARD,R_A4,33,4,1637.321044921875,300.2820129394531,0,2018-01-01,300.2820129394531
0.17315475642681122,0.0,9,51,STANDARD,R_A4,33,3,1635.474609375,300.158203125,0,2018-01-01,300.158203125
