CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS,DEPTH,DRAWDOWN,SWAT,WELL,SGAS,DATE,CONJPOS,CONIDX
29,298.54638671875,298.54638671875,STANDARD,6,1609.3663330078125,0,0.2754424512386322,R_A3,0.0,2018-01-01,41,7
29,298.68377685546875,298.68377685546875,STANDARD,7,1611.4163818359375,0,0.19882161915302277,R_A3,0.0,2018-01-01,41,8
29,298.8211669921875,298.8211669921875,STANDARD,8,1613.46630859375,0,0.1460786610841751,R_A3,0.0,2018-01-01,41,9
29,298.95855712890625,298.95855712890625,STANDARD,9,1615.516357421875,0,0.6481541991233826,R_A3,0.0,2018-01-01,41,10
29,299.095947265625,299.095947265625,STANDARD,10,1617.5662841796875,0,0.8030344843864441,R_A3,0.0,2018-01-01,41,11
29,299.24237060546875,299.24237060546875,STANDARD,11,1619.750732421875,0,0.04831019043922424,R_A3,0.0,2018-01-01,41,12
29,299.3978271484375,299.3978271484375,STANDARD,12,1622.0697021484375,0,0.053891588002443314,R_A3,0.0,2018-01-01,41,13
29,299.5532531738281,299.5532531738281,STANDARD,13,1624.388671875,0,0.37262097001075745,R_A3,0.0,2018-01-01,41,14
29,299.7087097167969,299.7087097167969,STANDARD,14,1626.707763671875,0,0.3456023037433624,R_A3,0.0,2018-01-01,41,15
29,299.8641662597656,299.8641662597656,STANDARD,15,1629.026611328125,0,0.49332767724990845,R_A3,0.0,2018-01-01,41,16
29,299.992919921875,299.992919921875,STANDARD,16,1630.9468994140625,0,0.8019264936447144,R_A3,0.0,2018-01-01,41,17
29,300.16583251953125,300.16583251953125,STANDARD,27,1633.5262451171875,0,0.6481541991233826,R_A3,0.0,2018-01-01,41,18
29,300.40966796875,300.40966796875,STANDARD,28,1637.1630859375,0,0.04582946002483368,R_A3,0.0,2018-01-01,41,19
29,300.6535339355469,300.6535339355469,STANDARD,29,1640.8001708984375,0,0.05228268727660179,R_A3,0.0,2018-01-01,41,20
29,300.89739990234375,300.89739990234375,STANDARD,30,1644.4371337890625,0,0.6481541991233826,R_A3,0.0,2018-01-01,41,21
29,301.14129638671875,301.14129638671875,STANDARD,31,1648.0740966796875,0,0.06127921864390373,R_A3,0.0,2018-01-01,41,22
30,300.009033203125,300.009033203125,STANDARD,1,1631.1873779296875,0,0.05178655683994293,R_A4,0.0,2018-01-01,52,1
31,299.7571105957031,299.7571105957031,STANDARD,1,1627.4293212890625,0,0.050683874636888504,R_A4,0.0,2018-01-01,52,2
31,299.89520263671875,299.89520263671875,STANDARD,2,1629.4896240234375,0,0.051592472940683365,R_A4,0.0,2018-01-01,52,3
31,300.0333251953125,300.0333251953125,STANDARD,3,1631.5498046875,0,0.053491584956645966,R_A4,0.0,2018-01-01,52,4
31,300.17144775390625,300.17144775390625,STANDARD,4,1633.610107421875,0,0.6481541991233826,R_A4,0.0,2018-01-01,52,5
32,300.0901184082031,300.0901184082031,STANDARD,4,1632.3968505859375,0,0.05713524669408798,R_A4,0.0,2018-01-01,52,6
32,300.3236999511719,300.3236999511719,STANDARD,4,1635.880615234375,0,0.6481541991233826,R_A4,0.0,2018-01-01,51,7
33,300.4202575683594,300.4202575683594,STANDARD,4,1637.321044921875,0,0.6481541991233826,R_A4,0.0,2018-01-01,51,8
33,300.29644775390625,300.29644775390625,STANDARD,3,1635.474609375,0,0.05947340279817581,R_A4,0.0,2018-01-01,51,9
33,300.74395751953125,300.74395751953125,STANDARD,4,1642.1485595703125,0,0.6481541991233826,R_A4,0.0,2018-01-01,50,10
34,300.67578125,300.67578125,STANDARD,4,1641.132080078125,0,0.09878486394882202,R_A4,0.0,2018-01-01,50,11
34,300.5467224121094,300.5467224121094,STANDARD,3,1639.20703125,0,0.15478037297725677,R_A4,0.0,2018-01-01,50,12
35,300.66064453125,300.66064453125,STANDARD,3,1640.9061279296875,0,0.2293243557214737,R_A4,0.0,2018-01-01,50,13
35,300.53570556640625,300.53570556640625,STANDARD,2,1639.0426025390625,0,0.2288455367088318,R_A4,0.0,2018-01-01,50,14
35,300.72943115234375,300.72943115234375,STANDARD,2,1641.93212890625,0,0.24109753966331482,R_A4,0.0,2018-01-01,49,15
36,300.7579650878906,300.7579650878906,STANDARD,30,1642.357421875,0,0.05171753093600273,R_A4,0.0,2018-01-01,49,16
36,300.5735168457031,300.5735168457031,STANDARD,30,1639.6068115234375,0,0.194771870970726,R_A4,0.0,2018-01-01,48,17
37,301.0526123046875,301.0526123046875,STANDARD,30,1646.7513427734375,0,0.09849477559328079,R_A4,0.0,2018-01-01,48,18
38,301.5025939941406,301.5025939941406,STANDARD,30,1653.461669921875,0,0.10194094479084015,R_A4,0.0,2018-01-01,48,19
