CONBPRES,DRAWDOWN,SWAT,CONIPOS,WELLMODEL,DATE,PRESSURE,CONKPOS,CONIDX,CONJPOS,SGAS,DEPTH,WELL
302.7977294921875,0,0.9717344045639038,22,STANDARD,2018-01-01,302.7977294921875,16,16,30,0.0,1671.611083984375,R_A2
302.941162109375,0,0.9377796649932861,22,STANDARD,2018-01-01,302.941162109375,17,17,30,0.0,1673.7489013671875,R_A2
303.079833984375,0,0.9748525619506836,22,STANDARD,2018-01-01,303.079833984375,18,18,30,0.0,1675.8157958984375,R_A2
303.1587829589844,0,0.9896082282066345,22,STANDARD,2018-01-01,303.1587829589844,19,19,30,0.0,1676.99267578125,R_A2
303.234375,0,0.769081711769104,22,STANDARD,2018-01-01,303.234375,24,20,30,0.0,1678.119140625,R_A2
303.6748962402344,0,1.0,22,STANDARD,2018-01-01,303.6748962402344,25,21,30,0.0,1680.014404296875,R_A2
303.207275390625,0,1.0,22,STANDARD,2018-01-01,303.207275390625,25,22,29,0.0,1677.71533203125,R_A2
303.3299560546875,0,1.0,22,STANDARD,2018-01-01,303.3299560546875,26,23,29,0.0,1679.5435791015625,R_A2
303.80352783203125,0,1.0,22,STANDARD,2018-01-01,303.80352783203125,27,24,29,0.0,1681.371826171875,R_A2
303.9767761230469,0,1.0,22,STANDARD,2018-01-01,303.9767761230469,28,25,29,0.0,1683.2000732421875,R_A2
298.62835693359375,0,0.6481541991233826,28,STANDARD,2018-01-01,298.62835693359375,1,1,41,0.0,1609.4307861328125,R_A3
298.75933837890625,0,0.1968124955892563,28,STANDARD,2018-01-01,298.75933837890625,2,2,41,0.0,1611.3853759765625,R_A3
298.8903503417969,0,0.1952727884054184,28,STANDARD,2018-01-01,298.8903503417969,3,3,41,0.0,1613.3399658203125,R_A3
299.0213623046875,0,0.319545179605484,28,STANDARD,2018-01-01,299.0213623046875,4,4,41,0.0,1615.2945556640625,R_A3
299.1523742675781,0,0.6481541991233826,28,STANDARD,2018-01-01,299.1523742675781,5,5,41,0.0,1617.249267578125,R_A3
298.494873046875,0,0.8206053972244263,29,STANDARD,2018-01-01,298.494873046875,5,6,41,0.0,1607.4388427734375,R_A3
298.6333312988281,0,0.6481541991233826,29,STANDARD,2018-01-01,298.6333312988281,6,7,41,0.0,1609.505126953125,R_A3
298.7718200683594,0,0.16907162964344025,29,STANDARD,2018-01-01,298.7718200683594,7,8,41,0.0,1611.5714111328125,R_A3
298.9103088378906,0,0.10347442328929901,29,STANDARD,2018-01-01,298.9103088378906,8,9,41,0.0,1613.6376953125,R_A3
299.0487976074219,0,0.7974761128425598,29,STANDARD,2018-01-01,299.0487976074219,9,10,41,0.0,1615.703857421875,R_A3
299.1872863769531,0,0.7935286164283752,29,STANDARD,2018-01-01,299.1872863769531,10,11,41,0.0,1617.770263671875,R_A3
299.33709716796875,0,0.047304701060056686,29,STANDARD,2018-01-01,299.33709716796875,11,12,41,0.0,1620.0052490234375,R_A3
299.49822998046875,0,0.05479490011930466,29,STANDARD,2018-01-01,299.49822998046875,12,13,41,0.0,1622.408935546875,R_A3
299.65936279296875,0,0.3738662302494049,29,STANDARD,2018-01-01,299.65936279296875,13,14,41,0.0,1624.8126220703125,R_A3
299.82049560546875,0,0.3512616455554962,29,STANDARD,2018-01-01,299.82049560546875,14,15,41,0.0,1627.21630859375,R_A3
299.98162841796875,0,0.7936313152313232,29,STANDARD,2018-01-01,299.98162841796875,15,16,41,0.0,1629.6199951171875,R_A3
300.0921630859375,0,0.7848497033119202,29,STANDARD,2018-01-01,300.0921630859375,16,17,41,0.0,1631.2686767578125,R_A3
300.2406921386719,0,0.6481541991233826,29,STANDARD,2018-01-01,300.2406921386719,24,18,41,0.0,1633.484130859375,R_A3
300.47784423828125,0,0.04296247288584709,29,STANDARD,2018-01-01,300.47784423828125,25,19,41,0.0,1637.021240234375,R_A3
300.71502685546875,0,0.04818078875541687,29,STANDARD,2018-01-01,300.71502685546875,26,20,41,0.0,1640.5584716796875,R_A3
300.95220947265625,0,0.6663011908531189,29,STANDARD,2018-01-01,300.95220947265625,27,21,41,0.0,1644.095703125,R_A3
301.18939208984375,0,0.05932547524571419,29,STANDARD,2018-01-01,301.18939208984375,28,22,41,0.0,1647.6328125,R_A3
300.4112854003906,0,0.05330616980791092,30,STANDARD,2018-01-01,300.4112854003906,1,1,52,0.0,1636.0286865234375,R_A4
299.9287414550781,0,0.04884810000658035,31,STANDARD,2018-01-01,299.9287414550781,1,2,52,0.0,1628.831298828125,R_A4
300.06024169921875,0,0.05010811612010002,31,STANDARD,2018-01-01,300.06024169921875,2,3,52,0.0,1630.7926025390625,R_A4
300.1917419433594,0,0.05398345738649368,31,STANDARD,2018-01-01,300.1917419433594,3,4,52,0.0,1632.75390625,R_A4
300.3232421875,0,0.053103119134902954,31,STANDARD,2018-01-01,300.3232421875,4,5,52,0.0,1634.715087890625,R_A4
300.1678771972656,0,0.05460121110081673,32,STANDARD,2018-01-01,300.1678771972656,4,6,52,0.0,1632.3978271484375,R_A4
300.53228759765625,0,0.05792532488703728,32,STANDARD,2018-01-01,300.53228759765625,4,7,51,0.0,1637.8333740234375,R_A4
