WELLMODEL,DEPTH,WELL,SWAT,SGAS,CONIDX,CONKPOS,CONJPOS,CONIPOS,DRAWDOWN,CONBPRES,DATE,PRESSURE
STANDARD,1641.3974609375,R_A4,0.2346319556236267,0.0,17,2,49,35,0,300.79864501953125,2018-01-01,300.79864501953125
STANDARD,1642.2578125,R_A4,0.16761013865470886,0.0,18,29,49,36,0,300.8563537597656,2018-01-01,300.8563537597656
STANDARD,1642.6463623046875,R_A4,0.08882876485586166,0.0,19,29,48,36,0,300.88238525390625,2018-01-01,300.88238525390625
STANDARD,1648.37353515625,R_A4,0.3052765130996704,0.0,20,29,48,37,0,301.2664489746094,2018-01-01,301.2664489746094
STANDARD,1651.8209228515625,R_A4,0.18046267330646515,0.0,21,29,48,38,0,301.4976501464844,2018-01-01,301.4976501464844
STANDARD,1658.677490234375,R_A4,0.6481541991233826,0.0,22,29,47,38,0,301.95751953125,2018-01-01,301.95751953125
STANDARD,1685.9881591796875,R_A5,1.0,0.0,1,1,20,31,0,303.9352111816406,2018-01-01,303.9352111816406
STANDARD,1688.1651611328125,R_A5,1.0,0.0,2,2,20,31,0,304.1415100097656,2018-01-01,304.1415100097656
STANDARD,1690.34228515625,R_A5,1.0,0.0,3,3,20,31,0,304.3478088378906,2018-01-01,304.3478088378906
STANDARD,1692.519287109375,R_A5,1.0,0.0,4,4,20,31,0,304.55413818359375,2018-01-01,304.55413818359375
STANDARD,1694.6964111328125,R_A5,1.0,0.0,5,5,20,31,0,304.76043701171875,2018-01-01,304.76043701171875
STANDARD,1696.873291015625,R_A5,1.0,0.0,6,6,20,31,0,304.96673583984375,2018-01-01,304.96673583984375
STANDARD,1699.0504150390625,R_A5,1.0,0.0,7,7,20,31,0,305.4788513183594,2018-01-01,305.4788513183594
STANDARD,1701.2274169921875,R_A5,1.0,0.0,8,8,20,31,0,305.6851501464844,2018-01-01,305.6851501464844
STANDARD,1697.280029296875,R_A5,1.0,0.0,9,10,21,31,0,305.0052795410156,2018-01-01,305.0052795410156
STANDARD,1699.4619140625,R_A5,1.0,0.0,10,11,21,31,0,305.2121887207031,2018-01-01,305.2121887207031
STANDARD,1701.5045166015625,R_A5,1.0,0.0,11,12,21,31,0,305.40576171875,2018-01-01,305.40576171875
STANDARD,1703.5469970703125,R_A5,1.0,0.0,12,13,21,31,0,305.6112976074219,2018-01-01,305.6112976074219
STANDARD,1705.589599609375,R_A5,1.0,0.0,13,14,21,31,0,305.80487060546875,2018-01-01,305.80487060546875
STANDARD,1707.632080078125,R_A5,1.0,0.0,14,15,21,31,0,305.9984436035156,2018-01-01,305.9984436035156
STANDARD,1709.6746826171875,R_A5,1.0,0.0,15,16,21,31,0,306.3370056152344,2018-01-01,306.3370056152344
STANDARD,1711.71728515625,R_A5,1.0,0.0,16,17,21,31,0,306.5306091308594,2018-01-01,306.5306091308594
STANDARD,1713.3382568359375,R_A5,1.0,0.0,17,18,21,31,0,306.6842346191406,2018-01-01,306.6842346191406
STANDARD,1714.131103515625,R_A5,1.0,0.0,18,19,21,31,0,306.7593688964844,2018-01-01,306.7593688964844
STANDARD,1715.4779052734375,R_A5,1.0,0.0,19,26,21,31,0,306.72991943359375,2018-01-01,306.72991943359375
STANDARD,1717.7852783203125,R_A5,1.0,0.0,20,27,21,31,0,306.9485778808594,2018-01-01,306.9485778808594
STANDARD,1720.092529296875,R_A5,1.0,0.0,21,28,21,31,0,307.4730529785156,2018-01-01,307.4730529785156
STANDARD,1722.3997802734375,R_A5,1.0,0.0,22,29,21,31,0,307.69171142578125,2018-01-01,307.69171142578125
STANDARD,1724.7071533203125,R_A5,1.0,0.0,23,30,21,31,0,307.910400390625,2018-01-01,307.910400390625
STANDARD,1694.3199462890625,R_A6,1.0,0.0,1,1,42,17,0,305.0305480957031,2018-01-01,305.0305480957031
STANDARD,1695.849853515625,R_A6,1.0,0.0,2,2,42,17,0,305.175537109375,2018-01-01,305.175537109375
STANDARD,1697.3797607421875,R_A6,1.0,0.0,3,3,42,17,0,305.3205261230469,2018-01-01,305.3205261230469
STANDARD,1698.90966796875,R_A6,1.0,0.0,4,4,42,17,0,305.46551513671875,2018-01-01,305.46551513671875
STANDARD,1700.439453125,R_A6,1.0,0.0,5,5,42,17,0,305.6105041503906,2018-01-01,305.6105041503906
STANDARD,1701.969482421875,R_A6,1.0,0.0,6,6,42,17,0,305.7554931640625,2018-01-01,305.7554931640625
STANDARD,1703.4993896484375,R_A6,1.0,0.0,7,7,42,17,0,305.6014099121094,2018-01-01,305.6014099121094
STANDARD,1705.029296875,R_A6,1.0,0.0,8,8,42,17,0,305.74639892578125,2018-01-01,305.74639892578125
STANDARD,1706.5592041015625,R_A6,1.0,0.0,9,9,42,17,0,306.1904602050781,2018-01-01,306.1904602050781
STANDARD,1708.089111328125,R_A6,1.0,0.0,10,10,42,17,0,306.0296630859375,2018-01-01,306.0296630859375
STANDARD,1709.993408203125,R_A6,1.0,0.0,11,11,42,17,0,306.2102355957031,2018-01-01,306.2102355957031
STANDARD,1712.27197265625,R_A6,1.0,0.0,12,12,42,17,0,306.42620849609375,2018-01-01,306.42620849609375
