SWAT,WELL,WELLMODEL,DEPTH,CONIPOS,PRESSURE,DATE,DRAWDOWN,SGAS,CONKPOS,CONJPOS,CONIDX,CONBPRES
1.0,R_A2,STANDARD,1682.3553466796875,22,303.8967590332031,2018-01-01,0,0.0,28,29,23,303.8967590332031
1.0,R_A2,STANDARD,1684.1341552734375,22,304.0653076171875,2018-01-01,0,0.0,29,29,24,304.0653076171875
0.6481541991233826,R_A3,STANDARD,1609.5596923828125,28,298.67401123046875,2018-01-01,0,0.0,1,41,1,298.67401123046875
0.14941050112247467,R_A3,STANDARD,1611.567138671875,28,298.8085632324219,2018-01-01,0,0.0,2,41,2,298.8085632324219
0.09082862734794617,R_A3,STANDARD,1613.5748291015625,28,298.943115234375,2018-01-01,0,0.0,3,41,3,298.943115234375
0.11823459714651108,R_A3,STANDARD,1604.4581298828125,29,298.3321228027344,2018-01-01,0,0.0,3,41,4,298.3321228027344
0.1206602230668068,R_A3,STANDARD,1606.5263671875,29,298.4707336425781,2018-01-01,0,0.0,4,41,5,298.4707336425781
0.6481541991233826,R_A3,STANDARD,1608.5947265625,29,298.6093444824219,2018-01-01,0,0.0,5,41,6,298.6093444824219
0.20181569457054138,R_A3,STANDARD,1610.6630859375,29,298.7479553222656,2018-01-01,0,0.0,6,41,7,298.7479553222656
0.19553348422050476,R_A3,STANDARD,1612.7313232421875,29,298.8865966796875,2018-01-01,0,0.0,7,41,8,298.8865966796875
0.1968352049589157,R_A3,STANDARD,1614.799560546875,29,299.02520751953125,2018-01-01,0,0.0,8,41,9,299.02520751953125
0.7933865785598755,R_A3,STANDARD,1616.867919921875,29,299.1638488769531,2018-01-01,0,0.0,9,41,10,299.1638488769531
0.7966032028198242,R_A3,STANDARD,1618.9361572265625,29,299.3024597167969,2018-01-01,0,0.0,10,41,11,299.3024597167969
0.04739677160978317,R_A3,STANDARD,1621.116455078125,29,299.4486083984375,2018-01-01,0,0.0,11,41,12,299.4486083984375
0.05335818603634834,R_A3,STANDARD,1623.40869140625,29,299.6022644042969,2018-01-01,0,0.0,12,41,13,299.6022644042969
0.37241461873054504,R_A3,STANDARD,1625.7010498046875,29,299.7559509277344,2018-01-01,0,0.0,13,41,14,299.7559509277344
0.19066156446933746,R_A3,STANDARD,1627.993408203125,29,299.90960693359375,2018-01-01,0,0.0,14,41,15,299.90960693359375
0.4998772144317627,R_A3,STANDARD,1630.28564453125,29,300.06329345703125,2018-01-01,0,0.0,15,41,16,300.06329345703125
0.7934757471084595,R_A3,STANDARD,1632.115966796875,29,300.1860046386719,2018-01-01,0,0.0,16,41,17,300.1860046386719
0.6481541991233826,R_A3,STANDARD,1634.5560302734375,29,300.349609375,2018-01-01,0,0.0,25,41,18,300.349609375
0.0440744012594223,R_A3,STANDARD,1638.06787109375,29,300.5850524902344,2018-01-01,0,0.0,26,41,19,300.5850524902344
0.04866762086749077,R_A3,STANDARD,1641.5797119140625,29,300.820556640625,2018-01-01,0,0.0,27,41,20,300.820556640625
0.30144041776657104,R_A3,STANDARD,1645.091552734375,29,301.0560302734375,2018-01-01,0,0.0,28,41,21,301.0560302734375
0.058746591210365295,R_A3,STANDARD,1648.6033935546875,29,301.2915344238281,2018-01-01,0,0.0,29,41,22,301.2915344238281
0.050408635288476944,R_A4,STANDARD,1633.207275390625,30,300.2591857910156,2018-01-01,0,0.0,1,52,1,300.2591857910156
0.07908552885055542,R_A4,STANDARD,1627.621826171875,31,299.88470458984375,2018-01-01,0,0.0,1,52,2,299.88470458984375
0.11864914745092392,R_A4,STANDARD,1629.6700439453125,31,300.02203369140625,2018-01-01,0,0.0,2,52,3,300.02203369140625
0.09390164166688919,R_A4,STANDARD,1631.71826171875,31,300.1593322753906,2018-01-01,0,0.0,3,52,4,300.1593322753906
0.05348512902855873,R_A4,STANDARD,1633.7664794921875,31,300.2966613769531,2018-01-01,0,0.0,4,52,5,300.2966613769531
0.053190186619758606,R_A4,STANDARD,1632.16259765625,32,300.18914794921875,2018-01-01,0,0.0,4,52,6,300.18914794921875
0.10711027681827545,R_A4,STANDARD,1636.7332763671875,32,300.4955749511719,2018-01-01,0,0.0,4,51,7,300.4955749511719
0.12112686783075333,R_A4,STANDARD,1637.230224609375,33,300.5289001464844,2018-01-01,0,0.0,4,51,8,300.5289001464844
0.6481541991233826,R_A4,STANDARD,1635.3873291015625,33,300.40533447265625,2018-01-01,0,0.0,3,51,9,300.40533447265625
0.059835996478796005,R_A4,STANDARD,1643.47265625,33,300.9474792480469,2018-01-01,0,0.0,4,50,10,300.9474792480469
0.06012513488531113,R_A4,STANDARD,1641.325927734375,34,300.80352783203125,2018-01-01,0,0.0,4,50,11,300.80352783203125
0.13712769746780396,R_A4,STANDARD,1639.471923828125,34,300.67919921875,2018-01-01,0,0.0,3,50,12,300.67919921875
0.13681931793689728,R_A4,STANDARD,1640.5137939453125,35,300.74908447265625,2018-01-01,0,0.0,3,50,13,300.74908447265625
0.2225755751132965,R_A4,STANDARD,1638.7451171875,35,300.6304626464844,2018-01-01,0,0.0,2,50,14,300.6304626464844
0.22345073521137238,R_A4,STANDARD,1643.8558349609375,35,300.9731750488281,2018-01-01,0,0.0,2,49,15,300.9731750488281
0.22583232820034027,R_A4,STANDARD,1642.07373046875,35,300.8536682128906,2018-01-01,0,0.0,1,49,16,300.8536682128906
0.08922900259494781,R_A4,STANDARD,1643.91259765625,36,300.97698974609375,2018-01-01,0,0.0,28,49,17,300.97698974609375
0.056507717818021774,R_A4,STANDARD,1642.5267333984375,36,300.8840637207031,2018-01-01,0,0.0,28,48,18,300.8840637207031
0.6481541991233826,R_A4,STANDARD,1648.442138671875,37,301.2807312011719,2018-01-01,0,0.0,28,48,19,301.2807312011719
0.6481541991233826,R_A4,STANDARD,1651.852783203125,38,301.50946044921875,2018-01-01,0,0.0,28,48,20,301.50946044921875
1.0,R_A4,STANDARD,1660.406005859375,38,302.0831298828125,2018-01-01,0,0.0,28,47,21,302.0831298828125
1.0,R_A5,STANDARD,1684.9676513671875,31,303.8385009765625,2018-01-01,0,0.0,1,20,1,303.8385009765625
1.0,R_A5,STANDARD,1687.064697265625,31,304.0372314453125,2018-01-01,0,0.0,2,20,2,304.0372314453125
1.0,R_A5,STANDARD,1689.16162109375,31,304.2359313964844,2018-01-01,0,0.0,3,20,3,304.2359313964844
1.0,R_A5,STANDARD,1691.2586669921875,31,304.4346618652344,2018-01-01,0,0.0,4,20,4,304.4346618652344
1.0,R_A5,STANDARD,1693.355712890625,31,304.6333923339844,2018-01-01,0,0.0,5,20,5,304.6333923339844
1.0,R_A5,STANDARD,1695.4527587890625,31,304.8321228027344,2018-01-01,0,0.0,6,20,6,304.8321228027344
1.0,R_A5,STANDARD,1697.5496826171875,31,305.3366394042969,2018-01-01,0,0.0,7,20,7,305.3366394042969
1.0,R_A5,STANDARD,1699.646728515625,31,305.5353698730469,2018-01-01,0,0.0,8,20,8,305.5353698730469
1.0,R_A5,STANDARD,1701.724365234375,31,305.42657470703125,2018-01-01,0,0.0,11,21,9,305.42657470703125
1.0,R_A5,STANDARD,1703.7181396484375,31,305.61553955078125,2018-01-01,0,0.0,12,21,10,305.61553955078125
1.0,R_A5,STANDARD,1705.7120361328125,31,305.81646728515625,2018-01-01,0,0.0,13,21,11,305.81646728515625
1.0,R_A5,STANDARD,1707.705810546875,31,306.00543212890625,2018-01-01,0,0.0,14,21,12,306.00543212890625
1.0,R_A5,STANDARD,1709.69970703125,31,306.1943664550781,2018-01-01,0,0.0,15,21,13,306.1943664550781
1.0,R_A5,STANDARD,1711.6934814453125,31,306.5283508300781,2018-01-01,0,0.0,16,21,14,306.5283508300781
1.0,R_A5,STANDARD,1713.63671875,31,306.7124938964844,2018-01-01,0,0.0,17,21,15,306.7124938964844
1.0,R_A5,STANDARD,1714.90576171875,31,306.8327941894531,2018-01-01,0,0.0,18,21,16,306.8327941894531
1.0,R_A5,STANDARD,1716.358642578125,31,306.8133850097656,2018-01-01,0,0.0,25,21,17,306.8133850097656
1.0,R_A5,STANDARD,1718.552490234375,31,307.02130126953125,2018-01-01,0,0.0,26,21,18,307.02130126953125
